# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.275
metadata : {}


# id : NWRW1800000044.275.1.1
경기는 졌지만…오초아, 네가 최고였어

경기는	경기/NNG+는/JX
30일(한국시각) 브라질 포르탈레자에서 열린 16강전에서 멕시코는 오초아의 신들린 선방쇼와 후반 3분 조바니 도스산토스(비야레알)의 선취골로 앞서갔지만, 경기 막판 2골을 잇따라 내주며 역전패를 당했다.

30일(한국시각)	30/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
브라질	브라질/NNP
포르탈레자에서	포르탈레자/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
16강전에서	16/SN+강전/NNB+에서/JKB
멕시코는	멕시코/NNP+는/JX
오초아의	오초아/NNP+의/JKG
신들린	신들리/VV+ㄴ/ETM
선방쇼와	선방/NNG+쇼/NNG+와/JC
후반	후반/NNG
3분	3/SN+분/NNB
조바니	조바니/NNP
도스산토스(비야레알)의	도스산토스/NNP+(/SS+비야레알/NNP+)/SS+의/JKG
선취골로	선취/NNG+골/NNG+로/JKB
앞서갔지만,	앞서가/VV+았/EP+지만/EC+,/SP
경기	경기/NNG
막판	막판/NNG
2골을	2/SN+골/NNG+을/JKO
잇따라	잇따르/VV+아/EC
내주며	내주/VV+며/EC
역전패를	역전패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.275.7.2
87분 동안 경기를 지배한 ‘거미손’도 후반 추가시간에 내준 페널티킥 앞에선 어쩔 도리가 없었다.

87분	87/SN+분/NNB
동안	동안/NNG
경기를	경기/NNG+를/JKO
지배한	지배/NNG+하/XSV+ㄴ/ETM
‘거미손’도	‘/SS+거미손/NNG+’/SS+도/JX
후반	후반/NNG
추가시간에	추가/NNG+시간/NNG+에/JKB
내준	내주/VV+ㄴ/ETM
페널티킥	페널티/NNG+킥/NNG
앞에선	앞/NNG+에서/JKB+ㄴ/JX
어쩔	어쩌/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.275.7.3
멕시코는 1986년 자국에서 열린 월드컵에서 8강에 오른 이후 1994년 미국월드컵부터 이어진 ‘16강 징크스’를 깨지 못했다.

멕시코는	멕시코/NNP+는/JX
1986년	1986/SN+년/NNB
자국에서	자국/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
월드컵에서	월드컵/NNG+에서/JKB
8강에	8/SN+강/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
이후	이후/NNG
1994년	1994/SN+년/NNB
미국월드컵부터	미국/NNP+월드컵/NNG+부터/JX
이어진	이어지/VV+ㄴ/ETM
‘16강	‘/SS+16/SN+강/NNB
징크스’를	징크스/NNG+’/SS+를/JKO
깨지	깨/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.275.8.1
멕시코는 떨어졌지만 오초아의 가치는 치솟았다.

멕시코는	멕시코/NNP+는/JX
떨어졌지만	떨어지/VV+었/EP+지만/EC
오초아의	오초아/NNP+의/JKG
가치는	가치/NNG+는/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.275.8.2
오초아는 4경기에서 필드골은 단 2골만 내줬고, 브라질과의 조별리그 경기에선 파상공세를 막아내며 무실점을 기록했다.

오초아는	오초아/NNP+는/JX
4경기에서	4/SN+경기/NNG+에서/JKB
필드골은	필드/NNG+골/NNG+은/JX
단	단/MMA
2골만	2/SN+골/NNG+만/JX
내줬고,	내주/VV+었/EP+고/EC+,/SP
브라질과의	브라질/NNP+과/JKB+의/JKG
조별리그	조별/NNG+리그/NNG
경기에선	경기/NNG+에서/JKB+ㄴ/JX
파상공세를	파상/NNG+공세/NNG+를/JKO
막아내며	막/VV+아/EC+내/VX+며/EC
무실점을	무/XPN+실점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.275.8.3
그는 3년 전 골드컵에서 겪은 ‘불운’을 실력으로 극복해냈다.

그는	그/NP+는/JX
3년	3/SN+년/NNB
전	전/NNG
골드컵에서	골드컵/NNG+에서/JKB
겪은	겪/VV+은/ETM
‘불운’을	‘/SS+불운/NNG+’/SS+을/JKO
실력으로	실력/NNG+으로/JKB
극복해냈다.	극복/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.275.8.4
당시 멕시코 대표였던 오초아는 팀 동료 4명과 고기를 먹었는데 그 안에 금지 근육강화제 ‘클렌부테롤’이 들어 있었다.

당시	당시/NNG
멕시코	멕시코/NNP
대표였던	대표/NNG+이/VCP+었/EP+던/ETM
오초아는	오초아/NNP+는/JX
팀	팀/NNG
동료	동료/NNG
4명과	4/SN+명/NNB+과/JKB
고기를	고기/NNG+를/JKO
먹었는데	먹/VV+었/EP+는데/EC
그	그/MMD
안에	안/NNG+에/JKB
금지	금지/NNG
근육강화제	근육/NNG+강화제/NNG
‘클렌부테롤’이	‘/SS+클렌부테롤/NNG+’/SS+이/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.275.8.5
약물검사에서 양성반응이 나온 그의 소명이 받아들여지기까지는 무려 2개월이 걸렸다.

약물검사에서	약물/NNG+검사/NNG+에서/JKB
양성반응이	양성/NNG+반응/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
그의	그/NP+의/JKG
소명이	소명/NNG+이/JKS
받아들여지기까지는	받아들이/VV+어/EC+지/VX+기/ETN+까지/JX+는/JX
무려	무려/MAG
2개월이	2/SN+개월/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.275.8.6
오초아는 멕시코 클럽팀 아메리카에서 프랑스의 명문 파리 생제르맹으로의 이적이 예정돼 있었지만, 1년 이상의 자격정지 가능성 앞에서 모든 협상은 백지화되고 말았다.

오초아는	오초아/NNP+는/JX
멕시코	멕시코/NNP
클럽팀	클럽/NNG+팀/NNG
아메리카에서	아메리카/NNP+에서/JKB
프랑스의	프랑스/NNP+의/JKG
명문	명문/NNG
파리	파리/NNP
생제르맹으로의	생제르맹/NNP+으로/JKB+의/JKG
이적이	이적/NNG+이/JKS
예정돼	예정/NNG+되/XSV+어/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
1년	1/SN+년/NNB
이상의	이상/NNG+의/JKG
자격정지	자격/NNG+정지/NNG
가능성	가능/NNG+성/XSN
앞에서	앞/NNG+에서/JKB
모든	모든/MMN
협상은	협상/NNG+은/JX
백지화되고	백지/NNG+화/XSN+되/XSV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.275.8.7
유럽행을 원했던 오초아는 유일하게 그를 받아준 프랑스 아작시오의 유니폼을 입을 수밖에 없었다.

유럽행을	유럽행/NNG+을/JKO
원했던	원/NNG+하/XSV+았/EP+던/ETM
오초아는	오초아/NNP+는/JX
유일하게	유일/NNG+하/XSA+게/EC
그를	그/NP+를/JKO
받아준	받/VV+아/EC+주/VX+ㄴ/ETM
프랑스	프랑스/NNP
아작시오의	아작시오/NNP+의/JKG
유니폼을	유니폼/NNG+을/JKO
입을	입/VV+을/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.275.9.1
아작시오와의 계약이 이번 여름에 끝나는 오초아는 월드컵이 시작되기 전 마르세유로의 이적이 유력했다.

아작시오와의	아작시오/NNP+와/JKB+의/JKG
계약이	계약/NNG+이/JKS
이번	이번/NNG
여름에	여름/NNG+에/JKB
끝나는	끝나/VV+는/ETM
오초아는	오초아/NNP+는/JX
월드컵이	월드컵/NNG+이/JKS
시작되기	시작/NNG+되/XSV+기/ETN
전	전/NNG
마르세유로의	마르세유/NNP+로/JKB+의/JKG
이적이	이적/NNG+이/JKS
유력했다.	유력/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.275.9.2
하지만 월드컵에서의 대활약으로 아스널, 리버풀 등의 명문 클럽이 눈독을 들이고 있다.

하지만	하지만/MAJ
월드컵에서의	월드컵/NNG+에서/JKB+의/JKG
대활약으로	대/XPN+활약/NNG+으로/JKB
아스널,	아스널/NNP+,/SP
리버풀	리버풀/NNP
등의	등/NNB+의/JKG
명문	명문/NNG
클럽이	클럽/NNG+이/JKS
눈독을	눈독/NNG+을/JKO
들이고	들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.275.9.3
아작시오의 한 열성팬은 오초아의 이적을 막기 위해 그의 집과 딸린 모든 가구를 매물로 내놓기도 했다.

아작시오의	아작시오/NNP+의/JKG
한	한/MMN
열성팬은	열성/NNG+팬/NNG+은/JX
오초아의	오초아/NNP+의/JKG
이적을	이적/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
그의	그/NP+의/JKG
집과	집/NNG+과/JC
딸린	딸리/VV+ㄴ/ETM
모든	모든/MMN
가구를	가구/NNG+를/JKO
매물로	매물/NNG+로/JKB
내놓기도	내놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.275.9.4
영국 매체 <메트로>는 “오초아의 팬이 급등한 몸값을 직접 대기 위해 800만파운드에 집을 내놨다”고 전했다.

영국	영국/NNP
매체	매체/NNG
<메트로>는	</SS+메트로/NNP+>/SS+는/JX
“오초아의	“/SS+오초아/NNP+의/JKG
팬이	팬/NNG+이/JKS
급등한	급등/NNG+하/XSV+ㄴ/ETM
몸값을	몸값/NNG+을/JKO
직접	직접/MAG
대기	대/VV+기/ETN
위해	위하/VV+아/EC
800만파운드에	800/SN+만/NR+파운드/NNB+에/JKB
집을	집/NNG+을/JKO
내놨다”고	내놓/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.275.10.1
이날 헤시피에서 열린 코스타리카와 그리스의 16강전 최우수선수도 역시 골키퍼였다.

이날	이날/NNG
헤시피에서	헤시피/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
코스타리카와	코스타리카/NNP+와/JC
그리스의	그리스/NNP+의/JKG
16강전	16/SN+강전/NNB
최우수선수도	최/XPN+우수/NNG+선수/NNG+도/JX
역시	역시/MAG
골키퍼였다.	골키퍼/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.275.10.2
코스타리카의 문지기 케일러 나바스(레반테)는 경기가 1-1로 끝난 뒤 이어진 승부차기에서 그리스 테오파니스 게카스(코니아스포르)의 슛을 막아내며 5-3(승부차기) 승리를 이끌었다.

코스타리카의	코스타리카/NNP+의/JKG
문지기	문지기/NNG
케일러	케일러/NNP
나바스(레반테)는	나바스/NNP+(/SS+레반테/NNP+)/SS+는/JX
경기가	경기/NNG+가/JKS
1-1로	1/SN+-/SO+1/SN+로/JKB
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
이어진	이어지/VV+ㄴ/ETM
승부차기에서	승부차기/NNG+에서/JKB
그리스	그리스/NNP
테오파니스	테오파니스/NNP
게카스(코니아스포르)의	게카스/NNP+(/SS+코니아스포르/NNP+)/SS+의/JKG
슛을	슛/NNG+을/JKO
막아내며	막/VV+아/EC+내/VX+며/EC
5-3(승부차기)	5/SN+-/SO+3/SN+(/SS+승부차기/NNG+)/SS
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.275.10.3
나바스는 “마지막 슛을 막는 순간 무슨 생각을 했는지 기억나지 않는다.

나바스는	나바스/NNP+는/JX
“마지막	“/SS+마지막/NNG
슛을	슛/NNG+을/JKO
막는	막/VV+는/ETM
순간	순간/NNG
무슨	무슨/MMD
생각을	생각/NNG+을/JKO
했는지	하/VV+았/EP+는지/EC
기억나지	기억나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000044.275.10.4
내가 한 모든 것은 반응하고 쳐내는 것이었다”고 말했다.

내가	내/NP+가/JKS
한	하/VV+ㄴ/ETM
모든	모든/MMN
것은	것/NNB+은/JX
반응하고	반응/NNG+하/XSV+고/EC
쳐내는	치/VV+어/EC+내/VX+는/ETM
것이었다”고	것/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.275.10.5
월드컵 8강에 처음 진출한 코스타리카는 6일 우승 후보 네덜란드와 4강 진출을 다툰다.

월드컵	월드컵/NNG
8강에	8/SN+강/NNB+에/JKB
처음	처음/NNG
진출한	진출/NNG+하/XSV+ㄴ/ETM
코스타리카는	코스타리카/NNP+는/JX
6일	6/SN+일/NNB
우승	우승/NNG
후보	후보/NNG
네덜란드와	네덜란드/NNP+와/JKB
4강	4/SN+강/NNB
진출을	진출/NNG+을/JKO
다툰다.	다투/VV+ㄴ다/EF+./SF


