# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.217
metadata : {}


# id : NWRW1800000044.217.1.1
KBS 두 노조 “특별다수제로 새 사장 선출해야”

KBS	KBS/SL
위원장은	위원장/NNG+은/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“법	“/SS+법/NNG
개정안의	개정안/NNG+의/JKG
입법	입법/NNG
취지와	취지/NNG+와/JC
이번	이번/NNG
길환영	길환영/NNP
사태에서	사태/NNG+에서/JKB
한국방송	한국방송/NNP
구성원들이	구성원/NNG+들/XSN+이/JKS
표출한	표출/NNG+하/XSV+ㄴ/ETM
‘방송독립’	‘/SS+방송/NNG+독립/NNG+’/SS
의지를	의지/NNG+를/JKO
이사회가	이사회/NNG+가/JKS
수용해야	수용/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
이는	이/NP+는/JX
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
공약을	공약/NNG+을/JKO
지키는	지키/VV+는/ETM
일이기도	일/NNG+이/VCP+기/ETN+도/JX
하다”고	하/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.217.6.4
전국언론노동조합 한국방송본부(새노조) 권오훈 위원장도 “총파업과 제작거부, 방송파행 등을 되풀이 하지 않으려면 이번 사장은 선임 때부터 첫 단추를 잘 끼워야 한다”고 말했다.

전국언론노동조합	전국언론노동조합/NNP
한국방송본부(새노조)	한국방송/NNP+본부/NNG+(/SS+새/MMA+노조/NNG+)/SS
권오훈	권오훈/NNP
위원장도	위원장/NNG+도/JX
“총파업과	“/SS+총파업/NNG+과/JC
제작거부,	제작/NNG+거부/NNG+,/SP
방송파행	방송/NNG+파행/NNG
등을	등/NNB+을/JKO
되풀이	되풀이/NNG
하지	하/VV+지/EC
않으려면	않/VX+으려면/EC
이번	이번/NNG
사장은	사장/NNG+은/JX
선임	선임/NNG
때부터	때/NNG+부터/JX
첫	첫/MMN
단추를	단추/NNG+를/JKO
잘	잘/MAG
끼워야	끼우/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.217.7.1
이에 대해 한국방송 이사회 이길영 이사장은 <한겨레>와의 통화에서 “아직까지 정해진 건 없다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한국방송	한국방송/NNP
이사회	이사회/NNG
이길영	이길영/NNP
이사장은	이사장/NNG+은/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“아직까지	“/SS+아직/MAG+까지/JX
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.217.7.2
이사회는 오는 18일 임시이사회에서 후임 사장 선임을 위한 절차 등을 논의할 예정이다.

이사회는	이사회/NNG+는/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
임시이사회에서	임시/NNG+이사회/NNG+에서/JKB
후임	후임/NNG
사장	사장/NNG
선임을	선임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
절차	절차/NNG
등을	등/NNB+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.217.8.1
언론·시민단체들은 지난 12일에 이어 이날에도 서울 정동 프란치스코회관에서 ‘한국방송 지배구조 개선’을 주제로 토론회를 열었다.

언론·시민단체들은	언론/NNG+·/SP+시민/NNG+단체/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
12일에	12/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
이날에도	이날/NNG+에/JKB+도/JX
서울	서울/NNP
정동	정동/NNP
프란치스코회관에서	프란치스코회관/NNP+에서/JKB
‘한국방송	‘/SS+한국방송/NNP
지배구조	지배/NNG+구조/NNG
개선’을	개선/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
토론회를	토론회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.217.8.2
전규찬 한예종 교수는 발제에서 △이사회에 사장 선임을 위한 여야 동수 소위원회(TF) 구성 △인사청문회를 대체할 공개 청문회 개최 등을 제안했다.

전규찬	전규찬/NNP
한예종	한예종/NNP
교수는	교수/NNG+는/JX
발제에서	발제/NNG+에서/JKB
△이사회에	△/SW+이사회/NNG+에/JKB
사장	사장/NNG
선임을	선임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
여야	여야/NNG
동수	동수/NNG
소위원회(TF)	소/XPN+위원회/NNG+(/SS+TF/SL+)/SS
구성	구성/NNG
△인사청문회를	△/SW+인사/NNG+청문회/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
공개	공개/NNG
청문회	청문회/NNG
개최	개최/NNG
등을	등/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


