# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.274
metadata : {}


# id : NWRW1800000054.274.1.1
여기는 맨유 아닌 미국 축구장… MLS(Major League Soccer), 美스포츠 뒤흔들다

여기는	여기/NP+는/JX
2만1708명(19일	2/SN+만/NR+1708/SN+명/NNB+(/SS+19/SN+일/NNB
현재)을	현재/NNG+)/SS+을/JKO
동원하고	동원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.274.3.5
매년 평균 관중이 떨어져 올 시즌엔 6715명(클래식)을 기록 중인 K리그로선 부러울 따름이다.

매년	매년/MAG
평균	평균/NNG
관중이	관중/NNG+이/JKS
떨어져	떨어지/VV+어/EC
올	올/NNG
시즌엔	시즌/NNG+에/JKB+ㄴ/JX
6715명(클래식)을	6715/SN+명/NNB+(/SS+클래식/NNG+)/SS+을/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
K리그로선	K/SL+리그/NNG+로서/JKB+ㄴ/JX
부러울	부럽/VA+ㄹ/ETM
따름이다.	따름/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.274.4.1
MLS 관중 폭발의 중심엔 신생팀 애틀랜타 유나이티드가 있다.

MLS	MLS/SL
관중	관중/NNG
폭발의	폭발/NNG+의/JKG
중심엔	중심/NNG+에/JKB+ㄴ/JX
신생팀	신생/NNG+팀/NNG
애틀랜타	애틀랜타/NNP
유나이티드가	유나이티드/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.274.4.2
홈 개막전에서 5만5297명의 구름 관중을 끌어모은 애틀랜타는 지난 17일(한국 시각) 올랜도시티와 홈 경기에서 7만425명이라는 MLS 사상 최다 관중 기록을 세웠다.

홈	홈/NNG
개막전에서	개막전/NNG+에서/JKB
5만5297명의	5/SN+만/NR+5297/SN+명/NNB+의/JKG
구름	구름/NNG
관중을	관중/NNG+을/JKO
끌어모은	끌어모으/VV+ㄴ/ETM
애틀랜타는	애틀랜타/NNP+는/JX
지난	지나/VV+ㄴ/ETM
17일(한국	17/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
올랜도시티와	올랜도시티/NNP+와/JKB
경기에서	경기/NNG+에서/JKB
7만425명이라는	7/SN+만/NR+425/SN+명/NNB+이/VCP+라는/ETM
MLS	MLS/SL
사상	사상/NNG
최다	최다/NNG
관중	관중/NNG
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.274.4.3
올 시즌 경기당 평균 관중이 4만7926명으로 1위다.

올	올/NNG
시즌	시즌/NNG
경기당	경기/NNG+당/XSN
평균	평균/NNG
관중이	관중/NNG+이/JKS
4만7926명으로	4/SN+만/NR+7926/SN+명/NNB+으로/JKB
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.274.4.4
축구 불모지로 불린 애틀랜타의 놀라운 변신이다.

축구	축구/NNG
불모지로	불모지/NNG+로/JKB
불린	불리/VV+ㄴ/ETM
애틀랜타의	애틀랜타/NNP+의/JKG
놀라운	놀랍/VA+ㄴ/ETM
변신이다.	변신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.274.4.5
올해 K리그 관중 1위인 FC서울의 평균 관중이 1만6219명이다.

올해	올해/NNG
K리그	K/SL+리그/NNG
관중	관중/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
FC서울의	FC서울/NNP+의/JKG
평균	평균/NNG
관중이	관중/NNG+이/JKS
1만6219명이다.	1/SN+만/NR+6219/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.274.5.1
애틀랜타 유나이티드는 불모지에 축구를 정착시키기 위한 치밀한 계획을 세우고 실행에 옮긴 끝에 2014년 4월 창단했다.

애틀랜타	애틀랜타/NNP
유나이티드는	유나이티드/NNG+는/JX
불모지에	불모지/NNG+에/JKB
축구를	축구/NNG+를/JKO
정착시키기	정착/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
치밀한	치밀하/VA+ㄴ/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
실행에	실행/NNG+에/JKB
옮긴	옮기/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
2014년	2014/SN+년/NNB
4월	4/SN+월/NNB
창단했다.	창단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.5.2
애틀랜타는 NHL(북미아이스하키리그) 팀이 관중 동원에 애를 먹어 두 번이나 연고지를 옮겼고, 야구나 농구도 포스트시즌에 오르지 않으면 큰 관심이 없는 곳이었다.

애틀랜타는	애틀랜타/NNP+는/JX
NHL(북미아이스하키리그)	NHL/SL+(/SS+북미/NNP+아이스하키/NNG+리그/NNG+)/SS
팀이	팀/NNG+이/JKS
관중	관중/NNG
동원에	동원/NNG+에/JKB
애를	애/NNG+를/JKO
먹어	먹/VV+어/EC
두	두/MMN
번이나	번/NNB+이나/JX
연고지를	연고지/NNG+를/JKO
옮겼고,	옮기/VV+었/EP+고/EC+,/SP
야구나	야구/NNG+나/JC
농구도	농구/NNG+도/JX
포스트시즌에	포스트시즌/NNG+에/JKB
오르지	오르/VV+지/EC
않으면	않/VX+으면/EC
큰	크/VA+ㄴ/ETM
관심이	관심/NNG+이/JKS
없는	없/VA+는/ETM
곳이었다.	곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.274.5.3
애틀랜타에서 축구의 정착 가능성을 점치는 이는 많지 않았다.

애틀랜타에서	애틀랜타/NNP+에서/JKB
축구의	축구/NNG+의/JKG
정착	정착/NNG
가능성을	가능/NNG+성/XSN+을/JKO
점치는	점치/VV+는/ETM
이는	이/NNB+는/JX
많지	많/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.274.6.1
팬들을 확보하기 위해 애틀랜타 구단은 연령과 성별, 인종, 소득 수준별 체계적인 데이터 분석 작업부터 시작했다.

팬들을	팬/NNG+들/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
애틀랜타	애틀랜타/NNP
구단은	구단/NNG+은/JX
연령과	연령/NNG+과/JKB
성별,	성별/NNG+,/SP
인종,	인종/NNG+,/SP
소득	소득/NNG
수준별	수준/NNG+별/XSN
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
데이터	데이터/NNG
분석	분석/NNG
작업부터	작업/NNG+부터/JX
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.6.2
분석 결과, 2000년대 미국에서 축구가 생활 스포츠로 자리를 잡으며 어릴 때부터 공을 찼던 20~30대 젊은 층이 주요 타깃이 됐다.

분석	분석/NNG
결과,	결과/NNG+,/SP
2000년대	2000/SN+년대/NNB
미국에서	미국/NNP+에서/JKB
축구가	축구/NNG+가/JKS
생활	생활/NNG
스포츠로	스포츠/NNG+로/JKB
자리를	자리/NNG+를/JKO
잡으며	잡/VV+으며/EC
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
공을	공/NNG+을/JKO
찼던	차/VV+았/EP+던/ETM
20~30대	20/SN+~/SO+30/SN+대/NNB
젊은	젊/VA+은/ETM
층이	층/NNG+이/JKS
주요	주요/NNG
타깃이	타깃/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.274.6.3
이민자 가정의 비율이 높아 유럽이나 남미 출신 '축구광 가족'이 많다는 것도 주요 마케팅 포인트였다.

이민자	이민자/NNG
가정의	가정/NNG+의/JKG
비율이	비율/NNG+이/JKS
높아	높/VA+아/EC
유럽이나	유럽/NNP+이나/JC
남미	남미/NNP
출신	출신/NNG
'축구광	'/SS+축구/NNG+광/XSN
가족'이	가족/NNG+'/SS+이/JKS
많다는	많/VA+다는/ETM
것도	것/NNB+도/JX
주요	주요/NNG
마케팅	마케팅/NNG
포인트였다.	포인트/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.274.6.4
구단은 젊은이들이 많은 스포츠 펍(pub·선술집)을 집중적으로 공략하며 바닥부터 관중을 끌어모았다.

구단은	구단/NNG+은/JX
젊은이들이	젊은이/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
스포츠	스포츠/NNG
펍(pub·선술집)을	펍/NNG+(/SS+pub/SL+·/SP+선술집/NNG+)/SS+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
공략하며	공략/NNG+하/XSV+며/EC
바닥부터	바닥/NNG+부터/JX
관중을	관중/NNG+을/JKO
끌어모았다.	끌어모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.6.5
영국 가디언은 "전형적인 미국 4대 스포츠 대신 새로운 것을 찾던 젊은이들에게 MLS가 먹혀들어가기 시작했다"며 "특히 축구가 민족과 인종을 넘어 사랑받는 세계 스포츠라는 점이 젊은 층의 감성을 자극했다"고 분석했다.

영국	영국/NNP
가디언은	가디언/NNP+은/JX
"전형적인	"/SS+전형/NNG+적/XSN+이/VCP+ㄴ/ETM
미국	미국/NNP
4대	4/SN+대/NNG
스포츠	스포츠/NNG
대신	대신/NNG
새로운	새롭/VA+ㄴ/ETM
것을	것/NNB+을/JKO
찾던	찾/VV+던/ETM
젊은이들에게	젊은이/NNG+들/XSN+에게/JKB
MLS가	MLS/SL+가/JKS
먹혀들어가기	먹혀들/VV+어/EC+가/VX+기/ETN
시작했다"며	시작/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"특히	"/SS+특히/MAG
축구가	축구/NNG+가/JKS
민족과	민족/NNG+과/JC
인종을	인종/NNG+을/JKO
넘어	넘/VV+어/EC
사랑받는	사랑/NNG+받/XSV+는/ETM
세계	세계/NNG
스포츠라는	스포츠/NNG+이/VCP+라는/ETM
점이	점/NNG+이/JKS
젊은	젊/VA+은/ETM
층의	층/NNG+의/JKG
감성을	감성/NNG+을/JKO
자극했다"고	자극/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.6.6
선수들은 지역 학교나 병원 등을 부지런히 돌며 각종 이벤트를 개최하는 등 발로 뛰는 홍보에 동참했다.

선수들은	선수/NNG+들/XSN+은/JX
지역	지역/NNG
학교나	학교/NNG+나/JC
병원	병원/NNG
등을	등/NNB+을/JKO
부지런히	부지런히/MAG
돌며	돌/VV+며/EC
각종	각종/NNG
이벤트를	이벤트/NNG+를/JKO
개최하는	개최/NNG+하/XSV+는/ETM
등	등/NNB
발로	발/NNG+로/JKB
뛰는	뛰/VV+는/ETM
홍보에	홍보/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.7.1
지역 팬들의 뜨거운 관심 속에 유나이티드는 개막도 전에 2만2000장의 시즌 티켓을 팔았다.

지역	지역/NNG
팬들의	팬/NNG+들/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
관심	관심/NNG
속에	속/NNG+에/JKB
유나이티드는	유나이티드/NNG+는/JX
개막도	개막/NNG+도/JX
전에	전/NNG+에/JKB
2만2000장의	2/SN+만/NR+2000/SN+장/NNB+의/JKG
시즌	시즌/NNG
티켓을	티켓/NNG+을/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.7.2
현재는 시즌 티켓을 가진 팬만 3만5000명에 달한다.

현재는	현재/NNG+는/JX
시즌	시즌/NNG
티켓을	티켓/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
팬만	팬/NNG+만/JX
3만5000명에	3/SN+만/NR+5000/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.274.7.3
최근 MLS 사례를 들어 K리그 컨설팅을 진행한 김정윤 웨슬리퀘스트 이사는 "철저히 수요자 중심으로 생각하는 MLS와 달리 K리그는 여전히 '우리가 경기할 테니 보러 오라'는 공급자 마인드에 머물러 있다"며 "여가 시간을 보낼 수 있는 대체 상품이 점점 늘어나는 상황에서 고객에 대한 철저한 분석을 토대로 한 체계적 마케팅이 이루어지지 않으면 K리그는 경쟁력을 갖기 어려울 것"이라고 말했다.

최근	최근/NNG
MLS	MLS/SL
사례를	사례/NNG+를/JKO
들어	들/VV+어/EC
K리그	K/SL+리그/NNG
컨설팅을	컨설팅/NNG+을/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
김정윤	김정윤/NNP
웨슬리퀘스트	웨슬리퀘스트/NNP
이사는	이사/NNG+는/JX
"철저히	"/SS+철저히/MAG
수요자	수요자/NNG
중심으로	중심/NNG+으로/JKB
생각하는	생각/NNG+하/XSV+는/ETM
MLS와	MLS/SL+와/JKB
달리	달리/MAG
K리그는	K/SL+리그/NNG+는/JX
여전히	여전히/MAG
'우리가	'/SS+우리/NP+가/JKS
경기할	경기/NNG+하/XSV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
보러	보/VV+러/EC
오라'는	오/VV+라/EF+'/SS+는/ETM
공급자	공급자/NNG
마인드에	마인드/NNG+에/JKB
머물러	머무르/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"여가	"/SS+여가/NNG
시간을	시간/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대체	대체/NNG
상품이	상품/NNG+이/JKS
점점	점점/MAG
늘어나는	늘어나/VV+는/ETM
상황에서	상황/NNG+에서/JKB
고객에	고객/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
철저한	철저/NNG+하/XSA+ㄴ/ETM
분석을	분석/NNG+을/JKO
토대로	토대/NNG+로/JKB
한	하/VV+ㄴ/ETM
체계적	체계/NNG+적/XSN
마케팅이	마케팅/NNG+이/JKS
이루어지지	이루어지/VV+지/EC
않으면	않/VX+으면/EC
경쟁력을	경쟁력/NNG+을/JKO
갖기	갖/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.274.8.1
마케팅으로 끌어모은 팬들을 붙잡는 데는 콘텐츠가 중요하다.

마케팅으로	마케팅/NNG+으로/JKB
끌어모은	끌어모으/VV+ㄴ/ETM
팬들을	팬/NNG+들/XSN+을/JKO
붙잡는	붙잡/VV+는/ETM
데는	데/NNB+는/JX
콘텐츠가	콘텐츠/NNG+가/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.274.8.2
애틀랜타 유나이티드는 FC바르셀로나와 아르헨티나 사령탑을 지낸 타타 마르티노를 작년 9월 감독으로 선임했고, 이름값만 있는 '퇴물 선수' 대신 젊고 빠른 선수들로 로스터를 채워 공격 축구를 보여줬다.

애틀랜타	애틀랜타/NNP
유나이티드는	유나이티드/NNG+는/JX
FC바르셀로나와	FC바르셀로나/NNP+와/JC
아르헨티나	아르헨티나/NNP
사령탑을	사령탑/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
타타	타타/NNP
마르티노를	마르티노/NNP+를/JKO
작년	작년/NNG
9월	9/SN+월/NNB
감독으로	감독/NNG+으로/JKB
선임했고,	선임/NNG+하/XSV+았/EP+고/EC+,/SP
이름값만	이름값/NNG+만/JX
있는	있/VA+는/ETM
'퇴물	'/SS+퇴물/NNG
선수'	선수/NNG+'/SS
대신	대신/NNG
젊고	젊/VA+고/EC
빠른	빠르/VA+ㄴ/ETM
선수들로	선수/NNG+들/XSN+로/JKB
로스터를	로스터/NNG+를/JKO
채워	채우/VV+어/EC
공격	공격/NNG
축구를	축구/NNG+를/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.274.8.3
현재 동부 콘퍼런스 5위인 애틀랜타는 리그에서 둘째로 많은 57골을 터뜨리며 팬들에게 화끈한 축구를 선보이고 있다.

현재	현재/MAG
동부	동부/NNG
콘퍼런스	콘퍼런스/NNG
5위인	5/SN+위/NNB+이/VCP+ㄴ/ETM
애틀랜타는	애틀랜타/NNP+는/JX
리그에서	리그/NNG+에서/JKB
둘째로	둘째/NR+로/JKB
많은	많/VA+은/ETM
57골을	57/SN+골/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
팬들에게	팬/NNG+들/XSN+에게/JKB
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
축구를	축구/NNG+를/JKO
선보이고	선보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.274.8.4
관중은 또 다른 관중을 부른다.

관중은	관중/NNG+은/JX
또	또/MAG
다른	다른/MMD
관중을	관중/NNG+을/JKO
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.274.8.5
시카고 트리뷴은 "축구를 잘 모르는 애틀랜타 시민들이 뜨거운 응원 열기를 느끼기 위해 경기장으로 간다. 팬들은 점점 더 늘고 있다"고 전했다.

시카고	시카고/NNP
트리뷴은	트리뷴/NNP+은/JX
"축구를	"/SS+축구/NNG+를/JKO
잘	잘/MAG
모르는	모르/VV+는/ETM
애틀랜타	애틀랜타/NNP
시민들이	시민/NNG+들/XSN+이/JKS
뜨거운	뜨겁/VA+ㄴ/ETM
응원	응원/NNG
열기를	열기/NNG+를/JKO
느끼기	느끼/VV+기/ETN
위해	위하/VV+아/EC
경기장으로	경기장/NNG+으로/JKB
간다.	가/VV+ㄴ다/EF+./SF
팬들은	팬/NNG+들/XSN+은/JX
점점	점점/MAG
더	더/MAG
늘고	늘/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


