# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.103
metadata : {}


# id : NWRW1800000049.103.1.1
[김지영 기자의 문학뜨락]인터넷세대 당기는 복간본 시집의 마력

[김지영	[/SS+김지영/NNP
사실이	사실/NNG+이/JKS
또	또/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.103.3.2
최근 교보문고 시집 베스트셀러 목록의 1, 2위에 올라와 있는 것은 윤동주 시인의 시집 ‘하늘과 바람과 별과 시(사진)’, 김소월 시인의 시집 ‘진달래꽃’이다.

최근	최근/NNG
교보문고	교보문고/NNP
시집	시집/NNG
베스트셀러	베스트셀러/NNG
목록의	목록/NNG+의/JKG
1,	1/SN+,/SP
2위에	2/SN+위/NNB+에/JKB
올라와	올라오/VV+아/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
윤동주	윤동주/NNP
시인의	시인/NNG+의/JKG
‘하늘과	‘/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시(사진)’,	시/NNG+(/SS+사진/NNG+)/SS+’/SS+,/SP
김소월	김소월/NNP
‘진달래꽃’이다.	‘/SS+진달래꽃/NNP+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.103.3.3
‘하늘과 바람과 별과 시’는 1948년 초판본에 유족들이 보관했던 원고를 더해 시인의 10주기인 1955년 발간된 증보판을 복간했다.

‘하늘과	‘/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시’는	시/NNG+’/SS+는/JX
1948년	1948/SN+년/NNB
초판본에	초판본/NNG+에/JKB
유족들이	유족/NNG+들/XSN+이/JKS
보관했던	보관/NNG+하/XSV+았/EP+던/ETM
원고를	원고/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
시인의	시인/NNG+의/JKG
10주기인	10/SN+주기/NNB+이/VCP+ㄴ/ETM
1955년	1955/SN+년/NNB
발간된	발간/NNG+되/XSV+ㄴ/ETM
증보판을	증보판/NNG+을/JKO
복간했다.	복간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.3.4
김소월 시인의 ‘진달래꽃’은 1925년 초판본을 복원했다.

김소월	김소월/NNP
시인의	시인/NNG+의/JKG
‘진달래꽃’은	‘/SS+진달래꽃/NNP+’/SS+은/JX
1925년	1925/SN+년/NNB
초판본을	초판본/NNG+을/JKO
복원했다.	복원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.3.5
91년 전 ‘진달래꽃’을 비롯해 모두 오래된 모양새를 되살린 것이다.

91년	91/SN+년/NNB
전	전/NNG
‘진달래꽃’을	‘/SS+진달래꽃/NNP+’/SS+을/JKO
비롯해	비롯하/VV+아/EC
모두	모두/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
모양새를	모양새/NNG+를/JKO
되살린	되살리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.103.4.1
계기가 있긴 하다.

계기가	계기/NNG+가/JKS
있긴	있/VA+기/ETN+ㄴ/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000049.103.4.2
지난해 11월 발간된 ‘진달래꽃’은 한 달 뒤 이 시집의 실제 초판본이 현대문학 경매 사상 최고가(1억3500만 원)에 낙찰되면서 관심이 커졌다.

지난해	지난해/NNG
11월	11/SN+월/NNB
발간된	발간/NNG+되/XSV+ㄴ/ETM
‘진달래꽃’은	‘/SS+진달래꽃/NNP+’/SS+은/JX
한	한/MMN
달	달/NNB
뒤	뒤/NNG
이	이/MMD
시집의	시집/NNG+의/JKG
실제	실제/NNG
초판본이	초판본/NNG+이/JKS
현대문학	현대/NNG+문학/NNG
경매	경매/NNG
사상	사상/NNG
최고가(1억3500만	최고/NNG+가/XSN+(/SS+1/SN+억/NR+3500/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
낙찰되면서	낙찰/NNG+되/XSV+면서/EC
관심이	관심/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.103.4.3
이달 초 출간된 ‘하늘과 바람과 별과 시’는 시인의 생애를 다룬 영화 ‘동주’의 개봉을 앞두고 주목받았다.

이달	이달/NNG
초	초/NNB
출간된	출간/NNG+되/XSV+ㄴ/ETM
‘하늘과	‘/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시’는	시/NNG+’/SS+는/JX
시인의	시인/NNG+의/JKG
생애를	생애/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
영화	영화/NNG
‘동주’의	‘/SS+동주/NNP+’/SS+의/JKG
개봉을	개봉/NNG+을/JKO
앞두고	앞두/VV+고/EC
주목받았다.	주목/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.4.4
단지 이런 배경 때문일까.

단지	단지/MAG
이런	이런/MMD
배경	배경/NNG
때문일까.	때문/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.103.4.5
인터넷서점에서 ‘하늘과 바람과 별과 시’를 검색하면 30∼40권에 이르는 시집이 뜬다.

인터넷서점에서	인터넷/NNG+서점/NNG+에서/JKB
‘하늘과	‘/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시’를	시/NNG+’/SS+를/JKO
검색하면	검색/NNG+하/XSV+면/EC
30∼40권에	30/SN+∼/SO+40/SN+권/NNB+에/JKB
이르는	이르/VV+는/ETM
시집이	시집/NNG+이/JKS
뜬다.	뜨/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.103.4.6
모두 시인 윤동주가 쓴 것이고 ‘별 헤는 밤’ ‘서시’ ‘십자가’ 등 실린 작품도 같다.

모두	모두/MAG
시인	시인/NNG
윤동주가	윤동주/NNP+가/JKS
쓴	쓰/VV+ㄴ/ETM
것이고	것/NNB+이/VCP+고/EC
‘별	‘/SS+별/NNG
헤는	헤/VV+는/ETM
밤’	밤/NNG+’/SS
‘서시’	‘/SS+서시/NNG+’/SS
‘십자가’	‘/SS+십자가/NNG+’/SS
등	등/NNB
실린	실리/VV+ㄴ/ETM
작품도	작품/NNG+도/JX
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.103.4.7
그런데 유달리 복간본에 열광하는 이유는 뭘까.

그런데	그런데/MAJ
유달리	유달리/MAG
복간본에	복간본/NNG+에/JKB
열광하는	열광/NNG+하/XSV+는/ETM
이유는	이유/NNG+는/JX
뭘까.	뭐/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.103.5.1
이 시집들을 복간한 김동근 소와다리출판사 대표와 얘기를 나눴다.

이	이/MMD
시집들을	시집/NNG+들/XSN+을/JKO
복간한	복간/NNG+하/XSV+ㄴ/ETM
김동근	김동근/NNP
소와다리출판사	소와다리/NNP+출판사/NNG
대표와	대표/NNG+와/JKB
얘기를	얘기/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.103.5.2
그는 “(구매자들이) 신기해하는 것 같다”고 말했다.

그는	그/NP+는/JX
“(구매자들이)	“/SS+(/SS+구매자/NNG+들/XSN+이/JKS+)/SS
신기해하는	신기하/VA+아/EC+하/VX+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.5.3
박물관에서나 보던 오래된 책을 자신이 소장하는 느낌을 갖는다는 것이다.

박물관에서나	박물관/NNG+에서/JKB+나/JX
보던	보/VV+던/ETM
오래된	오래/MAG+되/XSA+ㄴ/ETM
책을	책/NNG+을/JKO
자신이	자신/NNG+이/JKS
소장하는	소장/NNG+하/XSV+는/ETM
느낌을	느낌/NNG+을/JKO
갖는다는	갖/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.103.6.1
실제로 인터넷서점에는 “1920년대로부터 온 소포를 받은 느낌이어서 울컥했다” “사진 자료로만 보던 책을 갖게 돼 뿌듯하다”는 독자들의 소감이 올라와 있다.

실제로	실제로/MAG
인터넷서점에는	인터넷/NNG+서점/NNG+에/JKB+는/JX
“1920년대로부터	“/SS+1920/SN+년대/NNB+로부터/JKB
온	오/VV+ㄴ/ETM
소포를	소포/NNG+를/JKO
받은	받/VV+은/ETM
느낌이어서	느낌/NNG+이/VCP+어서/EC
울컥했다”	울컥/MAG+하/XSV+았/EP+다/EF+”/SS
“사진	“/SS+사진/NNG
자료로만	자료/NNG+로/JKB+만/JX
보던	보/VV+던/ETM
책을	책/NNG+을/JKO
갖게	갖/VV+게/EC
돼	되/VV+어/EC
뿌듯하다”는	뿌듯하/VA+다/EF+”/SS+는/ETM
독자들의	독자/NNG+들/XSN+의/JKG
소감이	소감/NNG+이/JKS
올라와	올라오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.103.6.2
김 대표는 “젊은 세대가 이 시집을 ‘팬시상품’으로 여기는 것 같다”고 했다.

김	김/NNP
대표는	대표/NNG+는/JX
“젊은	“/SS+젊/VA+은/ETM
세대가	세대/NNG+가/JKS
이	이/MMD
시집을	시집/NNG+을/JKO
‘팬시상품’으로	‘/SS+팬시상품/NNG+’/SS+으로/JKB
여기는	여기/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.6.3
‘하늘과 바람과 별과 시’의 경우 시집 구매자 중 20, 30대가 36%, 30, 40대가 34%로 전체 구매자의 70%에 이르렀다(교보문고 기준).

‘하늘과	‘/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시’의	시/NNG+’/SS+의/JKG
경우	경우/NNG
시집	시집/NNG
구매자	구매자/NNG
중	중/NNB
20,	20/SN+,/SP
30대가	30/SN+대/NNB+가/JKS
36%,	36/SN+%/SW+,/SP
30,	30/SN+,/SP
40대가	40/SN+대/NNB+가/JKS
34%로	34/SN+%/SW+로/JKB
전체	전체/NNG
구매자의	구매자/NNG+의/JKG
70%에	70/SN+%/SW+에/JKB
이르렀다(교보문고	이르/VV+었/EP+다/EF+(/SS+교보문고/NNP
기준).	기준/NNG+)/SS+./SF


# id : NWRW1800000049.103.7.1
평론가 이광호 서울예대 교수는 복간본 시집의 물성을 짚는다.

평론가	평론가/NNG
이광호	이광호/NNP
서울예대	서울예대/NNP
교수는	교수/NNG+는/JX
복간본	복간본/NNG
시집의	시집/NNG+의/JKG
물성을	물성/NNG+을/JKO
짚는다.	짚/VV+는다/EF+./SF


# id : NWRW1800000049.103.7.2
그는 “사실 복간본 시집에 실린 시들은 인터넷에서 검색만 하면 대개 접할 수 있고 교과서에서 배운 작품들이 대부분”이라며 “그런데 복간본의 ‘물성’이 인터넷 세대를 끌어당겼다”고 말했다.

그는	그/NP+는/JX
“사실	“/SS+사실/MAG
복간본	복간본/NNG
시집에	시집/NNG+에/JKB
실린	실리/VV+ㄴ/ETM
시들은	시/NNG+들/XSN+은/JX
인터넷에서	인터넷/NNG+에서/JKB
검색만	검색/NNG+만/JX
하면	하/VV+면/EC
대개	대개/MAG
접할	접하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
교과서에서	교과서/NNG+에서/JKB
배운	배우/VV+ㄴ/ETM
작품들이	작품/NNG+들/XSN+이/JKS
대부분”이라며	대/XPN+부분/NNG+”/SS+이/VCP+라며/EC
“그런데	“/SS+그런데/MAJ
복간본의	복간본/NNG+의/JKG
‘물성’이	‘/SS+물성/NNG+’/SS+이/JKS
인터넷	인터넷/NNG
세대를	세대/NNG+를/JKO
끌어당겼다”고	끌어당기/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.103.8.1
세로로 쓰인 시구나 ‘예전엔 밋처 몰낫섯요’ ‘못 니저’ 같은 옛 표기, 오래된 것처럼 누런색을 살린 표지 이미지 등이 그렇다.

세로로	세로/NNG+로/JKB
쓰인	쓰이/VV+ㄴ/ETM
시구나	시구/NNG+나/JC
‘예전엔	‘/SS+예전/NNG+에/JKB+ㄴ/JX
밋처	밋처/MAG
몰낫섯요’	몰낫섯요/NV+’/SS
‘못	‘/SS+못/MAG
니저’	닞/VV+어/EC+’/SS
같은	같/VA+은/ETM
옛	옛/MMA
표기,	표기/NNG+,/SP
오래된	오래/MAG+되/XSA+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
누런색을	누런색/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
표지	표지/NNG
이미지	이미지/NNG
등이	등/NNB+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000049.103.8.2
누구나 인터넷으로 시를 찾아볼 수 있는 시대에 사람들은 시집의 이런 물성을 향유하고 싶어 하는 것이다.

누구나	누구/NP+나/JX
인터넷으로	인터넷/NNG+으로/JKB
시를	시/NNG+를/JKO
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시대에	시대/NNG+에/JKB
사람들은	사람/NNG+들/XSN+은/JX
시집의	시집/NNG+의/JKG
이런	이런/MMD
물성을	물성/NNG+을/JKO
향유하고	향유/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.103.8.3
누구나 디지털 음원을 내려받을 수 있는 세상에 LP레코드나 카세트테이프 같이 손에 잡을 수 있는 물성에 열광하듯.

누구나	누구/NP+나/JX
디지털	디지털/NNG
음원을	음원/NNG+을/JKO
내려받을	내려받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
세상에	세상/NNG+에/JKB
LP레코드나	LP/SL+레코드/NNG+나/JC
카세트테이프	카세트테이프/NNG
같이	같이/MAG
손에	손/NNG+에/JKB
잡을	잡/VV+을/ETM
물성에	물성/NNG+에/JKB
열광하듯.	열광/NNG+하/XSV+듯/EC+./SF


