# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.162
metadata : {}


# id : NWRW1800000021.162.1.1
고고한?

고고한?	고고하/VA+ㄴ/ETM+?/SF
어기고	어기/VV+고/EC
날	나/NP+ㄹ/JKO
이	이/MMD
꼴로	꼴/NNG+로/JKB
만들었다”며	만들/VV+었/EP+다/EF+”/SS+며/EC
등을	등/NNG+을/JKO
돌리고	돌리/VV+고/EC
‘물주’가	‘/SS+물주/NNG+’/SS+가/JKC
될	되/VV+ㄹ/ETM
새	새/MMA
남자를	남자/NNG+를/JKO
유혹한다.	유혹/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.162.2.5
이쯤 되면 새로운 악녀 탄생이다.

이쯤	이쯤/MAG
되면	되/VV+면/EC
새로운	새롭/VA+ㄴ/ETM
악녀	악녀/NNG
탄생이다.	탄생/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.2.6
더 놀라운 점은 백성희를 연기하는 배우가 ‘고고한, 우아한’ 같은 수식어가 늘 따라붙는 김미숙(50)이라는 점이다.

더	더/MAG
놀라운	놀랍/VA+ㄴ/ETM
점은	점/NNG+은/JX
백성희를	백성희/NNP+를/JKO
연기하는	연기/NNG+하/XSV+는/ETM
배우가	배우/NNG+가/JKS
‘고고한,	‘/SS+고고하/VA+ㄴ/ETM+,/SP
우아한’	우아하/VA+ㄴ/ETM+’/SS
같은	같/VA+은/ETM
수식어가	수식어/NNG+가/JKS
늘	늘/MAG
따라붙는	따라붙/VV+는/ETM
김미숙(50)이라는	김미숙/NNP+(/SS+50/SN+)/SS+이/VCP+라는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.2.7
김미숙이 악역을 맡은 것은 1979년 KBS 드라마 ‘동심초’로 데뷔한 이래 처음이다.

김미숙이	김미숙/NNP+이/JKS
악역을	악역/NNG+을/JKO
맡은	맡/VV+은/ETM
것은	것/NNB+은/JX
1979년	1979/SN+년/NNB
KBS	KBS/SL
드라마	드라마/NNG
‘동심초’로	‘/SS+동심초/NNP+’/SS+로/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.2.8
15일 오전 서울 강남구 신사동의 한 카페에서 김미숙을 만났다.》

15일	15/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
강남구	강남구/NNP
신사동의	신사동/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
김미숙을	김미숙/NNP+을/JKO
만났다.》	만나/VV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000021.162.3.1
“백성희 역을 하겠다고 하니 주변 사람들이 ‘CF 다 떨어질 것이다.

“백성희	“/SS+백성희/NNP
역을	역/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
하니	하/VV+니/EC
주변	주변/NNG
사람들이	사람/NNG+들/XSN+이/JKS
‘CF	‘/SS+CF/SL
다	다/MAG
떨어질	떨어지/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.3.2
30년 동안 쌓아온 이미지가 나빠지고 욕을 먹을 수도 있다’며 말리더라고요.”

30년	30/SN+년/NNB
동안	동안/NNG
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
나빠지고	나빠지/VV+고/EC
욕을	욕/NNG+을/JKO
먹을	먹/VV+을/ETM
수도	수/NNB+도/JX
있다’며	있/VA+다/EF+’/SS+며/EC
말리더라고요.”	말리/VV+더라고/EF+요/JX+./SF+”/SS


# id : NWRW1800000021.162.4.1
‘찬란한 유산’은 중견 설렁탕 기업의 망나니 후계자 선우환(이승기)과 계모에게 버림받은 착한 아가씨 고은성(한효주)을 중심으로 전개된다.

‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’은	유산/NNG+’/SS+은/JX
중견	중견/NNG
설렁탕	설렁탕/NNG
기업의	기업/NNG+의/JKG
망나니	망나니/NNG
후계자	후계자/NNG
선우환(이승기)과	선우환/NNP+(/SS+이승기/NNP+)/SS+과/JC
계모에게	계모/NNG+에게/JKB
버림받은	버림받/VV+은/ETM
착한	착하/VA+ㄴ/ETM
아가씨	아가씨/NNG
고은성(한효주)을	고은성/NNP+(/SS+한효주/NNP+)/SS+을/JKO
중심으로	중심/NNG+으로/JKB
전개된다.	전개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.162.4.2
16, 17일(7, 8회) 평균 시청률이 26.6%(TNS미디어코리아)로 지난주 전체 프로그램 2위에 올랐다.

16,	16/SN+,/SP
17일(7,	17/SN+일/NNB+(/SS+7/SN+,/SP
8회)	8/SN+회/NNB+)/SS
평균	평균/NNG
시청률이	시청/NNG+률/XSN+이/JKS
26.6%(TNS미디어코리아)로	26/SN+./SP+6/SN+%/SW+(/SS+TNS/SL+미디어코리아/NNP+)/SS+로/JKB
지난주	지난주/NNG
전체	전체/NNG
프로그램	프로그램/NNG
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.5.1
그 인기의 배경에는 ‘현실감 있는 악역’ 백성희를 연기하는 김미숙의 힘이 한몫했다는 평이다.

그	그/MMD
인기의	인기/NNG+의/JKG
배경에는	배경/NNG+에/JKB+는/JX
‘현실감	‘/SS+현실감/NNG
있는	있/VA+는/ETM
악역’	악역/NNG+’/SS
백성희를	백성희/NNP+를/JKO
연기하는	연기/NNG+하/XSV+는/ETM
김미숙의	김미숙/NNP+의/JKG
힘이	힘/NNG+이/JKS
한몫했다는	한몫/NNG+하/XSV+았/EP+다는/ETM
평이다.	평/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.5.2
드라마 게시판에는 “악한 모습을 숨기며 조용히 드러내는 폭발적인 ‘포스’가 최고” 등의 평이 올라왔다.

드라마	드라마/NNG
게시판에는	게시판/NNG+에/JKB+는/JX
“악한	“/SS+악/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
숨기며	숨기/VV+며/EC
조용히	조용히/MAG
드러내는	드러내/VV+는/ETM
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
‘포스’가	‘/SS+포스/NNG+’/SS+가/JKS
최고”	최고/NNG+”/SS
등의	등/NNB+의/JKG
평이	평/NNG+이/JKS
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.5.3
극중 어떤 얘기라도 다 들어줄 것처럼 선한 표정을 짓다가 순식간에 “(남편을) 잊어야 돼! 그래야 내가 살아”라고 소리치는 모습은 섬뜩하기까지 하다.

극중	극/NNG+중/NNB
어떤	어떤/MMD
얘기라도	얘기/NNG+이/VCP+라도/EC
다	다/MAG
들어줄	듣/VV+어/EC+주/VX+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
선한	선/NNG+하/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
짓다가	짓/VV+다가/EC
순식간에	순식/NNG+간/XSN+에/JKB
“(남편을)	“/SS+(/SS+남편/NNG+을/JKO+)/SS
잊어야	잊/VV+어야/EC
돼!	되/VV+어/EF+!/SF
그래야	그렇/VA+어야/EC
내가	내/NP+가/JKS
살아”라고	살/VV+아/EF+”/SS+라고/JKQ
소리치는	소리치/VV+는/ETM
모습은	모습/NNG+은/JX
섬뜩하기까지	섬뜩/MAG+하/XSA+기/ETN+까지/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000021.162.6.1
김미숙은 극중 백성희의 최후에 대해 “병에 걸려 지난 잘못을 반성하는 식은 재미없다”며 “감옥에 가건 자살을 하건 끝까지 악한 여자로 자존심을 지키며 인생을 스스로 정리하는 모습을 보여줬으면 좋겠다”고 말했다.

김미숙은	김미숙/NNP+은/JX
극중	극/NNG+중/NNB
백성희의	백성희/NNP+의/JKG
최후에	최후/NNG+에/JKB
대해	대하/VV+아/EC
“병에	“/SS+병/NNG+에/JKB
걸려	걸리/VV+어/EC
지난	지나/VV+ㄴ/ETM
잘못을	잘못/NNG+을/JKO
반성하는	반성/NNG+하/XSV+는/ETM
식은	식/NNB+은/JX
재미없다”며	재미없/VA+다/EF+”/SS+며/EC
“감옥에	“/SS+감옥/NNG+에/JKB
가건	가/VV+건/EC
자살을	자살/NNG+을/JKO
하건	하/VV+건/EC
끝까지	끝/NNG+까지/JX
악한	악/NNG+하/XSA+ㄴ/ETM
여자로	여자/NNG+로/JKB
자존심을	자존심/NNG+을/JKO
지키며	지키/VV+며/EC
인생을	인생/NNG+을/JKO
스스로	스스로/MAG
정리하는	정리/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여줬으면	보이/VV+어/EC+주/VX+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.7.1
김미숙의 실제 모습은 어떨까.

김미숙의	김미숙/NNP+의/JKG
실제	실제/NNG
모습은	모습/NNG+은/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000021.162.7.2
플루트 연주가 그의 특기로 알려져 있지만 김미숙은 “실제로는 그만둔 지 오래”라고 말했다.

플루트	플루트/NNG
연주가	연주/NNG+가/JKS
그의	그/NP+의/JKG
특기로	특기/NNG+로/JKB
알려져	알려지/VV+어/EC
있지만	있/VX+지만/EC
김미숙은	김미숙/NNP+은/JX
“실제로는	“/SS+실제로/MAG+는/JX
그만둔	그만두/VV+ㄴ/ETM
지	지/NNB
오래”라고	오래/MAG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.7.3
좋아하는 술은 와인이 아니라 맥주나 소주와 맥주를 섞은 폭탄주.

좋아하는	좋아하/VV+는/ETM
술은	술/NNG+은/JX
와인이	와인/NNG+이/JKC
아니라	아니/VCN+라/EC
맥주나	맥주/NNG+나/JC
소주와	소주/NNG+와/JC
맥주를	맥주/NNG+를/JKO
섞은	섞/VV+은/ETM
폭탄주.	폭탄주/NNG+./SF


# id : NWRW1800000021.162.7.4
김미숙은 “KBS 1FM ‘세상의 모든 음악’을 진행할 때 남편이 방송을 듣다가 ‘남들은 당신의 이런 모습밖에 모르겠지’라며 웃었어요”라고 말했다.

김미숙은	김미숙/NNP+은/JX
“KBS	“/SS+KBS/SL
1FM	1/SN+FM/SL
‘세상의	‘/SS+세상/NNG+의/JKG
모든	모든/MMN
음악’을	음악/NNG+’/SS+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
때	때/NNG
남편이	남편/NNG+이/JKS
방송을	방송/NNG+을/JKO
듣다가	듣/VV+다가/EC
‘남들은	‘/SS+남/NNG+들/XSN+은/JX
당신의	당신/NP+의/JKG
이런	이런/MMD
모습밖에	모습/NNG+밖에/JX
모르겠지’라며	모르/VV+겠/EP+지/EF+’/SS+이/VCP+라며/EC
웃었어요”라고	웃/VV+었/EP+어요/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.8.1
“고등학교 시절부터 장래 희망이 배우였어요.

“고등학교	“/SS+고등학교/NNG
시절부터	시절/NNG+부터/JX
장래	장래/NNG
희망이	희망/NNG+이/JKS
배우였어요.	배우/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000021.162.8.2
시낭송회나 연극 보러 다니고 잘난 척하고 말 없는 학생이었죠.

시낭송회나	시/NNG+낭송회/NNG+나/JC
연극	연극/NNG
보러	보/VV+러/EC
다니고	다니/VV+고/EC
잘난	잘나/VV+ㄴ/ETM
척하고	척/NNB+하/XSV+고/EC
말	말/NNG
없는	없/VA+는/ETM
학생이었죠.	학생/NNG+이/VCP+었/EP+죠/EF+./SF


# id : NWRW1800000021.162.8.3
도도하고 속내를 잘 안 드러내는 것은 백성희와 닮았네요.

도도하고	도도하/VA+고/EC
속내를	속내/NNG+를/JKO
잘	잘/MAG
안	안/MAG
드러내는	드러내/VV+는/ETM
것은	것/NNB+은/JX
백성희와	백성희/NNP+와/JKB
닮았네요.	닮/VV+았/EP+네/EF+요/JX+./SF


# id : NWRW1800000021.162.8.4
책가방에 도시락을 같이 넣거나 도시락 가방을 따로 들고 다니는 것 모두 여고생으로서 예뻐 보이지 않을 것 같아 1년 반 동안 도시락을 안 싸갔어요.

책가방에	책가방/NNG+에/JKB
도시락을	도시락/NNG+을/JKO
같이	같이/MAG
넣거나	넣/VV+거나/EC
도시락	도시락/NNG
가방을	가방/NNG+을/JKO
따로	따로/MAG
들고	들/VV+고/EC
다니는	다니/VV+는/ETM
것	것/NNB
모두	모두/MAG
여고생으로서	여고/NNG+생/XSN+으로서/JKB
예뻐	예쁘/VA+어/EC
보이지	보이/VV+지/EC
않을	않/VX+을/ETM
같아	같/VA+아/EC
1년	1/SN+년/NNB
반	반/NNG
동안	동안/NNG
안	안/MAG
싸갔어요.	싸/VV+아/EC+가/VX+았/EP+어요/EF+./SF


# id : NWRW1800000021.162.8.5
점심을 같이 먹지 않아 ‘왕따’를 당한 적도 있어요.”

점심을	점심/NNG+을/JKO
같이	같이/MAG
먹지	먹/VV+지/EC
않아	않/VX+아/EC
‘왕따’를	‘/SS+왕따/NNG+’/SS+를/JKO
당한	당하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있어요.”	있/VA+어요/EF+./SF+”/SS


# id : NWRW1800000021.162.9.1
자신의 성격에 대해선 “드라마 ‘로비스트’에서 팜파탈이었던 ‘채 마담’ 캐릭터가 절반가량, ‘사랑해 울지 마’의 푼수 문신자 캐릭터가 20%”라고 말했다.

자신의	자신/NNG+의/JKG
성격에	성격/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“드라마	“/SS+드라마/NNG
‘로비스트’에서	‘/SS+로비스트/NNG+’/SS+에서/JKB
팜파탈이었던	팜/NNG+파탈/NNG+이/VCP+었/EP+던/ETM
‘채	‘/SS+채/NNP
마담’	마담/NNG+’/SS
캐릭터가	캐릭터/NNG+가/JKS
절반가량,	절반/NNG+가량/XSN+,/SP
‘사랑해	‘/SS+사랑/NNG+하/XSV+아/EC
울지	울/VV+지/EC
마’의	말/VX+아/EF+’/SS+의/JKG
푼수	푼수/NNG
문신자	문신자/NNP
20%”라고	20/SN+%/SW+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.9.2
나머지 30%는 “저도 잘 모르지만 덜렁거리는 모습”이란다.

나머지	나머지/NNG
30%는	30/SN+%/SW+는/JX
“저도	“/SS+저/NP+도/JX
잘	잘/MAG
모르지만	모르/VV+지만/EC
덜렁거리는	덜렁거리/VV+는/ETM
모습”이란다.	모습/NNG+”/SS+이라/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.162.10.1
1998년 결혼한 남편 얘기를 꺼내자 “노처녀 구제했지, 아들딸 갖게 해줬지, 배우 생활 외조 잘해주지, 뭘 더 바라요?”라고 말하면서도 싸울 때는 “내가 필요한 순간에 날 좀 봐줘!”라며 화를 낸다고 했다.

1998년	1998/SN+년/NNB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
남편	남편/NNG
얘기를	얘기/NNG+를/JKO
꺼내자	꺼내/VV+자/EC
“노처녀	“/SS+노/XPN+처녀/NNG
구제했지,	구제/NNG+하/XSV+았/EP+지/EF+,/SP
아들딸	아들딸/NNG
갖게	갖/VV+게/EC
해줬지,	하/VX+아/EC+주/VX+었/EP+지/EF+,/SP
배우	배우/NNG
생활	생활/NNG
외조	외조/NNG
잘해주지,	잘/MAG+하/XSV+아/EC+주/VX+지/EF+,/SP
뭘	뭐/NP+ㄹ/JKO
더	더/MAG
바라요?”라고	바라/VV+아요/EF+?/SF+”/SS+라고/JKQ
말하면서도	말/NNG+하/XSV+면서/EC+도/JX
싸울	싸우/VV+ㄹ/ETM
때는	때/NNG+는/JX
“내가	“/SS+내/NP+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
순간에	순간/NNG+에/JKB
날	나/NP+ㄹ/JKO
좀	좀/MAG
봐줘!”라며	보/VV+아/EC+주/VX+어/EF+!/SF+”/SS+이/VCP+라며/EC
화를	화/NNG+를/JKO
낸다고	내/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.162.10.2
실제처럼 해달라고 부탁하자 극중 백성희의 싸늘한 얼굴을 금세 지어보였다.

실제처럼	실제/NNG+처럼/JKB
해달라고	하/VV+아/EC+달/VX+라고/EC
부탁하자	부탁/NNG+하/XSV+자/EC
극중	극/NNG+중/NNB
백성희의	백성희/NNP+의/JKG
싸늘한	싸늘하/VA+ㄴ/ETM
얼굴을	얼굴/NNG+을/JKO
금세	금세/MAG
지어보였다.	짓/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.162.11.1
그에게 인간의 악한 면을 어떻게 볼 수 있을지 물었다.

그에게	그/NP+에게/JKB
인간의	인간/NNG+의/JKG
악한	악/NNG+하/XSA+ㄴ/ETM
면을	면/NNG+을/JKO
어떻게	어떻/VA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.162.12.1
“사람 생각은 종이 한 장 차이죠.

“사람	“/SS+사람/NNG
생각은	생각/NNG+은/JX
종이	종이/NNG
한	한/MMN
장	장/NNB
차이죠.	차이/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000021.162.12.2
처음부터 악한 사람이 어디 있겠어요.

처음부터	처음/NNG+부터/JX
악한	악/NNG+하/XSA+ㄴ/ETM
사람이	사람/NNG+이/JKS
어디	어디/NP
있겠어요.	있/VA+겠/EP+어요/EF+./SF


# id : NWRW1800000021.162.12.3
첫 단추를 잘못 끼웠어도 다시 풀고 채울 수 있는 것 아닐까요?

첫	첫/MMN
단추를	단추/NNG+를/JKO
잘못	잘못/MAG
끼웠어도	끼우/VV+었/EP+어도/EC
다시	다시/MAG
풀고	풀/VV+고/EC
채울	채우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것	것/NNB
아닐까요?	아니/VCN+ㄹ까/EF+요/JX+?/SF


# id : NWRW1800000021.162.12.4
기자분은 백성희 말고 저처럼 좋은 여자를 만나세요.

기자분은	기자분/NNG+은/JX
백성희	백성희/NNP
말고	말/VV+고/EC
저처럼	저/NP+처럼/JKB
좋은	좋/VA+은/ETM
여자를	여자/NNG+를/JKO
만나세요.	만나/VV+시/EP+어요/EF+./SF


# id : NWRW1800000021.162.12.5
하하하.

하하하.	하하하/IC+./SF


# id : NWRW1800000021.162.12.6
오늘 인터뷰 때문에 안티 팬이 생기는 것 아냐?”

오늘	오늘/NNG
인터뷰	인터뷰/NNG
때문에	때문/NNB+에/JKB
안티	안티/NNG
팬이	팬/NNG+이/JKS
생기는	생기/VV+는/ETM
것	것/NNB
아냐?”	아니/VCN+야/EF+?/SF+”/SS


