# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.110
metadata : {}


# id : NWRW1800000041.110.1.1
태아 장기 형성되는 4개월간 파마 금물… 임신 초기 산모 ‘필수 건강지침’

태아	태아/NNG
유발한다고	유발/NNG+하/XSV+ㄴ다고/EC
단정	단정/NNG
짓긴	짓/VV+기/ETN+ㄴ/JX
어렵지만	어렵/VA+지만/EC
저체중아를	저체중아/NNG+를/JKO
낳은	낳/VV+은/ETM
여성들은	여성/NNG+들/XSN+은/JX
위의	위/NNG+의/JKG
위험요소에	위험/NNG+요소/NNG+에/JKB
노출됐다고	노출/NNG+되/XSV+었/EP+다고/EC
응답한	응답/NNG+하/XSV+ㄴ/ETM
비율이	비율/NNG+이/JKS
더	더/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.110.5.1
예를 들어 임신 초기에 커피를 하루에 2잔 이상 마셨다는 비율은 정상아를 낳은 산모 중에는 27.3%였지만, 저체중아를 낳은 산모 중에서는 43.9%였다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
임신	임신/NNG
초기에	초기/NNG+에/JKB
커피를	커피/NNG+를/JKO
하루에	하루/NNG+에/JKB
2잔	2/SN+잔/NNG
이상	이상/NNG
마셨다는	마시/VV+었/EP+다는/ETM
비율은	비율/NNG+은/JX
정상아를	정상아/NNG+를/JKO
낳은	낳/VV+은/ETM
산모	산모/NNG
중에는	중/NNB+에/JKB+는/JX
27.3%였지만,	27/SN+./SP+3/SN+%/SW+이/VCP+었/EP+지만/EC+,/SP
저체중아를	저체중아/NNG+를/JKO
중에서는	중/NNB+에서/JKB+는/JX
43.9%였다.	43/SN+./SP+9/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.110.5.2
간접흡연에 노출됐다는 비율도 정상아 산모와 저체중아 산모가 각각 24.2%, 38.3%로 차이가 났다.

간접흡연에	간접흡연/NNG+에/JKB
노출됐다는	노출/NNG+되/XSV+었/EP+다는/ETM
비율도	비율/NNG+도/JX
정상아	정상아/NNG
산모와	산모/NNG+와/JC
저체중아	저체중아/NNG
산모가	산모/NNG+가/JKS
각각	각각/MAG
24.2%,	24/SN+./SP+2/SN+%/SW+,/SP
38.3%로	38/SN+./SP+3/SN+%/SW+로/JKB
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.110.6.1
전체 응답자들 중 엽산을 복용한 비율은 절반 이하인 43.5%에 그쳤다.

전체	전체/NNG
응답자들	응답자/NNG+들/XSN
중	중/NNB
엽산을	엽산/NNG+을/JKO
복용한	복용/NNG+하/XSV+ㄴ/ETM
비율은	비율/NNG+은/JX
절반	절반/NNG
이하인	이하/NNG+이/VCP+ㄴ/ETM
43.5%에	43/SN+./SP+5/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.110.6.2
엽산은 태아의 신경관이 정상적으로 발달하도록 돕는다.

엽산은	엽산/NNG+은/JX
태아의	태아/NNG+의/JKG
신경관이	신경관/NNG+이/JKS
정상적으로	정상/NNG+적/XSN+으로/JKB
발달하도록	발달/NNG+하/XSV+도록/EC
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000041.110.6.3
또 임신 중 건강관리에 대해 부정확한 정보에 의존하는 비율도 높았다.

또	또/MAG
임신	임신/NNG
중	중/NNB
건강관리에	건강/NNG+관리/NNG+에/JKB
대해	대하/VV+아/EC
부정확한	부/XPN+정확/NNG+하/XSA+ㄴ/ETM
정보에	정보/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
비율도	비율/NNG+도/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.110.6.4
응답자의 44.1%는 인터넷을 통해 정보를 얻었다고 답했다.

응답자의	응답자/NNG+의/JKG
44.1%는	44/SN+./SP+1/SN+%/SW+는/JX
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
정보를	정보/NNG+를/JKO
얻었다고	얻/VV+었/EP+다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.110.6.5
병원상담을 통해 얻는다는 비율은 17.2%에 그쳤다.

병원상담을	병원/NNG+상담/NNG+을/JKO
통해	통하/VV+아/EC
얻는다는	얻/VV+는다는/ETM
비율은	비율/NNG+은/JX
17.2%에	17/SN+./SP+2/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.110.7.1
그렇다면 초기 임신부들은 어떻게 건강관리를 해야 할까.

그렇다면	그렇/VA+다면/EC
초기	초기/NNG
임신부들은	임신부/NNG+들/XSN+은/JX
어떻게	어떻/VA+게/EC
건강관리를	건강/NNG+관리/NNG+를/JKO
해야	하/VV+아야/EC
할까.	하/VX+ㄹ까/EF+./SF


# id : NWRW1800000041.110.7.2
제일병원 주산기과 의료진은 아래와 같이 조언했다.

제일병원	제일병원/NNP
주산기과	주산기과/NNG
의료진은	의료진/NNG+은/JX
아래와	아래/NNG+와/JKB
같이	같이/MAG
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.110.8.1
우선 진한 커피나 차, 콜라 등은 피해야 한다.

우선	우선/MAG
진한	진하/VA+ㄴ/ETM
커피나	커피/NNG+나/JC
차,	차/NNG+,/SP
콜라	콜라/NNG
등은	등/NNB+은/JX
피해야	피하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.110.8.2
다만 커피나 차를 한 번에 반 잔 이하씩, 하루 한두 번 마시는 건 괜찮다.

다만	다만/MAG
커피나	커피/NNG+나/JC
차를	차/NNG+를/JKO
한	한/MMN
번에	번/NNB+에/JKB
반	반/NNG
잔	잔/NNG
이하씩,	이하/NNG+씩/XSN+,/SP
하루	하루/NNG
한두	한두/MMN
번	번/NNB
마시는	마시/VV+는/ETM
건	거/NNB+ㄴ/JX
괜찮다.	괜찮/VA+다/EF+./SF


# id : NWRW1800000041.110.8.3
짜고 자극적인 음식도 피한다.

짜고	짜/VV+고/EC
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
음식도	음식/NNG+도/JX
피한다.	피하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.110.8.4
식사는 한꺼번에 많이 먹기보다는 조금씩 자주 먹는다.

식사는	식사/NNG+는/JX
한꺼번에	한꺼번에/MAG
많이	많이/MAG
먹기보다는	먹/VV+기/ETN+보다/JKB+는/JX
조금씩	조금/NNG+씩/XSN
자주	자주/MAG
먹는다.	먹/VV+는다/EF+./SF


# id : NWRW1800000041.110.8.5
과일과 채소를 꾸준히 섭취한다.

과일과	과일/NNG+과/JC
채소를	채소/NNG+를/JKO
꾸준히	꾸준히/MAG
섭취한다.	섭취/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.110.8.6
엽산은 시판되는 산전비타민으로도 해결할 수 있지만 시금치, 오렌지, 콩, 곡물, 파스타, 딸기, 양배추, 소와 닭의 간, 밀 등의 자연식품을 통해서도 섭취할 수 있다.

엽산은	엽산/NNG+은/JX
시판되는	시판/NNG+되/XSV+는/ETM
산전비타민으로도	산전/NNG+비타민/NNG+으로/JKB+도/JX
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
시금치,	시금치/NNG+,/SP
오렌지,	오렌지/NNG+,/SP
콩,	콩/NNG+,/SP
곡물,	곡물/NNG+,/SP
파스타,	파스타/NNG+,/SP
딸기,	딸기/NNG+,/SP
양배추,	양배추/NNG+,/SP
소와	소/NNG+와/JC
닭의	닭/NNG+의/JKG
간,	간/NNG+,/SP
밀	밀/NNG
등의	등/NNB+의/JKG
자연식품을	자연식품/NNG+을/JKO
통해서도	통하/VV+아서/EC+도/JX
섭취할	섭취/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.110.8.7
임신 중에 엽산이 부족하면 피곤, 무기력, 신경과민 등의 증상이 나타날 수 있다.

임신	임신/NNG
중에	중/NNB+에/JKB
엽산이	엽산/NNG+이/JKS
부족하면	부족/NNG+하/XSA+면/EC
피곤,	피곤/NNG+,/SP
무기력,	무/XPN+기력/NNG+,/SP
신경과민	신경과민/NNG
등의	등/NNB+의/JKG
증상이	증상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.110.9.1
임신 중에 파마는 어떨까.

임신	임신/NNG
중에	중/NNB+에/JKB
파마는	파마/NNG+는/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000041.110.9.2
사실 한두 번 파마를 한다고 해서 기형아가 유발된다고 보긴 어렵다.

사실	사실/MAG
한두	한두/MMN
번	번/NNB
파마를	파마/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
해서	하/VX+아서/EC
기형아가	기형아/NNG+가/JKS
유발된다고	유발/NNG+되/XSV+ㄴ다고/EC
보긴	보/VV+기/ETN+ㄴ/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.110.9.3
다만 오랫동안 파마약에 노출되면 유산과 조산의 위험이 조금 높다고 보고된 적은 있다.

다만	다만/MAG
오랫동안	오랫동안/NNG
파마약에	파마/NNG+약/NNG+에/JKB
노출되면	노출/NNG+되/XSV+면/EC
유산과	유산/NNG+과/JC
조산의	조산/NNG+의/JKG
위험이	위험/NNG+이/JKS
조금	조금/MAG
높다고	높/VA+다고/EC
보고된	보고/NNG+되/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.110.9.4
임신 4개월까지는 태아의 장기가 형성되므로 파마를 피하는 게 좋다.

임신	임신/NNG
4개월까지는	4/SN+개월/NNB+까지/JX+는/JX
태아의	태아/NNG+의/JKG
장기가	장기/NNG+가/JKS
형성되므로	형성/NNG+되/XSV+므로/EC
파마를	파마/NNG+를/JKO
피하는	피하/VV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000041.110.10.1
사우나에서의 열탕 목욕, 욕조 목욕은 자제하는 게 좋다.

사우나에서의	사우나/NNG+에서/JKB+의/JKG
열탕	열탕/NNG
목욕,	목욕/NNG+,/SP
욕조	욕조/NNG
목욕은	목욕/NNG+은/JX
자제하는	자제/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000041.110.10.2
체온이 38.9도 이상으로 높게 올라가면 태아의 뇌중추 신경계에 이상을 일으켜서 자연 유산을 하거나 기형아를 출산할 위험이 높아질 수 있다.

체온이	체온/NNG+이/JKS
38.9도	38/SN+./SP+9/SN+도/NNB
이상으로	이상/NNG+으로/JKB
높게	높/VA+게/EC
올라가면	올라가/VV+면/EC
태아의	태아/NNG+의/JKG
뇌중추	뇌/NNG+중추/NNG
신경계에	신경/NNG+계/XSN+에/JKB
이상을	이상/NNG+을/JKO
일으켜서	일으키/VV+어서/EC
자연	자연/NNG
유산을	유산/NNG+을/JKO
하거나	하/VV+거나/EC
기형아를	기형아/NNG+를/JKO
출산할	출산/NNG+하/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.110.10.3
목욕을 할 땐 온도 조절에 각별히 신경 써야 한다.

목욕을	목욕/NNG+을/JKO
할	하/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
온도	온도/NNG
조절에	조절/NNG+에/JKB
각별히	각별히/MAG
신경	신경/NNG
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


