# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.163
metadata : {}


# id : NWRW1800000026.163.1.1
교통 나아지면 집값도 나아질까;새 도로·철도 생기면 인근지역 부동산엔 호재

교통	교통/NNG
인천도시개발공사가	인천도시개발공사/NNP+가/JKS
아파트	아파트/NNG
1220가구를	1220/SN+가구/NNG+를/JKO
분양할	분양/NNG+하/XSV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC
영종	영종/NNP
지구에서는	지구/NNG+에서/JKB+는/JX
말까지	말/NNB+까지/JX
4700여	4700/SN+여/XSN
가구가	가구/NNG+가/JKS
공급될	공급/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.9.1
◆파주신도시 교통여건 개선 전망… 제2자유로 개통

◆파주신도시	◆/SW+파주신도시/NNP
교통여건	교통/NNG+여건/NNG
개선	개선/NNG
전망…	전망/NNG+…/SE
제2자유로	제2자유로/NNP
개통	개통/NNG


# id : NWRW1800000026.163.10.1
파주신도시와 서울 마포구 상암동을 잇는 제2자유로도 내달 말 부분적으로 개통될 예정이다.

파주신도시와	파주신도시/NNP+와/JC
서울	서울/NNP
마포구	마포구/NNP
상암동을	상암동/NNP+을/JKO
잇는	잇/VV+는/ETM
제2자유로도	제2자유로/NNP+도/JX
내달	내달/NNG
말	말/NNB
부분적으로	부분/NNG+적/XSN+으로/JKB
개통될	개통/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.10.2
제2자유로 개통으로 지금까지 고양시 일산신도시, 파주신도시 주민들의 이동 수요를 감당하지 못했던 자유로의 정체가 크게 개선될 전망이다.

제2자유로	제2자유로/NNP
개통으로	개통/NNG+으로/JKB
지금까지	지금/NNG+까지/JX
고양시	고양시/NNP
일산신도시,	일산신도시/NNP+,/SP
파주신도시	파주신도시/NNP
주민들의	주민/NNG+들/XSN+의/JKG
이동	이동/NNG
수요를	수요/NNG+를/JKO
감당하지	감당/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
자유로의	자유로/NNP+의/JKG
정체가	정체/NNG+가/JKS
크게	크/VA+게/EC
개선될	개선/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.11.1
한라건설이 하반기 중 교하신도시 22블록에 총 823가구를 분양하는 등 올해 말까지 이 지역에서는 총 7000여 가구가 공급될 예정이다.

한라건설이	한라건설/NNP+이/JKS
하반기	하반기/NNG
중	중/NNB
교하신도시	교하신도시/NNP
22블록에	22/SN+블록/NNG+에/JKB
총	총/MMA
823가구를	823/SN+가구/NNG+를/JKO
분양하는	분양/NNG+하/XSV+는/ETM
등	등/NNB
올해	올해/NNG
말까지	말/NNB+까지/JX
이	이/MMD
지역에서는	지역/NNG+에서/JKB+는/JX
7000여	7000/SN+여/XSN
가구가	가구/NNG+가/JKS
공급될	공급/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.11.2
지난달 시흥시 고잔동과 논곡동 구간을 개통한 제3경인고속도로는 내달 고잔동과 인천 논현지구 구간까지 개통될 예정이다.

지난달	지난달/NNG
시흥시	시흥시/NNP
고잔동과	고잔동/NNP+과/JC
논곡동	논곡동/NNP
구간을	구간/NNG+을/JKO
개통한	개통/NNG+하/XSV+ㄴ/ETM
제3경인고속도로는	제3경인고속도로/NNP+는/JX
내달	내달/NNG
인천	인천/NNP
논현지구	논현지구/NNP
구간까지	구간/NNG+까지/JX
개통될	개통/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.11.3
이 도로는 인천대교와 송도해안도로와도 연결돼 인천지역 경제자유구역의 교통여건 개선에 큰 도움이 될 것으로 보인다.

이	이/MMD
도로는	도로/NNG+는/JX
인천대교와	인천대교/NNP+와/JC
송도해안도로와도	송도해안도로/NNP+와/JKB+도/JX
연결돼	연결/NNG+되/XSV+어/EC
인천지역	인천지역/NNP
경제자유구역의	경제/NNG+자유/NNG+구역/NNG+의/JKG
교통여건	교통/NNG+여건/NNG
개선에	개선/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.12.1
중앙선 망우역에서 춘천역 사이를 잇는 경춘선 복선화 사업도 올해 말까지 마무리돼 개통을 앞두고 있다.

중앙선	중앙선/NNG
망우역에서	망우역/NNP+에서/JKB
춘천역	춘천역/NNP
사이를	사이/NNG+를/JKO
잇는	잇/VV+는/ETM
경춘선	경춘선/NNP
복선화	복선/NNG+화/XSN
사업도	사업/NNG+도/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
마무리돼	마무리/NNG+되/XSV+어/EC
개통을	개통/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.163.12.2
우미건설은 남양주시 별내지구 A3-2블록과 18블록에서 1297가구를 오는 8월부터 공급하며 남양주 도농동에서는 동부건설이 '동부센트레빌' 457가구를 오는 9월 분양한다.

우미건설은	우미건설/NNP+은/JX
남양주시	남양주시/NNP
별내지구	별내지구/NNP
A3-2블록과	A/SL+3/SN+-/SO+2/SN+블록/NNG+과/JC
18블록에서	18/SN+블록/NNG+에서/JKB
1297가구를	1297/SN+가구/NNG+를/JKO
오는	오/VV+는/ETM
8월부터	8/SN+월/NNB+부터/JX
공급하며	공급/NNG+하/XSV+며/EC
남양주	남양주/NNP
도농동에서는	도농동/NNP+에서/JKB+는/JX
동부건설이	동부건설/NNP+이/JKS
'동부센트레빌'	'/SS+동부센트레빌/NNG+'/SS
457가구를	457/SN+가구/NNG+를/JKO
9월	9/SN+월/NNB
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.13.1
조민이 스피드뱅크 러서치팀장은 "집값은 계획 발표, 착공, 개통 등 단계에 따라 상승세를 보이는 경우가 많다"며 "또 교통호재가 있더라도 주택 수요를 끌어올 수 없는 지역은 집값이 오르지 않을 수도 있다"고 말했다.

조민이	조민이/NNP
스피드뱅크	스피드뱅크/NNP
러서치팀장은	러서치/NNG+팀장/NNG+은/JX
"집값은	"/SS+집값/NNG+은/JX
계획	계획/NNG
발표,	발표/NNG+,/SP
착공,	착공/NNG+,/SP
개통	개통/NNG
등	등/NNB
단계에	단계/NNG+에/JKB
따라	따르/VV+아/EC
상승세를	상승세/NNG+를/JKO
보이는	보이/VV+는/ETM
경우가	경우/NNG+가/JKS
많다"며	많/VA+다/EF+"/SS+며/EC
"또	"/SS+또/MAG
교통호재가	교통/NNG+호재/NNG+가/JKS
있더라도	있/VA+더라도/EC
주택	주택/NNG
수요를	수요/NNG+를/JKO
끌어올	끌어오/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
지역은	지역/NNG+은/JX
집값이	집값/NNG+이/JKS
오르지	오르/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


