# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.237
metadata : {}


# id : NWRW1800000028.237.1.1
‘민간사찰’ 이인규, 형사처벌 가닥

‘민간사찰’	‘/SS+민간/NNG+사찰/NNG+’/SS
# id : NWRW1800000028.237.3.2
민간인 사찰 피해자인 김종익(56·전 엔에스한마음 대표)씨가 “원 조사관이 국민은행 간부를 만나 (자신이) 블로그에 올린 대통령 관련 동영상이 문제가 되므로, 국민은행에도 피해가 미치지 않도록 조처할 것을 주문했다”는 주장을 확인하기 위한 것으로 해석된다.

민간인	민간인/NNG
사찰	사찰/NNG
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
김종익(56·전	김종익/NNP+(/SS+56/SN+·/SP+전/MMD
엔에스한마음	엔에스한마음/NNP
대표)씨가	대표/NNG+)/SS+씨/NNB+가/JKS
“원	“/SS+원/NNP
조사관이	조사관/NNG+이/JKS
국민은행	국민은행/NNP
간부를	간부/NNG+를/JKO
만나	만나/VV+아/EC
(자신이)	(/SS+자신/NNG+이/JKS+)/SS
블로그에	블로그/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
대통령	대통령/NNG
관련	관련/NNG
동영상이	동영상/NNG+이/JKS
문제가	문제/NNG+가/JKC
되므로,	되/VV+므로/EC+,/SP
국민은행에도	국민은행/NNP+에/JKB+도/JX
피해가	피해/NNG+가/JKS
미치지	미치/VV+지/EC
않도록	않/VX+도록/EC
조처할	조처/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다”는	주문/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.237.4.1
검찰은 또 전날 소환했던 지원관실 김아무개 점검1팀장도 이날 다시 불러 조사했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
전날	전날/NNG
소환했던	소환/NNG+하/XSV+았/EP+던/ETM
지원관실	지원관실/NNG
김아무개	김/NNP+아무개/NP
점검1팀장도	점검/NNG+1/SN+팀장/NNG+도/JX
이날	이날/NNG
다시	다시/MAG
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.237.4.2
검찰은 이들에 대한 보강 조사가 어느 정도 마무리됨에 따라 이르면 15일 이번 사건의 핵심으로 꼽히는 이 지원관을 불러 민간인 사찰의 배경과 지시자, ‘윗선’ 보고 여부 등을 확인할 계획이다.

검찰은	검찰/NNG+은/JX
이들에	이/NP+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
보강	보강/NNG
조사가	조사/NNG+가/JKS
어느	어느/MMD
정도	정도/NNG
마무리됨에	마무리/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이르면	이르/VA+면/EC
15일	15/SN+일/NNB
이번	이번/NNG
사건의	사건/NNG+의/JKG
핵심으로	핵심/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
이	이/NNP
지원관을	지원관/NNG+을/JKO
불러	부르/VV+어/EC
민간인	민간인/NNG
사찰의	사찰/NNG+의/JKG
배경과	배경/NNG+과/JC
지시자,	지시자/NNG+,/SP
‘윗선’	‘/SS+윗선/NNG+’/SS
보고	보고/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.237.5.1
검찰은 이와 함께 지원관실이 민간인 사찰에 나선 이유를 파악하는 데도 수사력을 모으고 있다.

검찰은	검찰/NNG+은/JX
이와	이/NP+와/JKB
함께	함께/MAG
지원관실이	지원관실/NNG+이/JKS
민간인	민간인/NNG
사찰에	사찰/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
수사력을	수사력/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.237.5.2
최근 검찰 조사를 받은 한 참고인은 “‘총리실에서 왜 그렇게 사찰을 했는지 아느냐’는 질문을 집중적으로 받았다”고 전했다.

최근	최근/MAG
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
한	한/MMN
참고인은	참고인/NNG+은/JX
“‘총리실에서	“/SS+‘/SS+총리실/NNG+에서/JKB
왜	왜/MAG
그렇게	그렇/VA+게/EC
사찰을	사찰/NNG+을/JKO
했는지	하/VV+았/EP+는지/EC
아느냐’는	알/VV+느냐/EF+’/SS+는/ETM
질문을	질문/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.237.5.3
민간인 사찰을 지시한 이른바 ‘비선’을 찾아내려는 포석으로 풀이된다.

민간인	민간인/NNG
사찰을	사찰/NNG+을/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
이른바	이른바/MAG
‘비선’을	‘/SS+비선/NNG+’/SS+을/JKO
찾아내려는	찾아내/VV+려는/ETM
포석으로	포석/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.237.6.1
실제로 김씨는 2008년 말부터 시작된 경찰과 검찰 조사에서 애초 명예훼손 혐의로 수사의뢰가 됐음에도 주로 △이광재 민주당 의원과의 관계 △정치자금 제공 여부 △촛불집회 참가 및 자금 지원 여부를 집중적으로 조사받았다.

실제로	실제로/MAG
김씨는	김/NNP+씨/NNB+는/JX
2008년	2008/SN+년/NNB
말부터	말/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
경찰과	경찰/NNG+과/JC
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
애초	애초/NNG
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
수사의뢰가	수사/NNG+의뢰/NNG+가/JKC
됐음에도	되/VV+었/EP+음/ETN+에/JKB+도/JX
주로	주로/MAG
△이광재	△/SW+이광재/NNP
민주당	민주당/NNP
의원과의	의원/NNG+과/JKB+의/JKG
관계	관계/NNG
△정치자금	△/SW+정치/NNG+자금/NNG
제공	제공/NNG
여부	여부/NNG
△촛불집회	△/SW+촛불/NNG+집회/NNG
참가	참가/NNG
및	및/MAG
자금	자금/NNG
지원	지원/NNG
여부를	여부/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
조사받았다.	조사/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.237.6.2
이 때문에 김씨 내사에 ‘정치적 배경’이 있다는 의혹이 끊이지 않았던 만큼 검찰도 이번 수사에서 역점을 두고 있는 것으로 보인다.

이	이/MMD
때문에	때문/NNB+에/JKB
김씨	김/NNP+씨/NNB
내사에	내사/NNG+에/JKB
‘정치적	‘/SS+정치/NNG+적/XSN
배경’이	배경/NNG+’/SS+이/JKS
있다는	있/VA+다는/ETM
의혹이	의혹/NNG+이/JKS
끊이지	끊이/VV+지/EC
않았던	않/VX+았/EP+던/ETM
만큼	만큼/NNB
검찰도	검찰/NNG+도/JX
이번	이번/NNG
수사에서	수사/NNG+에서/JKB
역점을	역점/NNG+을/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


