# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.338
metadata : {}


# id : NWRW1800000030.338.1.1
반대하던 오바마, 韓·美 FTA 전도사로

반대하던	반대/NNG+하/XSV+던/ETM
삼아야	삼/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
참모진의	참모진/NNG+의/JKG
조언을	조언/NNG+을/JKO
받아들인	받아들이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.338.7.1
하지만 줄곧 주장해왔던 자동차 분야 보완이 문제였다.

하지만	하지만/MAJ
줄곧	줄곧/MAG
주장해왔던	주장/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
자동차	자동차/NNG
분야	분야/NNG
보완이	보완/NNG+이/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.338.7.2
그는 지난해 11월 G20 정상회의 참석차 방한(訪韓)했을 때 FTA 추가 협상이 타결되기를 기대했지만 이명박 대통령은 이를 받아주지 않았다.

그는	그/NP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
G20	G/SL+20/SN
정상회의	정상/NNG+회의/NNG
참석차	참석차/NNG
방한(訪韓)했을	방한/NNG+(/SS+訪韓/SH+)/SS+하/VV+았/EP+을/ETM
때	때/NNG
FTA	FTA/SL
추가	추가/NNG
협상이	협상/NNG+이/JKS
타결되기를	타결/NNG+되/XSV+기/ETN+를/JKO
기대했지만	기대/NNG+하/XSV+았/EP+지만/EC
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
이를	이/NP+를/JKO
받아주지	받/VV+아/EC+주/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.338.7.3
워싱턴의 외교 소식통은 "이때가 더할 나위 없이 좋았던 두 정상의 관계가 유일하게 삐끗한 순간이었다"고 했다.

워싱턴의	워싱턴/NNP+의/JKG
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"이때가	"/SS+이때/NNG+가/JKS
더할	더/MAG+하/XSV+ㄹ/ETM
나위	나위/NNB
없이	없이/MAG
좋았던	좋/VA+았/EP+던/ETM
두	두/MMN
정상의	정상/NNG+의/JKG
관계가	관계/NNG+가/JKS
유일하게	유일/NNG+하/XSA+게/EC
삐끗한	삐끗/MAG+하/XSV+ㄴ/ETM
순간이었다"고	순간/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.338.8.1
그렇지만 결국 지난해 12월 한국 측의 자동차 부분 추가 양보를 얻어낸 한·미 FTA 추가 협상이 타결됐고, 자동차 노조가 'FTA 찬성'으로 돌아서면서 오바마는 부담을 완전히 털 수 있었다.

그렇지만	그렇지만/MAJ
결국	결국/NNG
지난해	지난해/NNG
12월	12/SN+월/NNB
한국	한국/NNP
측의	측/NNB+의/JKG
자동차	자동차/NNG
부분	부분/NNG
추가	추가/NNG
양보를	양보/NNG+를/JKO
얻어낸	얻/VV+어/EC+내/VX+ㄴ/ETM
한·미	한·미/NNP
FTA	FTA/SL
협상이	협상/NNG+이/JKS
타결됐고,	타결/NNG+되/XSV+었/EP+고/EC+,/SP
노조가	노조/NNG+가/JKS
'FTA	'/SS+FTA/SL
찬성'으로	찬성/NNG+'/SS+으로/JKB
돌아서면서	돌아서/VV+면서/EC
오바마는	오바마/NNP+는/JX
부담을	부담/NNG+을/JKO
완전히	완전히/MAG
털	털/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.338.9.1
한·미 FTA는 전임자인 조지 부시 대통령 시절 서명된 것으로, 오바마가 이 문제를 매듭지음으로써 공화당 지지자들에게 호응을 얻을 것이라는 전망이 나온다.

한·미	한·미/NNP
FTA는	FTA/SL+는/JX
전임자인	전임자/NNG+이/VCP+ㄴ/ETM
조지	조지/NNP
부시	부시/NNP
대통령	대통령/NNG
시절	시절/NNG
서명된	서명/NNG+되/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
오바마가	오바마/NNP+가/JKS
이	이/MMD
문제를	문제/NNG+를/JKO
매듭지음으로써	매듭짓/VV+음/ETN+으로써/JKB
공화당	공화당/NNP
지지자들에게	지지자/NNG+들/XSN+에게/JKB
호응을	호응/NNG+을/JKO
얻을	얻/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.338.9.2
외교 소식통은 "한·미 FTA는 최근 정치권이 타협에 이른 몇 안 되는 성과이기 때문에 워싱턴 정가의 '이전투구'에 지쳐 있던 미국민에게 긍정적으로 비칠 것"이라고 했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
"한·미	"/SS+한·미/NNP
FTA는	FTA/SL+는/JX
최근	최근/MAG
정치권이	정치/NNG+권/XSN+이/JKS
타협에	타협/NNG+에/JKB
이른	이르/VV+ㄴ/ETM
몇	몇/NR
안	안/MAG
되는	되/VV+는/ETM
성과이기	성과/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
워싱턴	워싱턴/NNP
정가의	정가/NNG+의/JKG
'이전투구'에	'/SS+이전투구/NNG+'/SS+에/JKB
지쳐	지치/VV+어/EC
있던	있/VX+던/ETM
미국민에게	미/NNP+국민/NNG+에게/JKB
긍정적으로	긍정/NNG+적/XSN+으로/JKB
비칠	비치/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.338.10.1
또한 오바마는 이명박 대통령의 국빈 방문에 맞춰 FTA가 비준될 수 있도록 일정을 조절하면서 '동맹국 배려 효과'를 극대화했다.

또한	또한/MAG
오바마는	오바마/NNP+는/JX
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
국빈	국빈/NNG
방문에	방문/NNG+에/JKB
맞춰	맞추/VV+어/EC
FTA가	FTA/SL+가/JKS
비준될	비준/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
일정을	일정/NNG+을/JKO
조절하면서	조절/NNG+하/XSV+면서/EC
'동맹국	'/SS+동맹국/NNG
배려	배려/NNG
효과'를	효과/NNG+'/SS+를/JKO
극대화했다.	극대/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


