# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.384
metadata : {}


# id : NWRW1800000046.384.1.1
朴대통령, 전역연기 장병들에게 "국민 모두가 감동"

朴대통령,	朴/SH+대통령/NNG+,/SP
대통령은	대통령/NNG+은/JX
전역	전역/NNG
연기	연기/NNG
장병들에게	장병/NNG+들/XSN+에게/JKB
"이번에	"/SS+이번/NNG+에/JKB
훌륭한	훌륭하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보여줘서	보이/VV+어/EC+주/VX+어서/EC
국민	국민/NNG
모두가	모두/NNG+가/JKS
큰	크/VA+ㄴ/ETM
감동을	감동/NNG+을/JKO
받았다"면서	받/VV+았/EP+다/EF+"/SS+면서/EC
"여러분을	"/SS+여러분/NP+을/JKO
보면서	보/VV+면서/EC
국민이	국민/NNG+이/JKS
안심하고	안심/NNG+하/XSV+고/EC
마음	마음/NNG
든든하게	든든하/VA+게/EC
생각할	생각/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.384.5.2
그는 "위기 상황에서 그런 마음이 나왔다는 것은 평소 국가와 안보에 대해 어떻게 생각했는지를 잘 보여주는 것"이라며 "사회에 나가서도 훌륭한 역할을 잘해 주기를 바란다"고 했다.

그는	그/NP+는/JX
"위기	"/SS+위기/NNG
상황에서	상황/NNG+에서/JKB
그런	그런/MMD
마음이	마음/NNG+이/JKS
나왔다는	나오/VV+았/EP+다는/ETM
것은	것/NNB+은/JX
평소	평소/NNG
국가와	국가/NNG+와/JC
안보에	안보/NNG+에/JKB
대해	대하/VV+아/EC
어떻게	어떻/VA+게/EC
생각했는지를	생각/NNG+하/XSV+았/EP+는지/EF+를/JKO
잘	잘/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"사회에	"/SS+사회/NNG+에/JKB
나가서도	나가/VV+아서/EC+도/JX
훌륭한	훌륭하/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
잘해	잘/MAG+하/XSV+아/EC
주기를	주/VX+기/ETN+를/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.384.6.1
박 대통령은 전역을 연기한 신영재 하사, 안동국·장우민 병장을 포함해 장병 대표 12명과는 따로 악수를 나누며 "여러분이 어떤 마음으로 나라를 지키고 있는가를 국민에게 잘 보여줬다" "국민이 굉장히 자랑스럽게 생각한다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
전역을	전역/NNG+을/JKO
연기한	연기/NNG+하/XSV+ㄴ/ETM
신영재	신영재/NNP
하사,	하사/NNG+,/SP
안동국·장우민	안동국/NNP+·/SP+장우민/NNP
병장을	병장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
장병	장병/NNG
대표	대표/NNG
12명과는	12/SN+명/NNB+과/JKB+는/JX
따로	따로/MAG
악수를	악수/NNG+를/JKO
나누며	나누/VV+며/EC
"여러분이	"/SS+여러분/NP+이/JKS
어떤	어떤/MMD
마음으로	마음/NNG+으로/JKB
나라를	나라/NNG+를/JKO
지키고	지키/VV+고/EC
있는가를	있/VA+는가/EF+를/JKO
국민에게	국민/NNG+에게/JKB
잘	잘/MAG
보여줬다"	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS
"국민이	"/SS+국민/NNG+이/JKS
굉장히	굉장히/MAG
자랑스럽게	자랑/NNG+스럽/XSA+게/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


