# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.265
metadata : {}


# id : NWRW1800000025.265.1.1
20~22일 유엔 새천년개발회의 참석 한승수 특사

20~22일	20/SN+~/SO+22/SN+일/NNB
이	이/MMD
목표는	목표/NNG+는/JX
△절대빈곤	△/SW+절대/NNG+빈곤/NNG
퇴치	퇴치/NNG
△보편적	△/SW+보편/NNG+적/XSN
초등교육	초등/NNG+교육/NNG
실현	실현/NNG
△양성평등	△/SW+양성평등/NNG
△유아사망률	△/SW+유아/NNG+사망/NNG+률/XSN
감소	감소/NNG
△모성보건	△/SW+모성/NNG+보건/NNG
증진	증진/NNG
△에이즈	△/SW+에이즈/NNG
등	등/NNB
질병퇴치	질병/NNG+퇴치/NNG
△지속가능한	△/SW+지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
환경	환경/NNG
확보	확보/NNG
△개발을	△/SW+개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
글로벌	글로벌/NNG
파트너십	파트너십/NNG
구축	구축/NNG
8개	8/SN+개/NNB
목표를	목표/NNG+를/JKO
2015년까지	2015/SN+년/NNB+까지/JX
달성하겠다는	달성/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.5.1
이번 회의는 지난 10년간의 개발목표 이행 현황을 점검하고 남은 5년간의 이행 방안을 논의한다.

이번	이번/NNG
회의는	회의/NNG+는/JX
지난	지나/VV+ㄴ/ETM
10년간의	10/SN+년/NNB+간/XSN+의/JKG
개발목표	개발/NNG+목표/NNG
이행	이행/NNG
현황을	현황/NNG+을/JKO
점검하고	점검/NNG+하/XSV+고/EC
남은	남/VV+은/ETM
5년간의	5/SN+년/NNB+간/XSN+의/JKG
방안을	방안/NNG+을/JKO
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.265.5.2
마지막 평가회의인 만큼 회의 결과가 유엔 개발원조 방향을 결정한다.

마지막	마지막/NNG
평가회의인	평가/NNG+회의/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
회의	회의/NNG
결과가	결과/NNG+가/JKS
유엔	유엔/NNP
개발원조	개발/NNG+원조/NNG
방향을	방향/NNG+을/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.265.6.1
한국이 이번 회의에서 중점을 두고 전할 메시지는 우선 11월 서울에서 열리는 주요 20개국(G20) 정상회의가 의제로 삼은 ‘성장을 위한 개발’ 목표가 빈곤퇴치 등에 중점을 둔 새천년개발목표와 상충되지 않는다는 점이다.

한국이	한국/NNP+이/JKS
이번	이번/NNG
회의에서	회의/NNG+에서/JKB
중점을	중점/NNG+을/JKO
두고	두/VV+고/EC
전할	전하/VV+ㄹ/ETM
메시지는	메시지/NNG+는/JX
우선	우선/MAG
11월	11/SN+월/NNB
서울에서	서울/NNP+에서/JKB
열리는	열리/VV+는/ETM
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의가	정상/NNG+회의/NNG+가/JKS
의제로	의제/NNG+로/JKB
삼은	삼/VV+은/ETM
‘성장을	‘/SS+성장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
개발’	개발/NNG+’/SS
목표가	목표/NNG+가/JKS
빈곤퇴치	빈곤/NNG+퇴치/NNG
등에	등/NNB+에/JKB
둔	두/VV+ㄴ/ETM
새천년개발목표와	새천년/NNG+개발/NNG+목표/NNG+와/JKB
상충되지	상충/NNG+되/XSV+지/EC
않는다는	않/VX+는다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.7.1
개도국들은 G20이 개발 목표의 주요 대상을 기존의 아프리카로부터 개발인프라가 갖춰진 아시아나 중남미 일부 국가로 바꾸려는 것 아니냐는 의심의 눈초리를 보내고 있다.

개도국들은	개도국/NNG+들/XSN+은/JX
G20이	G/SL+20/SN+이/JKS
개발	개발/NNG
목표의	목표/NNG+의/JKG
주요	주요/NNG
대상을	대상/NNG+을/JKO
기존의	기존/NNG+의/JKG
아프리카로부터	아프리카/NNP+로부터/JKB
개발인프라가	개발/NNG+인프라/NNG+가/JKS
갖춰진	갖추/VV+어/EC+지/VX+ㄴ/ETM
아시아나	아시아/NNP+나/JC
중남미	중남미/NNP
일부	일부/NNG
국가로	국가/NNG+로/JKB
바꾸려는	바꾸/VV+려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
의심의	의심/NNG+의/JKG
눈초리를	눈초리/NNG+를/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.265.7.2
사하라 이남 아프리카에서 새천년개발목표 달성이 어려울 것이라는 전망이 나오면서 이런 관측을 더욱 부추기고 있다.

사하라	사하라/NNP
이남	이남/NNG
아프리카에서	아프리카/NNP+에서/JKB
새천년개발목표	새천년/NNG+개발/NNG+목표/NNG
달성이	달성/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나오면서	나오/VV+면서/EC
이런	이런/MMD
관측을	관측/NNG+을/JKO
더욱	더욱/MAG
부추기고	부추기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.265.8.1
“개도국 대부분이 G20 회의에 포함되지 않은 점도 이런 불만을 가중시키고 있어요.

“개도국	“/SS+개도국/NNG
대부분이	대/XPN+부분/NNG+이/JKS
G20	G/SL+20/SN
회의에	회의/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
점도	점/NNG+도/JX
이런	이런/MMD
불만을	불만/NNG+을/JKO
가중시키고	가중/NNG+시키/XSV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000025.265.8.2
이번 회의에서 지속적인 개발은 새천년개발목표의 사회개발과 G20의 경제개발이 함께 할 때 가능하다는 점을 집중적으로 설명해 선진국과 후진국의 가교 역할을 하려 합니다.”

이번	이번/NNG
회의에서	회의/NNG+에서/JKB
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
개발은	개발/NNG+은/JX
새천년개발목표의	새천년/NNG+개발/NNG+목표/NNG+의/JKG
사회개발과	사회/NNG+개발/NNG+과/JC
G20의	G/SL+20/SN+의/JKG
경제개발이	경제/NNG+개발/NNG+이/JKS
함께	함께/MAG
할	하/VV+ㄹ/ETM
때	때/NNG
가능하다는	가능/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
설명해	설명/NNG+하/XSV+아/EC
선진국과	선진국/NNG+과/JC
후진국의	후진국/NNG+의/JKG
가교	가교/NNG
역할을	역할/NNG+을/JKO
하려	하/VV+려/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.265.9.1
한 전 총리의 또 다른 역할은 경제개발 경험을 개도국에 설명하는 것이다.

한	한/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
또	또/MAG
다른	다른/MMD
역할은	역할/NNG+은/JX
경제개발	경제/NNG+개발/NNG
경험을	경험/NNG+을/JKO
개도국에	개도국/NNG+에/JKB
설명하는	설명/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.9.2
그는 “개도국들은 수십 년 전 소말리아나 예멘 수준이던 한국이 고도성장을 이룬 것에 경이를 표하고 단기간에 선진국 대열에 진입한 한국의 경험을 소개해주기를 기대하고 있다”고 말했다.

그는	그/NP+는/JX
“개도국들은	“/SS+개도국/NNG+들/XSN+은/JX
수십	수십/NR
년	년/NNB
전	전/NNG
소말리아나	소말리아/NNP+나/JC
예멘	예멘/NNP
수준이던	수준/NNG+이/VCP+던/ETM
한국이	한국/NNP+이/JKS
고도성장을	고도성장/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
것에	것/NNB+에/JKB
경이를	경이/NNG+를/JKO
표하고	표/NNG+하/XSV+고/EC
단기간에	단기간/NNG+에/JKB
선진국	선진국/NNG
대열에	대열/NNG+에/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
한국의	한국/NNP+의/JKG
경험을	경험/NNG+을/JKO
소개해주기를	소개/NNG+하/XSV+아/EC+주/VX+기/ETN+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.265.10.1
“특히 양적 성장에서 질적 성장으로 패러다임을 성공적으로 전환한 경험을 전수하고 시행착오 없이 이런 개발 목표를 달성할 수 있는 길을 천명할 계획입니다.

“특히	“/SS+특히/MAG
양적	양/NNG+적/XSN
성장에서	성장/NNG+에서/JKB
질적	질/NNG+적/XSN
성장으로	성장/NNG+으로/JKB
패러다임을	패러다임/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
경험을	경험/NNG+을/JKO
전수하고	전수/NNG+하/XSV+고/EC
시행착오	시행착오/NNG
없이	없이/MAG
이런	이런/MMD
개발	개발/NNG
목표를	목표/NNG+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길을	길/NNG+을/JKO
천명할	천명/NNG+하/XSV+ㄹ/ETM
계획입니다.	계획/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.265.10.2
한국은 이미 후진국과 개도국의 희망이자 모범국가로 자리 잡고 있습니다.”

한국은	한국/NNP+은/JX
이미	이미/MAG
후진국과	후진국/NNG+과/JC
개도국의	개도국/NNG+의/JKG
희망이자	희망/NNG+이/VCP+자/EC
모범국가로	모범/NNG+국가/NNG+로/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000025.265.11.1
한국은 이번 회의에서 새천년개발목표 중에서도 이행 성과가 많이 뒤처진 모성보건 분야에 집중 기여하겠다고 밝힐 계획이다.

한국은	한국/NNP+은/JX
이번	이번/NNG
회의에서	회의/NNG+에서/JKB
새천년개발목표	새천년/NNG+개발/NNG+목표/NNG
중에서도	중/NNB+에서/JKB+도/JX
이행	이행/NNG
성과가	성과/NNG+가/JKS
많이	많이/MAG
뒤처진	뒤처지/VV+ㄴ/ETM
모성보건	모성/NNG+보건/NNG
분야에	분야/NNG+에/JKB
집중	집중/NNG
기여하겠다고	기여/NNG+하/XSV+겠/EP+다고/EC
밝힐	밝히/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.265.12.1
그는 “아무리 잘살아도 국격(國格)이 낮으면 창피한 일”이라며 “새천년개발목표를 통해 한국이 국제적 리더십을 보여줘야 할 때”라고 강조했다.

그는	그/NP+는/JX
“아무리	“/SS+아무리/MAG
잘살아도	잘살/VV+아도/EC
국격(國格)이	국격/NNG+(/SS+國格/SH+)/SS+이/JKS
낮으면	낮/VA+으면/EC
창피한	창피/NNG+하/XSA+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“새천년개발목표를	“/SS+새천년/NNG+개발/NNG+목표/NNG+를/JKO
통해	통하/VV+아/EC
한국이	한국/NNP+이/JKS
국제적	국제/NNG+적/XSN
리더십을	리더십/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
할	하/VX+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


