# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.103
metadata : {}


# id : NWRW1800000028.103.1.1
새봄, 조선시대로 시간여행을

새봄,	새봄/NNG+,/SP
상설한마당’이	상설/NNG+한/XPN+마당/NNG+’/SS+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.7.1
안성시 사곡당 태평무 전수관에서는 중요무형문화재 92호인 태평무가 다음달 17일부터 매주 토요일 무료 상설공연마당을 통해 일반 시민들에게 첫선을 보인다.

안성시	안성시/NNP
사곡당	사곡당/NNP
태평무	태평무/NNG
전수관에서는	전수관/NNG+에서/JKB+는/JX
중요무형문화재	중요/NNG+무형/NNG+문화재/NNG
92호인	92/SN+호/NNB+이/VCP+ㄴ/ETM
태평무가	태평무/NNG+가/JKS
다음달	다음/NNG+달/NNG
17일부터	17/SN+일/NNB+부터/JX
매주	매주/MAG
토요일	토요일/NNG
무료	무료/NNG
상설공연마당을	상설/NNG+공연/NNG+마당/NNG+을/JKO
통해	통하/VV+아/EC
일반	일반/NNG
시민들에게	시민/NNG+들/XSN+에게/JKB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.103.7.2
줄타기와 무동놀이 등 조선시대 예인들의 다채로운 놀이를 볼 수 있는 안성바우덕이 토요상설 공연도 다음달 17일부터 안성 남사당 전수관에서 시작된다.

줄타기와	줄타기/NNG+와/JC
무동놀이	무동놀이/NNG
등	등/NNB
조선시대	조선시대/NNG
예인들의	예인/NNG+들/XSN+의/JKG
다채로운	다채롭/VA+ㄴ/ETM
놀이를	놀이/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
안성바우덕이	안성/NNP+바우덕이/NNG
토요상설	토요/NNG+상설/NNG
공연도	공연/NNG+도/JX
다음달	다음/NNG+달/NNG
17일부터	17/SN+일/NNB+부터/JX
안성	안성/NNP
남사당	남사당/NNG
전수관에서	전수관/NNG+에서/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


