# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.6
metadata : {}


# id : NWRW1800000041.6.1.1
통화중 피싱차단… 음성전화 더 똑똑해진다

통화중	통화/NNG+중/NNB
전과	전/NNG+과/JKB
차이가	차이/NNG+가/JKS
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“T전화는	“/SS+T전화/NNP+는/JX
이제껏	이제껏/MAG
스마트폰이	스마트폰/NNG+이/JKS
가져온	가져오/VV+ㄴ/ETM
기술	기술/NNG
혁신을	혁신/NNG+을/JKO
최대치로	최대/NNG+치/XSN+로/JKB
끌어올릴	끌어올리/VV+ㄹ/ETM
차세대	차세대/NNG
플랫폼이	플랫폼/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.6.8.1
SK브로드밴드는 이날 유무선 통신서비스와 홈 엔터테인먼트 기능을 결합한 인터넷(IP)TV 셋톱박스 ‘B박스’도 선보였다.

SK브로드밴드는	SK브로드밴드/NNP+는/JX
이날	이날/NNG
유무선	유무선/NNG
통신서비스와	통신/NNG+서비스/NNG+와/JC
홈	홈/NNG
엔터테인먼트	엔터테인먼트/NNG
기능을	기능/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
인터넷(IP)TV	인터넷/NNG+(/SS+IP/SL+)/SS+TV/SL
셋톱박스	셋톱박스/NNG
‘B박스’도	‘/SS+B박스/NNP+’/SS+도/JX
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.6.9.1
B박스는 내장 카메라를 활용해 고화질 영상통화를 할 수 있고 원격으로 가정 내 모니터링이 가능하다.

B박스는	B박스/NNP+는/JX
내장	내장/NNG
카메라를	카메라/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
고화질	고/XPN+화질/NNG
영상통화를	영상/NNG+통화/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
원격으로	원격/NNG+으로/JKB
가정	가정/NNG
내	내/NNB
모니터링이	모니터링/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.6.9.2
또 PC에 저장된 음악이나 동영상을 TV로 불러오거나 클라우드와 소셜네트워크서비스(SNS) 기능을 TV 화면에서 이용할 수 있다.

또	또/MAG
PC에	PC/SL+에/JKB
저장된	저장/NNG+되/XSV+ㄴ/ETM
음악이나	음악/NNG+이나/JC
동영상을	동영상/NNG+을/JKO
TV로	TV/SL+로/JKB
불러오거나	불러오/VV+거나/EC
클라우드와	클라우드/NNG+와/JC
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
기능을	기능/NNG+을/JKO
TV	TV/SL
화면에서	화면/NNG+에서/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.6.9.3
최신 전자제품을 연상시키는 디자인과 실생활에 유용한 기술들이 집약돼 초고속인터넷과 IPTV 시장의 변화를 주도할 제품이라는 것이 회사 측의 설명이다.

최신	최신/NNG
전자제품을	전자/NNG+제품/NNG+을/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
디자인과	디자인/NNG+과/JC
실생활에	실생활/NNG+에/JKB
유용한	유용/NNG+하/XSA+ㄴ/ETM
기술들이	기술/NNG+들/XSN+이/JKS
집약돼	집약/NNG+되/XSV+어/EC
초고속인터넷과	초/XPN+고속/NNG+인터넷/NNG+과/JC
IPTV	IPTV/SL
시장의	시장/NNG+의/JKG
변화를	변화/NNG+를/JKO
주도할	주도/NNG+하/XSV+ㄹ/ETM
제품이라는	제품/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
회사	회사/NNG
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.6.10.1
박인식 SK텔레콤 사업총괄은 “앞으로 소모적인 보조금 경쟁이 아닌 T전화, B박스와 같은 혁신 제품과 서비스로 승부를 겨룰 것”이라며 “올 한 해 커뮤니케이션, 미디어, 보안 등 5가지 핵심 영역에서 20여 개의 신규 서비스를 선보이겠다”고 말했다.

박인식	박인식/NNP
SK텔레콤	SK텔레콤/NNP
사업총괄은	사업/NNG+총괄/NNG+은/JX
“앞으로	“/SS+앞/NNG+으로/JKB
소모적인	소모/NNG+적/XSN+이/VCP+ㄴ/ETM
보조금	보조금/NNG
경쟁이	경쟁/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
T전화,	T전화/NNP+,/SP
B박스와	B박스/NNP+와/JKB
같은	같/VA+은/ETM
혁신	혁신/NNG
제품과	제품/NNG+과/JC
서비스로	서비스/NNG+로/JKB
승부를	승부/NNG+를/JKO
겨룰	겨루/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“올	“/SS+올/NNG
한	한/MMN
해	해/NNB
커뮤니케이션,	커뮤니케이션/NNG+,/SP
미디어,	미디어/NNG+,/SP
보안	보안/NNG
등	등/NNB
5가지	5/SN+가지/NNB
핵심	핵심/NNG
영역에서	영역/NNG+에서/JKB
20여	20/SN+여/XSN
개의	개/NNB+의/JKG
신규	신규/NNG
서비스를	서비스/NNG+를/JKO
선보이겠다”고	선보이/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


