# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.343
metadata : {}


# id : NWRW1800000028.343.1.1
‘남태평양 일본군 식인사건’ 규명

‘남태평양	‘/SS+남태평양/NNP
조선인	조선인/NNG
저항과	저항/NNG+과/JC
일본군의	일본군/NNG+의/JKG
학살은	학살/NNG+은/JX
생존자	생존자/NNG
진술로	진술/NNG+로/JKB
알려져	알려지/VV+어/EC
있으나,	있/VX+으나/EC+,/SP
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
조사를	조사/NNG+를/JKO
통해	통하/VV+아/EC
진상이	진상/NNG+이/JKS
밝혀진	밝혀지/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.343.4.1
중일전쟁에 이어 미국과 전면전이 시작된 1940년 이후 800~1000명의 조선인이 비행장 건설 등 군사시설 확충을 위해 밀리환초에 동원됐으나, 44년 6월부터 일본에서의 보급이 중단돼 ‘현지자활’이 시작됐다.

중일전쟁에	중/NNP+일/NNP+전쟁/NNG+에/JKB
이어	잇/VV+어/EC
미국과	미국/NNP+과/JKB
전면전이	전면전/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
1940년	1940/SN+년/NNB
이후	이후/NNG
800~1000명의	800/SN+~/SO+1000/SN+명/NNB+의/JKG
조선인이	조선인/NNG+이/JKS
비행장	비행장/NNG
건설	건설/NNG
등	등/NNB
군사시설	군사/NNG+시설/NNG
확충을	확충/NNG+을/JKO
위해	위하/VV+아/EC
밀리환초에	밀리환초/NNP+에/JKB
동원됐으나,	동원/NNG+되/XSV+었/EP+으나/EC+,/SP
44년	44/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
일본에서의	일본/NNP+에서/JKB+의/JKG
보급이	보급/NNG+이/JKS
중단돼	중단/NNG+되/XSV+어/EC
‘현지자활’이	‘/SS+현지/NNG+자활/NNG+’/SS+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.343.4.2
514명이던 말리환초 인구는 44년 당시 5300여명에 이르렀고, 식수 문제와 농작물 생육이 어려워 극심한 기아에 시달렸다.

514명이던	514/SN+명/NNB+이/VCP+던/ETM
말리환초	말리환초/NNP
인구는	인구/NNG+는/JX
44년	44/SN+년/NNB
당시	당시/NNG
5300여명에	5300/SN+여/XSN+명/NNB+에/JKB
이르렀고,	이르/VV+었/EP+고/EC+,/SP
식수	식수/NNG
문제와	문제/NNG+와/JC
농작물	농작물/NNG
생육이	생육/NNG+이/JKS
어려워	어렵/VA+어/EC
극심한	극심하/VA+ㄴ/ETM
기아에	기아/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.343.4.3
이런 상황에서 일본군이 밀리환초의 작은 섬 체르본에서 조선인들에게 ‘고래고기’라고 준 것이 사람임을 알게 된 조선인들은 45년 2월28일 섬에 있던 일본인 11명 중 7명을 유인해 살해했다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
일본군이	일본군/NNG+이/JKS
밀리환초의	밀리환초/NNP+의/JKG
작은	작/VA+은/ETM
섬	섬/NNG
체르본에서	체르본/NNP+에서/JKB
조선인들에게	조선인/NNG+들/XSN+에게/JKB
‘고래고기’라고	‘/SS+고래/NNG+고기/NNG+’/SS+라고/JKQ
준	주/VV+ㄴ/ETM
것이	것/NNB+이/JKS
사람임을	사람/NNG+이/VCP+ㅁ/ETN+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
조선인들은	조선인/NNG+들/XSN+은/JX
45년	45/SN+년/NNB
2월28일	2/SN+월/NNB+28/SN+일/NNB
섬에	섬/NNG+에/JKB
있던	있/VV+던/ETM
일본인	일본인/NNG
11명	11/SN+명/NNB
중	중/NNB
7명을	7/SN+명/NNB+을/JKO
유인해	유인/NNG+하/XSV+아/EC
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.343.4.4
다음날 체르본에 온 일본군 토벌대 15명은 100여명의 조선인을 학살한 것으로 위원회 조사 결과 밝혀졌다.

다음날	다음날/NNG
체르본에	체르본/NNP+에/JKB
온	오/VV+ㄴ/ETM
일본군	일본군/NNG
토벌대	토벌대/NNG
15명은	15/SN+명/NNB+은/JX
100여명의	100/SN+여/XSN+명/NNB+의/JKG
조선인을	조선인/NNG+을/JKO
학살한	학살/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
위원회	위원회/NNG
조사	조사/NNG
결과	결과/NNG
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.343.4.5
위원회는 일본 쪽 관련 기록과 생존자 증언 등을 통해 이런 사실을 확인했다.

위원회는	위원회/NNG+는/JX
일본	일본/NNP
쪽	쪽/NNB
관련	관련/NNG
기록과	기록/NNG+과/JC
생존자	생존자/NNG
증언	증언/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이런	이런/MMD
사실을	사실/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.343.5.1
위원회는 보고서에서 “정황자료와 증언 등이 있지만 식인사건 자체는 객관적으로 실증하는 데 어려움이 있다”며 “일제의 침략전쟁과 그로 인한 모순이 반인륜적이고 변태적인 행동으로 드러난 상징적 사건 가운데 하나”라고 평가했다.

위원회는	위원회/NNG+는/JX
보고서에서	보고서/NNG+에서/JKB
“정황자료와	“/SS+정황/NNG+자료/NNG+와/JC
증언	증언/NNG
등이	등/NNB+이/JKS
있지만	있/VA+지만/EC
식인사건	식인/NNG+사건/NNG
자체는	자체/NNG+는/JX
객관적으로	객관/NNG+적/XSN+으로/JKB
실증하는	실증/NNG+하/XSV+는/ETM
데	데/NNB
어려움이	어려움/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“일제의	“/SS+일제/NNG+의/JKG
침략전쟁과	침략/NNG+전쟁/NNG+과/JC
그로	그/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
모순이	모순/NNG+이/JKS
반인륜적이고	반/XPN+인륜/NNG+적/XSN+이/VCP+고/EC
변태적인	변태/NNG+적/XSN+이/VCP+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
드러난	드러나/VV+ㄴ/ETM
상징적	상징/NNG+적/XSN
사건	사건/NNG
가운데	가운데/NNG
하나”라고	하나/NR+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


