# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.220
metadata : {}


# id : NWRW1800000046.220.1.1
"예쁜 농구는 가라, 깨부수는 농구 온다"

"예쁜	"/SS+예쁘/VA+ㄴ/ETM
농구는	농구/NNG+는/JX
어렵다"면서	어렵/VA+다/EF+"/SS+면서/EC
"모든	"/SS+모든/MMN
선수가	선수/NNG+가/JKS
하나가	하나/NR+가/JKC
되는	되/VV+는/ETM
단단한	단단하/VA+ㄴ/ETM
팀을	팀/NNG+을/JKO
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


