# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.337
metadata : {}


# id : NWRW1800000029.337.1.1
[횡설수설/권순활]중소기업 63%는 “구인난”

[횡설수설/권순활]중소기업	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+중소기업/NNG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.337.3.4
반면 중소기업은 일자리는 있지만 찾는 젊은이가 부족해 인력난에 시달린다.

반면	반면/NNG
중소기업은	중소기업/NNG+은/JX
일자리는	일자리/NNG+는/JX
있지만	있/VA+지만/EC
찾는	찾/VV+는/ETM
젊은이가	젊은이/NNG+가/JKS
부족해	부족/NNG+하/XSA+아/EC
인력난에	인력난/NNG+에/JKB
시달린다.	시달리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.337.3.5
대기업과 중소기업의 급여 차이, 대학과 마찬가지로 직장도 ‘회사 이름’에 집착하는 사회적 인식, 중소기업은 불안정하다고 여기는 편견, 80% 안팎의 높은 대학 진학률 등이 복합적으로 작용한 결과다.

대기업과	대/XPN+기업/NNG+과/JC
중소기업의	중소기업/NNG+의/JKG
급여	급여/NNG
차이,	차이/NNG+,/SP
대학과	대학/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
직장도	직장/NNG+도/JX
‘회사	‘/SS+회사/NNG
이름’에	이름/NNG+’/SS+에/JKB
집착하는	집착/NNG+하/XSV+는/ETM
사회적	사회/NNG+적/XSN
인식,	인식/NNG+,/SP
중소기업은	중소기업/NNG+은/JX
불안정하다고	불/XPN+안정/NNG+하/XSA+다고/EC
여기는	여기/VV+는/ETM
편견,	편견/NNG+,/SP
80%	80/SN+%/SW
안팎의	안팎/NNG+의/JKG
높은	높/VA+은/ETM
대학	대학/NNG
진학률	진학/NNG+률/XSN
등이	등/NNB+이/JKS
복합적으로	복합/NNG+적/XSN+으로/JKB
작용한	작용/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.337.4.1
▷취업포털 사람인이 433명의 중소기업 인사담당자에게 물어봤더니 63%가 올해 채용 계획에 차질을 빚은 적이 있다고 응답했다.

▷취업포털	▷/SW+취업/NNG+포털/NNG
사람인이	사람인/NNP+이/JKS
433명의	433/SN+명/NNB+의/JKG
중소기업	중소기업/NNG
인사담당자에게	인사/NNG+담당자/NNG+에게/JKB
물어봤더니	물어보/VV+았/EP+더니/EC
63%가	63/SN+%/SW+가/JKS
올해	올해/NNG
채용	채용/NNG
계획에	계획/NNG+에/JKB
차질을	차질/NNG+을/JKO
빚은	빚/VV+은/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.337.4.2
이들 기업이 올해 실제로 뽑은 인원은 채용 목표의 53%에 그쳤다.

이들	이/NP+들/XSN
기업이	기업/NNG+이/JKS
올해	올해/NNG
실제로	실제로/MAG
뽑은	뽑/VV+은/ETM
인원은	인원/NNG+은/JX
채용	채용/NNG
목표의	목표/NNG+의/JKG
53%에	53/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.337.4.3
일부 중소기업은 한국 체류 기간이 만료된 외국인 숙련공들이 출국해 버리면 공장을 돌리기도 쉽지 않은 실정이다.

일부	일부/NNG
중소기업은	중소기업/NNG+은/JX
한국	한국/NNP
체류	체류/NNG
기간이	기간/NNG+이/JKS
만료된	만료/NNG+되/XSV+ㄴ/ETM
외국인	외국인/NNG
숙련공들이	숙련공/NNG+들/XSN+이/JKS
출국해	출국/NNG+하/XSV+아/EC
버리면	버리/VV+면/EC
공장을	공장/NNG+을/JKO
돌리기도	돌리/VV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.337.4.4
실업급여를 받으면 받았지, 중소기업에선 일하지 않겠다는 젊은이도 있다.

실업급여를	실업/NNG+급여/NNG+를/JKO
받으면	받/VV+으면/EC
받았지,	받/VV+았/EP+지/EC+,/SP
중소기업에선	중소기업/NNG+에서/JKB+ㄴ/JX
일하지	일/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
젊은이도	젊은이/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.337.5.1
▷중소기업은 국내 기업 수의 약 99%, 전체 고용인원의 88%를 차지할 정도로 우리 경제에서 중요하다.

▷중소기업은	▷/SW+중소기업/NNG+은/JX
국내	국내/NNG
기업	기업/NNG
수의	수/NNG+의/JKG
약	약/MMA
99%,	99/SN+%/SW+,/SP
전체	전체/NNG
고용인원의	고용/NNG+인원/NNG+의/JKG
88%를	88/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
우리	우리/NP
경제에서	경제/NNG+에서/JKB
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.337.5.2
취업 예비군의 다수가 대기업과 공기업에 취업하는 것은 불가능하다.

취업	취업/NNG
예비군의	예비군/NNG+의/JKG
다수가	다수/NNG+가/JKS
대기업과	대/XPN+기업/NNG+과/JC
공기업에	공기업/NNG+에/JKB
취업하는	취업/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.337.5.3
청년실업을 줄이는 것은 중요한 정책과제이지만 몇몇 선호 직종의 관점에서만 일자리 문제를 바라보고 불만과 증오를 부추기는 의식과잉은 바람직하지 않다.

청년실업을	청년/NNG+실업/NNG+을/JKO
줄이는	줄이/VV+는/ETM
것은	것/NNB+은/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
정책과제이지만	정책/NNG+과제/NNG+이/VCP+지만/EC
몇몇	몇몇/NR
선호	선호/NNG
직종의	직종/NNG+의/JKG
관점에서만	관점/NNG+에서/JKB+만/JX
일자리	일자리/NNG
문제를	문제/NNG+를/JKO
바라보고	바라보/VV+고/EC
불만과	불만/NNG+과/JC
증오를	증오/NNG+를/JKO
부추기는	부추기/VV+는/ETM
의식과잉은	의식/NNG+과잉/NNG+은/JX
바람직하지	바람직하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000029.337.5.4
중소기업에 대한 인식을 개선하고 임직원들이 자긍심을 높일 수 있도록 사회 각 분야에서 배려하고 지원하는 것이 고용시장의 불일치(미스매치)를 줄이는 효과적, 현실적 대안일 수 있다.

중소기업에	중소기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
개선하고	개선/NNG+하/XSV+고/EC
임직원들이	임직원/NNG+들/XSN+이/JKS
자긍심을	자긍심/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사회	사회/NNG
각	각/MMD
분야에서	분야/NNG+에서/JKB
배려하고	배려/NNG+하/XSV+고/EC
지원하는	지원/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
고용시장의	고용/NNG+시장/NNG+의/JKG
불일치(미스매치)를	불/XPN+일치/NNG+(/SS+미스매치/NNG+)/SS+를/JKO
줄이는	줄이/VV+는/ETM
효과적,	효과/NNG+적/XSN+,/SP
현실적	현실/NNG+적/XSN
대안일	대안/NNG+이/VCP+ㄹ/ETM
있다.	있/VA+다/EF+./SF


