# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.433
metadata : {}


# id : NWRW1800000022.433.1.1
제1호 명예변호사에 위촉된 71세 강선희씨;10년째 자원봉사로 민원인 도운 '법원 할머니'

제1호	제/XPN+1/SN+호/NNB
53명이	53/SN+명/NNB+이/JKS
자원봉사에	자원봉사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.433.7.4
1년 뒤에도 자원봉사 일을 계속한 사람은 강씨가 유일했다.

1년	1/SN+년/NNB
뒤에도	뒤/NNG+에/JKB+도/JX
자원봉사	자원봉사/NNG
일을	일/NNG+을/JKO
계속한	계속/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
강씨가	강/NNP+씨/NNB+가/JKS
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.433.7.5
혼자 남아 자리를 지킨 게 오늘에 이르렀다.

혼자	혼자/MAG
남아	남/VV+아/EC
자리를	자리/NNG+를/JKO
지킨	지키/VV+ㄴ/ETM
게	거/NNB+이/JKS
오늘에	오늘/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.433.8.1
'법원 일'을 돕는 것은 쉽지 않았다.

'법원	'/SS+법원/NNG
일'을	일/NNG+'/SS+을/JKO
돕는	돕/VV+는/ETM
것은	것/NNB+은/JX
쉽지	쉽/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.433.8.2
다뤄야 할 서류가 100여종에 달했지만, 법서(法書)를 놓은 지 40년이 지나 법률용어부터 가물거렸다.

다뤄야	다루/VV+어야/EC
할	하/VX+ㄹ/ETM
서류가	서류/NNG+가/JKS
100여종에	100/SN+여/XSN+종/NNG+에/JKB
달했지만,	달하/VV+았/EP+지만/EC+,/SP
법서(法書)를	법서/NNG+(/SS+法書/SH+)/SS+를/JKO
놓은	놓/VV+은/ETM
지	지/NNB
40년이	40/SN+년/NNB+이/JKS
지나	지나/VV+아/EC
법률용어부터	법률/NNG+용어/NNG+부터/JX
가물거렸다.	가물거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.433.8.3
강씨는 "매일 새벽 1시까지 두툼한 법전을 들여다봤다"며 "3년쯤 지나자 크게 막히는 부분 없이 민원인을 안내할 수 있게 됐다"고 말했다.

강씨는	강/NNP+씨/NNB+는/JX
"매일	"/SS+매일/MAG
새벽	새벽/NNG
1시까지	1/SN+시/NNB+까지/JX
두툼한	두툼하/VA+ㄴ/ETM
법전을	법전/NNG+을/JKO
들여다봤다"며	들여다보/VV+았/EP+다/EF+"/SS+며/EC
"3년쯤	"/SS+3/SN+년/NNB+쯤/XSN
지나자	지나/VV+자/EC
크게	크/VA+게/EC
막히는	막히/VV+는/ETM
부분	부분/NNG
없이	없이/MAG
민원인을	민원인/NNG+을/JKO
안내할	안내/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.9.1
강씨는 이제 '법원 할머니'로 통한다.

강씨는	강/NNP+씨/NNB+는/JX
이제	이제/MAG
'법원	'/SS+법원/NNG
할머니'로	할머니/NNG+'/SS+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.433.9.2
하루 70여명의 민원인이 그를 찾는다.

하루	하루/NNG
70여명의	70/SN+여/XSN+명/NNB+의/JKG
민원인이	민원인/NNG+이/JKS
그를	그/NP+를/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000022.433.9.3
책상 앞에 줄을 서 기다리는 민원인들 때문에 화장실 가려고 자리를 비울 때도 신경이 쓰인다.

책상	책상/NNG
앞에	앞/NNG+에/JKB
줄을	줄/NNG+을/JKO
서	서/VV+어/EC
기다리는	기다리/VV+는/ETM
민원인들	민원인/NNG+들/XSN
때문에	때문/NNB+에/JKB
화장실	화장실/NNG
가려고	가/VV+려고/EC
자리를	자리/NNG+를/JKO
비울	비우/VV+ㄹ/ETM
때도	때/NNG+도/JX
신경이	신경/NNG+이/JKS
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.433.9.4
점심을 거를 때도 적지 않다.

점심을	점심/NNG+을/JKO
거를	거르/VV+ㄹ/ETM
때도	때/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000022.433.9.5
"공소시효 10년의 마지막날이라며 도와 달라는데 어떻게 안 해줘요.

"공소시효	"/SS+공소/NNG+시효/NNG
10년의	10/SN+년/NNB+의/JKG
마지막날이라며	마지막/NNG+날/NNG+이/VCP+라며/EC
도와	돕/VV+아/EC
달라는데	달/VX+라는데/EC
어떻게	어떻/VA+게/EC
안	안/MAG
해줘요.	하/VV+아/EC+주/VX+어요/EF+./SF


# id : NWRW1800000022.433.9.6
저야 밥 한 끼 안 먹으면 되지만 민원인들에겐 인생이 달린 문제잖아요."

저야	저/NP+야/JX
밥	밥/NNG
한	한/MMN
끼	끼/NNG
안	안/MAG
먹으면	먹/VV+으면/EC
되지만	되/VV+지만/EC
민원인들에겐	민원인/NNG+들/XSN+에게/JKB+ㄴ/JX
인생이	인생/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
문제잖아요."	문제/NNG+이/VCP+잖아/EF+요/JX+./SF+"/SS


# id : NWRW1800000022.433.10.1
10년간 그의 도움을 받은 민원인들은 수만명에 달한다.

10년간	10/SN+년/NNB+간/XSN
그의	그/NP+의/JKG
도움을	도움/NNG+을/JKO
받은	받/VV+은/ETM
민원인들은	민원인/NNG+들/XSN+은/JX
수만명에	수만/NR+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.433.10.2
이혼하러 온 부부를 여러 차례 설득해 "선생님 덕분에 지금 잘 산다"는 인사를 받은 적이 여러 번이다.

이혼하러	이혼/NNG+하/XSV+러/EC
온	오/VV+ㄴ/ETM
부부를	부부/NNG+를/JKO
여러	여러/MMN
차례	차례/NNG
설득해	설득/NNG+하/XSV+아/EC
"선생님	"/SS+선생/NNG+님/XSN
덕분에	덕분/NNG+에/JKB
지금	지금/MAG
잘	잘/MAG
산다"는	살/VV+ㄴ다/EF+"/SS+는/ETM
인사를	인사/NNG+를/JKO
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
번이다.	번/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.433.10.3
교도소에서 그의 소식을 접한 사형수가 "제발 살려 달라"며 편지를 보낸 적도 있다.

교도소에서	교도소/NNG+에서/JKB
그의	그/NP+의/JKG
소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
사형수가	사형수/NNG+가/JKS
"제발	"/SS+제발/MAG
살려	살리/VV+어/EC
달라"며	달/VX+라/EF+"/SS+며/EC
편지를	편지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.433.11.1
"민원인들이 그래요.

"민원인들이	"/SS+민원인/NNG+들/XSN+이/JKS
그래요.	그러/VV+어요/EF+./SF


# id : NWRW1800000022.433.11.2
오래 사시라고.

오래	오래/MAG
사시라고.	살/VV+시/EP+라고/EF+./SF


# id : NWRW1800000022.433.11.3
제가 여기서 일해보니, 어려운 형편 때문에 법률적인 도움을 못 받는 사람이 수두룩해요.

제가	제/NP+가/JKS
여기서	여기/NP+서/JKB
일해보니,	일/NNG+하/XSV+아/EC+보/VX+니/EC+,/SP
어려운	어렵/VA+ㄴ/ETM
형편	형편/NNG
때문에	때문/NNB+에/JKB
법률적인	법률/NNG+적/XSN+이/VCP+ㄴ/ETM
도움을	도움/NNG+을/JKO
못	못/MAG
받는	받/VV+는/ETM
사람이	사람/NNG+이/JKS
수두룩해요.	수두룩하/VA+아요/EF+./SF


# id : NWRW1800000022.433.11.4
그렇다고 제가 일방적으로 남을 돕기만 한 건 아니에요.

그렇다고	그렇/VA+다고/EC
제가	제/NP+가/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
남을	남/NNG+을/JKO
돕기만	돕/VV+기/ETN+만/JX
한	하/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니에요.	아니/VCN+에요/EF+./SF


# id : NWRW1800000022.433.11.5
민원인들이 건네는 작은 격려가 삶의 의욕이자 버팀목이 됐어요."

민원인들이	민원인/NNG+들/XSN+이/JKS
건네는	건네/VV+는/ETM
작은	작/VA+은/ETM
격려가	격려/NNG+가/JKS
삶의	삶/NNG+의/JKG
의욕이자	의욕/NNG+이/VCP+자/EC
버팀목이	버팀목/NNG+이/JKC
됐어요."	되/VV+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.433.12.1
강씨는 휠체어를 타고 온 어느 지체장애인을 잊을 수 없다고 했다.

강씨는	강/NNP+씨/NNB+는/JX
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
어느	어느/MMD
지체장애인을	지체/NNG+장애인/NNG+을/JKO
잊을	잊/VV+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.12.2
"늘 해 왔듯이 도와드렸는데 '구…세…쥬…만…나…씀…미…(구세주 만났습니다)'라고 한 음절씩 띄엄띄엄 인사하더군요.

"늘	"/SS+늘/MAG
해	하/VV+아/EC
왔듯이	오/VX+았/EP+듯이/EC
도와드렸는데	도와드리/VV+었/EP+는데/EC
'구…세…쥬…만…나…씀…미…(구세주	'/SS+구…세…쥬/NNG+…/SE+만…나/VV+…/SE+씀…미/NA+…/SE+(/SS+구세주/NNG
만났습니다)'라고	만나/VV+았/EP+습니다/EF+)/SS+'/SS+라고/JKQ
한	한/MMN
음절씩	음절/NNG+씩/XSN
띄엄띄엄	띄엄띄엄/MAG
인사하더군요.	인사/NNG+하/XSV+더군/EF+요/JX+./SF


# id : NWRW1800000022.433.12.3
아, 어찌나 가슴이 뭉클했던지…."

아,	아/IC+,/SP
어찌나	어찌나/MAG
가슴이	가슴/NNG+이/JKS
뭉클했던지…."	뭉클/MAG+하/XSA+았/EP+던지/EF+…/SE+./SF+"/SS


# id : NWRW1800000022.433.13.1
강씨는 '정식' 변호사가 되는 꿈을 아직 버리지 않고 있다.

강씨는	강/NNP+씨/NNB+는/JX
'정식'	'/SS+정식/NNG+'/SS
변호사가	변호사/NNG+가/JKC
되는	되/VV+는/ETM
꿈을	꿈/NNG+을/JKO
아직	아직/MAG
버리지	버리/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.433.13.2
강씨는 "주위에선 무리하지 말라고 하지만, 건강이 허락한다면 다시 법 공부에 도전해 어려운 사람을 돕고 싶다"고 했다.

강씨는	강/NNP+씨/NNB+는/JX
"주위에선	"/SS+주위/NNG+에서/JKB+ㄴ/JX
무리하지	무리/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
하지만,	하/VV+지만/EC+,/SP
건강이	건강/NNG+이/JKS
허락한다면	허락/NNG+하/XSV+ㄴ다면/EC
다시	다시/MAG
법	법/NNG
공부에	공부/NNG+에/JKB
도전해	도전/NNG+하/XSV+아/EC
어려운	어렵/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
돕고	돕/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.433.13.3
대한변협 김평우(64) 회장은 "대한변협이 명예 변호사 위촉증을 드리는 것은 이번이 처음"이라며 "오랜 자원봉사에 감사드리는 뜻"이라고 했다.

대한변협	대한변협/NNP
김평우(64)	김평우/NNP+(/SS+64/SN+)/SS
회장은	회장/NNG+은/JX
"대한변협이	"/SS+대한변협/NNP+이/JKS
명예	명예/NNG
변호사	변호사/NNG
위촉증을	위촉증/NNG+을/JKO
드리는	드리/VV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음"이라며	처음/NNG+"/SS+이/VCP+라며/EC
"오랜	"/SS+오랜/MMA
자원봉사에	자원봉사/NNG+에/JKB
감사드리는	감사/NNG+드리/VV+는/ETM
뜻"이라고	뜻/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


