# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.361
metadata : {}


# id : NWRW1800000054.361.1.1
"나를 비판할 순 있지만 지지자를 비판하는 건 적폐"

"나를	"/SS+나/NP+를/JKO
안 후보는 또 최근 문 후보 측이 부인의 서울대 교수 임용, 딸 재산 공개 여부와 관련한 의혹을 제기하는 데 대해서는 "근거 없는 네거티브를 가족들에게까지 하는 것은 인간의 모습이 아니다"고 했다.

안	안/NNP
후보는	후보/NNG+는/JX
또	또/MAG
최근	최근/MAG
문	문/NNP
후보	후보/NNG
측이	측/NNB+이/JKS
부인의	부인/NNG+의/JKG
서울대	서울대/NNP
교수	교수/NNG
임용,	임용/NNG+,/SP
딸	딸/NNG
재산	재산/NNG
공개	공개/NNG
여부와	여부/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
제기하는	제기/NNG+하/XSV+는/ETM
데	데/NNB
대해서는	대하/VV+아서/EC+는/JX
"근거	"/SS+근거/NNG
없는	없/VA+는/ETM
네거티브를	네거티브/NNG+를/JKO
가족들에게까지	가족/NNG+들/XSN+에게/JKB+까지/JX
하는	하/VV+는/ETM
것은	것/NNB+은/JX
인간의	인간/NNG+의/JKG
모습이	모습/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.5.1
안 후보는 이어 문 후보가 대통령 직속 '4차 산업혁명 위원회'를 설립하겠다고 한 데 대해 "기본 개념이 부족한 것"이라고 했다.

안	안/NNP
후보는	후보/NNG+는/JX
이어	잇/VV+어/EC
문	문/NNP
후보가	후보/NNG+가/JKS
대통령	대통령/NNG
직속	직속/NNG
'4차	'/SS+4/SN+차/NNB
산업혁명	산업/NNG+혁명/NNG
위원회'를	위원회/NNG+'/SS+를/JKO
설립하겠다고	설립/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"기본	"/SS+기본/NNG
개념이	개념/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.5.2
"4차 산업혁명은 정부가 끌고가는 게 아니다"며 "문 후보는 4차 산업혁명이 정부의 운영 방식과 철학에 어떤 영향을 끼치는지 근본적인 고민이 없다"고도 했다.

"4차	"/SS+4/SN+차/NNB
산업혁명은	산업/NNG+혁명/NNG+은/JX
정부가	정부/NNG+가/JKS
끌고가는	끌/VV+고/EC+가/VV+는/ETM
게	거/NNB+이/JKC
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"문	"/SS+문/NNP
후보는	후보/NNG+는/JX
4차	4/SN+차/NNB
산업혁명이	산업/NNG+혁명/NNG+이/JKS
정부의	정부/NNG+의/JKG
운영	운영/NNG
방식과	방식/NNG+과/JC
철학에	철학/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
끼치는지	끼치/VV+는지/EF
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
고민이	고민/NNG+이/JKS
없다"고도	없/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.5.3
문 후보의 '재벌 개혁'과 관련해서도 "기업에 대한 이해가 부족하고, 재벌 개혁을 선악(善惡) 구도로만 바라보는 것 아닌가 싶다"며 "기업은 오너의 사유물이 아니고, 대한민국의 소중한 자산으로서 경쟁력을 높여야 한다는 관점으로 재벌 개혁을 바라봐야 한다"고 했다.

문	문/NNP
후보의	후보/NNG+의/JKG
'재벌	'/SS+재벌/NNG
개혁'과	개혁/NNG+'/SS+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
"기업에	"/SS+기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
부족하고,	부족/NNG+하/XSA+고/EC+,/SP
재벌	재벌/NNG
개혁을	개혁/NNG+을/JKO
선악(善惡)	선악/NNG+(/SS+善惡/SH+)/SS
구도로만	구도/NNG+로/JKB+만/JX
바라보는	바라보/VV+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
싶다"며	싶/VX+다/EF+"/SS+며/EC
"기업은	"/SS+기업/NNG+은/JX
오너의	오너/NNG+의/JKG
사유물이	사유물/NNG+이/JKC
아니고,	아니/VCN+고/EC+,/SP
대한민국의	대한민국/NNP+의/JKG
소중한	소중하/VA+ㄴ/ETM
자산으로서	자산/NNG+으로서/JKB
경쟁력을	경쟁력/NNG+을/JKO
높여야	높이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
관점으로	관점/NNG+으로/JKB
바라봐야	바라보/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.6.1
안 후보는 최근 문 후보가 '안 후보야말로 금수저를 물고 태어났다'고 한 데 대해 "저는 전부 자수성가했지만 문 후보야말로 '정치적인 금수저'"라고 했다.

안	안/NNP
후보는	후보/NNG+는/JX
최근	최근/MAG
문	문/NNP
후보가	후보/NNG+가/JKS
'안	'/SS+안/NNP
후보야말로	후보/NNG+야말로/JX
금수저를	금수저/NNG+를/JKO
물고	물/VV+고/EC
태어났다'고	태어나/VV+았/EP+다/EF+'/SS+고/JKQ
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"저는	"/SS+저/NP+는/JX
전부	전부/MAG
자수성가했지만	자수성가/NNG+하/XSV+았/EP+지만/EC
'정치적인	'/SS+정치/NNG+적/XSN+이/VCP+ㄴ/ETM
금수저'"라고	금수저/NNG+'/SS+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.361.6.2
문 후보가 노무현 정부 청와대 비서실장, 시민사회·민정수석 등을 지내며 그를 통해 정치적으로 대선 후보가 됐다는 의미였다.

문	문/NNP
후보가	후보/NNG+가/JKC
노무현	노무현/NNP
정부	정부/NNG
청와대	청와대/NNP
비서실장,	비서실장/NNG+,/SP
시민사회·민정수석	시민/NNG+사회/NNG+·/SP+민정/NNG+수석/NNG
등을	등/NNB+을/JKO
지내며	지내/VV+며/EC
그를	그/NP+를/JKO
통해	통하/VV+아/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
대선	대선/NNG
됐다는	되/VV+었/EP+다는/ETM
의미였다.	의미/NNG+이/VCP+었/EP+다/EF+./SF


