# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.43
metadata : {}


# id : NWRW1800000045.43.1.1
日경찰, 일가족 살해범 추적 ‘끝까지 간다’

日경찰,	日/SH+경찰/NNG+,/SP
하지만 범행은 대담했다.

하지만	하지만/MAJ
범행은	범행/NNG+은/JX
대담했다.	대담/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.43.4.2
일가족을 잔인하게 살해한 후 냉장고에서 아이스크림과 엽차를 꺼내 먹었을 정도였다.

일가족을	일가족/NNG+을/JKO
잔인하게	잔인/NNG+하/XSA+게/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
후	후/NNG
냉장고에서	냉장고/NNG+에서/JKB
아이스크림과	아이스크림/NNG+과/JC
엽차를	엽차/NNG+를/JKO
꺼내	꺼내/VV+어/EC
먹었을	먹/VV+었/EP+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.43.4.3
1층 서재에서 피해자의 컴퓨터를 만지기도 했으며 2층 소파에서 잠시 눈을 붙이기도 했다.

1층	1/SN+층/NNG
서재에서	서재/NNG+에서/JKB
피해자의	피해자/NNG+의/JKG
컴퓨터를	컴퓨터/NNG+를/JKO
만지기도	만지/VV+기/ETN+도/JX
했으며	하/VX+았/EP+으며/EC
2층	2/SN+층/NNG
소파에서	소파/NNG+에서/JKB
잠시	잠시/MAG
눈을	눈/NNG+을/JKO
붙이기도	붙이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.43.4.4
잔인하고 대담한 범행에 일본인들과 언론은 경악했다.

잔인하고	잔인/NNG+하/XSA+고/EC
대담한	대담/NNG+하/XSA+ㄴ/ETM
범행에	범행/NNG+에/JKB
일본인들과	일본인/NNG+들/XSN+과/JC
언론은	언론/NNG+은/JX
경악했다.	경악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.43.5.1
하지만 행방을 찾을 수가 없었다.

하지만	하지만/MAJ
행방을	행방/NNG+을/JKO
찾을	찾/VV+을/ETM
수가	수/NNB+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.43.5.2
범인이 신었던 운동화가 한국산 브랜드라는 것이 나와 한국에까지 조사원을 파견해 한국인 전과자들의 지문과 대조했지만 동일한 지문을 가진 한국인을 찾지 못했다.

범인이	범인/NNG+이/JKS
신었던	신/VV+었/EP+던/ETM
운동화가	운동화/NNG+가/JKS
한국산	한국/NNP+산/XSN
브랜드라는	브랜드/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
나와	나오/VV+아/EC
한국에까지	한국/NNP+에/JKB+까지/JX
조사원을	조사원/NNG+을/JKO
파견해	파견/NNG+하/XSV+아/EC
한국인	한국인/NNG
전과자들의	전과자/NNG+들/XSN+의/JKG
지문과	지문/NNG+과/JKB
대조했지만	대조/NNG+하/XSV+았/EP+지만/EC
동일한	동일/NNG+하/XSA+ㄴ/ETM
지문을	지문/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
한국인을	한국인/NNG+을/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.43.5.3
유족들은 가족이 살해를 당한 다른 사건의 유족들과 연대해 2009년 2월 ‘살인사건피해자 유족회’를 만들었다.

유족들은	유족/NNG+들/XSN+은/JX
가족이	가족/NNG+이/JKS
살해를	살해/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
다른	다른/MMD
사건의	사건/NNG+의/JKG
유족들과	유족/NNG+들/XSN+과/JKB
연대해	연대/NNG+하/XSV+아/EC
2009년	2009/SN+년/NNB
2월	2/SN+월/NNB
‘살인사건피해자	‘/SS+살인/NNG+사건/NNG+피해자/NNG
유족회’를	유족회/NNG+’/SS+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.43.5.4
그리고 강력 범죄에 대한 공소시효 폐지를 요구해 결국 2010년 사형에 해당하는 범죄의 공소시효(25년)를 아예 없애는 형사소송법 개정까지 이끌어냈다.

그리고	그리고/MAJ
강력	강력/NNG
범죄에	범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공소시효	공소/NNG+시효/NNG
폐지를	폐지/NNG+를/JKO
요구해	요구/NNG+하/XSV+아/EC
결국	결국/MAG
2010년	2010/SN+년/NNB
사형에	사형/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
범죄의	범죄/NNG+의/JKG
공소시효(25년)를	공소/NNG+시효/NNG+(/SS+25/SN+년/NNB+)/SS+를/JKO
아예	아예/MAG
없애는	없애/VV+는/ETM
형사소송법	형사/NNG+소송법/NNG
개정까지	개정/NNG+까지/JX
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.43.6.1
경시청은 지금까지 연인원 23만 명의 조사원을 투입했다.

경시청은	경시청/NNG+은/JX
지금까지	지금/NNG+까지/JX
연인원	연인원/NNG
23만	23/SN+만/NR
명의	명/NNB+의/JKG
조사원을	조사원/NNG+을/JKO
투입했다.	투입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.43.6.2
지금도 38명이 매달려 있다.

지금도	지금/NNG+도/JX
38명이	38/SN+명/NNB+이/JKS
매달려	매달리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.43.6.3
현장 보호를 위해 24시간 경찰관이 상주해 사건 현장을 지키고 있다.

현장	현장/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
24시간	24/SN+시간/NNB
경찰관이	경찰관/NNG+이/JKS
상주해	상주/NNG+하/XSV+아/EC
사건	사건/NNG
현장을	현장/NNG+을/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.43.6.4
범인 제보자에게 내건 현상금 2000만 엔(약 1억8200만 원)은 현상금 사상 최고 금액이다.

범인	범인/NNG
제보자에게	제보자/NNG+에게/JKB
내건	내걸/VV+ㄴ/ETM
현상금	현상금/NNG
2000만	2000/SN+만/NR
엔(약	엔/NNB+(/SS+약/MMA
1억8200만	1/SN+억/NR+8200/SN+만/NR
원)은	원/NNB+)/SS+은/JX
사상	사상/NNG
최고	최고/NNG
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.43.6.5
사건 발생 14주년인 지난해 12월 30일 경시청 조사원 약 30명이 사건 현장을 찾아 헌화했다.

사건	사건/NNG
발생	발생/NNG
14주년인	14/SN+주년/NNB+이/VCP+ㄴ/ETM
지난해	지난해/NNG
12월	12/SN+월/NNB
30일	30/SN+일/NNB
경시청	경시청/NNG
조사원	조사원/NNG
약	약/MMA
30명이	30/SN+명/NNB+이/JKS
현장을	현장/NNG+을/JKO
찾아	찾/VV+아/EC
헌화했다.	헌화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.43.6.6
니혼게이자이신문에 따르면 아오키 다쓰야(靑木樹哉) 경시청 조사1과장은 헌화 후 “14년간 범인을 잡지 못해 정말 미안하다.

니혼게이자이신문에	니혼게이자이신문/NNP+에/JKB
따르면	따르/VV+면/EC
아오키	아오키/NNP
다쓰야(靑木樹哉)	다쓰야/NNP+(/SS+靑木樹哉/SH+)/SS
경시청	경시청/NNG
조사1과장은	조사/NNG+1/SN+과장/NNG+은/JX
헌화	헌화/NNG
후	후/NNG
“14년간	“/SS+14/SN+년/NNB+간/XSN
범인을	범인/NNG+을/JKO
잡지	잡/VV+지/EC
못해	못하/VX+아/EC
정말	정말/MAG
미안하다.	미안/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.43.6.7
반드시 범인을 잡는다는 결의로 조사에 임하겠다”고 다짐했다고 한다.

반드시	반드시/MAG
범인을	범인/NNG+을/JKO
잡는다는	잡/VV+는다는/ETM
결의로	결의/NNG+로/JKB
조사에	조사/NNG+에/JKB
임하겠다”고	임하/VV+겠/EP+다/EF+”/SS+고/JKQ
다짐했다고	다짐/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


