# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.71
metadata : {}


# id : NWRW1800000045.71.1.1
[신문과 놀자!/주니어를 위한 사설 따라잡기]다친 어린이 내버려둔 학원엔 ‘세림이법’ 없었다

[신문과	[/SS+신문/NNG+과/JKB
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.4.3
어린이가 안전띠를 매지 않았을 때 운전사가 내야 하는 과태료가 6만 원, 안전교육을 받지 않고 운전할 경우 과태료는 8만 원에 불과하다.

어린이가	어린이/NNG+가/JKS
안전띠를	안전띠/NNG+를/JKO
매지	매/VV+지/EC
않았을	않/VX+았/EP+을/ETM
때	때/NNG
운전사가	운전사/NNG+가/JKS
내야	내/VV+어야/EC
하는	하/VX+는/ETM
과태료가	과태료/NNG+가/JKS
6만	6/SN+만/NR
원,	원/NNB+,/SP
안전교육을	안전/NNG+교육/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
운전할	운전/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
과태료는	과태료/NNG+는/JX
8만	8/SN+만/NR
원에	원/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000045.71.4.4
어른들이 정신을 바짝 차리고 어린이들을 보호하도록 처벌을 대폭 강화해야 한다.

어른들이	어른/NNG+들/XSN+이/JKS
정신을	정신/NNG+을/JKO
바짝	바짝/MAG
차리고	차리/VV+고/EC
어린이들을	어린이/NNG+들/XSN+을/JKO
보호하도록	보호/NNG+하/XSV+도록/EC
처벌을	처벌/NNG+을/JKO
대폭	대폭/MAG
강화해야	강화/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.5.1
곧 세월호 참사 1년이다.

곧	곧/MAG
세월호	세월호/NNP
참사	참사/NNG
1년이다.	1/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.71.5.2
온 국민을 충격으로 몰아넣은 사고를 겪었는데도 안전의식은 전혀 나아지지 않고 있다.

온	온/MMN
국민을	국민/NNG+을/JKO
충격으로	충격/NNG+으로/JKB
몰아넣은	몰아넣/VV+은/ETM
사고를	사고/NNG+를/JKO
겪었는데도	겪/VV+었/EP+는데/EC+도/JX
안전의식은	안전/NNG+의식/NNG+은/JX
전혀	전혀/MAG
나아지지	나아지/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.71.5.3
통학차량 운전자가 어린이를 태우면 반드시 안전띠를 채우고, 어린이들이 차를 타고 내릴 때 예외 없이 차에서 운전자가 내리는 행동이 몸에 익을 때까지 교육해야 한다.

통학차량	통학/NNG+차량/NNG
운전자가	운전자/NNG+가/JKS
어린이를	어린이/NNG+를/JKO
태우면	태우/VV+면/EC
반드시	반드시/MAG
안전띠를	안전띠/NNG+를/JKO
채우고,	채우/VV+고/EC+,/SP
어린이들이	어린이/NNG+들/XSN+이/JKS
차를	차/NNG+를/JKO
타고	타/VV+고/EC
내릴	내리/VV+ㄹ/ETM
때	때/NNG
예외	예외/NNG
없이	없이/MAG
차에서	차/NNG+에서/JKB
내리는	내리/VV+는/ETM
행동이	행동/NNG+이/JKS
몸에	몸/NNG+에/JKB
익을	익/VV+을/ETM
때까지	때/NNG+까지/JX
교육해야	교육/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.5.4
사고가 날 때만 반짝 관심을 보였다가 금세 잊는다면 세림이의 비극은 영원히 반복될 수밖에 없다.

사고가	사고/NNG+가/JKS
날	나/VV+ㄹ/ETM
때만	때/NNG+만/JX
반짝	반짝/MAG
관심을	관심/NNG+을/JKO
보였다가	보이/VV+었/EP+다가/EC
금세	금세/MAG
잊는다면	잊/VV+는다면/EC
세림이의	세림이/NNP+의/JKG
비극은	비극/NNG+은/JX
영원히	영원히/MAG
반복될	반복/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.71.5.5
동아일보 4월 3일자 사설 재정리 》

동아일보	동아일보/NNP
4월	4/SN+월/NNB
3일자	3/SN+일/NNB+자/NNG
사설	사설/NNG
재정리	재/XPN+정리/NNG
》	》/SS


# id : NWRW1800000045.71.6.1
▼ 1. 다음 설명에 알맞은 단어를 본문에서 찾아 써보세요.▼

▼	▼/SW
1.	1/SN+./SF
다음	다음/NNG
설명에	설명/NNG+에/JKB
알맞은	알맞/VA+은/ETM
단어를	단어/NNG+를/JKO
본문에서	본문/NNG+에서/JKB
찾아	찾/VV+아/EC
써보세요.▼	쓰/VV+어/EC+보/VX+시/EP+어요/EF+./SF+▼/SW


# id : NWRW1800000045.71.7.1
2013년 충북 청주시에서 김세림 양(당시 3세)이 자신이 다니던 어린이집 통학차량에 치여 목숨을 잃은 사건을 계기로 김 양의 이름을 따 만든 어린이 통학차량의 안전에 관한 법률.

2013년	2013/SN+년/NNB
충북	충북/NNP
청주시에서	청주시/NNP+에서/JKB
김세림	김세림/NNP
양(당시	양/NNB+(/SS+당시/NNG
3세)이	3/SN+세/NNB+)/SS+이/JKS
자신이	자신/NNG+이/JKS
다니던	다니/VV+던/ETM
어린이집	어린이집/NNG
통학차량에	통학/NNG+차량/NNG+에/JKB
치여	치이/VV+어/EC
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
사건을	사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
김	김/NNP
양의	양/NNB+의/JKG
이름을	이름/NNG+을/JKO
따	따/VV+아/EC
만든	만들/VV+ㄴ/ETM
어린이	어린이/NNG
통학차량의	통학/NNG+차량/NNG+의/JKG
안전에	안전/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률.	법률/NNG+./SF


# id : NWRW1800000045.71.8.1
2. 다음 중 현재 시행되고 있는 ‘세림이법’에 대한 설명으로 옳지 않은 것을 고르세요.

2.	2/SN+./SF
다음	다음/NNG
중	중/NNB
현재	현재/MAG
시행되고	시행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
‘세림이법’에	‘/SS+세림이/NNP+법/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
설명으로	설명/NNG+으로/JKB
옳지	옳/VA+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
고르세요.	고르/VV+시/EP+어요/EF+./SF


# id : NWRW1800000045.71.9.1
① 통학차량에 탄 어린이들은 반드시 안전띠를 매야 한다.

①	①/SW
통학차량에	통학/NNG+차량/NNG+에/JKB
탄	타/VV+ㄴ/ETM
어린이들은	어린이/NNG+들/XSN+은/JX
반드시	반드시/MAG
안전띠를	안전띠/NNG+를/JKO
매야	매/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.10.1
② 15인승 이하 통학차량에는 반드시 운전자가 아닌 보호자가 차에 함께 타야 한다.

②	②/SW
15인승	15인승/NNG
이하	이하/NNG
통학차량에는	통학/NNG+차량/NNG+에/JKB+는/JX
반드시	반드시/MAG
운전자가	운전자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
보호자가	보호자/NNG+가/JKS
차에	차/NNG+에/JKB
함께	함께/MAG
타야	타/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.11.1
③ 어린이들이 통학차량에 타고 내릴 때는 운전자가 내려 안전을 확인해야 한다.

③	③/SW
어린이들이	어린이/NNG+들/XSN+이/JKS
통학차량에	통학/NNG+차량/NNG+에/JKB
타고	타/VV+고/EC
내릴	내리/VV+ㄹ/ETM
때는	때/NNG+는/JX
운전자가	운전자/NNG+가/JKS
내려	내리/VV+어/EC
안전을	안전/NNG+을/JKO
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.71.12.1
3. 다음 기사와 본문을 읽고 ‘세림이법’에서 보완해야 될 부분이 무엇인지 찾아보고, 이에 대한 나의 생각을 짧은 글로 정리해보세요.

3.	3/SN+./SF
다음	다음/NNG
기사와	기사/NNG+와/JC
본문을	본문/NNG+을/JKO
읽고	읽/VV+고/EC
‘세림이법’에서	‘/SS+세림이/NNP+법/NNG+’/SS+에서/JKB
보완해야	보완/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
부분이	부분/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
찾아보고,	찾아보/VV+고/EC+,/SP
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
나의	나/NP+의/JKG
생각을	생각/NNG+을/JKO
짧은	짧/VA+은/ETM
글로	글/NNG+로/JKB
정리해보세요.	정리/NNG+하/XSV+아/EC+보/VX+시/EP+어요/EF+./SF


# id : NWRW1800000045.71.13.1
올해 1월 29일부터 시행된 세림이법은 어린이집 통학차량의 안전 강화를 위한 나름의 세세한 조치들을 담고 있다.

올해	올해/NNG
1월	1/SN+월/NNB
29일부터	29/SN+일/NNB+부터/JX
시행된	시행/NNG+되/XSV+ㄴ/ETM
세림이법은	세림이/NNP+법/NNG+은/JX
어린이집	어린이집/NNG
통학차량의	통학/NNG+차량/NNG+의/JKG
안전	안전/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
나름의	나름/NNB+의/JKG
세세한	세세하/VA+ㄴ/ETM
조치들을	조치/NNG+들/XSN+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.71.13.2
모든 어린이집 통학차량의 신고 의무, 어린이집 운영자와 운전자에 대한 교통안전 교육 의무화와 위반 시 처벌, 차를 타고 내릴 때 안전 확인 의무도 포함돼 있다.

모든	모든/MMN
어린이집	어린이집/NNG
통학차량의	통학/NNG+차량/NNG+의/JKG
신고	신고/NNG
의무,	의무/NNG+,/SP
운영자와	운영자/NNG+와/JC
운전자에	운전자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교통안전	교통안전/NNG
교육	교육/NNG
의무화와	의무/NNG+화/XSN+와/JC
위반	위반/NNG
시	시/NNB
처벌,	처벌/NNG+,/SP
차를	차/NNG+를/JKO
타고	타/VV+고/EC
내릴	내리/VV+ㄹ/ETM
때	때/NNG
안전	안전/NNG
확인	확인/NNG
의무도	의무/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.71.14.1
그러나 제도가 아무리 좋아도 지키지 않으면 아무런 소용이 없다.

그러나	그러나/MAJ
제도가	제도/NNG+가/JKS
아무리	아무리/MAG
좋아도	좋/VA+아도/EC
지키지	지키/VV+지/EC
않으면	않/VX+으면/EC
아무런	아무런/MMD
소용이	소용/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.71.14.2
사고를 낸 통학버스는 어린이 통학버스로 경찰에 등록돼 있고 해당 어린이집 원장과 운전사는 지난해 4월 교통안전공단의 안전교육을 이수했는데도 사고를 막지 못했다.

사고를	사고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
통학버스는	통학/NNG+버스/NNG+는/JX
어린이	어린이/NNG
통학버스로	통학/NNG+버스/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
등록돼	등록/NNG+되/XSV+어/EC
있고	있/VX+고/EC
해당	해당/NNG
어린이집	어린이집/NNG
원장과	원장/NNG+과/JC
운전사는	운전사/NNG+는/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
교통안전공단의	교통안전공단/NNP+의/JKG
안전교육을	안전/NNG+교육/NNG+을/JKO
이수했는데도	이수/NNG+하/XSV+았/EP+는데/EC+도/JX
막지	막/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.71.14.3
교육을 하는 쪽이나 받는 쪽이나 형식적 교육에 그친 것은 아닌지 점검할 필요가 있다.

교육을	교육/NNG+을/JKO
하는	하/VV+는/ETM
쪽이나	쪽/NNB+이나/JX
받는	받/VV+는/ETM
형식적	형식/NNG+적/XSN
교육에	교육/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
것은	것/NNB+은/JX
아닌지	아니/VCN+ㄴ지/EC
점검할	점검/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.71.14.4
(동아일보 3월 11일자 사설 발췌)

(동아일보	(/SS+동아일보/NNP
3월	3/SN+월/NNB
11일자	11/SN+일/NNB+자/NNG
사설	사설/NNG
발췌)	발췌/NNG+)/SS


