# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.253
metadata : {}


# id : NWRW1800000045.253.1.1
한화 로저스 190만달러 재계약… 2016 연봉왕

한화	한화/NNP
계약을	계약/NNG+을/JKO
맺어	맺/VV+어/EC
두	두/MMN
명으로	명/NNB+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.253.5.2
그전까지는 클레이턴 커쇼(27·LA 다저스)뿐이었다.

그전까지는	그전/NNG+까지/JX+는/JX
클레이턴	클레이턴/NNP
커쇼(27·LA	커쇼/NNP+(/SS+27/SN+·/SP+LA/SL
다저스)뿐이었다.	다저스/NNP+)/SS+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.253.5.3
2억1000만 달러에 계약한 맥스 셔저(31·워싱턴)를 포함해 메이저리그에서 몸값이 가장 높은 투수 세 명은 모두 선발 투수다.

2억1000만	2/SN+억/NR+1000/SN+만/NR
달러에	달러/NNB+에/JKB
계약한	계약/NNG+하/XSV+ㄴ/ETM
맥스	맥스/NNP
셔저(31·워싱턴)를	셔저/NNP+(/SS+31/SN+·/SP+워싱턴/NNP+)/SS+를/JKO
포함해	포함/NNG+하/XSV+아/EC
메이저리그에서	메이저리그/NNG+에서/JKB
몸값이	몸값/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
투수	투수/NNG
세	세/MMN
명은	명/NNB+은/JX
모두	모두/MAG
선발	선발/NNG
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.6.1
한국 프로야구는 반대다.

한국	한국/NNP
프로야구는	프로/NNG+야구/NNG+는/JX
반대다.	반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.6.2
이날 외국인 투수 로저스(30)는 프로야구 외국인 선수 몸값 최고 기록을 총액 190만 달러(약 22억970만 원)로 경신하며 한화와 재계약했다.

이날	이날/NNG
외국인	외국인/NNG
투수	투수/NNG
로저스(30)는	로저스/NNP+(/SS+30/SN+)/SS+는/JX
프로야구	프로/NNG+야구/NNG
선수	선수/NNG
몸값	몸값/NNG
최고	최고/NNG
기록을	기록/NNG+을/JKO
총액	총액/NNG
190만	190/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
22억970만	22/SN+억/NR+970/SN+만/NR
원)로	원/NNB+)/SS+로/JKB
경신하며	경신/NNG+하/XSV+며/EC
한화와	한화/NNP+와/JKB
재계약했다.	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.253.6.3
KIA도 이날 역대 2위에 해당하는 170만 달러(약 19억7999만 원)에 노에시(28)를 영입했다.

KIA도	KIA/SL+도/JX
이날	이날/NNG
역대	역대/NNG
2위에	2/SN+위/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
170만	170/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
19억7999만	19/SN+억/NR+7999/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
노에시(28)를	노에시/NNP+(/SS+28/SN+)/SS+를/JKO
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.253.6.4
이 둘 말고도 한국 프로야구 연봉 상위 10명 중 7명이 투수다.

이	이/MMD
둘	둘/NR
말고도	말/VV+고/EC+도/JX
한국	한국/NNP
프로야구	프로/NNG+야구/NNG
연봉	연봉/NNG
상위	상위/NNG
10명	10/SN+명/NNB
중	중/NNB
7명이	7/SN+명/NNB+이/JKS
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.6.5
특히 국내 투수 중에서 몸값이 제일 비싼 2명은 모두 구원 투수다.

특히	특히/MAG
국내	국내/NNG
투수	투수/NNG
중에서	중/NNB+에서/JKB
몸값이	몸값/NNG+이/JKS
제일	제일/MAG
비싼	비싸/VA+ㄴ/ETM
2명은	2/SN+명/NNB+은/JX
모두	모두/MAG
구원	구원/NNG
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.7.1
그러나 사실 한국도 티켓 파워를 기준으로 하면 구원 투수보다 선발 투수에게 더 많이 투자하는 게 맞다.

그러나	그러나/MAJ
사실	사실/MAG
한국도	한국/NNP+도/JX
티켓	티켓/NNG
파워를	파워/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
하면	하/VV+면/EC
구원	구원/NNG
투수보다	투수/NNG+보다/JKB
선발	선발/NNG
투수에게	투수/NNG+에게/JKB
더	더/MAG
많이	많이/MAG
투자하는	투자/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞다.	맞/VV+다/EF+./SF


# id : NWRW1800000045.253.7.2
지난겨울 총액 84억 원에 FA 계약을 맺은 두산 선발 장원준(30)이 올 시즌 안방경기에 등판했을 때 평균 관중은 1만6125명으로 팀 평균(1만5561명)보다 564명이 많았다.

지난겨울	지난겨울/NNG
총액	총액/NNG
84억	84/SN+억/NR
원에	원/NNB+에/JKB
FA	FA/SL
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
두산	두산/NNP
선발	선발/NNG
장원준(30)이	장원준/NNP+(/SS+30/SN+)/SS+이/JKS
올	올/NNG
시즌	시즌/NNG
안방경기에	안방/NNG+경기/NNG+에/JKB
등판했을	등판/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
평균	평균/NNG
관중은	관중/NNG+은/JX
1만6125명으로	1/SN+만/NR+6125/SN+명/NNB+으로/JKB
팀	팀/NNG
평균(1만5561명)보다	평균/NNG+(/SS+1/SN+만/NR+5561/SN+명/NNB+)/SS+보다/JKB
564명이	564/SN+명/NNB+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.253.7.3
두산의 관중 1인당 평균 수입을 토대로 어림잡아 보면 장원준은 올해 입장료로 구단에 약 9543만 원을 벌어다 줬다.

두산의	두산/NNP+의/JKG
관중	관중/NNG
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
수입을	수입/NNG+을/JKO
토대로	토대/NNG+로/JKB
어림잡아	어림잡/VV+아/EC
보면	보/VX+면/EC
장원준은	장원준/NNP+은/JX
올해	올해/NNG
입장료로	입장료/NNG+로/JKB
구단에	구단/NNG+에/JKB
약	약/MMA
9543만	9543/SN+만/NR
원을	원/NNB+을/JKO
벌어다	벌/VV+어다/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.253.8.1
연봉을 받는 과정도 다르다.

연봉을	연봉/NNG+을/JKO
받는	받/VV+는/ETM
과정도	과정/NNG+도/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000045.253.8.2
메이저리거들은 연봉을 받으면 세금, 에이전트 비용 등을 먼저 결제해야 한다.

메이저리거들은	메이저리거/NNG+들/XSN+은/JX
연봉을	연봉/NNG+을/JKO
받으면	받/VV+으면/EC
세금,	세금/NNG+,/SP
에이전트	에이전트/NNG
비용	비용/NNG
등을	등/NNB+을/JKO
먼저	먼저/MAG
결제해야	결제/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.253.8.3
‘추추 트레인’ 추신수(33·텍사스)는 “전체 금액 중 47% 정도를 내가 가져간다”고 말했다.

‘추추	‘/SS+추추/NNP
트레인’	트레인/NNP+’/SS
추신수(33·텍사스)는	추신수/NNP+(/SS+33/SN+·/SP+텍사스/NNP+)/SS+는/JX
“전체	“/SS+전체/NNG
금액	금액/NNG
중	중/NNB
47%	47/SN+%/SW
정도를	정도/NNG+를/JKO
내가	내/NP+가/JKS
가져간다”고	가져가/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.253.8.4
일본 역시 외국인 선수는 입단 2년 차까지 20%, 그 뒤로는 25%를 세금으로 내야 한다.

일본	일본/NNP
역시	역시/MAG
외국인	외국인/NNG
선수는	선수/NNG+는/JX
입단	입단/NNG
2년	2/SN+년/NNB
차까지	차/NNB+까지/JX
20%,	20/SN+%/SW+,/SP
그	그/MMD
뒤로는	뒤/NNG+로/JKB+는/JX
25%를	25/SN+%/SW+를/JKO
세금으로	세금/NNG+으로/JKB
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.253.8.5
계약 내용을 세무당국에 정확하게 신고하지 않았다가 적발되면 세율이 40%로 올라가기 때문에 ‘다운계약서’를 쓰기도 어렵다.

계약	계약/NNG
내용을	내용/NNG+을/JKO
세무당국에	세무/NNG+당국/NNG+에/JKB
정확하게	정확/NNG+하/XSA+게/EC
신고하지	신고/NNG+하/XSV+지/EC
않았다가	않/VX+았/EP+다가/EC
적발되면	적발/NNG+되/XSV+면/EC
세율이	세율/NNG+이/JKS
40%로	40/SN+%/SW+로/JKB
올라가기	올라가/VV+기/ETN
때문에	때문/NNB+에/JKB
‘다운계약서’를	‘/SS+다운/NNG+계약서/NNG+’/SS+를/JKO
쓰기도	쓰/VV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000045.253.9.1
반면에 한국은 외국인 선수 영입 때마다 발표 금액이 ‘세후 기준’이라는 이야기가 공공연하게 나돈다.

반면에	반면/NNG+에/JKB
한국은	한국/NNP+은/JX
외국인	외국인/NNG
선수	선수/NNG
영입	영입/NNG
때마다	때/NNG+마다/JX
발표	발표/NNG
금액이	금액/NNG+이/JKS
‘세후	‘/SS+세후/NNG
기준’이라는	기준/NNG+’/SS+이/VCP+라는/ETM
이야기가	이야기/NNG+가/JKS
공공연하게	공공연하/VA+게/EC
나돈다.	나돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.253.9.2
외국인 선수들 숙소 역시 ‘구단 제공’이 일반적이다.

외국인	외국인/NNG
선수들	선수/NNG+들/XSN
숙소	숙소/NNG
역시	역시/MAG
‘구단	‘/SS+구단/NNG
제공’이	제공/NNG+’/SS+이/JKS
일반적이다.	일반/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.253.9.3
한화는 지난해 로저스 어머니의 어깨 치료 비용까지 부담했다.

한화는	한화/NNP+는/JX
지난해	지난해/NNG
로저스	로저스/NNP
어머니의	어머니/NNG+의/JKG
어깨	어깨/NNG
치료	치료/NNG
비용까지	비용/NNG+까지/JX
부담했다.	부담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.253.9.4
일본 언론에서 몸값 300만 달러 이야기가 나온 로저스가 정말 ‘정 때문에’ 한화와 재계약한 건 아닐 확률이 높은 이유다.

일본	일본/NNP
언론에서	언론/NNG+에서/JKB
몸값	몸값/NNG
300만	300/SN+만/NR
달러	달러/NNB
이야기가	이야기/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
로저스가	로저스/NNP+가/JKS
정말	정말/MAG
‘정	‘/SS+정/NNG
때문에’	때문/NNB+에/JKB+’/SS
한화와	한화/NNP+와/JKB
재계약한	재/XPN+계약/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아닐	아니/VCN+ㄹ/ETM
확률이	확률/NNG+이/JKS
높은	높/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


