# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.81
metadata : {}


# id : NWRW1800000044.81.1.1
아프간대선 부정의혹에 결과발표 연기

아프간대선	아프간/NNP+대선/NNG
아프간에서는 지난 4월 대선이 치러져 압둘라 후보가 가니 후보를 13.4%포인트 차로 앞섰지만, 과반을 차지하지는 못해 지난 14일 결선 투표가 진행됐다.

아프간에서는	아프간/NNP+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
대선이	대선/NNG+이/JKS
치러져	치르/VV+어/EC+지/VX+어/EC
압둘라	압둘라/NNP
후보가	후보/NNG+가/JKS
가니	가니/NNP
후보를	후보/NNG+를/JKO
13.4%포인트	13/SN+./SP+4/SN+%포인트/NNG
차로	차/NNG+로/JKB
앞섰지만,	앞서/VV+었/EP+지만/EC+,/SP
과반을	과반/NNG+을/JKO
차지하지는	차지/NNG+하/XSV+지/EC+는/JX
못해	못하/VX+아/EC
14일	14/SN+일/NNB
결선	결선/NNG
투표가	투표/NNG+가/JKS
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.81.9.2
개표 초반 압둘라 후보가 가니 후보에게 오히려 뒤진다고 알려지자, 압둘라 후보 쪽은 ‘산업적 규모’로 부정 선거가 벌어졌다며 개표 중단을 요구하고 있다.

개표	개표/NNG
초반	초반/NNG
압둘라	압둘라/NNP
후보가	후보/NNG+가/JKS
가니	가니/NNP
후보에게	후보/NNG+에게/JKB
오히려	오히려/MAG
뒤진다고	뒤지/VV+ㄴ다고/EC
알려지자,	알려지/VV+자/EC+,/SP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
‘산업적	‘/SS+산업/NNG+적/XSN
규모’로	규모/NNG+’/SS+로/JKB
부정	부정/NNG
선거가	선거/NNG+가/JKS
벌어졌다며	벌어지/VV+었/EP+다며/EC
중단을	중단/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.81.9.3
압둘라 후보 쪽은 가니 후보가 강세를 보이는 동부 지역의 결선 투표율이 1차 투표에 비해 2~3배 상승한 점에 의혹을 제기하고 있다고 <월스트리트 저널>은 전했다.

압둘라	압둘라/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
가니	가니/NNP
후보가	후보/NNG+가/JKS
강세를	강세/NNG+를/JKO
보이는	보이/VV+는/ETM
동부	동부/NNG
지역의	지역/NNG+의/JKG
결선	결선/NNG
투표율이	투표/NNG+율/XSN+이/JKS
1차	1/SN+차/NNB
투표에	투표/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
2~3배	2/SN+~/SO+3/SN+배/NNG
상승한	상승/NNG+하/XSV+ㄴ/ETM
점에	점/NNG+에/JKB
의혹을	의혹/NNG+을/JKO
제기하고	제기/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
<월스트리트	</SS+월스트리트/NNP
저널>은	저널/NNP+>/SS+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.81.9.4
압둘라 후보는 2009년에 하미드 카르자이 현 대통령과 대선에서 맞붙어 진 적이 있는데, 이때도 카르자이를 찍은 것으로 나타난 수백만표가 부정 투표였다고 주장했다.

압둘라	압둘라/NNP
후보는	후보/NNG+는/JX
2009년에	2009/SN+년/NNB+에/JKB
하미드	하미드/NNP
카르자이	카르자이/NNP
현	현/MMD
대통령과	대통령/NNG+과/JKB
대선에서	대선/NNG+에서/JKB
맞붙어	맞붙/VV+어/EC
진	지/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있는데,	있/VA+는데/EC+,/SP
이때도	이때/NNG+도/JX
카르자이를	카르자이/NNP+를/JKO
찍은	찍/VV+은/ETM
것으로	것/NNB+으로/JKB
나타난	나타나/VV+ㄴ/ETM
수백만표가	수백만/NR+표/NNG+가/JKS
부정	부정/NNG
투표였다고	투표/NNG+이/VCP+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.81.10.1
압둘라 후보 지지자 1000여명은 선거 부정을 규탄한다며 수도 카불에서 22일 시위를 벌였다.

압둘라	압둘라/NNP
후보	후보/NNG
지지자	지지자/NNG
1000여명은	1000/SN+여/XSN+명/NNB+은/JX
선거	선거/NNG
부정을	부정/NNG+을/JKO
규탄한다며	규탄/NNG+하/XSV+ㄴ다며/EC
수도	수도/NNG
카불에서	카불/NNP+에서/JKB
22일	22/SN+일/NNB
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.81.10.2
유엔은 성명을 내어 아프간 선관위가 압둘라 후보 쪽이 제기한 녹음테이프 의혹에 대해서 조사를 해야 한다고 밝혔다.

유엔은	유엔/NNP+은/JX
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
아프간	아프간/NNP
선관위가	선관위/NNG+가/JKS
압둘라	압둘라/NNP
후보	후보/NNG
쪽이	쪽/NNB+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
녹음테이프	녹음테이프/NNG
의혹에	의혹/NNG+에/JKB
대해서	대하/VV+아서/EC
조사를	조사/NNG+를/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.81.10.3
아프간 선관위는 원래 결선 투표 잠정 결과를 다음달 2일, 최종 결과를 같은 달 22일 발표할 예정이었으나, 선거 부정 의혹으로 발표를 연기한다고 21일 선언했다.

아프간	아프간/NNP
선관위는	선관위/NNG+는/JX
원래	원래/MAG
결선	결선/NNG
투표	투표/NNG
잠정	잠정/NNG
결과를	결과/NNG+를/JKO
다음달	다음/NNG+달/NNG
2일,	2/SN+일/NNB+,/SP
최종	최종/NNG
같은	같/VA+은/ETM
달	달/NNG
22일	22/SN+일/NNB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이었으나,	예정/NNG+이/VCP+었/EP+으나/EC+,/SP
선거	선거/NNG
부정	부정/NNG
의혹으로	의혹/NNG+으로/JKB
발표를	발표/NNG+를/JKO
연기한다고	연기/NNG+하/XSV+ㄴ다고/EC
21일	21/SN+일/NNB
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


