# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.207
metadata : {}


# id : NWRW1800000030.207.1.1
아듀! 피터팬 김병철

아듀!	아듀/NNG+!/SF
2002~2003시즌	2002/SN+~/SO+2003/SN+시즌/NNG
정규리그	정규/NNG+리그/NNG
최우수선수에	최/XPN+우수/NNG+선수/NNG+에/JKB
오르며	오르/VV+며/EC
팀의	팀/NNG+의/JKG
2연속	2/SN+연속/NNG
우승에	우승/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.207.5.1
김병철은 지난 시즌 플레잉코치로 7경기에만 출전하며 평균 3득점 하는 데 그쳤다.

김병철은	김병철/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
플레잉코치로	플레잉코치/NNG+로/JKB
7경기에만	7/SN+경기/NNG+에/JKB+만/JX
출전하며	출전/NNG+하/XSV+며/EC
평균	평균/NNG
3득점	3/SN+득점/NNG
하는	하/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.207.5.2
얼마 전 자유계약선수로 풀린 그는 현역으로 더 뛰고 싶은 마음이 있었다.

얼마	얼마/NNG
전	전/NNG
자유계약선수로	자유/NNG+계약/NNG+선수/NNG+로/JKB
풀린	풀리/VV+ㄴ/ETM
그는	그/NP+는/JX
현역으로	현역/NNG+으로/JKB
더	더/MAG
뛰고	뛰/VV+고/EC
싶은	싶/VX+은/ETM
마음이	마음/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.207.5.3
오리온스가 최근 네 시즌 동안 최하위인 10위 세 번, 9위 한 번에 머물렀던 터라 그대로 은퇴하기엔 아쉬움이 남았다.

오리온스가	오리온스/NNP+가/JKS
최근	최근/MAG
네	네/MMN
시즌	시즌/NNG
동안	동안/NNG
최하위인	최/XPN+하위/NNG+이/VCP+ㄴ/ETM
10위	10/SN+위/NNB
세	세/MMN
번,	번/NNB+,/SP
9위	9/SN+위/NNB
한	한/MMN
번에	번/NNB+에/JKB
머물렀던	머무르/VV+었/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
그대로	그대로/MAG
은퇴하기엔	은퇴/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
아쉬움이	아쉬움/NNG+이/JKS
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.207.5.4
하지만 신임 추일승 감독이 구상하는 팀의 재건 프로그램에서 김병철의 자리를 찾기는 어려웠다.

하지만	하지만/MAJ
신임	신임/NNG
추일승	추일승/NNP
감독이	감독/NNG+이/JKS
구상하는	구상/NNG+하/XSV+는/ETM
팀의	팀/NNG+의/JKG
재건	재건/NNG
프로그램에서	프로그램/NNG+에서/JKB
김병철의	김병철/NNP+의/JKG
자리를	자리/NNG+를/JKO
찾기는	찾/VV+기/ETN+는/JX
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.207.6.1
오리온스는 2011~2012시즌 홈 개막전 때 김병철에게 은퇴식을 열어줄 예정이다.

오리온스는	오리온스/NNP+는/JX
2011~2012시즌	2011/SN+~/SO+2012/SN+시즌/NNG
홈	홈/NNG
개막전	개막전/NNG
때	때/NNG
김병철에게	김병철/NNP+에게/JKB
은퇴식을	은퇴식/NNG+을/JKO
열어줄	열/VV+어/EC+주/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.207.6.2
그의 등번호 10번은 구단 역사상 처음으로 영구 결번된다.

그의	그/NP+의/JKG
등번호	등/NNG+번호/NNG
10번은	10/SN+번/NNB+은/JX
구단	구단/NNG
역사상	역사/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
영구	영구/NNG
결번된다.	결번/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.207.6.3
김병철은 다음 달 중순부터 구단 운영팀 직원으로 일하며 새 출발한다.

김병철은	김병철/NNP+은/JX
다음	다음/NNG
달	달/NNG
중순부터	중순/NNG+부터/JX
구단	구단/NNG
운영팀	운영/NNG+팀/NNG
직원으로	직원/NNG+으로/JKB
일하며	일/NNG+하/XSV+며/EC
새	새/MMA
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.207.6.4
선수단 지원, 유소년 지도 등의 업무를 맡으면서 단계적으로 지도자 준비를 해 나갈 예정이다.

선수단	선수단/NNG
지원,	지원/NNG+,/SP
유소년	유소년/NNG
지도	지도/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
맡으면서	맡/VV+으면서/EC
단계적으로	단계/NNG+적/XSN+으로/JKB
지도자	지도자/NNG
준비를	준비/NNG+를/JKO
해	하/VV+아/EC
나갈	나가/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.207.7.1
최고령 원년 멤버였던 LG 이창수(41)가 3월에 은퇴한 데 이어 김병철까지 유니폼을 벗으면서 1997~1998시즌 데뷔한 KCC 추승균(37)이 국내 선수 중 최고 베테랑이 됐다.

최고령	최/XPN+고령/NNG
원년	원년/NNG
멤버였던	멤버/NNG+이/VCP+었/EP+던/ETM
LG	LG/SL
이창수(41)가	이창수/NNP+(/SS+41/SN+)/SS+가/JKS
3월에	3/SN+월/NNB+에/JKB
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
김병철까지	김병철/NNP+까지/JX
유니폼을	유니폼/NNG+을/JKO
벗으면서	벗/VV+으면서/EC
1997~1998시즌	1997/SN+~/SO+1998/SN+시즌/NNG
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
KCC	KCC/SL
추승균(37)이	추승균/NNP+(/SS+37/SN+)/SS+이/JKS
국내	국내/NNG
선수	선수/NNG
중	중/NNB
최고	최고/NNG
베테랑이	베테랑/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.207.7.2
지난 시즌 3억5000만원을 받았던 추승균은 2억원을 받는 조건으로 1년 재계약했다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
3억5000만원을	3/SN+억/NR+5000/SN+만/NR+원/NNB+을/JKO
받았던	받/VV+았/EP+던/ETM
추승균은	추승균/NNP+은/JX
2억원을	2/SN+억/NR+원/NNB+을/JKO
받는	받/VV+는/ETM
조건으로	조건/NNG+으로/JKB
1년	1/SN+년/NNB
재계약했다.	재/XPN+계약/NNG+하/XSV+았/EP+다/EF+./SF


