# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.180
metadata : {}


# id : NWRW1800000054.180.1.1
'梨大 부정입학' 정유라에 영장

'梨大	'/SS+梨大/SH
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.180.4.3
정씨는 검찰 조사에서도 비슷하게 진술한 것으로 알려졌다.

정씨는	정/NNP+씨/NNB+는/JX
검찰	검찰/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
비슷하게	비슷하/VA+게/EC
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.180.5.1
그러나 검찰은 정씨가 입학 후 최씨와 함께 이대를 직접 찾아가 최경희 전 총장과 교수들을 만나고, '수업을 받지 않고도 학점을 받는 방법' 등을 들은 점으로 볼 때 정씨 주장은 설득력이 떨어진다고 보고 있다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
정씨가	정/NNP+씨/NNB+가/JKS
입학	입학/NNG
후	후/NNG
최씨와	최/NNP+씨/NNB+와/JKB
함께	함께/MAG
이대를	이대/NNP+를/JKO
직접	직접/MAG
찾아가	찾아가/VV+아/EC
최경희	최경희/NNP
전	전/MMD
총장과	총장/NNG+과/JC
교수들을	교수/NNG+들/XSN+을/JKO
만나고,	만나/VV+고/EC+,/SP
'수업을	'/SS+수업/NNG+을/JKO
받지	받/VV+지/EC
않고도	않/VX+고/EC+도/JX
학점을	학점/NNG+을/JKO
받는	받/VV+는/ETM
방법'	방법/NNG+'/SS
등을	등/NNB+을/JKO
들은	듣/VV+은/ETM
점으로	점/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
정씨	정/NNP+씨/NNB
주장은	주장/NNG+은/JX
설득력이	설득력/NNG+이/JKS
떨어진다고	떨어지/VV+ㄴ다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.180.6.1
정씨는 또 청담고 재학 시절에 최씨가 승마협회 명의로 만든 허위 문서를 학교에 제출해 출석과 봉사활동 시간 등을 인정받은 혐의(위계에 의한 공무집행방해)도 받고 있다.

정씨는	정/NNP+씨/NNB+는/JX
또	또/MAG
청담고	청담고/NNP
재학	재학/NNG
시절에	시절/NNG+에/JKB
최씨가	최/NNP+씨/NNB+가/JKS
승마협회	승마협회/NNP
명의로	명의/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
허위	허위/NNG
문서를	문서/NNG+를/JKO
학교에	학교/NNG+에/JKB
제출해	제출/NNG+하/XSV+아/EC
출석과	출석/NNG+과/JC
봉사활동	봉사/NNG+활동/NNG
시간	시간/NNG
등을	등/NNB+을/JKO
인정받은	인정/NNG+받/XSV+은/ETM
혐의(위계에	혐의/NNG+(/SS+위계/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
공무집행방해)도	공무/NNG+집행/NNG+방해/NNG+)/SS+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.180.6.2
검찰 관계자는 "정씨는 적어도 위법하다는 걸 알고는 있었고, 그렇다면 공범 혐의를 적용할 수 있다고 본다"고 했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"정씨는	"/SS+정/NNP+씨/NNB+는/JX
적어도	적어도/MAG
위법하다는	위법/NNG+하/XSV+다는/ETM
걸	거/NNB+ㄹ/JKO
알고는	알/VV+고/EC+는/JX
있었고,	있/VX+었/EP+고/EC+,/SP
그렇다면	그렇/VA+다면/EC
공범	공범/NNG
혐의를	혐의/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.180.7.1
검찰은 정씨를 구속한 뒤 어머니 최씨가 승마지원비 명목으로 삼성 측으로부터 78억여원을 뇌물로 받아 은닉한 과정에 정씨가 직접 개입했는지 조사할 계획이다.

검찰은	검찰/NNG+은/JX
정씨를	정/NNP+씨/NNB+를/JKO
구속한	구속/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
어머니	어머니/NNG
최씨가	최/NNP+씨/NNB+가/JKS
승마지원비	승마/NNG+지원비/NNG
명목으로	명목/NNG+으로/JKB
삼성	삼성/NNP
측으로부터	측/NNB+으로부터/JKB
78억여원을	78/SN+억/NR+여/XSN+원/NNB+을/JKO
뇌물로	뇌물/NNG+로/JKB
받아	받/VV+아/EC
은닉한	은닉/NNG+하/XSV+ㄴ/ETM
과정에	과정/NNG+에/JKB
정씨가	정/NNP+씨/NNB+가/JKS
직접	직접/MAG
개입했는지	개입/NNG+하/XSV+았/EP+는지/EF
조사할	조사/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


