# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.309
metadata : {}


# id : NWRW1800000044.309.1.1
[싱크탱크 시각] 남북대화 ‘자신감’ 잃은 박근혜 정부 / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
결렬된	결렬/NNG+되/XSV+ㄴ/ETM
회담	회담/NNG
내용이	내용/NNG+이/JKS
‘박근혜	‘/SS+박근혜/NNP
정부가	정부/NNG+가/JKS
60년	60/SN+년/NNB
전	전/NNG
김일성의	김일성/NNP+의/JKG
발언조차	발언/NNG+조차/JX
극복할	극복/NNG+하/XSV+ㄹ/ETM
자신감도	자신감/NNG+도/JX
없는	없/VA+는/ETM
모양이구나’	모양/NNB+이/VCP+구나/EF+’/SS
하는	하/VV+는/ETM
씁쓸함을	씁쓸하/VA+ㅁ/ETN+을/JKO
남겼기	남기/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.5.1
1946년 3월 경평축구대회를 끝으로 중단된 남북 체육교류 재개와 관련한 제안은 초기 북한이 주도했다.

1946년	1946/SN+년/NNB
3월	3/SN+월/NNB
경평축구대회를	경평/NNP+축구/NNG+대회/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
중단된	중단/NNG+되/XSV+ㄴ/ETM
남북	남북/NNP
체육교류	체육/NNG+교류/NNG
재개와	재개/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
제안은	제안/NNG+은/JX
초기	초기/NNG
북한이	북한/NNP+이/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.309.5.2
북한은 1950년대부터 최고인민회의나 노동당 대회 등 다양한 자리에서 체육교류를 언급했다.

북한은	북한/NNP+은/JX
1950년대부터	1950/SN+년대/NNB+부터/JX
최고인민회의나	최고인민회의/NNG+나/JC
노동당	노동당/NNP
대회	대회/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
체육교류를	체육/NNG+교류/NNG+를/JKO
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.309.5.3
김일성 주석도 1972년 5월 극비 방북한 이후락 당시 중앙정보부장에게 “올림픽경기대회를 비롯한 국제적인 체육경기들에 북과 남에서 우수한 선수들을 뽑아 단일팀을 구성”하자고 제안하기도 했다.

김일성	김일성/NNP
주석도	주석/NNG+도/JX
1972년	1972/SN+년/NNB
5월	5/SN+월/NNB
극비	극비/NNG
방북한	방북/NNG+하/XSV+ㄴ/ETM
이후락	이후락/NNP
당시	당시/NNG
중앙정보부장에게	중앙정보부장/NNG+에게/JKB
“올림픽경기대회를	“/SS+올림픽/NNG+경기/NNG+대회/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
체육경기들에	체육/NNG+경기/NNG+들/XSN+에/JKB
북과	북/NNP+과/JC
남에서	남/NNP+에서/JKB
우수한	우수/NNG+하/XSA+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
뽑아	뽑/VV+아/EC
단일팀을	단일팀/NNG+을/JKO
구성”하자고	구성/NNG+”/SS+하/XSV+자고/EC
제안하기도	제안/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.309.6.1
남한은 이런 북한의 제안들을 대부분 ‘공세’로 치부하면서 무시했고, 일부에 대해서만 협상을 수용했다.

남한은	남한/NNP+은/JX
이런	이런/MMD
북한의	북한/NNP+의/JKG
제안들을	제안/NNG+들/XSN+을/JKO
대부분	대/XPN+부분/NNG
‘공세’로	‘/SS+공세/NNG+’/SS+로/JKB
치부하면서	치부/NNG+하/XSV+면서/EC
무시했고,	무시/NNG+하/XSV+았/EP+고/EC+,/SP
일부에	일부/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
협상을	협상/NNG+을/JKO
수용했다.	수용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.309.6.2
이런 태도는 어찌 보면 ‘김일성의 자신감’을 극복하지 못했기에 나온 것으로 해석할 수 있다.

이런	이런/MMD
태도는	태도/NNG+는/JX
어찌	어찌/MAG
보면	보/VV+면/EC
‘김일성의	‘/SS+김일성/NNP+의/JKG
자신감’을	자신감/NNG+’/SS+을/JKO
극복하지	극복/NNG+하/XSV+지/EC
못했기에	못하/VX+았/EP+기에/EC
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.309.7.1
그러므로 남의 현정화와 북의 리분희가 주축이 된 1991년 지바 세계탁구선수권대회 단일팀 구성은 남한으로서는 더욱 특별한 의미를 지닌다.

그러므로	그러므로/MAJ
남의	남/NNP+의/JKG
현정화와	현정화/NNP+와/JC
북의	북/NNP+의/JKG
리분희가	리분희/NNP+가/JKS
주축이	주축/NNG+이/JKC
된	되/VV+ㄴ/ETM
1991년	1991/SN+년/NNB
지바	지바/NNP
세계탁구선수권대회	세계/NNG+탁구/NNG+선수/NNG+권/XSN+대회/NNG
단일팀	단일팀/NNG
구성은	구성/NNG+은/JX
남한으로서는	남한/NNP+으로서/JKB+는/JX
더욱	더욱/MAG
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미를	의미/NNG+를/JKO
지닌다.	지니/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.309.7.2
무엇보다 이것이 남한 정부의 자신감 회복 신호로 읽히기 때문이다.

무엇보다	무엇/NP+보다/JKB
이것이	이것/NP+이/JKS
남한	남한/NNP
정부의	정부/NNG+의/JKG
자신감	자신감/NNG
회복	회복/NNG
신호로	신호/NNG+로/JKB
읽히기	읽히/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.8.1
이후 남쪽 정부는 쭉 자신감을 바탕으로 체육교류를 주도해왔고, 북도 자신감은 많이 약화됐을지 몰라도 ‘자존심’을 가지고 이 문제를 대해왔다.

이후	이후/NNG
남쪽	남쪽/NNG
정부는	정부/NNG+는/JX
쭉	쭉/MAG
자신감을	자신감/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
체육교류를	체육/NNG+교류/NNG+를/JKO
주도해왔고,	주도/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
북도	북/NNP+도/JX
자신감은	자신감/NNG+은/JX
많이	많이/MAG
약화됐을지	약화/NNG+되/XSV+었/EP+을지/EF
몰라도	모르/VV+아도/EC
‘자존심’을	‘/SS+자존심/NNG+’/SS+을/JKO
가지고	가지/VV+고/EC
이	이/MMD
문제를	문제/NNG+를/JKO
대해왔다.	대하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.309.8.2
그것이 6·15 공동선언 이후, 2004년 아테네 올림픽 개·폐막식 동시 입장 등 남북 체육교류에서 큰 진전을 이루어낸 원동력이었다.

그것이	그것/NP+이/JKS
6·15	6/SN+·/SP+15/SN
공동선언	공동/NNG+선언/NNG
이후,	이후/NNG+,/SP
2004년	2004/SN+년/NNB
아테네	아테네/NNP
올림픽	올림픽/NNG
개·폐막식	개·폐막식/NNG
동시	동시/NNG
입장	입장/NNG
등	등/NNB
남북	남북/NNP
체육교류에서	체육/NNG+교류/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
진전을	진전/NNG+을/JKO
이루어낸	이루/VV+어/EC+내/VX+ㄴ/ETM
원동력이었다.	원동력/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.309.9.1
하지만 이번 실무회담에서 남쪽이 보인 것은 ‘북한의 자존심은 뭉개고, 스스로는 자신감을 잃은 모습’이었다.

하지만	하지만/MAJ
이번	이번/NNG
실무회담에서	실무/NNG+회담/NNG+에서/JKB
남쪽이	남쪽/NNG+이/JKS
보인	보이/VV+ㄴ/ETM
것은	것/NNB+은/JX
‘북한의	‘/SS+북한/NNP+의/JKG
자존심은	자존심/NNG+은/JX
뭉개고,	뭉개/VV+고/EC+,/SP
스스로는	스스로/NNG+는/JX
자신감을	자신감/NNG+을/JKO
잃은	잃/VV+은/ETM
모습’이었다.	모습/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.309.9.2
실무회담이 결렬된 날 북한의 <조선중앙통신>은 남한 협상단이 “우리가 일언반구도 하지 않은 우리 선수단과 응원단의 비용 문제를 꺼내들며 자부담이니 뭐니 하고 줴쳐대는 추태를 부리였다”고 폭로했다.

실무회담이	실무/NNG+회담/NNG+이/JKS
결렬된	결렬/NNG+되/XSV+ㄴ/ETM
날	날/NNG
북한의	북한/NNP+의/JKG
<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
남한	남한/NNP
협상단이	협상단/NNG+이/JKS
“우리가	“/SS+우리/NP+가/JKS
일언반구도	일언반구/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
우리	우리/NP
선수단과	선수단/NNG+과/JC
응원단의	응원단/NNG+의/JKG
비용	비용/NNG
문제를	문제/NNG+를/JKO
꺼내들며	꺼내/VV+어/EC+들/VX+며/EC
자부담이니	자부담/NNG+이/VCP+니/EC
뭐니	뭐/NP+이/VCP+니/EC
하고	하/VV+고/EC
줴쳐대는	줴치/VV+어/EC+대/VX+는/ETM
추태를	추태/NNG+를/JKO
부리였다”고	부리/VV+였/EP+다/EF+”/SS+고/JKQ
폭로했다.	폭로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.309.9.3
한마디로 남한 협상대표단이 “너희 돈 없지 않으냐.

한마디로	한마디/NNG+로/JKB
남한	남한/NNP
협상대표단이	협상/NNG+대표단/NNG+이/JKS
“너희	“/SS+너희/NP
돈	돈/NNG
없지	없/VA+지/EC
않으냐.	않/VX+으냐/EF+./SF


# id : NWRW1800000044.309.9.4
돈도 없으면서 왜 그리 응원단은 많이 보내느냐”고 비아냥거리며 북의 자존심을 건드린 모양새다.

돈도	돈/NNG+도/JX
없으면서	없/VA+으면서/EC
왜	왜/MAG
그리	그리/MAG
응원단은	응원단/NNG+은/JX
많이	많이/MAG
보내느냐”고	보내/VV+느냐/EF+”/SS+고/JKQ
비아냥거리며	비아냥거리/VV+며/EC
북의	북/NNP+의/JKG
자존심을	자존심/NNG+을/JKO
건드린	건드리/VV+ㄴ/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.10.1
<조선중앙통신>은 또 남한 대표단이 “공화국기는 물론 ‘한반도기’도 큰 것은 안 된다”고 주장했다고 밝혔다.

<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
또	또/MAG
남한	남한/NNP
대표단이	대표단/NNG+이/JKS
“공화국기는	“/SS+공화국/NNG+기/NNG+는/JX
물론	물론/MAG
‘한반도기’도	‘/SS+한반도/NNP+기/NNG+’/SS+도/JX
큰	크/VA+ㄴ/ETM
것은	것/NNB+은/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다고	주장/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.309.10.2
아마도 북한의 대규모 미녀 응원단이 경기장에서 대형 공화국기와 한반도기를 흔들면 남한 사회에서 북에 대한 이미지가 조금은 긍정적으로 바뀔 가능성이 있다고 생각한 모양이다.

아마도	아마도/MAG
북한의	북한/NNP+의/JKG
대규모	대/XPN+규모/NNG
미녀	미녀/NNG
응원단이	응원단/NNG+이/JKS
경기장에서	경기장/NNG+에서/JKB
대형	대형/NNG
공화국기와	공화국/NNG+기/NNG+와/JC
한반도기를	한반도/NNP+기/NNG+를/JKO
흔들면	흔들/VV+면/EC
남한	남한/NNP
사회에서	사회/NNG+에서/JKB
북에	북/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
조금은	조금/NNG+은/JX
긍정적으로	긍정/NNG+적/XSN+으로/JKB
바뀔	바뀌/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.10.3
참으로 자신감 없는 태도다.

참으로	참으로/MAG
자신감	자신감/NNG
없는	없/VA+는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.11.1
교류는 서로의 긍정적 모습을 확인하고 넓혀가기 위해 하는 것이다.

교류는	교류/NNG+는/JX
서로의	서로/NNG+의/JKG
긍정적	긍정/NNG+적/XSN
모습을	모습/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
넓혀가기	넓히/VV+어/EC+가/VX+기/ETN
위해	위하/VV+아/EC
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.11.2
그런 긍정적 상호 인식의 확장을 통해 남북 긴장을 완화하는 게 교류의 목표다.

그런	그런/MMD
긍정적	긍정/NNG+적/XSN
상호	상호/NNG
인식의	인식/NNG+의/JKG
확장을	확장/NNG+을/JKO
통해	통하/VV+아/EC
남북	남북/NNP
긴장을	긴장/NNG+을/JKO
완화하는	완화/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
교류의	교류/NNG+의/JKG
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.11.3
또 남쪽이 영향을 받으면 북쪽도 영향을 받는다.

또	또/MAG
남쪽이	남쪽/NNG+이/JKS
영향을	영향/NNG+을/JKO
받으면	받/VV+으면/EC
북쪽도	북쪽/NNG+도/JX
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000044.309.11.4
한 예로 북의 퍼스트레이디 리설주가 2005년 인천에 응원단으로 와 남한의 실체를 직접 확인한 것이 북한의 남한 인식에 적지 않은 영향을 주었을 것이다.

한	한/MMN
예로	예/NNG+로/JKB
북의	북/NNP+의/JKG
퍼스트레이디	퍼스트레이디/NNG
리설주가	리설주/NNP+가/JKS
2005년	2005/SN+년/NNB
인천에	인천/NNP+에/JKB
응원단으로	응원단/NNG+으로/JKB
와	오/VV+아/EC
남한의	남한/NNP+의/JKG
실체를	실체/NNG+를/JKO
직접	직접/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
북한의	북한/NNP+의/JKG
남한	남한/NNP
인식에	인식/NNG+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
영향을	영향/NNG+을/JKO
주었을	주/VV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.309.12.1
이런 교류를 위해서는 최소한의 자신감이나 자존심이 있어야 한다.

이런	이런/MMD
교류를	교류/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
최소한의	최소한/NNG+의/JKG
자신감이나	자신감/NNG+이나/JC
자존심이	자존심/NNG+이/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.309.12.2
그런데 박근혜 정부는 햇볕정책 등으로 우리가 쌓아올린 그 자신감을 도대체 어디다 팽개쳐버린 것일까.

그런데	그런데/MAJ
박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
햇볕정책	햇볕/NNG+정책/NNG
등으로	등/NNB+으로/JKB
우리가	우리/NP+가/JKS
쌓아올린	쌓/VV+아/EC+올리/VV+ㄴ/ETM
그	그/MMD
자신감을	자신감/NNG+을/JKO
도대체	도대체/MAG
어디다	어디/NP+다/JX
팽개쳐버린	팽개치/VV+어/EC+버리/VX+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000044.309.12.3
이렇게 자신감도 없는 정부가 어떻게 ‘신뢰 프로세스’는 추진한다는 것일까.

이렇게	이렇/VA+게/EC
자신감도	자신감/NNG+도/JX
없는	없/VA+는/ETM
정부가	정부/NNG+가/JKS
어떻게	어떻/VA+게/EC
‘신뢰	‘/SS+신뢰/NNG
프로세스’는	프로세스/NNG+’/SS+는/JX
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


