# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.329
metadata : {}


# id : NWRW1800000028.329.1.1
풍도와 조어도

풍도와	풍도/NNP+와/JC
분쟁지역으로	분쟁/NNG+지역/NNG+으로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.329.3.3
일본은 이달 초 조어도 인근 해역에서 일본 순시선과 충돌한 중국 어선을 나포하고 선장을 영해침공 혐의로 구속했다.

일본은	일본/NNP+은/JX
이달	이달/NNG
초	초/NNB
조어도	조어도/NNP
인근	인근/NNG
해역에서	해역/NNG+에서/JKB
일본	일본/NNP
순시선과	순시선/NNG+과/JKB
충돌한	충돌/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
어선을	어선/NNG+을/JKO
나포하고	나포/NNG+하/XSV+고/EC
선장을	선장/NNG+을/JKO
영해침공	영해/NNG+침공/NNG
혐의로	혐의/NNG+로/JKB
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.329.3.4
자신들이 주장하고 있는 센카쿠열도에 대한 영토권을 확실하게 행사한 것이다.

자신들이	자신/NNG+들/XSN+이/JKS
주장하고	주장/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
센카쿠열도에	센카쿠열도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
영토권을	영토/NNG+권/XSN+을/JKO
확실하게	확실하/VA+게/EC
행사한	행사/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.329.4.1
그러나 미국의 지원에도 불구하고 중국의 강력한 항의와 압박에 굴복해 지난 24일 중국인 선장을 석방했다.

그러나	그러나/MAJ
미국의	미국/NNP+의/JKG
지원에도	지원/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
중국의	중국/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
항의와	항의/NNG+와/JC
압박에	압박/NNG+에/JKB
굴복해	굴복/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
중국인	중국인/NNG
선장을	선장/NNG+을/JKO
석방했다.	석방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.329.4.2
중국에서는 풀려난 선장을 ‘영웅선장’이라고 한껏 치켜세우며 일본 쪽에 사과와 배상을 요구하고 있다.

중국에서는	중국/NNP+에서/JKB+는/JX
풀려난	풀려나/VV+ㄴ/ETM
선장을	선장/NNG+을/JKO
‘영웅선장’이라고	‘/SS+영웅/NNG+선장/NNG+’/SS+이라고/JKQ
한껏	한껏/MAG
치켜세우며	치켜세우/VV+며/EC
일본	일본/NNP
쪽에	쪽/NNB+에/JKB
사과와	사과/NNG+와/JC
배상을	배상/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.329.4.3
풍도 앞바다에서 일본에 격침됐던 중국이 100여년 만에 부활해 ‘조어도 전장’에서 사실상 일본의 항복을 요구하고 있는 셈이다.

풍도	풍도/NNP
앞바다에서	앞바다/NNG+에서/JKB
일본에	일본/NNP+에/JKB
격침됐던	격침/NNG+되/XSV+었/EP+던/ETM
중국이	중국/NNP+이/JKS
100여년	100/SN+여/XSN+년/NNB
만에	만/NNB+에/JKB
부활해	부활/NNG+하/XSV+아/EC
‘조어도	‘/SS+조어도/NNP
전장’에서	전장/NNG+’/SS+에서/JKB
사실상	사실/NNG+상/XSN
일본의	일본/NNP+의/JKG
항복을	항복/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.329.4.4
청일전쟁 패배로 동북아 패권을 빼앗기고 일본에 2억냥의 배상금을 물어야 했던 과거의 중국이 아니다.

청일전쟁	청일/NNP+전쟁/NNG
패배로	패배/NNG+로/JKB
동북아	동북아/NNP
패권을	패권/NNG+을/JKO
빼앗기고	빼앗기/VV+고/EC
일본에	일본/NNP+에/JKB
2억냥의	2/SN+억/NR+냥/NNB+의/JKG
배상금을	배상금/NNG+을/JKO
물어야	물/VV+어야/EC
했던	하/VX+았/EP+던/ETM
과거의	과거/NNG+의/JKG
중국이	중국/NNP+이/JKS
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.329.5.1
중국과 일본 등 한반도 주변 열강들이 패권 확장을 위해 한치의 양보도 없이 팽팽한 줄다리기를 하고 있는 상황에서 우리는 무엇을 하고 있는가.

중국과	중국/NNP+과/JC
일본	일본/NNP
등	등/NNB
한반도	한반도/NNP
주변	주변/NNG
열강들이	열강/NNG+들/XSN+이/JKS
패권	패권/NNG
확장을	확장/NNG+을/JKO
위해	위하/VV+아/EC
한치의	한/MMN+치/NNB+의/JKG
양보도	양보/NNG+도/JX
없이	없이/MAG
팽팽한	팽팽하/VA+ㄴ/ETM
줄다리기를	줄다리기/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
우리는	우리/NP+는/JX
무엇을	무엇/NP+을/JKO
있는가.	있/VX+는가/EF+./SF


# id : NWRW1800000028.329.5.2
일본이 풍도해전을 교과서에 수록해 ‘승리의 역사’로 기억하고 있는 사이, 우리는 역사 현장인 풍도를 꽃사진을 찍고 낚시나 즐기는 섬 정도로 알고 있었으니 더 말해 무엇하랴.

일본이	일본/NNP+이/JKS
풍도해전을	풍도/NNP+해전/NNG+을/JKO
교과서에	교과서/NNG+에/JKB
수록해	수록/NNG+하/XSV+아/EC
‘승리의	‘/SS+승리/NNG+의/JKG
역사’로	역사/NNG+’/SS+로/JKB
기억하고	기억/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사이,	사이/NNG+,/SP
우리는	우리/NP+는/JX
역사	역사/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
풍도를	풍도/NNP+를/JKO
꽃사진을	꽃/NNG+사진/NNG+을/JKO
찍고	찍/VV+고/EC
낚시나	낚시/NNG+나/JX
즐기는	즐기/VV+는/ETM
섬	섬/NNG
정도로	정도/NNG+로/JKB
알고	알/VV+고/EC
있었으니	있/VX+었/EP+으니/EC
더	더/MAG
말해	말/NNG+하/XSV+아/EC
무엇하랴.	무엇/NP+하/VV+랴/EF+./SF


