# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.4
metadata : {}


# id : NWRW1800000026.4.1.1
[수도권Ⅱ] [지방의회 레이다] 6·2지방선거때 '교육의원'도 새로 뽑는다 외

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
국회 교육과학기술위원회 법안심사소위는 교육의원 출마 자격요건으로 10년 이상의 교직 경력을 요구하는 조항을 삭제했다.

국회	국회/NNG
교육과학기술위원회	교육/NNG+과학/NNG+기술/NNG+위원회/NNG
법안심사소위는	법안/NNG+심사/NNG+소위/NNG+는/JX
교육의원	교육/NNG+의원/NNG
출마	출마/NNG
자격요건으로	자격/NNG+요건/NNG+으로/JKB
10년	10/SN+년/NNB
이상의	이상/NNG+의/JKG
교직	교직/NNG
경력을	경력/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
조항을	조항/NNG+을/JKO
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.4.7.3
또 소선거구제 직접 선출이 아니라 정당 투표 방식의 비례대표제로 변경하는 대안을 내놓았다.

또	또/MAG
소선거구제	소/XPN+선거구/NNG+제/XSN
직접	직접/MAG
선출이	선출/NNG+이/JKC
아니라	아니/VCN+라/EC
정당	정당/NNG
투표	투표/NNG
방식의	방식/NNG+의/JKG
비례대표제로	비례/NNG+대표/NNG+제/XSN+로/JKB
변경하는	변경/NNG+하/XSV+는/ETM
대안을	대안/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.4.7.4
그러나 이를 두고 교육계의 반발에다 교육과학기술위에서 이견이 많아 보류된 상태이다.

그러나	그러나/MAJ
이를	이/NP+를/JKO
두고	두/VV+고/EC
교육계의	교육/NNG+계/XSN+의/JKG
반발에다	반발/NNG+에다/JKB
교육과학기술위에서	교육과학기술위/NNP+에서/JKB
이견이	이견/NNG+이/JKS
많아	많/VA+아/EC
보류된	보류/NNG+되/XSV+ㄴ/ETM
상태이다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.4.8.1
경기도의회 올해 회의 135일간 열어

경기도의회	경기도의회/NNP
올해	올해/NNG
회의	회의/NNG
135일간	135/SN+일/NNB+간/XSN
열어	열/VV+어/EC


# id : NWRW1800000026.4.9.1
경기도의회는 올해 정례회 2회 48일, 임시회 7회 77일 등 모두 9회에 걸쳐 135일 동안 회의를 열기로 했다.

경기도의회는	경기도의회/NNP+는/JX
올해	올해/NNG
정례회	정례회/NNG
2회	2/SN+회/NNB
48일,	48/SN+일/NNB+,/SP
임시회	임시회/NNG
7회	7/SN+회/NNB
77일	77/SN+일/NNB
등	등/NNB
모두	모두/MAG
9회에	9/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
135일	135/SN+일/NNB
동안	동안/NNG
회의를	회의/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.4.9.2
또 1월, 5월, 8월에는 정례회나 임시회가 예정돼 있지 않다.

또	또/MAG
1월,	1/SN+월/NNB+,/SP
5월,	5/SN+월/NNB+,/SP
8월에는	8/SN+월/NNB+에/JKB+는/JX
정례회나	정례회/NNG+나/JC
임시회가	임시회/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000026.4.9.3
그러나 소집 절차를 거쳐 임시회를 개원하거나 필요에 따라 상임위원회를 열 수 있다.

그러나	그러나/MAJ
소집	소집/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
임시회를	임시회/NNG+를/JKO
개원하거나	개원/NNG+하/XSV+거나/EC
필요에	필요/NNG+에/JKB
따라	따르/VV+아/EC
상임위원회를	상임/NNG+위원회/NNG+를/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.4.9.4
다만 5월은 6·2 전국동시 지방선거를 앞두고 있어 사실상 의회가 활동을 접게 될 전망이다.

다만	다만/MAG
5월은	5/SN+월/NNB+은/JX
6·2	6/SN+·/SP+2/SN
전국동시	전국/NNG+동시/NNG
지방선거를	지방/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
있어	있/VX+어/EC
사실상	사실/NNG+상/XSN
의회가	의회/NNG+가/JKS
활동을	활동/NNG+을/JKO
접게	접/VV+게/EC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.4.10.1
경기도의회에 따르면 임기가 6개월밖에 남지 않은 제7대 의회는 2월 임시회를 열고 교섭단체 대표연설, 도정·교육행정 업무보고, 조례안 등 안건 심의를 진행하게 된다.

경기도의회에	경기도의회/NNP+에/JKB
따르면	따르/VV+면/EC
임기가	임기/NNG+가/JKS
6개월밖에	6/SN+개월/NNB+밖에/JX
남지	남/VV+지/EC
않은	않/VX+은/ETM
제7대	제/XPN+7/SN+대/NNB
의회는	의회/NNG+는/JX
2월	2/SN+월/NNB
임시회를	임시회/NNG+를/JKO
열고	열/VV+고/EC
교섭단체	교섭/NNG+단체/NNG
대표연설,	대표/NNG+연설/NNG+,/SP
도정·교육행정	도정/NNG+·/SP+교육/NNG+행정/NNG
업무보고,	업무/NNG+보고/NNG+,/SP
조례안	조례안/NNG
등	등/NNB
안건	안건/NNG
심의를	심의/NNG+를/JKO
진행하게	진행/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.10.2
또 4월 제1회 추경예산 심의에 이어 6월 임시회에서 7대 의회를 마감하게 된다.

또	또/MAG
4월	4/SN+월/NNB
제1회	제/XPN+1/SN+회/NNB
추경예산	추경/NNG+예산/NNG
심의에	심의/NNG+에/JKB
이어	잇/VV+어/EC
6월	6/SN+월/NNB
임시회에서	임시회/NNG+에서/JKB
7대	7/SN+대/NNB
의회를	의회/NNG+를/JKO
마감하게	마감/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.4.11.1
지방선거 이후 새로 구성되는 제8대 의회는 7월 5일에 첫 회의가 열려 의장·부의장, 상임위원장 선출 등 원구성과 함께 개원식을 갖고 활동을 시작하게 된다.

지방선거	지방/NNG+선거/NNG
이후	이후/NNG
새로	새로/MAG
구성되는	구성/NNG+되/XSV+는/ETM
제8대	제/XPN+8/SN+대/NNB
의회는	의회/NNG+는/JX
7월	7/SN+월/NNB
5일에	5/SN+일/NNB+에/JKB
첫	첫/MMN
회의가	회의/NNG+가/JKS
열려	열리/VV+어/EC
의장·부의장,	의장/NNG+·/SP+부의장/NNG+,/SP
상임위원장	상임/NNG+위원장/NNG
선출	선출/NNG
등	등/NNB
원구성과	원/NNG+구성/NNG+과/JKB
함께	함께/MAG
개원식을	개원식/NNG+을/JKO
갖고	갖/VV+고/EC
활동을	활동/NNG+을/JKO
시작하게	시작/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


