# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.66
metadata : {}


# id : NWRW1800000049.66.1.1
[에너지 Innovation]에너지저장장치-전기차 배터리 글로벌 시장 선도

[에너지	[/SS+에너지/NNG
# id : NWRW1800000049.66.3.1
LG화학은 미래 친환경 에너지시장의 핵심 성장동력으로 손꼽히는 ‘에너지저장장치(ESS)’와 ‘전기차 배터리 시장’에서 글로벌 시장 선도를 본격화할 예정이다.

LG화학은	LG화학/NNP+은/JX
미래	미래/NNG
친환경	친/XPN+환경/NNG
에너지시장의	에너지/NNG+시장/NNG+의/JKG
핵심	핵심/NNG
성장동력으로	성장/NNG+동력/NNG+으로/JKB
손꼽히는	손꼽히/VV+는/ETM
‘에너지저장장치(ESS)’와	‘/SS+에너지/NNG+저장/NNG+장치/NNG+(/SS+ESS/SL+)/SS+’/SS+와/JC
‘전기차	‘/SS+전기/NNG+차/NNG
배터리	배터리/NNG
시장’에서	시장/NNG+’/SS+에서/JKB
글로벌	글로벌/NNG
시장	시장/NNG
선도를	선도/NNG+를/JKO
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.3.2
2010년 북미 지역에 가정용 ESS 배터리를 처음 공급한 LG화학은 전 세계 주요 지역에 ESS를 공급하며 글로벌 영향력을 점차 확대해왔다.

2010년	2010/SN+년/NNB
북미	북미/NNP
지역에	지역/NNG+에/JKB
가정용	가정/NNG+용/XSN
ESS	ESS/SL
배터리를	배터리/NNG+를/JKO
처음	처음/NNG
공급한	공급/NNG+하/XSV+ㄴ/ETM
LG화학은	LG화학/NNP+은/JX
전	전/MMN
세계	세계/NNG
주요	주요/NNG
ESS를	ESS/SL+를/JKO
공급하며	공급/NNG+하/XSV+며/EC
글로벌	글로벌/NNG
영향력을	영향력/NNG+을/JKO
점차	점차/MAG
확대해왔다.	확대/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.66.3.3
2013년 북미 최대인 32MWh 규모 ESS 실증사업에 배터리를 공급했고, 2015년 11월엔 독일 서부 6개 지역에 구축 예정인 세계 최대 140MWh급 주파수 조정용 ESS 프로젝트의 단독 배터리 공급업체로 선정됐다.

2013년	2013/SN+년/NNB
북미	북미/NNP
최대인	최대/NNG+이/VCP+ㄴ/ETM
32MWh	32/SN+MWh/SW
규모	규모/NNG
ESS	ESS/SL
실증사업에	실증/NNG+사업/NNG+에/JKB
배터리를	배터리/NNG+를/JKO
공급했고,	공급/NNG+하/XSV+았/EP+고/EC+,/SP
2015년	2015/SN+년/NNB
11월엔	11/SN+월/NNB+에/JKB+ㄴ/JX
독일	독일/NNP
서부	서부/NNG
6개	6/SN+개/NNB
지역에	지역/NNG+에/JKB
구축	구축/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
세계	세계/NNG
최대	최대/NNG
140MWh급	140MWh급/NNG
주파수	주파수/NNG
조정용	조정/NNG+용/XSN
프로젝트의	프로젝트/NNG+의/JKG
단독	단독/NNG
배터리	배터리/NNG
공급업체로	공급업체/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.66.3.4
지난해 1월엔 일본 홋카이도 지역에 상업용 최대인 31MWh 규모의 ESS 배터리를 공급했고 아프리카 레위니옹(Reunion)에 신재생에너지 출력 안정화용 ESS 배터리도 공급했다.

지난해	지난해/NNG
1월엔	1/SN+월/NNB+에/JKB+ㄴ/JX
일본	일본/NNP
홋카이도	홋카이도/NNP
지역에	지역/NNG+에/JKB
상업용	상업/NNG+용/XSN
최대인	최대/NNG+이/VCP+ㄴ/ETM
31MWh	31/SN+MWh/SW
규모의	규모/NNG+의/JKG
ESS	ESS/SL
배터리를	배터리/NNG+를/JKO
공급했고	공급/NNG+하/XSV+았/EP+고/EC
아프리카	아프리카/NNP
레위니옹(Reunion)에	레위니옹/NNP+(/SS+Reunion/SL+)/SS+에/JKB
신재생에너지	신/XPN+재생/NNG+에너지/NNG
출력	출력/NNG
안정화용	안정/NNG+화/XSN+용/XSN
배터리도	배터리/NNG+도/JX
공급했다.	공급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.66.3.5
지난해 12월엔 세계 1위 ESS 기업인 ‘AES Energy Storage’와 ESS 분야 최초로 ‘기가와트시(GWh)’ 규모의 배터리 공급 계약을 체결했다.

지난해	지난해/NNG
12월엔	12/SN+월/NNB+에/JKB+ㄴ/JX
세계	세계/NNG
1위	1/SN+위/NNB
ESS	ESS/SL
기업인	기업/NNG+이/VCP+ㄴ/ETM
‘AES	‘/SS+AES/SL
Energy	Energy/SL
Storage’와	Storage/SL+’/SS+와/JC
분야	분야/NNG
최초로	최초/NNG+로/JKB
‘기가와트시(GWh)’	‘/SS+기가와트시/NNB+(/SS+GWh/SW+)/SS+’/SS
규모의	규모/NNG+의/JKG
배터리	배터리/NNG
공급	공급/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.66.4.1
LG화학은 전력난 극복을 위한 방안으로 ESS를 적극 활용 중이다.

LG화학은	LG화학/NNP+은/JX
전력난	전력난/NNG
극복을	극복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
ESS를	ESS/SL+를/JKO
적극	적극/NNG
활용	활용/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.4.2
석유화학공장인 전북 익산사업장과 이차전지 생산공장인 충북 오창사업장에 각각 23MWh와 7MWh급의 초대형 ESS를 설치해 2014년 7월부터 운영하고 있다.

석유화학공장인	석유/NNG+화학/NNG+공장/NNG+이/VCP+ㄴ/ETM
전북	전북/NNP
익산사업장과	익산/NNP+사업장/NNG+과/JC
이차전지	이차/NNG+전지/NNG
생산공장인	생산/NNG+공장/NNG+이/VCP+ㄴ/ETM
충북	충북/NNP
오창사업장에	오창/NNP+사업장/NNG+에/JKB
각각	각각/MAG
23MWh와	23/SN+MWh/SW+와/JC
7MWh급의	7MWh급/NNG+의/JKG
초대형	초/XPN+대형/NNG
ESS를	ESS/SL+를/JKO
설치해	설치/NNG+하/XSV+아/EC
2014년	2014/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.66.4.3
국내 전력망과 사업장을 통틀어 30MWh급의 초대형 ESS가 상용화된 최초 사례로 2500가구가 하루 동안 사용할 수 있는 전력량이다.

국내	국내/NNG
전력망과	전력망/NNG+과/JC
사업장을	사업장/NNG+을/JKO
통틀어	통틀어/MAG
30MWh급의	30MWh급/NNG+의/JKG
초대형	초/XPN+대형/NNG
ESS가	ESS/SL+가/JKS
상용화된	상용/NNG+화/XSN+되/XSV+ㄴ/ETM
최초	최초/NNG
사례로	사례/NNG+로/JKB
2500가구가	2500/SN+가구/NNG+가/JKS
하루	하루/NNG
동안	동안/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전력량이다.	전력량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.4.4
요금이 낮은 심야에 전기를 저장했다가 요금이 비싼 낮시간에 활용하고 있다.

요금이	요금/NNG+이/JKS
낮은	낮/VA+은/ETM
심야에	심야/NNG+에/JKB
전기를	전기/NNG+를/JKO
저장했다가	저장/NNG+하/XSV+았/EP+다가/EC
비싼	비싸/VA+ㄴ/ETM
낮시간에	낮/NNG+시간/NNG+에/JKB
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.66.4.5
두 공장을 합쳐 연간 13억 원 이상의 전기요금을 절약 중이다.

두	두/MMN
공장을	공장/NNG+을/JKO
합쳐	합치/VV+어/EC
연간	연간/NNG
13억	13/SN+억/NR
원	원/NNB
이상의	이상/NNG+의/JKG
전기요금을	전기/NNG+요금/NNG+을/JKO
절약	절약/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.5.1
LG화학은 전기차 시장에서도 20여 곳에 이르는 글로벌 완성차업체에 배터리를 공급 중이다.

LG화학은	LG화학/NNP+은/JX
전기차	전기/NNG+차/NNG
시장에서도	시장/NNG+에서/JKB+도/JX
20여	20/SN+여/XSN
곳에	곳/NNG+에/JKB
이르는	이르/VV+는/ETM
글로벌	글로벌/NNG
완성차업체에	완성차업체/NNG+에/JKB
배터리를	배터리/NNG+를/JKO
공급	공급/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.5.2
주요 고객사로는 현대·기아자동차, GM, 포드, 폴크스바겐, 르노, 볼보, 아우디 등이다.

주요	주요/NNG
고객사로는	고객사/NNG+로/JKB+는/JX
현대·기아자동차,	현대/NNP+·/SP+기아자동차/NNP+,/SP
GM,	GM/SL+,/SP
포드,	포드/NNP+,/SP
폴크스바겐,	폴크스바겐/NNP+,/SP
르노,	르노/NNP+,/SP
볼보,	볼보/NNP+,/SP
아우디	아우디/NNP
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.5.3
특히 상해기차, 장성기차, 제일기차, 체리기차 등 중국의 상위 10개 완성차업체 중 절반이 넘는 곳을 고객사로 확보해 수주 1위를 달성 중이다.

특히	특히/MAG
상해기차,	상해기차/NNP+,/SP
장성기차,	장성기차/NNP+,/SP
제일기차,	제일기차/NNP+,/SP
체리기차	체리기차/NNP
등	등/NNB
중국의	중국/NNP+의/JKG
상위	상위/NNG
10개	10/SN+개/NNB
완성차업체	완성차업체/NNG
중	중/NNB
절반이	절반/NNG+이/JKS
넘는	넘/VV+는/ETM
곳을	곳/NNG+을/JKO
고객사로	고객사/NNG+로/JKB
확보해	확보/NNG+하/XSV+아/EC
수주	수주/NNG
1위를	1/SN+위/NNB+를/JKO
달성	달성/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.66.5.4
중국 난징에 전기차 배터리 공장을 짓는 등 중국 시장 공략을 강화해 나가고 있다.

중국	중국/NNP
난징에	난징/NNP+에/JKB
전기차	전기/NNG+차/NNG
배터리	배터리/NNG
공장을	공장/NNG+을/JKO
짓는	짓/VV+는/ETM
등	등/NNB
시장	시장/NNG
공략을	공략/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.66.6.1
LG화학은 한번 충전에 320km 이상 갈 수 있는 배터리를 개발했으며, 글로벌 완성차업체와의 기술 협력을 통해 500km 이상 주행이 가능한 배터리도 수년 내 개발할 예정이다.

LG화학은	LG화학/NNP+은/JX
한번	한번/NNG
충전에	충전/NNG+에/JKB
320km	320/SN+km/SW
이상	이상/NNG
갈	가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
배터리를	배터리/NNG+를/JKO
개발했으며,	개발/NNG+하/XSV+았/EP+으며/EC+,/SP
글로벌	글로벌/NNG
완성차업체와의	완성차업체/NNG+와/JKB+의/JKG
기술	기술/NNG
협력을	협력/NNG+을/JKO
통해	통하/VV+아/EC
500km	500/SN+km/SW
주행이	주행/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
배터리도	배터리/NNG+도/JX
수년	수년/NNG
내	내/NNB
개발할	개발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


