# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.100
metadata : {}


# id : NWRW1800000041.100.1.1
건국대, 외부 연구비 수주액, 2013년 1000억원 넘어

건국대,	건국대/NNP+,/SP
행사를	행사/NNG+를/JKO
열어	열/VV+어/EC
산학협력	산학/NNG+협력/NNG
기반을	기반/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.10.1
이처럼 건국대가 산학협력을 통한 기술 실용화에 본격적으로 나서면서 기업들의 관심도 커지고 있다.

이처럼	이/NP+처럼/JKB
건국대가	건국대/NNP+가/JKS
산학협력을	산학/NNG+협력/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
기술	기술/NNG
실용화에	실용/NNG+화/XSN+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
나서면서	나서/VV+면서/EC
기업들의	기업/NNG+들/XSN+의/JKG
관심도	관심/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.100.10.2
항암제를 연구하는 국내 바이오 벤처기업들이 생명특성화대학 임융호, 이영한, 신순영 교수의 항암물질 개발에 투자한 것이 좋은 예다.

항암제를	항암제/NNG+를/JKO
연구하는	연구/NNG+하/XSV+는/ETM
국내	국내/NNG
바이오	바이오/NNG
벤처기업들이	벤처/NNG+기업/NNG+들/XSN+이/JKS
생명특성화대학	생명/NNG+특성/NNG+화/XSN+대학/NNG
임융호,	임융호/NNP+,/SP
이영한,	이영한/NNP+,/SP
신순영	신순영/NNP
교수의	교수/NNG+의/JKG
항암물질	항암/NNG+물질/NNG
개발에	개발/NNG+에/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
좋은	좋/VA+은/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.11.1
이들 교수진은 우수한 폴리페놀 화합물 ‘DPP-23’을 개발해 대량생산까지 성공해 해외 유명 저널들에 실렸다.

이들	이/NP+들/XSN
교수진은	교수진/NNG+은/JX
우수한	우수/NNG+하/XSA+ㄴ/ETM
폴리페놀	폴리페놀/NNG
화합물	화합물/NNG
‘DPP-23’을	‘/SS+DPP/SL+-/SO+23/SN+’/SS+을/JKO
개발해	개발/NNG+하/XSV+아/EC
대량생산까지	대량/NNG+생산/NNG+까지/JX
성공해	성공/NNG+하/XSV+아/EC
해외	해외/NNG
유명	유명/NNG
저널들에	저널/NNG+들/XSN+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.100.11.2
이 기술은 8월 한 바이오벤처기업과 기술이전 계약을 마치고 3단계 임상실험에 돌입했다.

이	이/MMD
기술은	기술/NNG+은/JX
8월	8/SN+월/NNB
한	한/MMN
바이오벤처기업과	바이오벤처/NNG+기업/NNG+과/JC
기술이전	기술/NNG+이전/NNG
계약을	계약/NNG+을/JKO
마치고	마치/VV+고/EC
3단계	3/SN+단계/NNG
임상실험에	임상/NNG+실험/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.100.12.1
건국대 산학협력단은 지속적으로 연구역량을 강화하고 산학협력을 활성화한다는 계획이다.

건국대	건국대/NNP
산학협력단은	산학/NNG+협력단/NNG+은/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
연구역량을	연구/NNG+역량/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
산학협력을	산학/NNG+협력/NNG+을/JKO
활성화한다는	활성/NNG+화/XSN+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.12.2
30억 원이 넘는 자본금을 출자해 1월 기술지주회사를 설립한 데 이어 올해 안에 자회사 2개를 더 만들 예정이다.

30억	30/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
자본금을	자본금/NNG+을/JKO
출자해	출자/NNG+하/XSV+아/EC
1월	1/SN+월/NNB
기술지주회사를	기술/NNG+지주/NNG+회사/NNG+를/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
안에	안/NNG+에/JKB
자회사	자회사/NNG
2개를	2/SN+개/NNB+를/JKO
더	더/MAG
만들	만들/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.100.13.1
건국대 관계자는 “연구비 수주액의 비약적인 증가를 토대로 선도 분야의 연구경쟁력 강화, 유망 벤처기업 육성과 창업 분위기 고양, 특허 출원 및 기술이전 활성화를 위한 프로그램을 활성화하겠다”고 밝혔다.

건국대	건국대/NNP
관계자는	관계자/NNG+는/JX
“연구비	“/SS+연구비/NNG
수주액의	수주액/NNG+의/JKG
비약적인	비약/NNG+적/XSN+이/VCP+ㄴ/ETM
증가를	증가/NNG+를/JKO
토대로	토대/NNG+로/JKB
선도	선도/NNG
분야의	분야/NNG+의/JKG
연구경쟁력	연구/NNG+경쟁력/NNG
강화,	강화/NNG+,/SP
유망	유망/NNG
벤처기업	벤처/NNG+기업/NNG
육성과	육성/NNG+과/JC
창업	창업/NNG
분위기	분위기/NNG
고양,	고양/NNG+,/SP
특허	특허/NNG
출원	출원/NNG
및	및/MAG
기술이전	기술/NNG+이전/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
활성화하겠다”고	활성/NNG+화/XSN+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


