# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.329
metadata : {}


# id : NWRW1800000046.329.1.1
[與黨은 '사드 의총' 갈등] "野, 잘못된 논리로 반대… 여당이 입 다물어야 하나"

[與黨은	[/SS+與黨/SH+은/JX
있는데	있/VX+는데/EC
집권	집권/NNG
여당이	여당/NNG+이/JKS
입을	입/NNG+을/JKO
다물고	다물/VV+고/EC
있는	있/VX+는/ETM
건	거/NNB+ㄴ/JX
말이	말/NNG+이/JKS
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.329.3.2
그는 "사드 문제에 대해 '전략적 모호성'을 유지하는 건 옳지 않다"고 했다.

그는	그/NP+는/JX
"사드	"/SS+사드/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
'전략적	'/SS+전략/NNG+적/XSN
모호성'을	모호성/NNG+'/SS+을/JKO
유지하는	유지/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
옳지	옳/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.329.4.1
―사드 문제를 의총에서 논의해야 하는 이유는.

―사드	―/SS+사드/NNG
문제를	문제/NNG+를/JKO
의총에서	의총/NNG+에서/JKB
논의해야	논의/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
이유는.	이유/NNG+는/JX+./SF


# id : NWRW1800000046.329.5.1
"새정치민주연합 의원 상당수가 핵탄두를 장착한 북한의 미사일이 낮은 고도로 날아오기 때문에 사드가 필요 없다는 주장을 하고 있다.

"새정치민주연합	"/SS+새정치민주연합/NNP
의원	의원/NNG
상당수가	상당수/NNG+가/JKS
핵탄두를	핵탄두/NNG+를/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
미사일이	미사일/NNG+이/JKS
낮은	낮/VA+은/ETM
고도로	고도/NNG+로/JKB
날아오기	날아오/VV+기/ETN
때문에	때문/NNB+에/JKB
사드가	사드/NNG+가/JKS
필요	필요/NNG
없다는	없/VA+다는/ETM
주장을	주장/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.329.5.2
이는 중국 등의 논리로, 잘못된 것이다."

이는	이/NP+는/JX
중국	중국/NNP
등의	등/NNB+의/JKG
논리로,	논리/NNG+로/JKB+,/SP
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.329.6.1
―고도의 전문성이 필요한 문제를 의총에서 논의하는 건 맞지 않는다는 주장도 있다.

―고도의	―/SS+고도/NNG+의/JKG
전문성이	전문/NNG+성/XSN+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
문제를	문제/NNG+를/JKO
의총에서	의총/NNG+에서/JKB
논의하는	논의/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.329.7.1
"전문성이 당연히 필요하다.

"전문성이	"/SS+전문/NNG+성/XSN+이/JKS
당연히	당연히/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.329.7.2
하지만 야당은 전문성이 있어서 반대하는가.

하지만	하지만/MAJ
야당은	야당/NNG+은/JX
전문성이	전문/NNG+성/XSN+이/JKS
있어서	있/VA+어서/EC
반대하는가.	반대/NNG+하/XSV+는가/EF+./SF


# id : NWRW1800000046.329.7.3
사드 문제는 초당적으로 대처해야 할 국가 안보 사항이다.

사드	사드/NNG
문제는	문제/NNG+는/JX
초당적으로	초당/NNG+적/XSN+으로/JKB
대처해야	대처/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
국가	국가/NNG
안보	안보/NNG
사항이다.	사항/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.329.7.4
이런 문제일수록 의원들이 발제자 설명도 잘 듣고 알아야 한다.

이런	이런/MMD
문제일수록	문제/NNG+이/VCP+ㄹ수록/EC
의원들이	의원/NNG+들/XSN+이/JKS
발제자	발제자/NNG
설명도	설명/NNG+도/JX
잘	잘/MAG
듣고	듣/VV+고/EC
알아야	알/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.329.7.5
그래서 의총이 필요하다."

그래서	그래서/MAJ
의총이	의총/NNG+이/JKS
필요하다."	필요/NNG+하/XSA+다/EF+./SF+"/SS


# id : NWRW1800000046.329.8.1
―의총에서 결정을 내릴 수 있는 건 아니지 않은가.

―의총에서	―/SS+의총/NNG+에서/JKB
결정을	결정/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
아니지	아니/VCN+지/EC
않은가.	않/VX+은가/EF+./SF


# id : NWRW1800000046.329.9.1
"결정은 당연히 정부가 한다.

"결정은	"/SS+결정/NNG+은/JX
당연히	당연히/MAG
정부가	정부/NNG+가/JKS
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.329.9.2
그렇다고 국회가 얘기도 못 하나.

그렇다고	그렇/VA+다고/EC
국회가	국회/NNG+가/JKS
얘기도	얘기/NNG+도/JX
못	못/MAG
하나.	하/VV+나/EF+./SF


# id : NWRW1800000046.329.9.3
의총에서 자유로운 토론을 통해 의견을 수렴해 정부에 전달하는 것이다."

의총에서	의총/NNG+에서/JKB
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
토론을	토론/NNG+을/JKO
통해	통하/VV+아/EC
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
정부에	정부/NNG+에/JKB
전달하는	전달/NNG+하/XSV+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.329.10.1
―김관진 청와대 국가안보실장과 한민구 국방부 장관을 만나 어떤 의견을 나눴나.

―김관진	―/SS+김관진/NNP
청와대	청와대/NNP
국가안보실장과	국가/NNG+안보실장/NNG+과/JC
한민구	한민구/NNP
국방부	국방부/NNG
장관을	장관/NNG+을/JKO
만나	만나/VV+아/EC
어떤	어떤/MMD
의견을	의견/NNG+을/JKO
나눴나.	나누/VV+었/EP+나/EF+./SF


# id : NWRW1800000046.329.11.1
"김 실장은 금주 초에 만났고, 한 장관은 10일쯤 식사를 같이했다.

"김	"/SS+김/NNP
실장은	실장/NNG+은/JX
금주	금주/NNG
초에	초/NNB+에/JKB
만났고,	만나/VV+았/EP+고/EC+,/SP
한	한/NNP
장관은	장관/NNG+은/JX
10일쯤	10/SN+일/NNB+쯤/XSN
식사를	식사/NNG+를/JKO
같이했다.	같이/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.329.11.2
충분히 의견을 교환했고, 사드 배치 필요성에 대해서는 이견이 없었다.

충분히	충분히/MAG
의견을	의견/NNG+을/JKO
교환했고,	교환/NNG+하/XSV+았/EP+고/EC+,/SP
사드	사드/NNG
배치	배치/NNG
필요성에	필요/NNG+성/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
이견이	이견/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.329.11.3
두 사람과는 사드 문제에 대해 수년째 얘기를 해오던 사이다."

두	두/MMN
사람과는	사람/NNG+과/JKB+는/JX
사드	사드/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
수년째	수년/NNG+째/XSN
얘기를	얘기/NNG+를/JKO
해오던	하/VV+아/EC+오/VX+던/ETM
사이다."	사이/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000046.329.12.1
―정부가 어떻게 대응해야 하나.

―정부가	―/SS+정부/NNG+가/JKS
어떻게	어떻/VA+게/EC
대응해야	대응/NNG+하/XSV+아야/EC
하나.	하/VX+나/EF+./SF


# id : NWRW1800000046.329.13.1
"국방부가 지난 17일 밝힌 대로 사드 문제는 국민 생명을 지키는 국가 안보 차원에서 판단하는 게 맞는 방향이다.

"국방부가	"/SS+국방부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
밝힌	밝히/VV+ㄴ/ETM
대로	대로/NNB
사드	사드/NNG
문제는	문제/NNG+는/JX
국민	국민/NNG
생명을	생명/NNG+을/JKO
지키는	지키/VV+는/ETM
국가	국가/NNG
안보	안보/NNG
차원에서	차원/NNG+에서/JKB
판단하는	판단/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞는	맞/VV+는/ETM
방향이다.	방향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.329.13.2
앞으로 외교부가 아니라 국방부가 중심이 돼서 결정해야 한다."

앞으로	앞/NNG+으로/JKB
외교부가	외교부/NNG+가/JKC
아니라	아니/VCN+라/EC
국방부가	국방부/NNG+가/JKS
중심이	중심/NNG+이/JKC
돼서	되/VV+어서/EC
결정해야	결정/NNG+하/XSV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


