# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.355
metadata : {}


# id : NWRW1800000045.355.1.1
학생들 발열여부 매일 체크해야

학생들	학생/NNG+들/XSN
휴업을	휴업/NNG+을/JKO
하는	하/VV+는/ETM
학교는	학교/NNG+는/JX
전국	전국/NNG
6개	6/SN+개/NNB
시도에서	시도/NNG+에서/JKB
약	약/MMA
1790곳으로	1790/SN+곳/NNG+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.355.4.2
초중고교의 휴업이 길어지면서 1학기 교육과정을 제대로 채우지 못할 수 있다는 우려도 나오고 있다.

초중고교의	초중고교/NNG+의/JKG
휴업이	휴업/NNG+이/JKS
길어지면서	길어지/VV+면서/EC
1학기	1/SN+학기/NNG
교육과정을	교육/NNG+과정/NNG+을/JKO
제대로	제대로/MAG
채우지	채우/VV+지/EC
못할	못하/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.355.5.1
교육부에 따르면 메르스로 인한 휴업은 초중등교육법 시행령에 따라 천재지변에 준하는 상황에 해당돼 법정 수업일수(190일 이상)를 10%인 최장 19일까지 단축할 수 있다.

교육부에	교육부/NNG+에/JKB
따르면	따르/VV+면/EC
메르스로	메르스/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
휴업은	휴업/NNG+은/JX
초중등교육법	초중등/NNG+교육법/NNG
시행령에	시행령/NNG+에/JKB
따라	따르/VV+아/EC
천재지변에	천재지변/NNG+에/JKB
준하는	준하/VV+는/ETM
상황에	상황/NNG+에/JKB
해당돼	해당/NNG+되/XSV+어/EC
법정	법정/NNG
수업일수(190일	수업/NNG+일수/NNG+(/SS+190/SN+일/NNB
이상)를	이상/NNG+)/SS+를/JKO
10%인	10/SN+%/SW+이/VCP+ㄴ/ETM
최장	최장/NNG
19일까지	19/SN+일/NNB+까지/JX
단축할	단축/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.355.5.2
그러나 과목별 최소 이수 단위를 충족하고 수업 결손에 따른 보충 일수를 정하려면 교과협의회, 학교운영위원회, 학업성적관리위원회 등 여러 단계의 복잡한 논의를 거쳐야 한다.

그러나	그러나/MAJ
과목별	과목/NNG+별/XSN
최소	최소/NNG
이수	이수/NNG
단위를	단위/NNG+를/JKO
충족하고	충족/NNG+하/XSV+고/EC
수업	수업/NNG
결손에	결손/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
보충	보충/NNG
일수를	일수/NNG+를/JKO
정하려면	정하/VV+려면/EC
교과협의회,	교과/NNG+협의회/NNG+,/SP
학교운영위원회,	학교/NNG+운영/NNG+위원회/NNG+,/SP
학업성적관리위원회	학업/NNG+성적/NNG+관리/NNG+위원회/NNG
등	등/NNB
여러	여러/MMN
단계의	단계/NNG+의/JKG
복잡한	복잡하/VA+ㄴ/ETM
논의를	논의/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.355.5.3
이에 따라 휴업 학교가 많은 지역의 교육청은 일괄적으로 여름방학 기간을 줄이는 방안도 검토할 방침이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
휴업	휴업/NNG
학교가	학교/NNG+가/JKS
많은	많/VA+은/ETM
지역의	지역/NNG+의/JKG
교육청은	교육청/NNG+은/JX
일괄적으로	일괄/NNG+적/XSN+으로/JKB
여름방학	여름/NNG+방학/NNG
기간을	기간/NNG+을/JKO
줄이는	줄이/VV+는/ETM
방안도	방안/NNG+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.355.6.1
휴업이 장기 국면에 돌입함에 따라 학교 및 학부모들도 학생 건강관리에 더욱 신경을 써야 할 상황이 됐다.

휴업이	휴업/NNG+이/JKS
장기	장기/NNG
국면에	국면/NNG+에/JKB
돌입함에	돌입/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
학교	학교/NNG
및	및/MAG
학부모들도	학부모/NNG+들/XSN+도/JX
학생	학생/NNG
건강관리에	건강/NNG+관리/NNG+에/JKB
더욱	더욱/MAG
신경을	신경/NNG+을/JKO
써야	쓰/VV+어야/EC
할	하/VX+ㄹ/ETM
상황이	상황/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.355.6.2
부모의 맞벌이 등으로 휴업 기간에도 등교해야 하는 학생들은 일선 학교가 돌봄교실을 통해 수용하게 된다.

부모의	부모/NNG+의/JKG
맞벌이	맞벌이/NNG
등으로	등/NNB+으로/JKB
휴업	휴업/NNG
기간에도	기간/NNG+에/JKB+도/JX
등교해야	등교/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
학생들은	학생/NNG+들/XSN+은/JX
일선	일선/NNG
학교가	학교/NNG+가/JKS
돌봄교실을	돌봄/NNG+교실/NNG+을/JKO
통해	통하/VV+아/EC
수용하게	수용/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.355.6.3
서울시교육청은 각 학교에 대해 매일 등교하는 학생들의 발열 여부를 확인하도록 지침을 내렸다.

서울시교육청은	서울시교육청/NNP+은/JX
각	각/MMD
학교에	학교/NNG+에/JKB
대해	대하/VV+아/EC
매일	매일/MAG
등교하는	등교/NNG+하/XSV+는/ETM
학생들의	학생/NNG+들/XSN+의/JKG
발열	발열/NNG
여부를	여부/NNG+를/JKO
확인하도록	확인/NNG+하/XSV+도록/EC
지침을	지침/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.355.6.4
학부모들은 본인이나 자녀가 열이 나거나 메르스 의심 증상을 보이는 경우 즉각 보건당국의 지도를 받아 야 한다.

학부모들은	학부모/NNG+들/XSN+은/JX
본인이나	본인/NNG+이나/JC
자녀가	자녀/NNG+가/JKS
열이	열/NNG+이/JKS
나거나	나/VV+거나/EC
메르스	메르스/NNG
의심	의심/NNG
증상을	증상/NNG+을/JKO
보이는	보이/VV+는/ETM
경우	경우/NNG
즉각	즉각/MAG
보건당국의	보건/NNG+당국/NNG+의/JKG
지도를	지도/NNG+를/JKO
받아	받/VV+아/EC
야	야/NA
한다.	하/VX+ㄴ다/EF+./SF


