# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.61
metadata : {}


# id : NWRW1800000054.61.1.1
"트럼프 시대… 희극에서 출발해 비극으로 가는 중"

"트럼프	"/SS+트럼프/NNP
마틸드(소설의	마틸드/NNP+(/SS+소설/NNG+의/JKG
여주인공)가	여주인공/NNG+)/SS+가/JKS
아주	아주/MAG
흥미롭고	흥미/NNG+롭/XSA+고/EC
독특한	독특/NNG+하/XSA+ㄴ/ETM
인물이라고	인물/NNG+이/VCP+라고/EC
언급했다."	언급/NNG+하/XSV+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000054.61.7.1
―독서광으로 소문난 오바마를 미국 언론에선 'Reader-in-chief'(책 읽기의 통수권자)라고 부른다.

―독서광으로	―/SS+독서/NNG+광/XSN+으로/JKB
소문난	소문나/VV+ㄴ/ETM
오바마를	오바마/NNP+를/JKO
미국	미국/NNP
언론에선	언론/NNG+에서/JKB+ㄴ/JX
'Reader-in-chief'(책	'/SS+Reader/SL+-/SO+in/SL+-/SO+chief/SL+'/SS+(/SS+책/NNG
읽기의	읽/VV+기/ETN+의/JKG
통수권자)라고	통수권자/NNG+)/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.61.7.2
대통령의 독서가 국민에게 영향을 미쳤나.

대통령의	대통령/NNG+의/JKG
독서가	독서/NNG+가/JKS
국민에게	국민/NNG+에게/JKB
영향을	영향/NNG+을/JKO
미쳤나.	미치/VV+었/EP+나/EF+./SF


# id : NWRW1800000054.61.8.1
"그랬기를 바란다! 오바마가 공감 능력이 뛰어난 대통령이 될 수 있었던 이유 중 하나는 그가 애서가(愛書家)였다는 것이다.

"그랬기를	"/SS+그렇/VA+었/EP+기/ETN+를/JKO
바란다!	바라/VV+ㄴ다/EF+!/SF
오바마가	오바마/NNP+가/JKS
공감	공감/NNG
능력이	능력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
대통령이	대통령/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
이유	이유/NNG
중	중/NNB
하나는	하나/NR+는/JX
그가	그/NP+가/JKS
애서가(愛書家)였다는	애서가/NNG+(/SS+愛書家/SH+)/SS+이/VCP+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.8.2
그는 깊이 사유하는 사람이다.

그는	그/NP+는/JX
깊이	깊이/MAG
사유하는	사유/NNG+하/XSV+는/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.8.3
나는 당연히 미국인의 절반은 그의 영향을 받았기를 바란다."

나는	나/NP+는/JX
당연히	당연히/MAG
미국인의	미국인/NNG+의/JKG
절반은	절반/NNG+은/JX
그의	그/NP+의/JKG
영향을	영향/NNG+을/JKO
받았기를	받/VV+았/EP+기/ETN+를/JKO
바란다."	바라/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.61.9.1
―소설 '운명과 분노'는 그리스 신화와 비극을 떠올리게 하는데, 트럼프 대통령이 통치하는 미국의 현실은 비극인가, 희극인가.

―소설	―/SS+소설/NNG
'운명과	'/SS+운명/NNG+과/JC
분노'는	분노/NNG+'/SS+는/JX
그리스	그리스/NNP
신화와	신화/NNG+와/JC
비극을	비극/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는데,	하/VX+는데/EC+,/SP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
통치하는	통치/NNG+하/XSV+는/ETM
미국의	미국/NNP+의/JKG
현실은	현실/NNG+은/JX
비극인가,	비극/NNG+이/VCP+ㄴ가/EF+,/SP
희극인가.	희극/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000054.61.10.1
"아, 선거 기간에는 우리 모두 희극이라고 생각했다.

"아,	"/SS+아/IC+,/SP
선거	선거/NNG
기간에는	기간/NNG+에/JKB+는/JX
우리	우리/NP
모두	모두/MAG
희극이라고	희극/NNG+이/VCP+라고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.61.10.2
(끔찍하고 믿을 수 없게도) 그가 집권한 현재는, 당연히 비극이다."

(끔찍하고	(/SS+끔찍하/VA+고/EC
믿을	믿/VV+을/ETM
수	수/NNB
없게도)	없/VA+게/EC+도/JX+)/SS
그가	그/NP+가/JKS
집권한	집권/NNG+하/XSV+ㄴ/ETM
현재는,	현재/NNG+는/JX+,/SP
당연히	당연히/MAG
비극이다."	비극/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000054.61.11.1
―'운명과 분노' 전반부에 미국의 중산층 붕괴와 소득 양극화에 대한 분노를 일부러 깔아놓았는가.

―'운명과	―/SS+'/SS+운명/NNG+과/JC
분노'	분노/NNG+'/SS
전반부에	전반부/NNG+에/JKB
미국의	미국/NNP+의/JKG
중산층	중산/NNG+층/XSN
붕괴와	붕괴/NNG+와/JC
소득	소득/NNG
양극화에	양극/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
분노를	분노/NNG+를/JKO
일부러	일부러/MAG
깔아놓았는가.	깔/VV+아/EC+놓/VX+았/EP+는가/EF+./SF


# id : NWRW1800000054.61.12.1
"그렇다.

"그렇다.	"/SS+그렇/VA+다/EF+./SF


# id : NWRW1800000054.61.12.2
이 책에서 분노는 자신들의 탐욕스러운 손에 최대한의 돈과 권력을 거머쥐기 위해 사회 규칙을 제멋대로 바꾸고 편법을 저질러온 소수의 제멋대로 선택된 집단에 대한 분노다.

이	이/MMD
책에서	책/NNG+에서/JKB
분노는	분노/NNG+는/JX
자신들의	자신/NNG+들/XSN+의/JKG
탐욕스러운	탐욕/NNG+스럽/XSA+ㄴ/ETM
손에	손/NNG+에/JKB
최대한의	최대한/NNG+의/JKG
돈과	돈/NNG+과/JC
권력을	권력/NNG+을/JKO
거머쥐기	거머쥐/VV+기/ETN
위해	위하/VV+아/EC
사회	사회/NNG
규칙을	규칙/NNG+을/JKO
제멋대로	제멋대로/MAG
바꾸고	바꾸/VV+고/EC
편법을	편법/NNG+을/JKO
저질러온	저지르/VV+어/EC+오/VX+ㄴ/ETM
소수의	소수/NNG+의/JKG
선택된	선택/NNG+되/XSV+ㄴ/ETM
집단에	집단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분노다.	분노/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.12.3
나는 국립공원 같은 공동 소유의 재화를 유권자들로부터 갈취한 사기꾼과 그가 속한 정당의 속임수에 경악한다."

나는	나/NP+는/JX
국립공원	국립/NNG+공원/NNG
같은	같/VA+은/ETM
공동	공동/NNG
소유의	소유/NNG+의/JKG
재화를	재화/NNG+를/JKO
유권자들로부터	유권자/NNG+들/XSN+로부터/JKB
갈취한	갈취/NNG+하/XSV+ㄴ/ETM
사기꾼과	사기/NNG+꾼/XSN+과/JC
그가	그/NP+가/JKS
속한	속하/VV+ㄴ/ETM
정당의	정당/NNG+의/JKG
속임수에	속임수/NNG+에/JKB
경악한다."	경악/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.61.13.1
―소설에 등장하는 남자 주인공이 쓴 희곡 중 '애꾸눈 왕'의 제목은 현실을 정확하게 보지 못한 채 착시 현상이나 확증 편향에 빠지는 인간 인식의 한계를 암시하는가.

―소설에	―/SS+소설/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
남자	남자/NNG
주인공이	주인공/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
희곡	희곡/NNG
중	중/NNB
'애꾸눈	'/SS+애꾸눈/NNG
왕'의	왕/NNG+'/SS+의/JKG
제목은	제목/NNG+은/JX
현실을	현실/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
착시	착시/NNG
현상이나	현상/NNG+이나/JC
확증	확증/NNG
편향에	편향/NNG+에/JKB
빠지는	빠지/VV+는/ETM
인간	인간/NNG
인식의	인식/NNG+의/JKG
한계를	한계/NNG+를/JKO
암시하는가.	암시/NNG+하/XSV+는가/EF+./SF


# id : NWRW1800000054.61.14.1
"그렇다.

"그렇다.	"/SS+그렇/VA+다/EF+./SF


# id : NWRW1800000054.61.14.2
'애꾸눈 왕'은 16세기 네덜란드 철학자이자 신학자인 에라스뮈스의 말에서 유래한 영어 속담 '눈먼 자들의 나라에선 외눈박이가 왕이 된다'에서 차용한 것이다.

'애꾸눈	'/SS+애꾸눈/NNG
왕'은	왕/NNG+'/SS+은/JX
16세기	16/SN+세기/NNG
네덜란드	네덜란드/NNP
철학자이자	철학자/NNG+이/VCP+자/EC
신학자인	신학자/NNG+이/VCP+ㄴ/ETM
에라스뮈스의	에라스뮈스/NNP+의/JKG
말에서	말/NNG+에서/JKB
유래한	유래/NNG+하/XSV+ㄴ/ETM
영어	영어/NNP
속담	속담/NNG
'눈먼	'/SS+눈멀/VV+ㄴ/ETM
자들의	자/NNB+들/XSN+의/JKG
나라에선	나라/NNG+에서/JKB+ㄴ/JX
외눈박이가	외눈박이/NNG+가/JKS
왕이	왕/NNG+이/JKC
된다'에서	되/VV+ㄴ다/EF+'/SS+에서/JKB
차용한	차용/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.14.3
미국에서 특권을 지니고 태어난, 부유한 백인 남성 같은 일부 계층은 나머지 사람들이 어둠 속에서 사투를 벌일 때 이미 한쪽 눈을 먼저 뜬 채 태어난 것이다."

미국에서	미국/NNP+에서/JKB
특권을	특권/NNG+을/JKO
지니고	지니/VV+고/EC
태어난,	태어나/VV+ㄴ/ETM+,/SP
부유한	부유/NNG+하/XSA+ㄴ/ETM
백인	백인/NNG
남성	남성/NNG
같은	같/VA+은/ETM
일부	일부/NNG
계층은	계층/NNG+은/JX
나머지	나머지/NNG
사람들이	사람/NNG+들/XSN+이/JKS
어둠	어둠/NNG
속에서	속/NNG+에서/JKB
사투를	사투/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
때	때/NNG
이미	이미/MAG
한쪽	한쪽/NNG
눈을	눈/NNG+을/JKO
먼저	먼저/MAG
뜬	뜨/VV+ㄴ/ETM
채	채/NNB
태어난	태어나/VV+ㄴ/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000054.61.15.1
―최근 한국 사회에서도 '여성 혐오주의'가 논란이 됐다.

―최근	―/SS+최근/NNG
한국	한국/NNP
사회에서도	사회/NNG+에서/JKB+도/JX
'여성	'/SS+여성/NNG
혐오주의'가	혐오주의/NNG+'/SS+가/JKS
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.61.15.2
'운명과 분노'도 페미니즘의 영향을 받았나.

'운명과	'/SS+운명/NNG+과/JC
분노'도	분노/NNG+'/SS+도/JX
페미니즘의	페미니즘/NNG+의/JKG
영향을	영향/NNG+을/JKO
받았나.	받/VV+았/EP+나/EF+./SF


# id : NWRW1800000054.61.16.1
"나는 페미니즘이 특정한 트렌드라고 생각하지 않는다.

"나는	"/SS+나/NP+는/JX
페미니즘이	페미니즘/NNG+이/JKS
특정한	특정/NNG+하/XSA+ㄴ/ETM
트렌드라고	트렌드/NNG+이/VCP+라고/EC
생각하지	생각/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000054.61.16.2
페미니즘은 남녀가 본질적으로 평등하고, 사회에 여성의 평등을 박탈하는 구조가 존재한다고 주장할 뿐이다.

페미니즘은	페미니즘/NNG+은/JX
남녀가	남녀/NNG+가/JKS
본질적으로	본질/NNG+적/XSN+으로/JKB
평등하고,	평등/NNG+하/XSA+고/EC+,/SP
사회에	사회/NNG+에/JKB
여성의	여성/NNG+의/JKG
평등을	평등/NNG+을/JKO
박탈하는	박탈/NNG+하/XSV+는/ETM
구조가	구조/NNG+가/JKS
존재한다고	존재/NNG+하/XSV+ㄴ다고/EC
주장할	주장/NNG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.16.3
세상에는 양성평등을 믿는 (남자를 포함한) 페미니스트와 그렇지 않은 여성 혐오자 두 부류밖에 없다."

세상에는	세상/NNG+에/JKB+는/JX
양성평등을	양성평등/NNG+을/JKO
믿는	믿/VV+는/ETM
(남자를	(/SS+남자/NNG+를/JKO
포함한)	포함/NNG+하/XSV+ㄴ/ETM+)/SS
페미니스트와	페미니스트/NNG+와/JC
그렇지	그렇/VA+지/EC
않은	않/VX+은/ETM
여성	여성/NNG
혐오자	혐오자/NNG
두	두/MMN
부류밖에	부류/NNG+밖에/JX
없다."	없/VA+다/EF+./SF+"/SS


# id : NWRW1800000054.61.17.1
―가짜 뉴스가 판치는 '탈(脫)진실의 시대'에 문학의 역할은 무엇인가.

―가짜	―/SS+가짜/NNG
뉴스가	뉴스/NNG+가/JKS
판치는	판치/VV+는/ETM
'탈(脫)진실의	'/SS+탈/XPN+(/SS+脫/SH+)/SS+진실/NNG+의/JKG
시대'에	시대/NNG+'/SS+에/JKB
문학의	문학/NNG+의/JKG
역할은	역할/NNG+은/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000054.61.18.1
"언론인은 강력한 진실을 직접 전달하는 데 탁월하지만, 소설가는 우회적으로 진술한다.

"언론인은	"/SS+언론인/NNG+은/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
진실을	진실/NNG+을/JKO
직접	직접/MAG
전달하는	전달/NNG+하/XSV+는/ETM
데	데/NNB
탁월하지만,	탁월하/VA+지만/EC+,/SP
소설가는	소설가/NNG+는/JX
우회적으로	우회/NNG+적/XSN+으로/JKB
진술한다.	진술/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.61.18.2
소설도 언론만큼 강력하다고 생각하지 않았으면 작가가 되지 않았을 것이다.

소설도	소설/NNG+도/JX
언론만큼	언론/NNG+만큼/JKB
강력하다고	강력/NNG+하/XSA+다고/EC
생각하지	생각/NNG+하/XSV+지/EC
않았으면	않/VX+았/EP+으면/EC
작가가	작가/NNG+가/JKC
되지	되/VV+지/EC
않았을	않/VX+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.61.18.3
우리는 저항해야 하고, 더 다양한 목소리를 들어야 하고, 더 나은 세상을 만드는 데 집중해야 한다."

우리는	우리/NP+는/JX
저항해야	저항/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
더	더/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
들어야	듣/VV+어야/EC
나은	낫/VA+은/ETM
세상을	세상/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
집중해야	집중/NNG+하/XSV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


