# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.350
metadata : {}


# id : NWRW1800000052.350.1.1
한-이란, 42조 규모 경제협력 합의

한-이란,	한/NNP+-/SO+이란/NNP+,/SP
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.350.5.1
박 대통령과 로하니 대통령은 이날 정상회담을 열어 ‘대한민국과 이란이슬람공화국 간 포괄적 파트너십에 대한 공동성명’을 채택했다.

박	박/NNP
대통령과	대통령/NNG+과/JC
로하니	로하니/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
열어	열/VV+어/EC
‘대한민국과	‘/SS+대한민국/NNP+과/JC
이란이슬람공화국	이란이슬람공화국/NNP
간	간/NNB
포괄적	포괄/NNG+적/XSN
파트너십에	파트너십/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공동성명’을	공동/NNG+성명/NNG+’/SS+을/JKO
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.2
양국 정상은 공동성명에서 “양국간 상호협력의 잠재력이 크다는 데 의견을 같이했으며, 현존하는 양국 관계를 다양한 분야에서 더욱 증진시켜 나가자는 약속을 재확인했다”고 밝혔다.

양국	양국/NNG
정상은	정상/NNG+은/JX
공동성명에서	공동/NNG+성명/NNG+에서/JKB
“양국간	“/SS+양국/NNG+간/NNB
상호협력의	상호/NNG+협력/NNG+의/JKG
잠재력이	잠재력/NNG+이/JKS
크다는	크/VA+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
같이했으며,	같이/MAG+하/XSV+았/EP+으며/EC+,/SP
현존하는	현존/NNG+하/XSV+는/ETM
관계를	관계/NNG+를/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
더욱	더욱/MAG
증진시켜	증진/NNG+시키/XSV+어/EC
나가자는	나가/VX+자는/ETM
약속을	약속/NNG+을/JKO
재확인했다”고	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.350.5.3
이를 위해 양국은 정치, 경제, 문화·교육·관광, 중동 및 한반도 지역정세 등에서 협력을 강화하기로 합의했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
양국은	양국/NNG+은/JX
정치,	정치/NNG+,/SP
경제,	경제/NNG+,/SP
문화·교육·관광,	문화/NNG+·/SP+교육/NNG+·/SP+관광/NNG+,/SP
중동	중동/NNP
및	및/MAG
한반도	한반도/NNP
지역정세	지역/NNG+정세/NNG
등에서	등/NNB+에서/JKB
협력을	협력/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.4
특히 북한의 핵개발과 관련해 양국은 “핵무기 없는 세상이라는 목표에 대한 지지를 표명하면서, 핵확산방지조약(NPT) 및 비핵화에 대한 공약을 재확인했다”며 “핵무기 개발은 절대 안보를 강화할 수 없다는 데 인식을 같이했다”고 밝혔다.

특히	특히/MAG
북한의	북한/NNP+의/JKG
핵개발과	핵/NNG+개발/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
양국은	양국/NNG+은/JX
“핵무기	“/SS+핵무기/NNG
없는	없/VA+는/ETM
세상이라는	세상/NNG+이/VCP+라는/ETM
목표에	목표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지를	지지/NNG+를/JKO
표명하면서,	표명/NNG+하/XSV+면서/EC+,/SP
핵확산방지조약(NPT)	핵/NNG+확산/NNG+방지/NNG+조약/NNG+(/SS+NPT/SL+)/SS
및	및/MAG
비핵화에	비핵/NNG+화/XSN+에/JKB
공약을	공약/NNG+을/JKO
재확인했다”며	재/XPN+확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
개발은	개발/NNG+은/JX
절대	절대/MAG
안보를	안보/NNG+를/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
데	데/NNB
인식을	인식/NNG+을/JKO
같이했다”고	같이/MAG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.350.5.5
이와 관련해 로하니 대통령은 공동기자회견에서 “한반도나 중동에서 위험 무기, 핵무기가 없어지는 것이 우리의 기본 원칙”이라며 “우리는 한반도에서 평화를 원한다. 우리는 원칙적으로 어떤 핵개발도 반대한다”고 밝혔다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
로하니	로하니/NNP
대통령은	대통령/NNG+은/JX
공동기자회견에서	공동/NNG+기자/NNG+회견/NNG+에서/JKB
“한반도나	“/SS+한반도/NNP+나/JC
중동에서	중동/NNP+에서/JKB
위험	위험/NNG
무기,	무기/NNG+,/SP
핵무기가	핵무기/NNG+가/JKS
없어지는	없어지/VV+는/ETM
것이	것/NNB+이/JKS
우리의	우리/NP+의/JKG
기본	기본/NNG
원칙”이라며	원칙/NNG+”/SS+이/VCP+라며/EC
“우리는	“/SS+우리/NP+는/JX
한반도에서	한반도/NNP+에서/JKB
평화를	평화/NNG+를/JKO
원한다.	원/NNG+하/XSV+ㄴ다/EF+./SF
우리는	우리/NP+는/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
핵개발도	핵/NNG+개발/NNG+도/JX
반대한다”고	반대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.350.5.6
이에 박 대통령은 “(로하니 대통령이) 한반도 평화통일에 대한 한국 국민의 열망에 지지를 표명했다”고 말했다.

이에	이/NP+에/JKB
박	박/NNP
대통령은	대통령/NNG+은/JX
“(로하니	“/SS+(/SS+로하니/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
한반도	한반도/NNP
평화통일에	평화/NNG+통일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한국	한국/NNP
국민의	국민/NNG+의/JKG
열망에	열망/NNG+에/JKB
지지를	지지/NNG+를/JKO
표명했다”고	표명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.7
이와 함께 양국은 한-이란 경제공동위원회를 매년 열어 경제협력 방안을 지속적으로 협의하기로 했고, 도로·철도·공항·항만 등 인프라 분야는 물론 병원건설 등 보건의료 협력도 강화해가기로 합의했다.

이와	이/NP+와/JKB
함께	함께/MAG
양국은	양국/NNG+은/JX
한-이란	한/NNP+-/SO+이란/NNP
경제공동위원회를	경제/NNG+공동/NNG+위원회/NNG+를/JKO
매년	매년/MAG
열어	열/VV+어/EC
경제협력	경제/NNG+협력/NNG
방안을	방안/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
협의하기로	협의/NNG+하/XSV+기/ETN+로/JKB
했고,	하/VV+았/EP+고/EC+,/SP
도로·철도·공항·항만	도로/NNG+·/SP+철도/NNG+·/SP+공항/NNG+·/SP+항만/NNG
등	등/NNB
인프라	인프라/NNG
분야는	분야/NNG+는/JX
물론	물론/MAG
병원건설	병원/NNG+건설/NNG
보건의료	보건/NNG+의료/NNG
협력도	협력/NNG+도/JX
강화해가기로	강화/NNG+하/XSV+아/EC+가/VX+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.8
또 2017년을 한-이란 문화교류의 해로 지정하고, 가까운 미래에 양국 수도에 문화원을 각각 개설하기로 했다.

또	또/MAG
2017년을	2017/SN+년/NNB+을/JKO
한-이란	한/NNP+-/SO+이란/NNP
문화교류의	문화/NNG+교류/NNG+의/JKG
해로	해/NNG+로/JKB
지정하고,	지정/NNG+하/XSV+고/EC+,/SP
가까운	가깝/VA+ㄴ/ETM
미래에	미래/NNG+에/JKB
양국	양국/NNG
수도에	수도/NNG+에/JKB
문화원을	문화원/NNG+을/JKO
각각	각각/MAG
개설하기로	개설/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.9
또 유학생 지원 및 이란대학교 내 한국어과를 설치하는 방안도 합의했다.

또	또/MAG
유학생	유학/NNG+생/XSN
지원	지원/NNG
및	및/MAG
이란대학교	이란/NNP+대/XPN+학교/NNG
내	내/NNB
한국어과를	한국어과/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.350.5.10
정상회담 뒤 박 대통령은 이란의 최고 종교·정치지도자인 ‘아야톨라’ 알리 하메네이와 만나 양국관계 발전 방안을 논의했다.

정상회담	정상/NNG+회담/NNG
뒤	뒤/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
이란의	이란/NNP+의/JKG
최고	최고/NNG
종교·정치지도자인	종교/NNG+·/SP+정치/NNG+지도자/NNG+이/VCP+ㄴ/ETM
‘아야톨라’	‘/SS+아야톨라/NNP+’/SS
알리	알리/NNP
하메네이와	하메네이/NNP+와/JKB
만나	만나/VV+아/EC
양국관계	양국/NNG+관계/NNG
발전	발전/NNG
방안을	방안/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


