# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.409
metadata : {}


# id : NWRW1800000040.409.1.1
“북, 추가 핵실험 가능성…핵탄두 소형화 달성 못해”

“북,	“/SS+북/NNP+,/SP
플루토늄을	플루토늄/NNG+을/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같으며	같/VA+으며/EC
앞으로	앞/NNG+으로/JKB
소형화를	소형/NNG+화/XSN+를/JKO
달성하기	달성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이용한	이용/NNG+하/XSV+ㄴ/ETM
핵실험을	핵/NNG+실험/NNG+을/JKO
적어도	적어도/MAG
한차례	한/MMN+차례/NNG
이상	이상/NNG
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.409.8.2
그는 또 “북한은 첫 핵실험을 하기 전에 중국 정부에 예고를 했지만 중국이 왜 그랬는지는 모르나 중단시키지 않았다”고 덧붙였다.

그는	그/NP+는/JX
또	또/MAG
“북한은	“/SS+북한/NNP+은/JX
첫	첫/MMN
핵실험을	핵/NNG+실험/NNG+을/JKO
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
중국	중국/NNP
정부에	정부/NNG+에/JKB
예고를	예고/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
중국이	중국/NNP+이/JKS
왜	왜/MAG
그랬는지는	그렇/VA+었/EP+는지/EF+는/JX
모르나	모르/VV+나/EC
중단시키지	중단/NNG+시키/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


