# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.381
metadata : {}


# id : NWRW1800000046.381.1.1
의원들의 브레이크 없는 '수퍼甲 횡포'

의원들의	의원/NNG+들/XSN+의/JKG
해당	해당/NNG
의원은	의원/NNG+은/JX
공장	공장/NNG
관련	관련/NNG
규제를	규제/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
국회	국회/NNG
상임위	상임위/NNG
소속이다.	소속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.381.4.3
해당 의원실은 보일러 교체 이후에도 '조기 축구회 협찬' 등 여러 건의 지역구 행사 협찬 요청을 해왔다고 한다.

해당	해당/NNG
의원실은	의원실/NNG+은/JX
보일러	보일러/NNG
교체	교체/NNG
이후에도	이후/NNG+에/JKB+도/JX
'조기	'/SS+조기/NNG
축구회	축구회/NNG
협찬'	협찬/NNG+'/SS
등	등/NNB
여러	여러/MMN
건의	건/NNB+의/JKG
지역구	지역구/NNG
행사	행사/NNG
협찬	협찬/NNG
요청을	요청/NNG+을/JKO
해왔다고	하/VV+아/EC+오/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.381.4.4
기업 관계자들은 "요즘 국회의원들은 뇌물 대신 지역구 행사 협찬, 인사 청탁 같은 변형된 '갑질'을 하고 있다"며 "이를 거절할 경우 국정감사 증인 채택 등 보복을 당할 수 있다"고 했다.

기업	기업/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"요즘	"/SS+요즘/NNG
국회의원들은	국회/NNG+의원/NNG+들/XSN+은/JX
뇌물	뇌물/NNG
대신	대신/NNG
지역구	지역구/NNG
행사	행사/NNG
협찬,	협찬/NNG+,/SP
인사	인사/NNG
청탁	청탁/NNG
같은	같/VA+은/ETM
변형된	변형/NNG+되/XSV+ㄴ/ETM
'갑질'을	'/SS+갑/NNG+질/XSN+'/SS+을/JKO
하고	하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"이를	"/SS+이/NP+를/JKO
거절할	거절/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국정감사	국정/NNG+감사/NNG
증인	증인/NNG
채택	채택/NNG
등	등/NNB
보복을	보복/NNG+을/JKO
당할	당하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.5.1
국회 농림축산식품해양수산위 소속인 새누리당 윤명희 의원은 지난 3월 자신이 대표로 있던 회사의 쌀 제품에 자기 이름을 사용해 문제가 됐다.

국회	국회/NNG
농림축산식품해양수산위	농림/NNG+축산/NNG+식품/NNG+해양/NNG+수산위/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
윤명희	윤명희/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
자신이	자신/NNG+이/JKS
대표로	대표/NNG+로/JKB
있던	있/VA+던/ETM
회사의	회사/NNG+의/JKG
쌀	쌀/NNG
제품에	제품/NNG+에/JKB
자기	자기/NP
이름을	이름/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
문제가	문제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.381.5.2
유통업체 관계자들은 "마트 등 유통업체에 막강한 영향을 미치는 국회의원의 이름이 박힌 상품을 매장의 나쁜 자리에 배치할 수 있겠느냐"고 했다.

유통업체	유통업체/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"마트	"/SS+마트/NNG
등	등/NNB
유통업체에	유통업체/NNG+에/JKB
막강한	막강/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
국회의원의	국회/NNG+의원/NNG+의/JKG
이름이	이름/NNG+이/JKS
박힌	박히/VV+ㄴ/ETM
상품을	상품/NNG+을/JKO
매장의	매장/NNG+의/JKG
나쁜	나쁘/VA+ㄴ/ETM
자리에	자리/NNG+에/JKB
배치할	배치/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠느냐"고	있/VA+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.6.1
경찰을 담당하는 국회 안전행정위원회 소속인 새정치연합 유대운 의원은 지난 5월 술을 마신 뒤 경찰서 지구대에 찾아가 "지역구민 딸을 괴롭힌 바바리맨을 찾아내라"며 직접 수사를 지휘하는 등 소동을 벌이기도 했다.

경찰을	경찰/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
국회	국회/NNG
안전행정위원회	안전/NNG+행정/NNG+위원회/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
새정치연합	새정치연합/NNP
유대운	유대운/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
뒤	뒤/NNG
경찰서	경찰서/NNG
지구대에	지구대/NNG+에/JKB
찾아가	찾아가/VV+아/EC
"지역구민	"/SS+지역구민/NNG
딸을	딸/NNG+을/JKO
괴롭힌	괴롭히/VV+ㄴ/ETM
바바리맨을	바바리/NNG+맨/NNG+을/JKO
찾아내라"며	찾아내/VV+라/EF+"/SS+며/EC
직접	직접/MAG
수사를	수사/NNG+를/JKO
지휘하는	지휘/NNG+하/XSV+는/ETM
등	등/NNB
소동을	소동/NNG+을/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.381.7.1
국회의원들의 '갑질'은 자신들이 절대적인 영향력을 미치는 지자체와 지방의원, 보좌진 등에 대해선 더욱 노골적이다.

국회의원들의	국회/NNG+의원/NNG+들/XSN+의/JKG
'갑질'은	'/SS+갑/NNG+질/XSN+'/SS+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
미치는	미치/VV+는/ETM
지자체와	지자체/NNG+와/JC
지방의원,	지방/NNG+의원/NNG+,/SP
보좌진	보좌진/NNG
등에	등/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
더욱	더욱/MAG
노골적이다.	노골/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.381.7.2
한 전직 지자체장은 본지 통화에서 "지자체장 공천 과정에 국회의원이 절대 권력을 휘두르기 때문에 의원의 인사 청탁이나 지역 개발 민원을 거부할 수 없다"고 했다.

한	한/MMN
전직	전직/NNG
지자체장은	지자체장/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"지자체장	"/SS+지자체장/NNG
공천	공천/NNG
과정에	과정/NNG+에/JKB
국회의원이	국회/NNG+의원/NNG+이/JKS
절대	절대/NNG
권력을	권력/NNG+을/JKO
휘두르기	휘두르/VV+기/ETN
때문에	때문/NNB+에/JKB
의원의	의원/NNG+의/JKG
인사	인사/NNG
청탁이나	청탁/NNG+이나/JC
지역	지역/NNG
개발	개발/NNG
민원을	민원/NNG+을/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.8.1
한 전직 구청장도 "국회의원실에서 결혼식, 출판기념회 등의 일정을 알려온다는 것은 곧 돈 봉투를 가져오라는 소리"라고 했다.

한	한/MMN
전직	전직/NNG
구청장도	구청장/NNG+도/JX
"국회의원실에서	"/SS+국회/NNG+의원실/NNG+에서/JKB
결혼식,	결혼식/NNG+,/SP
출판기념회	출판/NNG+기념회/NNG
등의	등/NNB+의/JKG
일정을	일정/NNG+을/JKO
알려온다는	알리/VV+어/EC+오/VX+ㄴ다는/ETM
것은	것/NNB+은/JX
곧	곧/MAG
돈	돈/NNG
봉투를	봉투/NNG+를/JKO
가져오라는	가져오/VV+라는/ETM
소리"라고	소리/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.8.2
지방의원들은 국회의원이 상(喪)을 당하면 장례식장에서 온갖 심부름을 다 하며 눈도장을 찍기도 한다.

지방의원들은	지방/NNG+의원/NNG+들/XSN+은/JX
국회의원이	국회/NNG+의원/NNG+이/JKS
상(喪)을	상/NNG+(/SS+喪/SH+)/SS+을/JKO
당하면	당하/VV+면/EC
장례식장에서	장례식장/NNG+에서/JKB
온갖	온갖/MMN
심부름을	심부름/NNG+을/JKO
다	다/MAG
하며	하/VV+며/EC
눈도장을	눈도장/NNG+을/JKO
찍기도	찍/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.381.8.3
정치권의 한 관계자는 "문상객들이 '저 사람들은 어느 상조회사에서 나왔는데 저렇게 열심히 일하느냐'고 할 정도"라고 했다.

정치권의	정치/NNG+권/XSN+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
"문상객들이	"/SS+문상객/NNG+들/XSN+이/JKS
'저	'/SS+저/MMD
사람들은	사람/NNG+들/XSN+은/JX
어느	어느/MMD
상조회사에서	상조/NNG+회사/NNG+에서/JKB
나왔는데	나오/VV+았/EP+는데/EC
저렇게	저렇/VA+게/EC
열심히	열심히/MAG
일하느냐'고	일/NNG+하/XSV+느냐/EF+'/SS+고/JKQ
할	하/VV+ㄹ/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.8.4
한 전직 구의원은 "국회의원보다 그 아내가 더 높더라"며 "의원 아내가 지역구에 내려오면 구의회 의장이 직접 차를 몰고 나가 모시고 다니며 여고 동창 모임의 밥값까지 떠맡는 모습도 봤다"고 했다.

한	한/MMN
전직	전직/NNG
구의원은	구/NNG+의원/NNG+은/JX
"국회의원보다	"/SS+국회/NNG+의원/NNG+보다/JKB
그	그/MMD
아내가	아내/NNG+가/JKS
더	더/MAG
높더라"며	높/VA+더라/EF+"/SS+며/EC
"의원	"/SS+의원/NNG
지역구에	지역구/NNG+에/JKB
내려오면	내려오/VV+면/EC
구의회	구/NNG+의회/NNG
의장이	의장/NNG+이/JKS
직접	직접/MAG
차를	차/NNG+를/JKO
몰고	몰/VV+고/EC
나가	나가/VV+아/EC
모시고	모시/VV+고/EC
다니며	다니/VV+며/EC
여고	여고/NNG
동창	동창/NNG
모임의	모임/NNG+의/JKG
밥값까지	밥값/NNG+까지/JX
떠맡는	떠맡/VV+는/ETM
모습도	모습/NNG+도/JX
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.9.1
평소 비정규직 문제 해결을 강조해왔던 한 야당 의원의 전직 보좌관은 "출근길에 국회 주차장 차단기가 올라가지 않아 의원에게 물었더니 '너 잘렸어'라는 말을 들었다"고 했다.

평소	평소/NNG
비정규직	비/XPN+정규직/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
강조해왔던	강조/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
한	한/MMN
야당	야당/NNG
의원의	의원/NNG+의/JKG
전직	전직/NNG
보좌관은	보좌관/NNG+은/JX
"출근길에	"/SS+출근길/NNG+에/JKB
국회	국회/NNG
주차장	주차장/NNG
차단기가	차단기/NNG+가/JKS
올라가지	올라가/VV+지/EC
않아	않/VX+아/EC
의원에게	의원/NNG+에게/JKB
물었더니	묻/VV+었/EP+더니/EC
'너	'/SS+너/NP
잘렸어'라는	잘리/VV+었/EP+어/EF+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.9.2
비정규직인 보좌관을 사전 통보도 없이 일방 해고한 것이다.

비정규직인	비/XPN+정규직/NNG+이/VCP+ㄴ/ETM
보좌관을	보좌관/NNG+을/JKO
사전	사전/NNG
통보도	통보/NNG+도/JX
없이	없이/MAG
일방	일방/NNG
해고한	해고/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.381.10.1
공공 기관 및 기업에 대한 인사 청탁은 국회의원은 물론 의원 보좌관들도 예외가 아니다.

공공	공공/NNG
기관	기관/NNG
및	및/MAG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사	인사/NNG
청탁은	청탁/NNG+은/JX
국회의원은	국회/NNG+의원/NNG+은/JX
물론	물론/MAG
의원	의원/NNG
보좌관들도	보좌관/NNG+들/XSN+도/JX
예외가	예외/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.381.10.2
한 공공 기관의 직원은 최근 인터넷에 올린 글에서 "한 의원 보좌관이 자꾸 전화를 걸어 특정인의 합격 여부를 물어보더니 합격자 발표 직전에 '최근 3년간 합격자 명단 전체를 제출하라'는 요구까지 했다"며 "단순 문의가 아니라 특정인을 합격시키라는 압력이었다"고 했다.

한	한/MMN
공공	공공/NNG
기관의	기관/NNG+의/JKG
직원은	직원/NNG+은/JX
최근	최근/NNG
인터넷에	인터넷/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
"한	"/SS+한/MMN
의원	의원/NNG
보좌관이	보좌관/NNG+이/JKS
자꾸	자꾸/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
특정인의	특정인/NNG+의/JKG
합격	합격/NNG
여부를	여부/NNG+를/JKO
물어보더니	물어보/VV+더니/EC
합격자	합격자/NNG
발표	발표/NNG
직전에	직전/NNG+에/JKB
'최근	'/SS+최근/NNG
3년간	3/SN+년/NNB+간/XSN
명단	명단/NNG
전체를	전체/NNG+를/JKO
제출하라'는	제출/NNG+하/XSV+라/EF+'/SS+는/ETM
요구까지	요구/NNG+까지/JX
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"단순	"/SS+단순/NNG
문의가	문의/NNG+가/JKC
아니라	아니/VCN+라/EC
특정인을	특정인/NNG+을/JKO
합격시키라는	합격/NNG+시키/XSV+라는/ETM
압력이었다"고	압력/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.10.3
수도권 지자체의 한 관계자는 "시청, 구청뿐 아니라 산하 기관에 비정규직 자리 하나만 나와도 귀신같이 알아내 '그 자리에 누구를 꽂아달라'고 지역구 의원실에서 연락이 온다"고 했다.

수도권	수도/NNG+권/XSN
지자체의	지자체/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
"시청,	"/SS+시청/NNG+,/SP
구청뿐	구청/NNG+뿐/JX
아니라	아니/VCN+라/EC
산하	산하/NNG
기관에	기관/NNG+에/JKB
비정규직	비/XPN+정규직/NNG
자리	자리/NNG
하나만	하나/NR+만/JX
나와도	나오/VV+아도/EC
귀신같이	귀신/NNG+같이/JKB
알아내	알아내/VV+어/EC
'그	'/SS+그/MMD
자리에	자리/NNG+에/JKB
누구를	누구/NP+를/JKO
꽂아달라'고	꽂/VV+아/EC+달/VX+라/EF+'/SS+고/JKQ
지역구	지역구/NNG
의원실에서	의원실/NNG+에서/JKB
연락이	연락/NNG+이/JKS
온다"고	오/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.381.11.1
정당들은 의원들의 갑질 논란이 불거지면 근본 대책을 세우기보다는 해당 의원을 출당시키거나 형식적인 징계에 그치는 등 임기응변으로 일관하고 있다.

정당들은	정당/NNG+들/XSN+은/JX
의원들의	의원/NNG+들/XSN+의/JKG
갑질	갑/NNG+질/XSN
논란이	논란/NNG+이/JKS
불거지면	불거지/VV+면/EC
근본	근본/NNG
대책을	대책/NNG+을/JKO
세우기보다는	세우/VV+기/ETN+보다/JKB+는/JX
해당	해당/NNG
의원을	의원/NNG+을/JKO
출당시키거나	출당/NNG+시키/XSV+거나/EC
형식적인	형식/NNG+적/XSN+이/VCP+ㄴ/ETM
징계에	징계/NNG+에/JKB
그치는	그치/VV+는/ETM
등	등/NNB
임기응변으로	임기응변/NNG+으로/JKB
일관하고	일관/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.381.11.2
명지대 김형준 교수는 "현역 국회의원들로 구성된 국회 윤리위원회로는 의원들의 갑질 횡포를 막기 어렵다"며 "국회 윤리위의 절반 이상을 외부인들로 구성해 실질적인 징계를 해야 한다"고 했다.

명지대	명지대/NNP
김형준	김형준/NNP
교수는	교수/NNG+는/JX
"현역	"/SS+현역/NNG
국회의원들로	국회/NNG+의원/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
국회	국회/NNG
윤리위원회로는	윤리/NNG+위원회/NNG+로/JKB+는/JX
의원들의	의원/NNG+들/XSN+의/JKG
갑질	갑/NNG+질/XSN
횡포를	횡포/NNG+를/JKO
막기	막/VV+기/ETN
어렵다"며	어렵/VA+다/EF+"/SS+며/EC
"국회	"/SS+국회/NNG
윤리위의	윤리위/NNG+의/JKG
절반	절반/NNG
이상을	이상/NNG+을/JKO
외부인들로	외부인/NNG+들/XSN+로/JKB
구성해	구성/NNG+하/XSV+아/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
징계를	징계/NNG+를/JKO
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


