# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.27
metadata : {}


# id : NWRW1800000032.27.1.1
3가구 중 1가구, 이자부담 연 85만원 늘었다

3가구	3/SN+가구/NNG
4.8%로	4/SN+./SP+8/SN+%/SW+로/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.27.4.3
올해 들어 기준금리는 세차례 더 올랐고, 이를 반영할 경우 6개월마다 조정되는 다음달 금리는 5%를 훌쩍 뛰어넘는다.

올해	올해/NNG
들어	들/VV+어/EC
기준금리는	기준/NNG+금리/NNG+는/JX
세차례	세/MMN+차례/NNG
더	더/MAG
올랐고,	오르/VV+았/EP+고/EC+,/SP
이를	이/NP+를/JKO
반영할	반영/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
6개월마다	6/SN+개월/NNB+마다/JX
조정되는	조정/NNG+되/XSV+는/ETM
다음달	다음/NNG+달/NNG
금리는	금리/NNG+는/JX
5%를	5/SN+%/SW+를/JKO
훌쩍	훌쩍/MAG
뛰어넘는다.	뛰어넘/VV+는다/EF+./SF


# id : NWRW1800000032.27.4.4
매달 이자 부담액이 1년 새 20만원가량 늘게 되는 셈이다.

매달	매달/MAG
이자	이자/NNG
부담액이	부담액/NNG+이/JKS
1년	1/SN+년/NNB
새	새/NNG
20만원가량	20/SN+만/NR+원/NNB+가량/XSN
늘게	늘/VV+게/EC
되는	되/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.27.5.1
정씨는 “그동안은 외식을 줄이고 할인마트 대신 재래시장을 찾는 방식으로 버텨왔지만, 이젠 어떻게 충당해야 할지 고민”이라고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
“그동안은	“/SS+그동안/NNG+은/JX
외식을	외식/NNG+을/JKO
줄이고	줄이/VV+고/EC
할인마트	할인/NNG+마트/NNG
대신	대신/NNG
재래시장을	재래시장/NNG+을/JKO
찾는	찾/VV+는/ETM
방식으로	방식/NNG+으로/JKB
버텨왔지만,	버티/VV+어/EC+오/VX+았/EP+지만/EC+,/SP
이젠	이제/NNG+ㄴ/JX
어떻게	어떻/VA+게/EC
충당해야	충당/NNG+하/XSV+아야/EC
할지	하/VX+ㄹ지/EC
고민”이라고	고민/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.27.6.1
한은 금융통화위원회가 1년 새 기준금리를 1.25%포인트 올리면서, 정씨처럼 금융부채가 금융자산보다 많은 가구의 경우 이자부담이 늘게 돼 한해 가처분소득이 85만6000원가량 줄어드는 것으로 나타났다.

한은	한은/NNP
금융통화위원회가	금융/NNG+통화/NNG+위원회/NNG+가/JKS
1년	1/SN+년/NNB
새	새/NNG
기준금리를	기준/NNG+금리/NNG+를/JKO
1.25%포인트	1/SN+./SP+25/SN+%포인트/NNG
올리면서,	올리/VV+면서/EC+,/SP
정씨처럼	정/NNP+씨/NNB+처럼/JKB
금융부채가	금융/NNG+부채/NNG+가/JKS
금융자산보다	금융/NNG+자산/NNG+보다/JKB
많은	많/VA+은/ETM
가구의	가구/NNG+의/JKG
경우	경우/NNG
이자부담이	이자/NNG+부담/NNG+이/JKS
늘게	늘/VV+게/EC
돼	되/VV+어/EC
한해	한/MMN+해/NNB
가처분소득이	가/XPN+처분/NNG+소득/NNG+이/JKS
85만6000원가량	85/SN+만/NR+6000/SN+원/NNB+가량/XSN
줄어드는	줄어들/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.27.6.2
이런 소득감소 효과는 소득수준이 낮고 나이가 많을수록, 또 임금근로자보다 자영업자가 더 컸다.

이런	이런/MMD
소득감소	소득/NNG+감소/NNG
효과는	효과/NNG+는/JX
소득수준이	소득/NNG+수준/NNG+이/JKS
낮고	낮/VA+고/EC
나이가	나이/NNG+가/JKS
많을수록,	많/VA+을수록/EC+,/SP
또	또/MAG
임금근로자보다	임금/NNG+근로자/NNG+보다/JKB
자영업자가	자영업자/NNG+가/JKS
더	더/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.27.7.1
12일 한국경제연구원이 한국은행·통계청이 실시한 ‘2010년 가계금융조사’를 토대로 분석한 ‘가계부채 현황’을 보면, 금융자산보다 금융부채가 더 많은 순금융부채 보유가구는 전체 가구의 31.3%로 이들 가구의 순금융부채는 평균 6850만원이었다.

12일	12/SN+일/NNB
한국경제연구원이	한국경제연구원/NNP+이/JKS
한국은행·통계청이	한국은행/NNP+·/SP+통계청/NNG+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
‘2010년	‘/SS+2010/SN+년/NNB
가계금융조사’를	가계/NNG+금융/NNG+조사/NNG+’/SS+를/JKO
토대로	토대/NNG+로/JKB
분석한	분석/NNG+하/XSV+ㄴ/ETM
‘가계부채	‘/SS+가계/NNG+부채/NNG
현황’을	현황/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
금융자산보다	금융/NNG+자산/NNG+보다/JKB
금융부채가	금융/NNG+부채/NNG+가/JKS
더	더/MAG
많은	많/VA+은/ETM
순금융부채	순금융/NNG+부채/NNG
보유가구는	보유/NNG+가구/NNG+는/JX
전체	전체/NNG
가구의	가구/NNG+의/JKG
31.3%로	31/SN+./SP+3/SN+%/SW+로/JKB
이들	이/NP+들/XSN
순금융부채는	순금융/NNG+부채/NNG+는/JX
평균	평균/NNG
6850만원이었다.	6850/SN+만/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.27.7.2
순금융부채는 금융대출(담보대출+신용대출)에서 저축액을 뺀 것이다.

순금융부채는	순금융/NNG+부채/NNG+는/JX
금융대출(담보대출+신용대출)에서	금융/NNG+대출/NNG+(/SS+담보/NNG+대출/NNG++/SW+신용/NNG+대출/NNG+)/SS+에서/JKB
저축액을	저축액/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.27.7.3
금리가 오르면 금융부채에 대해서는 이자부담이 늘지만 예금 등의 금융자산은 추가적인 이자소득이 생긴다.

금리가	금리/NNG+가/JKS
오르면	오르/VV+면/EC
금융부채에	금융/NNG+부채/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
이자부담이	이자/NNG+부담/NNG+이/JKS
늘지만	늘/VV+지만/EC
예금	예금/NNG
등의	등/NNB+의/JKG
금융자산은	금융/NNG+자산/NNG+은/JX
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
이자소득이	이자/NNG+소득/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.27.7.4
따라서 금리상승에 따른 가계의 영향을 살피기 위해서는 순금융부채가 보다 정확한 지표가 될 수 있다.

따라서	따라서/MAJ
금리상승에	금리/NNG+상승/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가계의	가계/NNG+의/JKG
영향을	영향/NNG+을/JKO
살피기	살피/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
순금융부채가	순금융/NNG+부채/NNG+가/JKS
보다	보다/MAG
정확한	정확/NNG+하/XSA+ㄴ/ETM
지표가	지표/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.27.8.1
지난 1년 새 기준금리 인상분 1.25%포인트를 단순적용할 경우, 이들 가구의 연평균 소득이 85만6000원 줄게 되며 이는 가처분소득(2912만원)의 2.9%에 해당한다.

지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
새	새/NNG
기준금리	기준/NNG+금리/NNG
인상분	인상/NNG+분/XSN
1.25%포인트를	1/SN+./SP+25/SN+%포인트/NNG+를/JKO
단순적용할	단순/NNG+적용/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
이들	이/NP+들/XSN
가구의	가구/NNG+의/JKG
연평균	연평균/NNG
소득이	소득/NNG+이/JKS
85만6000원	85/SN+만/NR+6000/SN+원/NNB
줄게	줄/VV+게/EC
되며	되/VV+며/EC
이는	이/NP+는/JX
가처분소득(2912만원)의	가/XPN+처분/NNG+소득/NNG+(/SS+2912/SN+만/NR+원/NNB+)/SS+의/JKG
2.9%에	2/SN+./SP+9/SN+%/SW+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.27.8.2
소득수준별로 따져 보면, 소득이 가장 낮은 1분위 가구의 가처분소득 감소비율이 6.1%로 가장 컸고, 2분위 가구도 3.1%에 이르렀다.

소득수준별로	소득/NNG+수준/NNG+별/XSN+로/JKB
따져	따지/VV+어/EC
보면,	보/VX+면/EC+,/SP
소득이	소득/NNG+이/JKS
가장	가장/MAG
낮은	낮/VA+은/ETM
1분위	1/SN+분위/NNG
가구의	가구/NNG+의/JKG
가처분소득	가/XPN+처분/NNG+소득/NNG
감소비율이	감소/NNG+비율/NNG+이/JKS
6.1%로	6/SN+./SP+1/SN+%/SW+로/JKB
컸고,	크/VA+었/EP+고/EC+,/SP
2분위	2/SN+분위/NNG
가구도	가구/NNG+도/JX
3.1%에	3/SN+./SP+1/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.27.8.3
3·4분위는 2.3%로 상대적으로 적었고, 5분위는 2.7%였다.

3·4분위는	3/SN+·/SP+4/SN+분위/NNG+는/JX
2.3%로	2/SN+./SP+3/SN+%/SW+로/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
적었고,	적/VA+었/EP+고/EC+,/SP
5분위는	5/SN+분위/NNG+는/JX
2.7%였다.	2/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.27.8.4
직업별로 보면 무직(5.1%), 자영업(3.7%), 상용임금근로자(1.9%) 가구 차례였다.

직업별로	직업/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
무직(5.1%),	무직/NNG+(/SS+5/SN+./SP+1/SN+%/SW+)/SS+,/SP
자영업(3.7%),	자영업/NNG+(/SS+3/SN+./SP+7/SN+%/SW+)/SS+,/SP
상용임금근로자(1.9%)	상용/NNG+임금/NNG+근로자/NNG+(/SS+1/SN+./SP+9/SN+%/SW+)/SS
가구	가구/NNG
차례였다.	차례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.27.8.5
임금생활자와 자영업자 가구의 가처분소득은 각각 연평균 71만원과 127만원씩 줄게 된다.

임금생활자와	임금/NNG+생활자/NNG+와/JC
자영업자	자영업자/NNG
가구의	가구/NNG+의/JKG
가처분소득은	가/XPN+처분/NNG+소득/NNG+은/JX
각각	각각/MAG
연평균	연평균/NNG
71만원과	71/SN+만/NR+원/NNB+과/JC
127만원씩	127/SN+만/NR+원/NNB+씩/XSN
줄게	줄/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.27.8.6
연령대로는 65살 이상 고연령층 가구의 소득감소 효과가 가장 컸다.

연령대로는	연령대/NNG+로/JKB+는/JX
65살	65/SN+살/NNB
이상	이상/NNG
고연령층	고/XPN+연령/NNG+층/XSN
가구의	가구/NNG+의/JKG
소득감소	소득/NNG+감소/NNG
효과가	효과/NNG+가/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.27.9.1
한은의 분석 결과도 이를 뒷받침하고 있다.

한은의	한은/NNP+의/JKG
분석	분석/NNG
결과도	결과/NNG+도/JX
이를	이/NP+를/JKO
뒷받침하고	뒷받침/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.27.9.2
한은은 금리가 오를 경우 소득수준이 낮거나 소득 대비 부채비율이 높은 계층이 가장 큰 충격을 받을 것으로 내다봤다.

한은은	한은/NNP+은/JX
금리가	금리/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
경우	경우/NNG
소득수준이	소득/NNG+수준/NNG+이/JKS
낮거나	낮/VA+거나/EC
소득	소득/NNG
대비	대비/NNG
부채비율이	부채/NNG+비율/NNG+이/JKS
높은	높/VA+은/ETM
계층이	계층/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.27.9.3
특히 대출 규모가 2억원이 넘는 과다 차입자의 경우 금리가 1%포인트 오르면 소득 대비 이자 지급비율이 20.2%에서 24.1%로 3.9%포인트 상승해 금리상승에 가장 취약하다고 분석했다.

특히	특히/MAG
대출	대출/NNG
규모가	규모/NNG+가/JKS
2억원이	2/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
과다	과다/NNG
차입자의	차입자/NNG+의/JKG
경우	경우/NNG
금리가	금리/NNG+가/JKS
1%포인트	1/SN+%/SW+포인트/NNG
오르면	오르/VV+면/EC
소득	소득/NNG
대비	대비/NNG
이자	이자/NNG
지급비율이	지급/NNG+비율/NNG+이/JKS
20.2%에서	20/SN+./SP+2/SN+%/SW+에서/JKB
24.1%로	24/SN+./SP+1/SN+%/SW+로/JKB
3.9%포인트	3/SN+./SP+9/SN+%포인트/NNG
상승해	상승/NNG+하/XSV+아/EC
금리상승에	금리/NNG+상승/NNG+에/JKB
가장	가장/MAG
취약하다고	취약/NNG+하/XSA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.27.10.1
지난해 말 기준으로 금융부채는 937조원으로, 대출금리가 1년 새 기준금리 인상폭인 1.25%포인트 만큼 오를 경우 가계의 연간 이자 부담은 연간 11조7000억원가량 늘어나게 된다.

지난해	지난해/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
금융부채는	금융/NNG+부채/NNG+는/JX
937조원으로,	937/SN+조/NR+원/NNB+으로/JKB+,/SP
대출금리가	대출/NNG+금리/NNG+가/JKS
1년	1/SN+년/NNB
새	새/NNG
기준금리	기준/NNG+금리/NNG
인상폭인	인상/NNG+폭/NNG+이/VCP+ㄴ/ETM
1.25%포인트	1/SN+./SP+25/SN+%포인트/NNG
만큼	만큼/NNB
오를	오르/VV+ㄹ/ETM
경우	경우/NNG
가계의	가계/NNG+의/JKG
연간	연간/NNG
이자	이자/NNG
부담은	부담/NNG+은/JX
11조7000억원가량	11/SN+조/NR+7000/SN+억/NR+원/NNB+가량/XSN
늘어나게	늘어나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.27.11.1
이소정 한국경제연구원 연구위원은 “한은이 앞으로도 기준 금리를 올릴 가능성이 높다”며 “금리인상은 가계부채의 증가속도를 낮춰 재무건전성을 높이겠지만, 단기적으론 부채보유가구의 가계수지를 악화시키기 때문에 파급효과를 최소화하는 제도적 대비가 필요하다”고 말했다.

이소정	이소정/NNP
한국경제연구원	한국경제연구원/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“한은이	“/SS+한은/NNP+이/JKS
앞으로도	앞/NNG+으로/JKB+도/JX
기준	기준/NNG
금리를	금리/NNG+를/JKO
올릴	올리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“금리인상은	“/SS+금리/NNG+인상/NNG+은/JX
가계부채의	가계/NNG+부채/NNG+의/JKG
증가속도를	증가/NNG+속도/NNG+를/JKO
낮춰	낮추/VV+어/EC
재무건전성을	재무/NNG+건전/NNG+성/XSN+을/JKO
높이겠지만,	높이/VV+겠/EP+지만/EC+,/SP
단기적으론	단기/NNG+적/XSN+으로/JKB+ㄴ/JX
부채보유가구의	부채/NNG+보유/NNG+가구/NNG+의/JKG
가계수지를	가계/NNG+수지/NNG+를/JKO
악화시키기	악화/NNG+시키/XSV+기/ETN
때문에	때문/NNB+에/JKB
파급효과를	파급/NNG+효과/NNG+를/JKO
최소화하는	최소/NNG+화/XSN+하/XSV+는/ETM
제도적	제도/NNG+적/XSN
대비가	대비/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


