# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.320
metadata : {}


# id : NWRW1800000046.320.1.1
韓·美연합훈련 첫날 탄도미사일 2발 쏜 北

韓·美연합훈련	韓/SH+·/SP+美/SH+연합/NNG+훈련/NNG
최고	최고/NNG
속도는	속도/NNG+는/JX
마하	마하/NNG
4.3(음속의	4/SN+./SP+3/SN+(/SS+음속/NNG+의/JKG
4.3배),	4/SN+./SP+3/SN+배/NNG+)/SS+,/SP
고도는	고도/NNG+는/JX
134㎞였다"고	134/SN+㎞/SW+이/VCP+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.320.4.2
미사일은 평양 남쪽 남포에서 북동 방향으로 발사된 뒤 북한 내륙 지역을 가로질러 원산 호도반도를 지나 갈마반도 남쪽 50여㎞ 공해상에 떨어진 것으로 전해졌다.

미사일은	미사일/NNG+은/JX
평양	평양/NNP
남쪽	남쪽/NNG
남포에서	남포/NNP+에서/JKB
북동	북동/NNG
방향으로	방향/NNG+으로/JKB
발사된	발사/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
북한	북한/NNP
내륙	내륙/NNG
지역을	지역/NNG+을/JKO
가로질러	가로지르/VV+어/EC
원산	원산/NNP
호도반도를	호도반도/NNP+를/JKO
지나	지나/VV+아/EC
갈마반도	갈마반도/NNP
50여㎞	50/SN+여/XSN+㎞/SW
공해상에	공해/NNG+상/XSN+에/JKB
떨어진	떨어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.320.5.1
군 당국은 사거리와 비행 궤적 등을 고려할 때 최대 사거리가 500여㎞인 스커드 C 미사일일 가능성이 높은 것으로 보고 있다.

군	군/NNG
당국은	당국/NNG+은/JX
사거리와	사거리/NNG+와/JC
비행	비행/NNG
궤적	궤적/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
최대	최대/NNG
사거리가	사거리/NNG+가/JKS
500여㎞인	500/SN+여/XSN+㎞/SW+이/VCP+ㄴ/ETM
스커드	스커드/NNG
C	C/SL
미사일일	미사일/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.320.5.2
북한은 지난해와 마찬가지로 이동식 발사대를 기지로부터 수십㎞ 이동시켜 기습적으로 발사했다.

북한은	북한/NNP+은/JX
지난해와	지난해/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
이동식	이동식/NNG
발사대를	발사대/NNG+를/JKO
기지로부터	기지/NNG+로부터/JKB
수십㎞	수십/NR+㎞/SW
이동시켜	이동/NNG+시키/XSV+어/EC
기습적으로	기습/NNG+적/XSN+으로/JKB
발사했다.	발사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.320.6.1
국방부는 "한·미 연합 키 리졸브 연습 및 독수리 훈련에 반발한 무력시위로 판단된다"고 말했다.

국방부는	국방부/NNG+는/JX
"한·미	"/SS+한·미/NNP
연합	연합/NNG
키	키/NNG
리졸브	리졸브/NNG
연습	연습/NNG
및	및/MAG
독수리	독수리/NNG
훈련에	훈련/NNG+에/JKB
반발한	반발/NNG+하/XSV+ㄴ/ETM
무력시위로	무력시위/NNG+로/JKB
판단된다"고	판단/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.320.6.2
북한은 이날 미사일 발사에 앞서 인민군 총참모부 대변인 성명을 통해 "한·미 연합훈련에 대해 절대로 수수방관하지 않을 것이며 두고두고 후회하게 될 것"이라고 위협했다.

북한은	북한/NNP+은/JX
이날	이날/NNG
미사일	미사일/NNG
발사에	발사/NNG+에/JKB
앞서	앞서/VV+어/EC
인민군	인민군/NNG
총참모부	총참모부/NNG
대변인	대변인/NNG
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
"한·미	"/SS+한·미/NNP
연합훈련에	연합/NNG+훈련/NNG+에/JKB
대해	대하/VV+아/EC
절대로	절대로/MAG
수수방관하지	수수방관/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것이며	것/NNB+이/VCP+며/EC
두고두고	두고두고/MAG
후회하게	후회/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
위협했다.	위협/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.320.6.3
군 당국은 북한이 지난해처럼 한·미 훈련 기간 중·단거리 탄도미사일과 신형 300㎜ 방사포(다연장로켓) 등을 잇따라 발사하거나 서해 NLL(북방한계선) 인근에서 해안포와 방사포를 동원한 사격 훈련 등 무력시위를 벌일 가능성이 높다고 보고 대북 감시 태세를 강화했다.

군	군/NNG
당국은	당국/NNG+은/JX
북한이	북한/NNP+이/JKS
지난해처럼	지난해/NNG+처럼/JKB
한·미	한·미/NNP
훈련	훈련/NNG
기간	기간/NNG
중·단거리	중·단거리/NNG
탄도미사일과	탄도/NNG+미사일/NNG+과/JC
신형	신형/NNG
300㎜	300/SN+㎜/SW
방사포(다연장로켓)	방사포/NNG+(/SS+다연장/NNG+로켓/NNG+)/SS
등을	등/NNB+을/JKO
잇따라	잇따르/VV+아/EC
발사하거나	발사/NNG+하/XSV+거나/EC
서해	서해/NNP
NLL(북방한계선)	NLL/SL+(/SS+북방/NNG+한계선/NNG+)/SS
인근에서	인근/NNG+에서/JKB
해안포와	해안포/NNG+와/JC
방사포를	방사포/NNG+를/JKO
동원한	동원/NNG+하/XSV+ㄴ/ETM
사격	사격/NNG
등	등/NNB
무력시위를	무력시위/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
보고	보/VV+고/EC
대북	대북/NNG
감시	감시/NNG
태세를	태세/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.320.6.4
북한은 작년 키 리졸브, 독수리 연습이 시작하는 시기에 8회에 걸쳐서 탄도미사일, 신형 방사포 등을 90여발 발사했었다.

북한은	북한/NNP+은/JX
작년	작년/NNG
키	키/NNG
리졸브,	리졸브/NNG+,/SP
독수리	독수리/NNG
연습이	연습/NNG+이/JKS
시작하는	시작/NNG+하/XSV+는/ETM
시기에	시기/NNG+에/JKB
8회에	8/SN+회/NNB+에/JKB
걸쳐서	걸치/VV+어서/EC
탄도미사일,	탄도/NNG+미사일/NNG+,/SP
신형	신형/NNG
방사포	방사포/NNG
등을	등/NNB+을/JKO
90여발	90/SN+여/XSN+발/NNB
발사했었다.	발사/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.320.7.1
한편 이날 오전 시작된 한·미 연합 키 리졸브 연습은 오는 13일까지, 독수리 연습은 다음 달 24일까지 계속된다.

한편	한편/MAG
이날	이날/NNG
오전	오전/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
한·미	한·미/NNP
연합	연합/NNG
키	키/NNG
리졸브	리졸브/NNG
연습은	연습/NNG+은/JX
오는	오/VV+는/ETM
13일까지,	13/SN+일/NNB+까지/JX+,/SP
독수리	독수리/NNG
다음	다음/NNG
달	달/NNG
24일까지	24/SN+일/NNB+까지/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


