# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.19
metadata : {}


# id : NWRW1800000038.19.1.1
독일·프랑스서도 굶주린 빈민층… 유럽 구호식량, 2차대전 후 최대

독일·프랑스서도	독일/NNP+·/SP+프랑스/NNP+서/JKB+도/JX
불우이웃을	불우/NNG+이웃/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국민	국민/NNG
모금	모금/NNG
운동도	운동/NNG+도/JX
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.5.3
루마니아 적십자는 지난해 8만1000여 빈곤 가구에 50만㎏에 달하는 구호 식량을 지급했다.

루마니아	루마니아/NNP
적십자는	적십자/NNP+는/JX
지난해	지난해/NNG
8만1000여	8/SN+만/NR+1000/SN+여/XSN
빈곤	빈곤/NNG
가구에	가구/NNG+에/JKB
50만㎏에	50/SN+만/NR+㎏/SW+에/JKB
달하는	달하/VV+는/ETM
구호	구호/NNG
식량을	식량/NNG+을/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.5.4
현재 유럽연합(EU) 내 각국 적십자의 3분의 2가량이 국내 빈민층을 위한 식량 구호 활동을 벌이고 있다.

현재	현재/MAG
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
내	내/NNB
각국	각국/NNG
적십자의	적십자/NNP+의/JKG
3분의	3/SN+분/XSN+의/JKG
2가량이	2/SN+가량/XSN+이/JKS
국내	국내/NNG
빈민층을	빈민/NNG+층/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
식량	식량/NNG
구호	구호/NNG
활동을	활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.19.6.1
유럽 빈민의 식량 위기는 가난한 동유럽과 남유럽만의 문제는 아니다.

유럽	유럽/NNP
빈민의	빈민/NNG+의/JKG
식량	식량/NNG
위기는	위기/NNG+는/JX
가난한	가난/NNG+하/XSA+ㄴ/ETM
동유럽과	동유럽/NNP+과/JC
남유럽만의	남유럽/NNP+만/JX+의/JKG
문제는	문제/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.19.6.2
독일·오스트리아·프랑스 등에서는 유통 기한이 얼마 남지 않아 싸게 파는 식품을 찾는 사람들이 늘고 있다.

독일·오스트리아·프랑스	독일/NNP+·/SP+오스트리아/NNP+·/SP+프랑스/NNP
등에서는	등/NNB+에서/JKB+는/JX
유통	유통/NNG
기한이	기한/NNG+이/JKS
얼마	얼마/NNG
남지	남/VV+지/EC
않아	않/VX+아/EC
싸게	싸/VA+게/EC
파는	팔/VV+는/ETM
식품을	식품/NNG+을/JKO
찾는	찾/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.19.6.3
프랑스 자선단체 관계자는 "우리 인구의 12%는 제대로 된 음식을 제때에 먹지 못하는 '식량 불안'을 겪고 있다"고 말했다.

프랑스	프랑스/NNP
자선단체	자선/NNG+단체/NNG
관계자는	관계자/NNG+는/JX
"우리	"/SS+우리/NP
인구의	인구/NNG+의/JKG
12%는	12/SN+%/SW+는/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
제때에	제때/NNG+에/JKB
먹지	먹/VV+지/EC
못하는	못하/VX+는/ETM
'식량	'/SS+식량/NNG
불안'을	불안/NNG+'/SS+을/JKO
겪고	겪/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.7.1
EU 통계에 따르면 2011년 유럽의 빈곤층 비율은 24.2%로 전년보다 0.8%포인트 증가했다.

EU	EU/SL
통계에	통계/NNG+에/JKB
따르면	따르/VV+면/EC
2011년	2011/SN+년/NNB
유럽의	유럽/NNP+의/JKG
빈곤층	빈곤/NNG+층/XSN
비율은	비율/NNG+은/JX
24.2%로	24/SN+./SP+2/SN+%/SW+로/JKB
전년보다	전년/NNG+보다/JKB
0.8%포인트	0/SN+./SP+8/SN+%포인트/NNG
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.19.7.2
최저생계비에 못 미치는 소득자와 주택·고용·건강 등 사회적 권리를 누리지 못하는 인구 등을 합친 숫자다.

최저생계비에	최저/NNG+생계비/NNG+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
소득자와	소득자/NNG+와/JC
주택·고용·건강	주택/NNG+·/SP+고용/NNG+·/SP+건강/NNG
등	등/NNB
사회적	사회/NNG+적/XSN
권리를	권리/NNG+를/JKO
누리지	누리/VV+지/EC
못하는	못하/VX+는/ETM
인구	인구/NNG
등을	등/NNB+을/JKO
합친	합치/VV+ㄴ/ETM
숫자다.	숫자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.19.7.3
제대로 된 음식을 먹지 못하거나 겨울철 난방을 못 하는 등 절대 빈곤층도 8.8%로 조사됐다.

제대로	제대로/MAG
된	되/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
먹지	먹/VV+지/EC
못하거나	못하/VX+거나/EC
겨울철	겨울철/NNG
난방을	난방/NNG+을/JKO
못	못/MAG
하는	하/VV+는/ETM
등	등/NNB
절대	절대/NNG
빈곤층도	빈곤/NNG+층/XSN+도/JX
8.8%로	8/SN+./SP+8/SN+%/SW+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


