# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.183
metadata : {}


# id : NWRW1800000046.183.1.1
새 둥지 된 48억짜리 기상청 장비

새	새/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.183.4.2
검찰에 따르면 K사는 지난 2011년 12월 조달청 경쟁 입찰에서 경쟁사인 W사보다 약 15억원 낮은 금액인 48억원을 써내 최종 낙찰자로 선정돼 기상산업기술원과 납품 계약을 체결했다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
K사는	K/SL+사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
12월	12/SN+월/NNB
조달청	조달청/NNG
경쟁	경쟁/NNG
입찰에서	입찰/NNG+에서/JKB
경쟁사인	경쟁사/NNG+이/VCP+ㄴ/ETM
W사보다	W/SL+사/NNG+보다/JKB
약	약/MMA
15억원	15/SN+억/NR+원/NNB
낮은	낮/VA+은/ETM
금액인	금액/NNG+이/VCP+ㄴ/ETM
48억원을	48/SN+억/NR+원/NNB+을/JKO
써내	써내/VV+어/EC
최종	최종/NNG
낙찰자로	낙찰자/NNG+로/JKB
선정돼	선정/NNG+되/XSV+어/EC
기상산업기술원과	기상/NNG+산업/NNG+기술원/NNG+과/JKB
납품	납품/NNG
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.183.4.3
기상청 Y과장은 이 장비가 조달청 규격에 맞는 등 문제가 없는 제품인데도 '성능이 부족하고 우리가 요구하는 규격에도 맞지 않는다'며 장비 인수를 거부하고 방치한 혐의를 받고 있다.

기상청	기상청/NNG
Y과장은	Y/SL+과장/NNG+은/JX
이	이/MMD
장비가	장비/NNG+가/JKS
조달청	조달청/NNG
규격에	규격/NNG+에/JKB
맞는	맞/VV+는/ETM
등	등/NNB
문제가	문제/NNG+가/JKS
없는	없/VA+는/ETM
제품인데도	제품/NNG+이/VCP+ㄴ데/EC+도/JX
'성능이	'/SS+성능/NNG+이/JKS
부족하고	부족/NNG+하/XSA+고/EC
우리가	우리/NP+가/JKS
요구하는	요구/NNG+하/XSV+는/ETM
규격에도	규격/NNG+에/JKB+도/JX
맞지	맞/VV+지/EC
않는다'며	않/VX+는다/EF+'/SS+며/EC
장비	장비/NNG
인수를	인수/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
방치한	방치/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.183.5.1
P 전 팀장은 장비 입찰을 실시하기 두 달 전인 2011년 9월 개최된 '장비 입찰 규격 평가 심의회'에 참석해 외부 전문가들에게 K사 제품은 규격에 미달되는 것처럼 설명해 입찰을 방해한 혐의다.

P	P/SL
전	전/MMD
팀장은	팀장/NNG+은/JX
장비	장비/NNG
입찰을	입찰/NNG+을/JKO
실시하기	실시/NNG+하/XSV+기/ETN
두	두/MMN
달	달/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2011년	2011/SN+년/NNB
9월	9/SN+월/NNB
개최된	개최/NNG+되/XSV+ㄴ/ETM
'장비	'/SS+장비/NNG
입찰	입찰/NNG
규격	규격/NNG
평가	평가/NNG
심의회'에	심의회/NNG+'/SS+에/JKB
참석해	참석/NNG+하/XSV+아/EC
외부	외부/NNG
전문가들에게	전문가/NNG+들/XSN+에게/JKB
K사	K/SL+사/NNG
제품은	제품/NNG+은/JX
규격에	규격/NNG+에/JKB
미달되는	미달/NNG+되/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
설명해	설명/NNG+하/XSV+아/EC
방해한	방해/NNG+하/XSV+ㄴ/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.183.5.2
Y과장 등은 특히 기상청의 요구로 실시된 제3의 감리업체 조사에서도 'K사 납품 장비는 조달청 규격에 맞는 제품'이라는 결과가 나왔는데도 이마저 무시했다고 검찰은 말했다.

Y과장	Y/SL+과장/NNG
등은	등/NNB+은/JX
특히	특히/MAG
기상청의	기상청/NNG+의/JKG
요구로	요구/NNG+로/JKB
실시된	실시/NNG+되/XSV+ㄴ/ETM
제3의	제/XPN+3/SN+의/JKG
감리업체	감리/NNG+업체/NNG
조사에서도	조사/NNG+에서/JKB+도/JX
'K사	'/SS+K/SL+사/NNG
납품	납품/NNG
장비는	장비/NNG+는/JX
조달청	조달청/NNG
규격에	규격/NNG+에/JKB
맞는	맞/VV+는/ETM
제품'이라는	제품/NNG+'/SS+이/VCP+라는/ETM
결과가	결과/NNG+가/JKS
나왔는데도	나오/VV+았/EP+는데/EC+도/JX
이마저	이/NP+마저/JX
무시했다고	무시/NNG+하/XSV+았/EP+다고/EC
검찰은	검찰/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.183.6.1
검찰 관계자는 "수사를 하면서 기상청이 마치 마피아 조직 같다는 인상을 받았다"면서 "기상청 내부 의사 결정 과정은 폐쇄적이었고 잘못을 인정하는 모습도 보기 어려웠다"고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"수사를	"/SS+수사/NNG+를/JKO
하면서	하/VV+면서/EC
기상청이	기상청/NNG+이/JKS
마치	마치/MAG
마피아	마피아/NNG
조직	조직/NNG
같다는	같/VA+다는/ETM
인상을	인상/NNG+을/JKO
받았다"면서	받/VV+았/EP+다/EF+"/SS+면서/EC
"기상청	"/SS+기상청/NNG
내부	내부/NNG
의사	의사/NNG
결정	결정/NNG
과정은	과정/NNG+은/JX
폐쇄적이었고	폐쇄/NNG+적/XSN+이/VCP+었/EP+고/EC
잘못을	잘못/NNG+을/JKO
인정하는	인정/NNG+하/XSV+는/ETM
모습도	모습/NNG+도/JX
보기	보/VV+기/ETN
어려웠다"고	어렵/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


