# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.373
metadata : {}


# id : NWRW1800000054.373.1.1
文, 대통합 정부 만들겠다는데… 어디까지 껴안을까

文,	文/SH+,/SP
진보와	진보/NNG+와/JC
개혁적	개혁/NNG+적/XSN
보수	보수/NNG
진영을	진영/NNG+을/JKO
망라할	망라/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.5.2
통합 정부 구성의 3대 원칙으로 ▲정치적 포용 ▲지역의 균형 ▲노·장·청(老·壯·靑) 조화를 꼽고 '국민 참여 인사 추천 시스템'을 만들어야 한다고 주장했다.

통합	통합/NNG
정부	정부/NNG
구성의	구성/NNG+의/JKG
3대	3/SN+대/NNG
원칙으로	원칙/NNG+으로/JKB
▲정치적	▲/SW+정치/NNG+적/XSN
포용	포용/NNG
▲지역의	▲/SW+지역/NNG+의/JKG
균형	균형/NNG
▲노·장·청(老·壯·靑)	▲/SW+노·장·청/NNG+(/SS+老/SH+·/SP+壯/SH+·/SP+靑/SH+)/SS
조화를	조화/NNG+를/JKO
꼽고	꼽/VV+고/EC
'국민	'/SS+국민/NNG
참여	참여/NNG
인사	인사/NNG
추천	추천/NNG
시스템'을	시스템/NNG+'/SS+을/JKO
만들어야	만들/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.5.3
문 후보 역시 그간 내각 구성과 관련해 "필요하다면 국민추천제를 통해 널리 추천을 받겠다"고 해왔다.

문	문/NNP
후보	후보/NNG
역시	역시/MAG
그간	그/NP+간/XSN
내각	내각/NNG
구성과	구성/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
"필요하다면	"/SS+필요/NNG+하/XSA+다면/EC
국민추천제를	국민/NNG+추천/NNG+제/XSN+를/JKO
통해	통하/VV+아/EC
널리	널리/MAG
추천을	추천/NNG+을/JKO
받겠다"고	받/VV+겠/EP+다/EF+"/SS+고/JKQ
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.373.6.1
박영선 위원장은 본지 통화에서 "당(黨) 대 당으로 연립 정부를 구성하는 것은 대통령제하에서 위헌적 요소가 있다"며 "문 후보는 국회의원들이 당적을 버리지 않더라도 가치에 동의하면 새 정부에 참여시키겠다는 입장"이라고 했다.

박영선	박영선/NNP
위원장은	위원장/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"당(黨)	"/SS+당/NNG+(/SS+黨/SH+)/SS
대	대/NNB
당으로	당/NNG+으로/JKB
연립	연립/NNG
정부를	정부/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
대통령제하에서	대통령/NNG+제/XSN+하/XSN+에서/JKB
위헌적	위헌/NNG+적/XSN
요소가	요소/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"문	"/SS+문/NNP
후보는	후보/NNG+는/JX
국회의원들이	국회/NNG+의원/NNG+들/XSN+이/JKS
당적을	당적/NNG+을/JKO
버리지	버리/VV+지/EC
않더라도	않/VX+더라도/EC
가치에	가치/NNG+에/JKB
동의하면	동의/NNG+하/XSV+면/EC
새	새/MMA
정부에	정부/NNG+에/JKB
참여시키겠다는	참여/NNG+시키/XSV+겠/EP+다는/ETM
입장"이라고	입장/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.6.2
국회 국방위원장 출신의 유승민 바른정당 후보가 개혁의 가치에 동의할 경우 차기 정부의 국방부 장관으로 임명하는 것도 불가능한 일은 아니라는 설명이다.

국회	국회/NNG
국방위원장	국방/NNG+위원장/NNG
출신의	출신/NNG+의/JKG
유승민	유승민/NNP
바른정당	바른정당/NNP
후보가	후보/NNG+가/JKS
개혁의	개혁/NNG+의/JKG
가치에	가치/NNG+에/JKB
동의할	동의/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
차기	차기/NNG
정부의	정부/NNG+의/JKG
국방부	국방부/NNG
장관으로	장관/NNG+으로/JKB
임명하는	임명/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
일은	일/NNG+은/JX
아니라는	아니/VCN+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.373.6.3
박 위원장은 "탄핵 반대 세력이었던 자유한국당을 제외하고도 바른정당이나 국민의당을 포함한 인사를 통해 연정에 준하는 효과를 얻을 수 있다"고 했다.

박	박/NNP
위원장은	위원장/NNG+은/JX
"탄핵	"/SS+탄핵/NNG
반대	반대/NNG
세력이었던	세력/NNG+이/VCP+었/EP+던/ETM
자유한국당을	자유한국당/NNP+을/JKO
제외하고도	제외/NNG+하/XSV+고/EC+도/JX
바른정당이나	바른정당/NNP+이나/JC
국민의당을	국민의당/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
연정에	연정/NNG+에/JKB
준하는	준하/VV+는/ETM
효과를	효과/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.7.1
그러나 개혁적 보수에까지 내각의 문호를 연다는 '통합 정부' 구상은 선거용에 그칠 것이란 지적도 있다.

그러나	그러나/MAJ
개혁적	개혁/NNG+적/XSN
보수에까지	보수/NNG+에/JKB+까지/JX
내각의	내각/NNG+의/JKG
문호를	문호/NNG+를/JKO
연다는	열/VV+ㄴ다는/ETM
'통합	'/SS+통합/NNG
정부'	정부/NNG+'/SS
구상은	구상/NNG+은/JX
선거용에	선거/NNG+용/XSN+에/JKB
그칠	그치/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.373.7.2
우선 보수 정부 10년을 거치며 공직 진출을 희망하는 진보 진영 인사들이 포화 상태가 됐고, 경선에서 경쟁했던 안희정 충남지사나 이재명 성남지사 진영 등 당내 다른 계파 인사들에 대한 안배도 고려해야 한다.

우선	우선/MAG
보수	보수/NNG
정부	정부/NNG
10년을	10/SN+년/NNB+을/JKO
거치며	거치/VV+며/EC
공직	공직/NNG
진출을	진출/NNG+을/JKO
희망하는	희망/NNG+하/XSV+는/ETM
진보	진보/NNG
진영	진영/NNG
인사들이	인사/NNG+들/XSN+이/JKS
포화	포화/NNG
상태가	상태/NNG+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
경선에서	경선/NNG+에서/JKB
경쟁했던	경쟁/NNG+하/XSV+았/EP+던/ETM
안희정	안희정/NNP
충남지사나	충남/NNP+지사/NNG+나/JC
이재명	이재명/NNP
성남지사	성남/NNP+지사/NNG
등	등/NNB
당내	당내/NNG
다른	다른/MMD
계파	계파/NNG
인사들에	인사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
안배도	안배/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.373.7.3
이와 함께 정부 출범 초기 보수적 인사를 기용할 경우 '적폐 청산'을 요구하는 핵심 지지층의 반발을 살 수도 있어 '통합 정부'의 개방 폭은 호남과 국민의당 인사 1~2명 선으로 제한적일 수밖에 없다는 것이다.

이와	이/NP+와/JKB
함께	함께/MAG
정부	정부/NNG
출범	출범/NNG
초기	초기/NNG
보수적	보수/NNG+적/XSN
인사를	인사/NNG+를/JKO
기용할	기용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
'적폐	'/SS+적폐/NNG
청산'을	청산/NNG+'/SS+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
핵심	핵심/NNG
지지층의	지지/NNG+층/XSN+의/JKG
반발을	반발/NNG+을/JKO
살	사/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
'통합	'/SS+통합/NNG
정부'의	정부/NNG+'/SS+의/JKG
개방	개방/NNG
폭은	폭/NNG+은/JX
호남과	호남/NNP+과/JC
국민의당	국민의당/NNP
인사	인사/NNG
1~2명	1/SN+~/SO+2/SN+명/NNB
선으로	선/NNG+으로/JKB
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.373.7.4
연세대 김상준 교수는 "모든 정부는 '코드 인사'를 통한 효율성, 통합·협치를 통한 '민주성' 사이에서 갈등할 수밖에 없다"며 "어느 한 쪽에 치우칠 경우 정부의 문제 해결 능력에 문제가 발생할 수 있다"고 말했다.

연세대	연세대/NNP
김상준	김상준/NNP
교수는	교수/NNG+는/JX
"모든	"/SS+모든/MMN
정부는	정부/NNG+는/JX
'코드	'/SS+코드/NNG
인사'를	인사/NNG+'/SS+를/JKO
통한	통하/VV+ㄴ/ETM
효율성,	효율/NNG+성/XSN+,/SP
통합·협치를	통합/NNG+·/SP+협치/NNG+를/JKO
'민주성'	'/SS+민주/NNG+성/XSN+'/SS
사이에서	사이/NNG+에서/JKB
갈등할	갈등/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"어느	"/SS+어느/MMD
한	한/MMN
쪽에	쪽/NNB+에/JKB
치우칠	치우치/VV+ㄹ/ETM
경우	경우/NNG
정부의	정부/NNG+의/JKG
문제	문제/NNG
해결	해결/NNG
능력에	능력/NNG+에/JKB
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.8.1
한편 문 후보는 미국의 시사 주간지 '타임(TIME)' 아시아판의 표지 인물로 선정됐다.

한편	한편/MAG
문	문/NNP
후보는	후보/NNG+는/JX
미국의	미국/NNP+의/JKG
시사	시사/NNG
주간지	주간지/NNG
'타임(TIME)'	'/SS+타임/NNP+(/SS+TIME/SL+)/SS+'/SS
아시아판의	아시아판/NNG+의/JKG
표지	표지/NNG
인물로	인물/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.373.8.2
문 후보 측은 이날 공식 트위터 계정에 타임지 표지 사진을 공개했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
이날	이날/NNG
공식	공식/NNG
트위터	트위터/NNP
계정에	계정/NNG+에/JKB
타임지	타임지/NNP
표지	표지/NNG
사진을	사진/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.373.8.3
공개된 표지에는 '협상가-김정은을 다룰 차기 한국의 지도자를 노리는 문재인'이라는 제목과 함께 검은색 정장을 입고 세월호 배지를 단 문 후보의 사진이 담겼다.

공개된	공개/NNG+되/XSV+ㄴ/ETM
표지에는	표지/NNG+에/JKB+는/JX
'협상가-김정은을	'/SS+협상가/NNG+-/SO+김정은/NNP+을/JKO
다룰	다루/VV+ㄹ/ETM
차기	차기/NNG
한국의	한국/NNP+의/JKG
지도자를	지도자/NNG+를/JKO
노리는	노리/VV+는/ETM
문재인'이라는	문재인/NNP+'/SS+이/VCP+라는/ETM
제목과	제목/NNG+과/JKB
함께	함께/MAG
검은색	검은색/NNG
정장을	정장/NNG+을/JKO
입고	입/VV+고/EC
세월호	세월호/NNP
배지를	배지/NNG+를/JKO
단	달/VV+ㄴ/ETM
문	문/NNG
후보의	후보/NNG+의/JKG
사진이	사진/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.373.8.4
문 후보 측에 따르면 이번 타임호는 6일부터 전국 서점 등에서 판매될 예정이다.

문	문/NNP
후보	후보/NNG
측에	측/NNB+에/JKB
따르면	따르/VV+면/EC
이번	이번/NNG
타임호는	타임/NNP+호/NNB+는/JX
6일부터	6/SN+일/NNB+부터/JX
전국	전국/NNG
서점	서점/NNG
등에서	등/NNB+에서/JKB
판매될	판매/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


