# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.66
metadata : {}


# id : NWRW1800000025.66.1.1
“EU 기술을 국제표준으로” 원전 주도권 외교전 가동

“EU	“/SS+EU/SL
마누엘	마누엘/NNP
두랑	두랑/NNP
바호주	바호주/NNP
EU	EU/SL
집행위원장은	집행/NNG+위원장/NNG+은/JX
8일	8/SN+일/NNB
프랑스	프랑스/NNP
파리에서	파리/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
연설에서	연설/NNG+에서/JKB
“EU는	“/SS+EU/SL+는/JX
핵개발의	핵/NNG+개발/NNG+의/JKG
국제적	국제/NNG+적/XSN
안전	안전/NNG
규정을	규정/NNG+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
그	그/MMD
어느	어느/MMD
나라보다	나라/NNG+보다/JKB
앞서	앞서/MAG
노력해	노력/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
다른	다른/MMD
국가들이	국가/NNG+들/XSN+이/JKS
우리를	우리/NP+를/JKO
따라야	따르/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.66.4.1
EU는 27개 회원국이 규정에 모두 동의할 경우 이를 4월 미 워싱턴에서 열리는 핵 정상회의 때 공식 제안할 예정이다.

EU는	EU/SL+는/JX
27개	27/SN+개/NNB
회원국이	회원국/NNG+이/JKS
규정에	규정/NNG+에/JKB
모두	모두/MAG
동의할	동의/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
이를	이/NP+를/JKO
4월	4/SN+월/NNB
미	미/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
열리는	열리/VV+는/ETM
핵	핵/NNG
정상회의	정상/NNG+회의/NNG
때	때/NNG
공식	공식/NNG
제안할	제안/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.4.2
버락 오바마 미 대통령이 주재하는 이 회의에서는 핵무기 감축과 함께 안전한 핵에너지 개발과 관련된 방안 등이 집중 논의된다.

버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령이	대통령/NNG+이/JKS
주재하는	주재/NNG+하/XSV+는/ETM
이	이/MMD
회의에서는	회의/NNG+에서/JKB+는/JX
핵무기	핵무기/NNG
감축과	감축/NNG+과/JKB
함께	함께/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
핵에너지	핵에너지/NNG
개발과	개발/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
방안	방안/NNG
등이	등/NNB+이/JKS
집중	집중/NNG
논의된다.	논의/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.66.4.3
뉴욕타임스와 로이터통신에 따르면 EU는 이 정상회의에 앞서 주요국들을 상대로 한 설득 및 캠페인 작업을 시작했다.

뉴욕타임스와	뉴욕타임스/NNP+와/JC
로이터통신에	로이터통신/NNP+에/JKB
따르면	따르/VV+면/EC
EU는	EU/SL+는/JX
이	이/MMD
정상회의에	정상/NNG+회의/NNG+에/JKB
앞서	앞서/VV+어/EC
주요국들을	주요국/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
설득	설득/NNG
및	및/MAG
캠페인	캠페인/NNG
작업을	작업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.66.5.1
이에 앞서 EU는 지난해 국제원자력기구(IAEA)의 핵 안전기준을 바탕으로 유럽의 기준을 법제화했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
EU는	EU/SL+는/JX
지난해	지난해/NNG
국제원자력기구(IAEA)의	국제원자력기구/NNP+(/SS+IAEA/SL+)/SS+의/JKG
핵	핵/NNG
안전기준을	안전/NNG+기준/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
유럽의	유럽/NNP+의/JKG
기준을	기준/NNG+을/JKO
법제화했다.	법제/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.66.5.2
여기에는 원자로 건설 및 운영과 관련된 안전규정에서부터 방사능 물질 관리, 폐기물 처리, 대중을 상대로 한 정보 공개, 안전 규제당국의 독립성, 원자로 폐쇄과정의 안전 관리 등이 포괄적으로 담겨 있다.

여기에는	여기/NP+에/JKB+는/JX
원자로	원자로/NNG
건설	건설/NNG
및	및/MAG
운영과	운영/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
안전규정에서부터	안전/NNG+규정/NNG+에서부터/JKB
방사능	방사능/NNG
물질	물질/NNG
관리,	관리/NNG+,/SP
폐기물	폐기물/NNG
처리,	처리/NNG+,/SP
대중을	대중/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
정보	정보/NNG
공개,	공개/NNG+,/SP
안전	안전/NNG
규제당국의	규제/NNG+당국/NNG+의/JKG
독립성,	독립/NNG+성/XSN+,/SP
폐쇄과정의	폐쇄/NNG+과정/NNG+의/JKG
관리	관리/NNG
등이	등/NNB+이/JKS
포괄적으로	포괄/NNG+적/XSN+으로/JKB
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.66.6.1
EU는 엄격한 유럽의 핵관련 안전기준을 국제적으로 표준화하면 평화적인 핵개발과 기술 확산에 도움이 될 것이라고 강조했다.

EU는	EU/SL+는/JX
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
유럽의	유럽/NNP+의/JKG
핵관련	핵/NNG+관련/NNG
안전기준을	안전/NNG+기준/NNG+을/JKO
국제적으로	국제/NNG+적/XSN+으로/JKB
표준화하면	표준/NNG+화/XSN+하/XSV+면/EC
평화적인	평화/NNG+적/XSN+이/VCP+ㄴ/ETM
핵개발과	핵/NNG+개발/NNG+과/JKB
기술	기술/NNG
확산에	확산/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.66.6.2
업계에 따르면 2030년까지 세계적으로 400여 개의 새 원전이 건설되는 등 원자력 발전에 속도가 붙은 상황이다.

업계에	업계/NNG+에/JKB
따르면	따르/VV+면/EC
2030년까지	2030/SN+년/NNB+까지/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
400여	400/SN+여/XSN
개의	개/NNB+의/JKG
새	새/MMA
원전이	원전/NNG+이/JKS
건설되는	건설/NNG+되/XSV+는/ETM
등	등/NNB
원자력	원자력/NNG
발전에	발전/NNG+에/JKB
속도가	속도/NNG+가/JKS
붙은	붙/VV+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.6.3
이 중 70% 이상이 중국 등 신흥 개발국에서 이뤄질 가능성이 높은 만큼 안전관련 규정도 강화돼야 한다는 것.

이	이/MMD
중	중/NNB
70%	70/SN+%/SW
이상이	이상/NNG+이/JKS
중국	중국/NNP
등	등/NNB
신흥	신흥/NNG
개발국에서	개발국/NNG+에서/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
만큼	만큼/NNB
안전관련	안전/NNG+관련/NNG
규정도	규정/NNG+도/JX
강화돼야	강화/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.66.7.1
하지만 여기에는 안전기준을 강화해 한국 등 뒤늦게 원자력 기술개발에 나선 신흥 강국들을 견제하려는 의도도 깔려 있다.

하지만	하지만/MAJ
여기에는	여기/NP+에/JKB+는/JX
안전기준을	안전/NNG+기준/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
한국	한국/NNP
등	등/NNB
뒤늦게	뒤늦/VA+게/EC
원자력	원자력/NNG
기술개발에	기술/NNG+개발/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
신흥	신흥/NNG
강국들을	강국/NNG+들/XSN+을/JKO
견제하려는	견제/NNG+하/XSV+려는/ETM
의도도	의도/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.66.7.2
일찍부터 EU의 안전성 기준에 맞춰온 유럽 국가가 글로벌 수주경쟁에서 유리한 위치를 선점할 수 있기 때문이다.

일찍부터	일찍/MAG+부터/JX
EU의	EU/SL+의/JKG
안전성	안전/NNG+성/XSN
기준에	기준/NNG+에/JKB
맞춰온	맞추/VV+어/EC+오/VX+ㄴ/ETM
유럽	유럽/NNP
국가가	국가/NNG+가/JKS
글로벌	글로벌/NNG
수주경쟁에서	수주/NNG+경쟁/NNG+에서/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
위치를	위치/NNG+를/JKO
선점할	선점/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.7.3
특히 프랑스는 세계 제2위의 원자력 개발국인 데도 지난해 공영기업 아레바가 UAE 원전 수주 경쟁에서 한국에 밀린 뒤 대응책 마련에 부심해온 것으로 알려졌다.

특히	특히/MAG
프랑스는	프랑스/NNP+는/JX
세계	세계/NNG
제2위의	제/XPN+2/SN+위/NNB+의/JKG
원자력	원자력/NNG
개발국인	개발국/NNG+이/VCP+ㄴ/ETM
데도	데/NNB+도/JX
지난해	지난해/NNG
공영기업	공영/NNG+기업/NNG
아레바가	아레바/NNP+가/JKS
UAE	UAE/SL
원전	원전/NNG
수주	수주/NNG
경쟁에서	경쟁/NNG+에서/JKB
한국에	한국/NNP+에/JKB
밀린	밀리/VV+ㄴ/ETM
뒤	뒤/NNG
대응책	대응책/NNG
마련에	마련/NNG+에/JKB
부심해온	부심/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.66.7.4
아레바는 프랑스 플라망빌과 핀란드 올킬루오토에 건설한 원자력 발전소 역시 과다한 운영비와 건설 일정 지연 문제에 부닥친 상태다.

아레바는	아레바/NNP+는/JX
프랑스	프랑스/NNP
플라망빌과	플라망빌/NNP+과/JC
핀란드	핀란드/NNP
올킬루오토에	올킬루오토/NNP+에/JKB
건설한	건설/NNG+하/XSV+ㄴ/ETM
원자력	원자력/NNG
발전소	발전소/NNG
역시	역시/MAG
과다한	과다/NNG+하/XSA+ㄴ/ETM
운영비와	운영비/NNG+와/JC
건설	건설/NNG
일정	일정/NNG
지연	지연/NNG
문제에	문제/NNG+에/JKB
부닥친	부닥치/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.8.1
니콜라 사르코지 프랑스 대통령이 이날 “최근 원자력 발전소 시장이 가격 경쟁력에만 치우쳐 있다”며 불편한 심기를 드러낸 것도 이런 속내를 보여주는 대목이다.

니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령이	대통령/NNG+이/JKS
이날	이날/NNG
“최근	“/SS+최근/NNG
원자력	원자력/NNG
발전소	발전소/NNG
시장이	시장/NNG+이/JKS
가격	가격/NNG
경쟁력에만	경쟁력/NNG+에/JKB+만/JX
치우쳐	치우치/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
속내를	속내/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.66.8.2
그는 “안전성을 규제할 새 기관을 만드는 것만이 합리적이고 투명한 경쟁을 할 수 있는 방법”이라고 강조했다.

그는	그/NP+는/JX
“안전성을	“/SS+안전/NNG+성/XSN+을/JKO
규제할	규제/NNG+하/XSV+ㄹ/ETM
새	새/MMA
기관을	기관/NNG+을/JKO
만드는	만들/VV+는/ETM
것만이	것/NNB+만/JX+이/JKS
합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
투명한	투명/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
방법”이라고	방법/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


