# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.142
metadata : {}


# id : NWRW1800000046.142.1.1
이란·베트남語 쉽게 배울 수 있게… 외대 특수어科 학생들이 뭉쳤다

이란·베트남語	이란/NNP+·/SP+베트남/NNP+語/SH
방송 횟수는 4회에 불과하지만 청취자는 150명에 이른다.

방송	방송/NNG
횟수는	횟수/NNG+는/JX
4회에	4/SN+회/NNB+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
청취자는	청취자/NNG+는/JX
150명에	150/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.142.5.2
베트남 국적 어머니를 둔 김모(12)군도 단골 청취자 중 한 명이다.

베트남	베트남/NNP
국적	국적/NNG
어머니를	어머니/NNG+를/JKO
둔	두/VV+ㄴ/ETM
김모(12)군도	김/NNP+모/NP+(/SS+12/SN+)/SS+군/NNB+도/JX
단골	단골/NNG
청취자	청취자/NNG
중	중/NNB
한	한/MMN
명이다.	명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.5.3
회사원 황윤희(32)씨는 "이 방송 덕분에 이란 여행의 꿈을 키우고 있다"고 말했다.

회사원	회사원/NNG
황윤희(32)씨는	황윤희/NNP+(/SS+32/SN+)/SS+씨/NNB+는/JX
"이	"/SS+이/MMD
방송	방송/NNG
덕분에	덕분/NNG+에/JKB
이란	이란/NNP
여행의	여행/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
키우고	키우/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.142.5.4
학생들은 격주 일요일 3시가 되면 각자 도서관이나 아르바이트 장소에서 도봉구의 작은 녹음실로 달려온다.

학생들은	학생/NNG+들/XSN+은/JX
격주	격주/NNG
일요일	일요일/NNG
3시가	3/SN+시/NNB+가/JKC
되면	되/VV+면/EC
각자	각자/MAG
도서관이나	도서관/NNG+이나/JC
아르바이트	아르바이트/NNG
장소에서	장소/NNG+에서/JKB
도봉구의	도봉구/NNP+의/JKG
작은	작/VA+은/ETM
녹음실로	녹음실/NNG+로/JKB
달려온다.	달려오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.142.5.5
한 회 방송을 위해 꼬박 하루를 준비한다.

한	한/MMN
회	회/NNB
방송을	방송/NNG+을/JKO
위해	위하/VV+아/EC
꼬박	꼬박/MAG
하루를	하루/NNG+를/JKO
준비한다.	준비/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.142.6.1
강좌는 철저히 실전 중심이다.

강좌는	강좌/NNG+는/JX
철저히	철저히/MAG
실전	실전/NNG
중심이다.	중심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.6.2
소매치기가 많은 스페인에 가면 먼저 "도둑이야(라드론)!"라는 말부터 배워야 한다는 식이다.

소매치기가	소매치기/NNG+가/JKS
많은	많/VA+은/ETM
스페인에	스페인/NNP+에/JKB
가면	가/VV+면/EC
먼저	먼저/MAG
"도둑이야(라드론)!"라는	"/SS+도둑/NNG+이/VCP+야/EF+(/SS+라드론/NA+)/SS+!/SF+"/SS+이/VCP+라는/ETM
말부터	말/NNG+부터/JX
배워야	배우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.142.6.3
김나라씨는 "배우기 힘든 언어를 재미있게 가르쳐 줘 좋다는 40대 청취자의 사연을 받았다"며 "방송이 후배들까지 이어져 1000회까지 계속하고 싶다"고 말했다.

김나라씨는	김나라/NNP+씨/NNB+는/JX
"배우기	"/SS+배우/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
언어를	언어/NNG+를/JKO
재미있게	재미있/VA+게/EC
가르쳐	가르치/VV+어/EC
줘	주/VX+어/EC
좋다는	좋/VA+다는/ETM
40대	40/SN+대/NNB
청취자의	청취자/NNG+의/JKG
사연을	사연/NNG+을/JKO
받았다"며	받/VV+았/EP+다/EF+"/SS+며/EC
"방송이	"/SS+방송/NNG+이/JKS
후배들까지	후배/NNG+들/XSN+까지/JX
이어져	이어지/VV+어/EC
1000회까지	1000/SN+회/NNB+까지/JX
계속하고	계속/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


