# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.214
metadata : {}


# id : NWRW1800000049.214.1.1
갤노트7 영수증 조작해 액세서리 환불

갤노트7	갤노트7/NNP
산	사/VV+ㄴ/ETM
2만	2/SN+만/NR
원짜리	원/NNB+짜리/XSN
액세서리를	액세서리/NNG+를/JKO
보상받기	보상/NNG+받/XSV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.214.3.3
하지만 직원은 “영수증만으로는 충분하지 않다.

하지만	하지만/MAJ
직원은	직원/NNG+은/JX
“영수증만으로는	“/SS+영수증/NNG+만/JX+으로/JKB+는/JX
충분하지	충분하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.214.3.4
노트7 기기를 사용했다는 증명이 있어야 한다”며 환불을 거부했다.

노트7	노트/NNP+7/SN
기기를	기기/NNG+를/JKO
사용했다는	사용/NNG+하/XSV+았/EP+다는/ETM
증명이	증명/NNG+이/JKS
있어야	있/VA+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
환불을	환불/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.3.5
영수증을 조작해 환불을 요구하는 ‘얌체족’들이 적지 않아 확실한 증빙 자료가 있어야 한다는 것이었다.

영수증을	영수증/NNG+을/JKO
조작해	조작/NNG+하/XSV+아/EC
환불을	환불/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
‘얌체족’들이	‘/SS+얌체족/NNG+’/SS+들/XSN+이/JKS
적지	적/VA+지/EC
않아	않/VX+아/EC
확실한	확실하/VA+ㄴ/ETM
증빙	증빙/NNG
자료가	자료/NNG+가/JKS
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.214.3.6
다행히 황 씨는 지난달 서비스센터에서 제품을 점검받은 이력이 있어 환불받았다.

다행히	다행히/MAG
황	황/NNP
씨는	씨/NNB+는/JX
지난달	지난달/NNG
서비스센터에서	서비스/NNG+센터/NNG+에서/JKB
제품을	제품/NNG+을/JKO
점검받은	점검/NNG+받/XSV+은/ETM
이력이	이력/NNG+이/JKS
있어	있/VA+어/EC
환불받았다.	환불/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.4.1
삼성전자의 액세서리 환불 정책을 악용해 ‘블랙컨슈머들’이 가짜 영수증을 만들어 환불을 요구하는 범죄까지 기승을 부리고 있다.

삼성전자의	삼성전자/NNP+의/JKG
액세서리	액세서리/NNG
환불	환불/NNG
정책을	정책/NNG+을/JKO
악용해	악용/NNG+하/XSV+아/EC
‘블랙컨슈머들’이	‘/SS+블랙컨슈머/NNG+들/XSN+’/SS+이/JKS
가짜	가짜/NNG
영수증을	영수증/NNG+을/JKO
만들어	만들/VV+어/EC
환불을	환불/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
범죄까지	범죄/NNG+까지/JX
기승을	기승/NNG+을/JKO
부리고	부리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.214.4.2
블랙컨슈머들이 삼성전자가 구매처, 제조사에 관계없이 노트7 전용 액세서리를 전액 보상하기로 방침을 정하자 이를 악용하고 있는 것이다.

블랙컨슈머들이	블랙컨슈머/NNG+들/XSN+이/JKS
삼성전자가	삼성전자/NNP+가/JKS
구매처,	구매처/NNG+,/SP
제조사에	제조사/NNG+에/JKB
관계없이	관계없이/MAG
노트7	노트/NNP+7/SN
전용	전용/NNG
액세서리를	액세서리/NNG+를/JKO
전액	전액/NNG
보상하기로	보상/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정하자	정하/VV+자/EC
이를	이/NP+를/JKO
악용하고	악용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.214.4.3
시중에 무용지물이 된 노트7 액세서리 재고가 많은 데다 인터넷쇼핑몰의 영수증은 가격, 내용 등을 쉽게 조작할 수 있고 가격 또한 구매처마다 천차만별이어서 ‘속이면 돈이 된다’는 인식이 퍼져 있다.

시중에	시중/NNG+에/JKB
무용지물이	무용지물/NNG+이/JKC
된	되/VV+ㄴ/ETM
노트7	노트/NNP+7/SN
액세서리	액세서리/NNG
재고가	재고/NNG+가/JKS
많은	많/VA+은/ETM
데다	데/NNB+다/JX
인터넷쇼핑몰의	인터넷/NNG+쇼핑몰/NNG+의/JKG
영수증은	영수증/NNG+은/JX
가격,	가격/NNG+,/SP
내용	내용/NNG
등을	등/NNB+을/JKO
쉽게	쉽/VA+게/EC
조작할	조작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
가격	가격/NNG
또한	또한/MAG
구매처마다	구매처/NNG+마다/JX
천차만별이어서	천차만별/NNG+이/VCP+어서/EC
‘속이면	‘/SS+속이/VV+면/EC
돈이	돈/NNG+이/JKC
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
인식이	인식/NNG+이/JKS
퍼져	퍼지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.214.5.1
삼성전자는 블랙컨슈머들이 기승을 부리자 노트7 본체를 지참하거나 개통 때 작성한 서류 등 노트7 사용 이력을 증명해야 액세서리 값을 환불하도록 확인 절차를 강화했다.

삼성전자는	삼성전자/NNP+는/JX
블랙컨슈머들이	블랙컨슈머/NNG+들/XSN+이/JKS
기승을	기승/NNG+을/JKO
부리자	부리/VV+자/EC
노트7	노트/NNP+7/SN
본체를	본체/NNG+를/JKO
지참하거나	지참/NNG+하/XSV+거나/EC
개통	개통/NNG
때	때/NNG
작성한	작성/NNG+하/XSV+ㄴ/ETM
서류	서류/NNG
등	등/NNB
사용	사용/NNG
이력을	이력/NNG+을/JKO
증명해야	증명/NNG+하/XSV+아야/EC
액세서리	액세서리/NNG
값을	값/NNG+을/JKO
환불하도록	환불/NNG+하/XSV+도록/EC
확인	확인/NNG
절차를	절차/NNG+를/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.5.2
24일 본보가 방문한 서울의 한 삼성전자 서비스센터 직원은 “액세서리 환불을 요구하며 영수증을 조작한 사례가 많았다”고 전했다.

24일	24/SN+일/NNB
본보가	본보/NNG+가/JKS
방문한	방문/NNG+하/XSV+ㄴ/ETM
서울의	서울/NNP+의/JKG
한	한/MMN
삼성전자	삼성전자/NNP
서비스센터	서비스/NNG+센터/NNG
직원은	직원/NNG+은/JX
“액세서리	“/SS+액세서리/NNG
환불을	환불/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
영수증을	영수증/NNG+을/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.6.1
기기는 개통한 곳에서 조건 없이 교환, 환불되는 데 비해 액세서리는 서비스센터에서만 환불이 가능하도록 해 기기를 반납한 뒤 센터를 찾은 고객들이 헛걸음하는 사례가 늘고 있다.

기기는	기기/NNG+는/JX
개통한	개통/NNG+하/XSV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
조건	조건/NNG
없이	없이/MAG
교환,	교환/NNG+,/SP
환불되는	환불/NNG+되/XSV+는/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
액세서리는	액세서리/NNG+는/JX
서비스센터에서만	서비스/NNG+센터/NNG+에서/JKB+만/JX
환불이	환불/NNG+이/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
해	하/VX+아/EC
기기를	기기/NNG+를/JKO
반납한	반납/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
센터를	센터/NNG+를/JKO
찾은	찾/VV+은/ETM
고객들이	고객/NNG+들/XSN+이/JKS
헛걸음하는	헛/XPN+걸음/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.214.6.2
액세서리가 최대 10만 원이 넘는 것도 있어 환불을 받지 않을 수도 없는 형편이라 블랙컨슈머 탓에 소비자 불편만 늘고 있는 것이다.

액세서리가	액세서리/NNG+가/JKS
최대	최대/NNG
10만	10/SN+만/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
것도	것/NNB+도/JX
있어	있/VA+어/EC
환불을	환불/NNG+을/JKO
받지	받/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
없는	없/VA+는/ETM
형편이라	형편/NNG+이/VCP+라/EC
블랙컨슈머	블랙컨슈머/NNG
탓에	탓/NNG+에/JKB
소비자	소비자/NNG
불편만	불편/NNG+만/JX
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.214.6.3
노트7을 구매했던 조모 씨(35·여)는 “삼성전자의 조치를 이해하지만 블랙컨슈머들의 비양심적인 행동에 불편을 감수하려니 짜증이 난다”고 말했다.

노트7을	노트/NNP+7/SN+을/JKO
구매했던	구매/NNG+하/XSV+았/EP+던/ETM
조모	조/NNP+모/NP
씨(35·여)는	씨/NNB+(/SS+35/SN+·/SP+여/NNG+)/SS+는/JX
“삼성전자의	“/SS+삼성전자/NNP+의/JKG
조치를	조치/NNG+를/JKO
이해하지만	이해/NNG+하/XSV+지만/EC
블랙컨슈머들의	블랙컨슈머/NNG+들/XSN+의/JKG
비양심적인	비/XPN+양심/NNG+적/XSN+이/VCP+ㄴ/ETM
행동에	행동/NNG+에/JKB
불편을	불편/NNG+을/JKO
감수하려니	감수/NNG+하/XSV+려니/EC
짜증이	짜증/NNG+이/JKS
난다”고	나/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.214.7.1
삼성전자 관계자는 “액세서리 보상 과정에서 일부 불미스러운 일이 벌어져 확인 절차를 강화했다”며 “서비스센터를 방문하기 전 노트7 기기나 사용 이력 증빙서류를 챙겨야 헛걸음을 하지 않는다”고 조언했다.

삼성전자	삼성전자/NNP
관계자는	관계자/NNG+는/JX
“액세서리	“/SS+액세서리/NNG
보상	보상/NNG
과정에서	과정/NNG+에서/JKB
일부	일부/NNG
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
벌어져	벌어지/VV+어/EC
확인	확인/NNG
절차를	절차/NNG+를/JKO
강화했다”며	강화/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“서비스센터를	“/SS+서비스/NNG+센터/NNG+를/JKO
방문하기	방문/NNG+하/XSV+기/ETN
전	전/NNG
노트7	노트/NNP+7/SN
기기나	기기/NNG+나/JC
사용	사용/NNG
이력	이력/NNG
증빙서류를	증빙/NNG+서류/NNG+를/JKO
챙겨야	챙기/VV+어야/EC
헛걸음을	헛/XPN+걸음/NNG+을/JKO
하지	하/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


