# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.133
metadata : {}


# id : NWRW1800000021.133.1.1
강성훈 다 잡은 첫 우승을…

강성훈	강성훈/NNP
골프	골프/NNG
단체전	단체전/NNG
금메달리스트인	금메달리스트/NNG+이/VCP+ㄴ/ETM
강성훈은	강성훈/NNP+은/JX
2007년부터	2007/SN+년/NNB+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
프로	프로/NNG
무대에서	무대/NNG+에서/JKB
뛰었지만	뛰/VV+었/EP+지만/EC
지난해에도	지난해/NNG+에/JKB+도/JX
세	세/MMN
차례나	차례/NNG+나/JX
준우승에	준/XPN+우승/NNG+에/JKB
그치는	그치/VV+는/ETM
등	등/NNB
우승과	우승/NNG+과/JKB
인연이	인연/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


