# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.446
metadata : {}


# id : NWRW1800000022.446.1.1
몬타뉴 '팔방미인'… KT&G 3연승 프로배구 V리그

몬타뉴	몬타뉴/NNP
지난 시즌까지 GS칼텍스에서 뛰다 KT&G로 옮긴 이정옥도 13점을 올리며 몬타뉴를 거들었다.

지난	지나/VV+ㄴ/ETM
시즌까지	시즌/NNG+까지/JX
GS칼텍스에서	GS칼텍스/NNP+에서/JKB
뛰다	뛰/VV+다/EC
KT&G로	KT/SL+&/SW+G/SL+로/JKB
옮긴	옮기/VV+ㄴ/ETM
이정옥도	이정옥/NNP+도/JX
13점을	13/SN+점/NNB+을/JKO
올리며	올리/VV+며/EC
몬타뉴를	몬타뉴/NNP+를/JKO
거들었다.	거들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.446.2.7
이정옥은 블로킹도 양 팀 통틀어 가장 많은 4개를 했다.

이정옥은	이정옥/NNP+은/JX
블로킹도	블로킹/NNG+도/JX
양	양/MMN
팀	팀/NNG
통틀어	통틀어/MAG
가장	가장/MAG
많은	많/VA+은/ETM
4개를	4/SN+개/NNB+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.2.8
KT&G는 팀 블로킹에서 상대를 12―1로 압도했다.

KT&G는	KT/SL+&/SW+G/SL+는/JX
팀	팀/NNG
블로킹에서	블로킹/NNG+에서/JKB
상대를	상대/NNG+를/JKO
12―1로	12/SN+―/SS+1/SN+로/JKB
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.3.1
지난 시즌 정규리그 1위, 챔피언전 준우승팀인 GS 칼텍스는 4연패(2승6패)하면서 도로공사(2승6패)에 점수 득실률(총 득점을 총 실점으로 나눈 수치)이 뒤진 최하위로 떨어졌다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
정규리그	정규/NNG+리그/NNG
1위,	1/SN+위/NNB+,/SP
챔피언전	챔피언전/NNG
준우승팀인	준/XPN+우승/NNG+팀/NNG+이/VCP+ㄴ/ETM
GS	GS/SL
칼텍스는	칼텍스/NNP+는/JX
4연패(2승6패)하면서	4/SN+연패/NNG+(/SS+2/SN+승/NNB+6/SN+패/NNB+)/SS+하/VV+면서/EC
도로공사(2승6패)에	도로공사/NNP+(/SS+2/SN+승/NNB+6/SN+패/NNB+)/SS+에/JKB
점수	점수/NNG
득실률(총	득실/NNG+률/XSN+(/SS+총/MMA
득점을	득점/NNG+을/JKO
총	총/MMA
실점으로	실점/NNG+으로/JKB
나눈	나누/VV+ㄴ/ETM
수치)이	수치/NNG+)/SS+이/JKS
뒤진	뒤지/VV+ㄴ/ETM
최하위로	최/XPN+하위/NNG+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.446.3.2
외국인 선수 이브가 단 6점에 그치면서 범실은 가장 많은 4개를 했다.

외국인	외국인/NNG
선수	선수/NNG
이브가	이브/NNP+가/JKS
단	단/MMA
6점에	6/SN+점/NNB+에/JKB
그치면서	그치/VV+면서/EC
범실은	범실/NNG+은/JX
가장	가장/MAG
많은	많/VA+은/ETM
4개를	4/SN+개/NNB+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.3.3
두 자릿수 득점은 나혜원(10점)뿐이었다.

두	두/MMN
자릿수	자릿수/NNG
득점은	득점/NNG+은/JX
나혜원(10점)뿐이었다.	나혜원/NNP+(/SS+10/SN+점/NNB+)/SS+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.446.4.1
남자부 선두팀인 삼성화재는 우리캐피탈을 3대0으로 누르고 10연승(11승1패)했다.

남자부	남자부/NNG
선두팀인	선두/NNG+팀/NNG+이/VCP+ㄴ/ETM
삼성화재는	삼성화재/NNP+는/JX
우리캐피탈을	우리캐피탈/NNP+을/JKO
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
누르고	누르/VV+고/EC
10연승(11승1패)했다.	10/SN+연승/NNG+(/SS+11/SN+승/NNB+1/SN+패/NNB+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.446.4.2
경기당 평균 30점 이상 올리는 주 공격수 가빈이 17득점으로 주춤했으나 큰 흐름엔 지장이 없었다.

경기당	경기/NNG+당/XSN
평균	평균/NNG
30점	30/SN+점/NNB
이상	이상/NNG
올리는	올리/VV+는/ETM
주	주/NNG
공격수	공격수/NNG
가빈이	가빈/NNP+이/JKS
17득점으로	17/SN+득점/NNG+으로/JKB
주춤했으나	주춤/MAG+하/XSV+았/EP+으나/EC
큰	크/VA+ㄴ/ETM
흐름엔	흐름/NNG+에/JKB+ㄴ/JX
지장이	지장/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.446.4.3
우리캐피탈은 시즌 10번째 패배(2승)를 당했다.

우리캐피탈은	우리캐피탈/NNP+은/JX
시즌	시즌/NNG
10번째	10/SN+번/NNB+째/XSN
패배(2승)를	패배/NNG+(/SS+2/SN+승/NNB+)/SS+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


