# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.393
metadata : {}


# id : NWRW1800000037.393.1.1
[수도권]수도권 쓰레기매립장 27곳… 친환경 생태공원 멋진 변신

[수도권]수도권	[/SS+수도/NNG+권/XSN+]/SS+수도/NNG+권/XSN
쓰레기매립장이었던	쓰레기/NNG+매립장/NNG+이/VCP+었/EP+던/ETM
용인시	용인시/NNP
이동면	이동면/NNP
어비공원도	어비공원/NNP+도/JX
매립장이었다는	매립장/NNG+이/VCP+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
믿기지	믿기/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.393.7.2
침출수와 악취 때문에 주민들이 늘 민원을 제기하던 곳이었지만 2003년 자연학습장(6000m²)으로 조성된 뒤 지금은 학생들의 생태 교육을 위한 필수코스가 됐다.

침출수와	침출수/NNG+와/JC
악취	악취/NNG
때문에	때문/NNB+에/JKB
주민들이	주민/NNG+들/XSN+이/JKS
늘	늘/MAG
민원을	민원/NNG+을/JKO
제기하던	제기/NNG+하/XSV+던/ETM
곳이었지만	곳/NNG+이/VCP+었/EP+지만/EC
2003년	2003/SN+년/NNB
자연학습장(6000m²)으로	자연/NNG+학습장/NNG+(/SS+6000/SN+m²/SW+)/SS+으로/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
지금은	지금/NNG+은/JX
학생들의	학생/NNG+들/XSN+의/JKG
생태	생태/NNG
교육을	교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
필수코스가	필수/NNG+코스/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.393.8.1
이처럼 경기도에서 쓰레기매립장이 체육시설, 쉼터를 갖춘 공원으로 바뀐 곳은 27곳.

이처럼	이/NP+처럼/JKB
경기도에서	경기도/NNP+에서/JKB
쓰레기매립장이	쓰레기/NNG+매립장/NNG+이/JKS
체육시설,	체육/NNG+시설/NNG+,/SP
쉼터를	쉼터/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
공원으로	공원/NNG+으로/JKB
바뀐	바뀌/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
27곳.	27/SN+곳/NNG+./SF


# id : NWRW1800000037.393.8.2
2000년 이후 약 100만 m²의 매립지가 체육공원 20곳, 공원 6곳, 자연학습장 1곳으로 변신했다.

2000년	2000/SN+년/NNB
이후	이후/NNG
약	약/MMA
100만	100/SN+만/NR
m²의	m²/SW+의/JKG
매립지가	매립지/NNG+가/JKS
체육공원	체육공원/NNG
20곳,	20/SN+곳/NNG+,/SP
공원	공원/NNG
6곳,	6/SN+곳/NNG+,/SP
자연학습장	자연/NNG+학습장/NNG
1곳으로	1/SN+곳/NNG+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.393.9.1
도 관계자는 “연간 100만 명 이상이 매립장 공원을 찾아 여가활동을 즐기고 있다”라며 “매립장 대부분이 시유지여서 사업비용이 적게 들고 주민만족도가 높아 매립장 공원화 사업을 확대해 나갈 계획”이라고 말했다.

도	도/NNG
관계자는	관계자/NNG+는/JX
“연간	“/SS+연간/NNG
100만	100/SN+만/NR
명	명/NNB
이상이	이상/NNG+이/JKS
매립장	매립장/NNG
공원을	공원/NNG+을/JKO
찾아	찾/VV+아/EC
여가활동을	여가/NNG+활동/NNG+을/JKO
즐기고	즐기/VV+고/EC
있다”라며	있/VX+다/EF+”/SS+이/VCP+라며/EC
“매립장	“/SS+매립장/NNG
대부분이	대/XPN+부분/NNG+이/JKS
시유지여서	시유지/NNG+이/VCP+어서/EC
사업비용이	사업/NNG+비용/NNG+이/JKS
적게	적/VA+게/EC
들고	들/VV+고/EC
주민만족도가	주민/NNG+만족도/NNG+가/JKS
높아	높/VA+아/EC
공원화	공원/NNG+화/XSN
사업을	사업/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


