# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.370
metadata : {}


# id : NWRW1800000026.370.1.1
틈새공략 2G폰_기존번호는 그대로 쓰고 기능은 스마트폰 못지않네

틈새공략	틈새/NNG+공략/NNG
사용자가	사용자/NNG+가/JKS
위치한	위치/NNG+하/XSV+ㄴ/ETM
지역의	지역/NNG+의/JKG
대중교통	대중교통/NNG
정보와	정보/NNG+와/JC
날씨,	날씨/NNG+,/SP
추천	추천/NNG
맛집	맛집/NNG
정보도	정보/NNG+도/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.370.3.6
SK텔레콤 대리점에서 볼 수 있으며 가격은 60만원대이다.

SK텔레콤	SK텔레콤/NNP
대리점에서	대리점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
가격은	가격/NNG+은/JX
60만원대이다.	60/SN+만/NR+원/NNB+대/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.370.4.1
팬택은 5일 고급스러운 디자인의 2G폰 'S902 (IM-U700S)'를 SK텔레콤 전용으로 출시했다.

팬택은	팬택/NNP+은/JX
5일	5/SN+일/NNB
고급스러운	고급/NNG+스럽/XSA+ㄴ/ETM
디자인의	디자인/NNG+의/JKG
2G폰	2/SN+G/SL+폰/NNG
'S902	'/SS+S/SL+902/SN
(IM-U700S)'를	(/SS+IM/SL+-/SO+U/SL+700/SN+S/SL+)/SS+'/SS+를/JKO
SK텔레콤	SK텔레콤/NNP
전용으로	전용/NNG+으로/JKB
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.370.4.2
이 제품은 휴대폰 앞면을 다이아몬드 모양의 문양 902개로 장식한 점이 특징이다.

이	이/MMD
제품은	제품/NNG+은/JX
휴대폰	휴대폰/NNG
앞면을	앞면/NNG+을/JKO
다이아몬드	다이아몬드/NNG
모양의	모양/NNG+의/JKG
문양	문양/NNG
902개로	902/SN+개/NNB+로/JKB
장식한	장식/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.370.4.3
또 스마트폰에서 사용하는 각종 기능도 넣었다.

또	또/MAG
스마트폰에서	스마트폰/NNG+에서/JKB
사용하는	사용/NNG+하/XSV+는/ETM
각종	각종/NNG
기능도	기능/NNG+도/JX
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.370.4.4
TTS(Test to Speech) 기능을 통해서는 국문과 영문 문서를 음성으로 바꿔 청취할 수 있다.

TTS(Test	TTS/SL+(/SS+Test/SL
to	to/SL
Speech)	Speech/SL+)/SS
기능을	기능/NNG+을/JKO
통해서는	통하/VV+아서/EC+는/JX
국문과	국문/NNG+과/JC
영문	영문/NNG
문서를	문서/NNG+를/JKO
음성으로	음성/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
청취할	청취/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.370.4.5
명함인식 기능은 촬영한 명함을 분석해 이름과 전화번호, 이메일 주소를 휴대폰 전화번호부에 저장한다.

명함인식	명함/NNG+인식/NNG
기능은	기능/NNG+은/JX
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
명함을	명함/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
이름과	이름/NNG+과/JC
전화번호,	전화번호/NNG+,/SP
이메일	이메일/NNG
주소를	주소/NNG+를/JKO
휴대폰	휴대폰/NNG
전화번호부에	전화번호부/NNG+에/JKB
저장한다.	저장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.370.4.6
T맵 내비게이션은 전용키로 만들었다.

T맵	T맵/NNP
내비게이션은	내비게이션/NNG+은/JX
전용키로	전용/NNG+키/NNG+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.370.4.7
가격은 50만원대 중반이다.

가격은	가격/NNG+은/JX
50만원대	50/SN+만/NR+원/NNB+대/XSN
중반이다.	중반/NNG+이/VCP+다/EF+./SF


