# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.244
metadata : {}


# id : NWRW1800000048.244.1.1
‘연안침몰’ 11만t 초대형 이탈리아 배도 성공

‘연안침몰’	‘/SS+연안/NNG+침몰/NNG+’/SS
2006년 2월 이집트 연안 홍해상에서 화재로 1031명의 사망자를 내고 침몰한 ‘알 살람 보카치오 98호’의 경우 인양하지 않았다.

2006년	2006/SN+년/NNB
2월	2/SN+월/NNB
이집트	이집트/NNP
연안	연안/NNG
홍해상에서	홍해/NNP+상/XSN+에서/JKB
화재로	화재/NNG+로/JKB
1031명의	1031/SN+명/NNB+의/JKG
사망자를	사망자/NNG+를/JKO
내고	내/VV+고/EC
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
‘알	‘/SS+알/NNP
살람	살람/NNP
보카치오	보카치오/NNP
98호’의	98호/NNG+’/SS+의/JKG
경우	경우/NNG
인양하지	인양/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.244.7.2
길이 118m, 폭 24m에 1만1779t으로 선체가 거대한 데다 침몰 수심이 800m에 달해 이집트 정부는 기술적으로 인양이 불가능하다는 결론을 내렸다.

길이	길이/NNG
118m,	118/SN+m/SW+,/SP
폭	폭/NNG
24m에	24/SN+m/SW+에/JKB
1만1779t으로	1/SN+만/NR+1779/SN+t/SW+으로/JKB
선체가	선체/NNG+가/JKS
거대한	거대/NNG+하/XSA+ㄴ/ETM
데다	데/NNB+다/JX
침몰	침몰/NNG
수심이	수심/NNG+이/JKS
800m에	800/SN+m/SW+에/JKB
달해	달하/VV+아/EC
이집트	이집트/NNP
정부는	정부/NNG+는/JX
기술적으로	기술/NNG+적/XSN+으로/JKB
인양이	인양/NNG+이/JKS
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.244.7.3
1994년에는 스웨덴 연안 발틱해상에서 길이 155m, 폭 24m, 무게 1만5556t의 ‘에스토니아호’가 84m 바다 아래로 침몰했다.

1994년에는	1994/SN+년/NNB+에/JKB+는/JX
스웨덴	스웨덴/NNP
연안	연안/NNG
발틱해상에서	발틱해/NNP+상/XSN+에서/JKB
길이	길이/NNG
155m,	155/SN+m/SW+,/SP
폭	폭/NNG
24m,	24/SN+m/SW+,/SP
무게	무게/NNG
1만5556t의	1/SN+만/NR+5556/SN+t/SW+의/JKG
‘에스토니아호’가	‘/SS+에스토니아호/NNP+’/SS+가/JKS
84m	84/SN+m/SW
바다	바다/NNG
아래로	아래/NNG+로/JKB
침몰했다.	침몰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.7.4
당시 유족들의 인양 요구가 거셌으나 비용문제와 시신 유실 가능성을 고려해 인양을 포기하고 침몰 선박 위에 콘크리트를 부어 수중무덤을 만들었다.

당시	당시/NNG
유족들의	유족/NNG+들/XSN+의/JKG
인양	인양/NNG
요구가	요구/NNG+가/JKS
거셌으나	거세/VA+었/EP+으나/EC
비용문제와	비용/NNG+문제/NNG+와/JC
시신	시신/NNG
유실	유실/NNG
가능성을	가능/NNG+성/XSN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
인양을	인양/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
침몰	침몰/NNG
선박	선박/NNG
위에	위/NNG+에/JKB
콘크리트를	콘크리트/NNG+를/JKO
부어	붓/VV+어/EC
수중무덤을	수중/NNG+무덤/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.244.7.5
해양수산부 관계자는 세월호처럼 배가 크고, 인양 조건이 좋지 않은 경우 “보통은 인양하지 않으나 다른 배들이 오가는 데 장애가 되거나 해양오염 우려가 있는 경우 절단해 인양한다”고 설명했다.

해양수산부	해양/NNG+수산부/NNG
관계자는	관계자/NNG+는/JX
세월호처럼	세월호/NNP+처럼/JKB
배가	배/NNG+가/JKS
크고,	크/VA+고/EC+,/SP
인양	인양/NNG
조건이	조건/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
경우	경우/NNG
“보통은	“/SS+보통/NNG+은/JX
인양하지	인양/NNG+하/XSV+지/EC
않으나	않/VX+으나/EC
다른	다른/MMD
배들이	배/NNG+들/XSN+이/JKS
오가는	오가/VV+는/ETM
데	데/NNB
장애가	장애/NNG+가/JKC
되거나	되/VV+거나/EC
해양오염	해양/NNG+오염/NNG
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
절단해	절단/NNG+하/XSV+아/EC
인양한다”고	인양/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.8.1
2012년 이탈리아 질리오섬 부근에서 좌초해 전복한 ‘콩코르디아 호’의 경우는 길이 290m, 폭 36m, 총 무게 11만4147t에 달하는 초대형 선박임에도 인양에 성공했다.

2012년	2012/SN+년/NNB
이탈리아	이탈리아/NNP
질리오섬	질리오섬/NNP
부근에서	부근/NNG+에서/JKB
좌초해	좌초/NNG+하/XSV+아/EC
전복한	전복/NNG+하/XSV+ㄴ/ETM
‘콩코르디아	‘/SS+콩코르디아/NNP
호’의	호/NA+’/SS+의/JKG
경우는	경우/NNG+는/JX
길이	길이/NNG
290m,	290/SN+m/SW+,/SP
폭	폭/NNG
36m,	36/SN+m/SW+,/SP
총	총/MMA
무게	무게/NNG
11만4147t에	11/SN+만/NR+4147/SN+t/SW+에/JKB
달하는	달하/VV+는/ETM
초대형	초/XPN+대형/NNG
선박임에도	선박/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
인양에	인양/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.8.2
선체가 수면 아래로 완전히 가라앉지 않았기 때문이다.

선체가	선체/NNG+가/JKS
수면	수면/NNG
아래로	아래/NNG+로/JKB
완전히	완전히/MAG
가라앉지	가라앉/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.244.8.3
2012년 1월에 침몰한 이 배는 2년6개월만인 지난해 7월 인양했다.

2012년	2012/SN+년/NNB
1월에	1/SN+월/NNB+에/JKB
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
이	이/MMD
배는	배/NNG+는/JX
2년6개월만인	2/SN+년/NNB+6/SN+개월/NNB+만/NNB+이/VCP+ㄴ/ETM
지난해	지난해/NNG
7월	7/SN+월/NNB
인양했다.	인양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.8.4
같은 이유로 1987년 벨기에 연안에서 침몰한 1만3601t 규모의 ‘헤럴드 오브 프리 엔터프라이즈 호’도 인양에 성공했다.

같은	같/VA+은/ETM
이유로	이유/NNG+로/JKB
1987년	1987/SN+년/NNB
벨기에	벨기에/NNP
연안에서	연안/NNG+에서/JKB
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
1만3601t	1/SN+만/NR+3601/SN+t/SW
규모의	규모/NNG+의/JKG
‘헤럴드	‘/SS+헤럴드/NNP
오브	오브/NNP
프리	프리/NNP
엔터프라이즈	엔터프라이즈/NNP
호’도	호/NA+’/SS+도/JX
인양에	인양/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.9.1
한편 국내에서는 1999년에 전남 여수 돌산앞바다에 침투했다가 우리 해군 함포사격으로 공해상에서 침몰한, 길이 12.5m, 폭 2.95m, 무게 11.5t 규모의 북한 반잠수정을 수심 150m에서 인양해 가장 깊은 수심에서 인양한 사례로 남았다.

한편	한편/MAG
국내에서는	국내/NNG+에서/JKB+는/JX
1999년에	1999/SN+년/NNB+에/JKB
전남	전남/NNP
여수	여수/NNP
돌산앞바다에	돌산/NNP+앞바다/NNG+에/JKB
침투했다가	침투/NNG+하/XSV+았/EP+다가/EC
우리	우리/NP
해군	해군/NNG
함포사격으로	함포/NNG+사격/NNG+으로/JKB
공해상에서	공해/NNG+상/XSN+에서/JKB
침몰한,	침몰/NNG+하/XSV+ㄴ/ETM+,/SP
길이	길이/NNG
12.5m,	12/SN+./SP+5/SN+m/SW+,/SP
폭	폭/NNG
2.95m,	2/SN+./SP+95/SN+m/SW+,/SP
무게	무게/NNG
11.5t	11/SN+./SP+5/SN+t/SW
규모의	규모/NNG+의/JKG
북한	북한/NNP
반잠수정을	반잠수정/NNG+을/JKO
수심	수심/NNG
150m에서	150/SN+m/SW+에서/JKB
인양해	인양/NNG+하/XSV+아/EC
가장	가장/MAG
깊은	깊/VA+은/ETM
수심에서	수심/NNG+에서/JKB
인양한	인양/NNG+하/XSV+ㄴ/ETM
사례로	사례/NNG+로/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.9.2
2010년 침몰한 천안함의 경우 1220t가량으로 작고, 해저 25m의 얕은 바닷속에 있어 인양작업을 시작한 지 22일만에 인양했다.

2010년	2010/SN+년/NNB
침몰한	침몰/NNG+하/XSV+ㄴ/ETM
천안함의	천안함/NNP+의/JKG
경우	경우/NNG
1220t가량으로	1220/SN+t/SW+가량/XSN+으로/JKB
작고,	작/VA+고/EC+,/SP
해저	해저/NNG
25m의	25/SN+m/SW+의/JKG
얕은	얕/VA+은/ETM
바닷속에	바닷속/NNG+에/JKB
있어	있/VA+어/EC
인양작업을	인양/NNG+작업/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
22일만에	22/SN+일/NNB+만/NNB+에/JKB
인양했다.	인양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.244.9.3
함미와 함수가 분리돼 두 번에 나눠 인양할 수 있어 작업이 상대적으로 쉬웠다.

함미와	함미/NNG+와/JC
함수가	함수/NNG+가/JKS
분리돼	분리/NNG+되/XSV+어/EC
두	두/MMN
번에	번/NNB+에/JKB
나눠	나누/VV+어/EC
인양할	인양/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
작업이	작업/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
쉬웠다.	쉽/VA+었/EP+다/EF+./SF


