# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.418
metadata : {}


# id : NWRW1800000036.418.1.1
MB 명의로 사저 터 건물 철거계약…‘직접 개입’ 첫 단서

MB	MB/SL
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
조사했으며,	조사/NNG+하/XSV+았/EP+으며/EC+,/SP
청와대에	청와대/NNP+에/JKB
내곡동	내곡동/NNP
사저	사저/NNG
관련	관련/NNG
자료	자료/NNG
제출을	제출/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.10.1
■ “철거비용 3000만원 이명박 이름으로 송금” 지난해 5월 청와대 경호처와 이시형씨는 서울 내곡동 20-17번지를 공유지분으로 구입했다.

■	■/SW
“철거비용	“/SS+철거/NNG+비용/NNG
3000만원	3000/SN+만/NR+원/NNB
이명박	이명박/NNP
이름으로	이름/NNG+으로/JKB
송금”	송금/NNG+”/SS
지난해	지난해/NNG
5월	5/SN+월/NNB
청와대	청와대/NNP
경호처와	경호처/NNG+와/JC
이시형씨는	이시형/NNP+씨/NNB+는/JX
서울	서울/NNP
내곡동	내곡동/NNP
20-17번지를	20/SN+-/SO+17/SN+번지/NNG+를/JKO
공유지분으로	공유/NNG+지분/NNG+으로/JKB
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.10.2
여기에 있던 지상 2층, 지하 1층(205㎡) 건물은 시형씨의 소유로 등기가 이뤄졌고, 철거공사는 지난해 8~9월 진행됐다.

여기에	여기/NP+에/JKB
있던	있/VA+던/ETM
지상	지상/NNG
2층,	2/SN+층/NNG+,/SP
지하	지하/NNG
1층(205㎡)	1/SN+층/NNG+(/SS+205/SN+㎡/SW+)/SS
건물은	건물/NNG+은/JX
시형씨의	시형/NNP+씨/NNB+의/JKG
소유로	소유/NNG+로/JKB
등기가	등기/NNG+가/JKS
이뤄졌고,	이뤄지/VV+었/EP+고/EC+,/SP
철거공사는	철거/NNG+공사/NNG+는/JX
지난해	지난해/NNG
8~9월	8/SN+~/SO+9/SN+월/NNB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.10.3
철거공사를 진행한 ㅅ건설 관계자들을 최근 불러 조사한 특검팀은 이들로부터 “지난해 8월 청와대 경호처 직원 김태환씨를 청와대 근처에서 만나 계약을 체결했으며, 처음 계약자는 이시형씨였으나 공사 진행 중 계약자가 이명박 대통령 이름으로 바뀌었다”는 진술을 받아냈다.

철거공사를	철거/NNG+공사/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
ㅅ건설	ㅅ/NNG+건설/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
최근	최근/NNG
불러	부르/VV+어/EC
조사한	조사/NNG+하/XSV+ㄴ/ETM
특검팀은	특검/NNG+팀/NNG+은/JX
이들로부터	이/NP+들/XSN+로부터/JKB
“지난해	“/SS+지난해/NNG
8월	8/SN+월/NNB
청와대	청와대/NNP
경호처	경호처/NNG
직원	직원/NNG
김태환씨를	김태환/NNP+씨/NNB+를/JKO
근처에서	근처/NNG+에서/JKB
만나	만나/VV+아/EC
계약을	계약/NNG+을/JKO
체결했으며,	체결/NNG+하/XSV+았/EP+으며/EC+,/SP
처음	처음/NNG
계약자는	계약자/NNG+는/JX
이시형씨였으나	이시형/NNP+씨/NNB+이/VCP+었/EP+으나/EC
공사	공사/NNG
진행	진행/NNG
중	중/NNB
계약자가	계약자/NNG+가/JKS
이명박	이명박/NNP
대통령	대통령/NNG
이름으로	이름/NNG+으로/JKB
바뀌었다”는	바뀌/VV+었/EP+다/EF+”/SS+는/ETM
진술을	진술/NNG+을/JKO
받아냈다.	받/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.418.10.4
또 특검팀은 “세금계산서도 이 대통령 이름으로 발행됐고 공사대금 3000만원도 이 대통령 이름이 찍힌 계좌에서 이체받았다”는 진술과 함께 세금계산서 및 계좌 거래 명세(내역)도 확보했다.

또	또/MAG
특검팀은	특검/NNG+팀/NNG+은/JX
“세금계산서도	“/SS+세금/NNG+계산서/NNG+도/JX
이	이/NNP
대통령	대통령/NNG
이름으로	이름/NNG+으로/JKB
발행됐고	발행/NNG+되/XSV+었/EP+고/EC
공사대금	공사/NNG+대금/NNG
3000만원도	3000/SN+만/NR+원/NNB+도/JX
이름이	이름/NNG+이/JKS
찍힌	찍히/VV+ㄴ/ETM
계좌에서	계좌/NNG+에서/JKB
이체받았다”는	이체/NNG+받/XSV+았/EP+다/EF+”/SS+는/ETM
진술과	진술/NNG+과/JKB
함께	함께/MAG
세금계산서	세금/NNG+계산서/NNG
및	및/MAG
계좌	계좌/NNG
거래	거래/NNG
명세(내역)도	명세/NNG+(/SS+내역/NNG+)/SS+도/JX
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.11.1
이 대통령이 사저 건립 작업에 깊숙이 개입한 상황이 드러날수록 이시형씨가 내곡동 땅을 구입한 행위는 명의신탁(부동산실명법 위반)으로 볼 여지가 커진다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
사저	사저/NNG
건립	건립/NNG
작업에	작업/NNG+에/JKB
깊숙이	깊숙이/MAG
개입한	개입/NNG+하/XSV+ㄴ/ETM
상황이	상황/NNG+이/JKS
드러날수록	드러나/VV+ㄹ수록/EC
이시형씨가	이시형/NNP+씨/NNB+가/JKS
내곡동	내곡동/NNP
땅을	땅/NNG+을/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
행위는	행위/NNG+는/JX
명의신탁(부동산실명법	명의/NNG+신탁/NNG+(/SS+부동산/NNG+실명/NNG+법/NNG
위반)으로	위반/NNG+)/SS+으로/JKB
볼	보/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.418.11.2
ㅅ건설은 이 대통령의 서울시장 시절 역점사업이었던 청계천 복원 과정에서 일부 구간의 철거공사를 수행했고, 이 회사 대표는 새누리당 부대변인으로 이름을 올려놓고 있다.

ㅅ건설은	ㅅ/NNG+건설/NNG+은/JX
이	이/MMD
대통령의	대통령/NNG+의/JKG
서울시장	서울시장/NNG
시절	시절/NNG
역점사업이었던	역점/NNG+사업/NNG+이/VCP+었/EP+던/ETM
청계천	청계천/NNP
복원	복원/NNG
과정에서	과정/NNG+에서/JKB
일부	일부/NNG
구간의	구간/NNG+의/JKG
철거공사를	철거/NNG+공사/NNG+를/JKO
수행했고,	수행/NNG+하/XSV+았/EP+고/EC+,/SP
회사	회사/NNG
대표는	대표/NNG+는/JX
새누리당	새누리당/NNP
부대변인으로	부대변인/NNG+으로/JKB
이름을	이름/NNG+을/JKO
올려놓고	올려놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.418.12.1
■ 특검, 청와대에 자료제출 요구 특검팀은 이번 수사에 필요한 각종 자료를 제출해 달라고 청와대에 요청했다고 이날 밝혔다.

■	■/SW
특검,	특검/NNG+,/SP
청와대에	청와대/NNP+에/JKB
자료제출	자료/NNG+제출/NNG
요구	요구/NNG
특검팀은	특검/NNG+팀/NNG+은/JX
이번	이번/NNG
수사에	수사/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
각종	각종/NNG
자료를	자료/NNG+를/JKO
제출해	제출/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.12.2
이석수 특검보는 “청와대에 자료 요청을 했다.

이석수	이석수/NNP
특검보는	특검보/NNG+는/JX
“청와대에	“/SS+청와대/NNP+에/JKB
자료	자료/NNG
요청을	요청/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.12.3
임의제출을 협의중이라고 보면 된다”고 말했다.

임의제출을	임의/NNG+제출/NNG+을/JKO
협의중이라고	협의/NNG+중/NNB+이/VCP+라고/EC
보면	보/VV+면/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.12.4
이 특검보는 “임의수사로 가능한 걸 굳이 강제수사로 할 필요는 없다고 생각한다”면서도 “압수수색 가능성을 접었다고 한 적은 없다”고 덧붙였다.

이	이/NNP
특검보는	특검보/NNG+는/JX
“임의수사로	“/SS+임의/NNG+수사/NNG+로/JKB
가능한	가능/NNG+하/XSA+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
굳이	굳이/MAG
강제수사로	강제/NNG+수사/NNG+로/JKB
할	하/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다고	없/VA+다고/EC
생각한다”면서도	생각/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“압수수색	“/SS+압수/NNG+수색/NNG
가능성을	가능/NNG+성/XSN+을/JKO
접었다고	접/VV+었/EP+다고/EC
한	하/VV+ㄴ/ETM
적은	적/NNB+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.12.5
청와대가 자료 제출 요청에 소극적으로 반응하거나 제출된 자료가 부실하다고 판단되면, 압수수색을 검토할 수도 있다는 뜻으로 풀이된다.

청와대가	청와대/NNP+가/JKS
자료	자료/NNG
제출	제출/NNG
요청에	요청/NNG+에/JKB
소극적으로	소극/NNG+적/XSN+으로/JKB
반응하거나	반응/NNG+하/XSV+거나/EC
제출된	제출/NNG+되/XSV+ㄴ/ETM
자료가	자료/NNG+가/JKS
부실하다고	부실/NNG+하/XSA+다고/EC
판단되면,	판단/NNG+되/XSV+면/EC+,/SP
압수수색을	압수/NNG+수색/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.418.12.6
특검팀이 청와대에 요청한 자료는 사저 건립 관련 내부 검토·보고 문건, 결재서류, 청와대 경내 출입기록 등인 것으로 알려졌다.

특검팀이	특검/NNG+팀/NNG+이/JKS
청와대에	청와대/NNP+에/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
자료는	자료/NNG+는/JX
사저	사저/NNG
건립	건립/NNG
관련	관련/NNG
내부	내부/NNG
검토·보고	검토/NNG+·/SP+보고/NNG
문건,	문건/NNG+,/SP
결재서류,	결재/NNG+서류/NNG+,/SP
청와대	청와대/NNP
경내	경내/NNG
출입기록	출입/NNG+기록/NNG
등인	등/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.13.1
특검팀은 또 지난 1일 출석한 이 대통령의 큰형 이상은(79)씨에게서 현금 6억원의 출처가 “이자수익과 주식매각 대금”이라는 진술을 듣고, 이를 입증할 만한 소명자료를 제출해 달라고 요구했다.

특검팀은	특검/NNG+팀/NNG+은/JX
또	또/MAG
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
출석한	출석/NNG+하/XSV+ㄴ/ETM
이	이/NNP
대통령의	대통령/NNG+의/JKG
큰형	큰형/NNG
이상은(79)씨에게서	이상은/NNP+(/SS+79/SN+)/SS+씨/NNB+에게서/JKB
현금	현금/NNG
6억원의	6/SN+억/NR+원/NNB+의/JKG
출처가	출처/NNG+가/JKS
“이자수익과	“/SS+이자/NNG+수익/NNG+과/JC
주식매각	주식/NNG+매각/NNG
대금”이라는	대금/NNG+”/SS+이/VCP+라는/ETM
진술을	진술/NNG+을/JKO
듣고,	듣/VV+고/EC+,/SP
이를	이/NP+를/JKO
입증할	입증/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
소명자료를	소명/NNG+자료/NNG+를/JKO
제출해	제출/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.13.2
이와 관련해 2007년 대선 전후 이 대통령이 실소유주라는 논란이 일었던 서울 도곡동 땅의 매각대금 일부를 이씨가 투자해 얻은 수익금일 가능성도 제기되고 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
2007년	2007/SN+년/NNB
대선	대선/NNG
전후	전후/NNG
이	이/NNP
대통령이	대통령/NNG+이/JKS
실소유주라는	실소유주/NNG+이/VCP+라는/ETM
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
서울	서울/NNP
도곡동	도곡동/NNP
땅의	땅/NNG+의/JKG
매각대금	매각/NNG+대금/NNG
일부를	일부/NNG+를/JKO
이씨가	이/NNP+씨/NNB+가/JKS
투자해	투자/NNG+하/XSV+아/EC
얻은	얻/VV+은/ETM
수익금일	수익금/NNG+이/VCP+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.418.13.3
특검팀 관계자는 “(그 부분은) 우리 관심 사항이 아니다”라고 말했다.

특검팀	특검/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“(그	“/SS+(/SS+그/MMD
부분은)	부분/NNG+은/JX+)/SS
우리	우리/NP
관심	관심/NNG
사항이	사항/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.14.1
이 대통령 사저 건립 작업을 주도한 김인종 전 경호처장은 이날 오전 9시50분께 특검 사무실에 출석해 조사를 받았다.

이	이/NNP
대통령	대통령/NNG
사저	사저/NNG
건립	건립/NNG
작업을	작업/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
김인종	김인종/NNP
전	전/MMD
경호처장은	경호처장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
9시50분께	9/SN+시/NNB+50/SN+분/NNB+께/XSN
특검	특검/NNG
사무실에	사무실/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.418.14.2
특검팀은 김 전 처장을 상대로 내곡동 땅값 배분 내용을 이 대통령에게 보고했는지, 왜 이 대통령이 아닌 시형씨 명의로 땅을 사자고 건의했는지, 시형씨가 내야 할 중개수수료를 경호처가 대납했는지 등을 캐물었다.

특검팀은	특검/NNG+팀/NNG+은/JX
김	김/NNP
전	전/MMD
처장을	처장/NNG+을/JKO
상대로	상대/NNG+로/JKB
내곡동	내곡동/NNP
땅값	땅값/NNG
배분	배분/NNG
내용을	내용/NNG+을/JKO
이	이/NNP
대통령에게	대통령/NNG+에게/JKB
보고했는지,	보고/NNG+하/XSV+았/EP+는지/EC+,/SP
왜	왜/MAG
대통령이	대통령/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
시형씨	시형/NNP+씨/NNB
명의로	명의/NNG+로/JKB
땅을	땅/NNG+을/JKO
사자고	사/VV+자고/EC
건의했는지,	건의/NNG+하/XSV+았/EP+는지/EC+,/SP
시형씨가	시형/NNP+씨/NNB+가/JKS
내야	내/VV+어야/EC
할	하/VX+ㄹ/ETM
중개수수료를	중개/NNG+수수료/NNG+를/JKO
경호처가	경호처/NNG+가/JKS
대납했는지	대납/NNG+하/XSV+았/EP+는지/EC
등을	등/NNB+을/JKO
캐물었다.	캐묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.418.15.1
특검팀은 3일 김백준(72) 전 청와대 총무기획관을 불러 조사하기로 했다.

특검팀은	특검/NNG+팀/NNG+은/JX
3일	3/SN+일/NNB
김백준(72)	김백준/NNP+(/SS+72/SN+)/SS
전	전/MMD
청와대	청와대/NNP
총무기획관을	총무/NNG+기획관/NNG+을/JKO
불러	부르/VV+어/EC
조사하기로	조사/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


