# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.196
metadata : {}


# id : NWRW1800000049.196.1.1
연구중심대학이 개발한 생활 신기술 3題

연구중심대학이	연구/NNG+중심/NNG+대학/NNG+이/JKS
흡착제를	흡착제/NNG+를/JKO
처음으로	처음/NNG+으로/JKB
개발했다”고	개발/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.11.1
연구진이 개발한 흡착제는 나노미터∼마이크로미터 크기의 미세하면서도 다양한 크기의 구멍을 가진 구조를 갖췄다.

연구진이	연구진/NNG+이/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
흡착제는	흡착제/NNG+는/JX
나노미터∼마이크로미터	나노미터/NNB+∼/SO+마이크로미터/NNG
크기의	크기/NNG+의/JKG
미세하면서도	미세/NNG+하/XSA+면서/EC+도/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
구멍을	구멍/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
구조를	구조/NNG+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.11.2
개발한 흡착제를 고농도(50∼250ppm)의 수은 오염수에 넣었더니 1시간 만에 90% 이상의 수은이 제거되는 것이 확인됐다.

개발한	개발/NNG+하/XSV+ㄴ/ETM
흡착제를	흡착제/NNG+를/JKO
고농도(50∼250ppm)의	고/XPN+농도/NNG+(/SS+50/SN+∼/SO+250/SN+ppm/SW+)/SS+의/JKG
수은	수은/NNG
오염수에	오염수/NNG+에/JKB
넣었더니	넣/VV+었/EP+더니/EC
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
90%	90/SN+%/SW
이상의	이상/NNG+의/JKG
수은이	수은/NNG+이/JKS
제거되는	제거/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.11.3
기존 흡착제는 수은 제거에 10시간 이상 걸렸다.

기존	기존/NNG
흡착제는	흡착제/NNG+는/JX
수은	수은/NNG
제거에	제거/NNG+에/JKB
10시간	10/SN+시간/NNB
이상	이상/NNG
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.11.4
또 기존 제품은 산성 상태의 오염수에는 사용할 수 없었는데, 새 흡착제는 이런 단점도 극복했다.

또	또/MAG
기존	기존/NNG
제품은	제품/NNG+은/JX
산성	산성/NNG
상태의	상태/NNG+의/JKG
오염수에는	오염수/NNG+에/JKB+는/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었는데,	없/VA+었/EP+는데/EC+,/SP
새	새/MMA
흡착제는	흡착제/NNG+는/JX
이런	이런/MMD
단점도	단점/NNG+도/JX
극복했다.	극복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.12.1
사용한 흡착제는 간단한 화학처리 후 5회가량 반복 사용해도 모두 90% 이상의 제거 효율을 보였다.

사용한	사용/NNG+하/XSV+ㄴ/ETM
흡착제는	흡착제/NNG+는/JX
간단한	간단하/VA+ㄴ/ETM
화학처리	화학/NNG+처리/NNG
후	후/NNG
5회가량	5/SN+회/NNB+가량/XSN
반복	반복/NNG
사용해도	사용/NNG+하/XSV+아도/EC
모두	모두/MAG
90%	90/SN+%/SW
이상의	이상/NNG+의/JKG
제거	제거/NNG
효율을	효율/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.12.2
기존 흡착제는 재활용이 안 돼 비용이 많이 들었다.

기존	기존/NNG
흡착제는	흡착제/NNG+는/JX
재활용이	재/XPN+활용/NNG+이/JKC
안	안/MAG
돼	되/VV+어/EC
비용이	비용/NNG+이/JKS
많이	많이/MAG
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.196.13.1
윤 교수는 “이번에 개발된 흡착제는 수은의 사용과 배출, 폐기와 관련된 산업 전반에 널리 활용할 수 있다”고 말했다.

윤	윤/NNP
교수는	교수/NNG+는/JX
“이번에	“/SS+이번/NNG+에/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
흡착제는	흡착제/NNG+는/JX
수은의	수은/NNG+의/JKG
사용과	사용/NNG+과/JC
배출,	배출/NNG+,/SP
폐기와	폐기/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
산업	산업/NNG
전반에	전반/NNG+에/JKB
널리	널리/MAG
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.196.13.2
연구 결과는 학술지 ‘저널 오브 머티리얼 케미스트리A’ 23일자에 실렸다.

연구	연구/NNG
결과는	결과/NNG+는/JX
학술지	학술지/NNG
‘저널	‘/SS+저널/NNP
오브	오브/NNP
머티리얼	머티리얼/NNP
케미스트리A’	케미스트리/NNP+A/SL+’/SS
23일자에	23/SN+일자/NNG+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


