# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.232
metadata : {}


# id : NWRW1800000049.232.1.1
‘지우개’서 ‘피자’로?…리우올림픽 이란 선수단복 수모

‘지우개’서	‘/SS+지우개/NNG+’/SS+서/JKB
선보이기	선보이/VV+기/ETN
위해	위하/VV+아/EC
노력한다.	노력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.232.5.1
하지만 예외도 있다.

하지만	하지만/MAJ
예외도	예외/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.232.5.2
이란 선수단복은 국민들로부터 ‘지우개’ ‘피자’ 등에 비유되며 수모를 당하고 있다.

이란	이란/NNP
선수단복은	선수단복/NNG+은/JX
국민들로부터	국민/NNG+들/XSN+로부터/JKB
‘지우개’	‘/SS+지우개/NNG+’/SS
‘피자’	‘/SS+피자/NNG+’/SS
등에	등/NNB+에/JKB
비유되며	비유/NNG+되/XSV+며/EC
수모를	수모/NNG+를/JKO
당하고	당하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.232.6.1
이란 올림픽위원회가 처음 공개한 오렌지색 셔츠와 하늘색 재킷의 선수단복을 본 이란의 한 코미디 진행자는 자신의 인스타그램에 조롱의 의미로 선수단복과 색깔이 똑같은 지우개를 나란히 올려놓았다.

이란	이란/NNP
올림픽위원회가	올림픽/NNG+위원회/NNG+가/JKS
처음	처음/NNG
공개한	공개/NNG+하/XSV+ㄴ/ETM
오렌지색	오렌지색/NNG
셔츠와	셔츠/NNG+와/JC
하늘색	하늘색/NNG
재킷의	재킷/NNG+의/JKG
선수단복을	선수단복/NNG+을/JKO
본	보/VV+ㄴ/ETM
이란의	이란/NNP+의/JKG
한	한/MMN
코미디	코미디/NNG
진행자는	진행자/NNG+는/JX
자신의	자신/NNG+의/JKG
인스타그램에	인스타그램/NNP+에/JKB
조롱의	조롱/NNG+의/JKG
의미로	의미/NNG+로/JKB
선수단복과	선수단복/NNG+과/JKB
색깔이	색깔/NNG+이/JKS
똑같은	똑같/VA+은/ETM
지우개를	지우개/NNG+를/JKO
나란히	나란히/MAG
올려놓았다.	올려놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.6.2
이에 공감하는 이란 누리꾼들이 많아지자 이란 올림픽위원회는 지난달 28일 공식 트위터에 흰색, 빨간색, 초록색이 섞인 새 선수단복을 공개했다.

이에	이/NP+에/JKB
공감하는	공감/NNG+하/XSV+는/ETM
이란	이란/NNP
누리꾼들이	누리/NNG+꾼/XSN+들/XSN+이/JKS
많아지자	많아지/VV+자/EC
올림픽위원회는	올림픽/NNG+위원회/NNG+는/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
공식	공식/NNG
트위터에	트위터/NNP+에/JKB
흰색,	흰색/NNG+,/SP
빨간색,	빨간색/NNG+,/SP
초록색이	초록색/NNG+이/JKS
섞인	섞이/VV+ㄴ/ETM
새	새/MMA
선수단복을	선수단복/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.6.3
하지만 이번에는 이탈리아 국기와 비슷해 보인다는 비난이 일었고, 이란의 한 풍자작가는 피자에 빗대며 조롱했다.

하지만	하지만/MAJ
이번에는	이번/NNG+에/JKB+는/JX
이탈리아	이탈리아/NNP
국기와	국기/NNG+와/JKB
비슷해	비슷하/VA+아/EC
보인다는	보이/VV+ㄴ다는/ETM
비난이	비난/NNG+이/JKS
일었고,	일/VV+었/EP+고/EC+,/SP
이란의	이란/NNP+의/JKG
한	한/MMN
풍자작가는	풍자/NNG+작가/NNG+는/JX
피자에	피자/NNG+에/JKB
빗대며	빗대/VV+며/EC
조롱했다.	조롱/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.7.1
한편 한국은 라비모프가 꼽은 ‘가장 멋있는 선수단복’ 6개국에 포함됐다.

한편	한편/MAG
한국은	한국/NNP+은/JX
라비모프가	라비모프/NNP+가/JKS
꼽은	꼽/VV+은/ETM
‘가장	‘/SS+가장/MAG
멋있는	멋있/VA+는/ETM
선수단복’	선수단복/NNG+’/SS
6개국에	6/SN+개국/NNB+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.232.7.2
남색 재킷과 하얀 바지 차림의 한국 선수단복에 대해 그는 “미학적으로 혁신적인 것은 아니나 지카 바이러스 예방 기능이 있는 섬유를 사용했다”며 기능적인 부분을 높이 평가했다.

남색	남색/NNG
재킷과	재킷/NNG+과/JC
하얀	하얗/VA+ㄴ/ETM
바지	바지/NNG
차림의	차림/NNG+의/JKG
한국	한국/NNP
선수단복에	선수단복/NNG+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
“미학적으로	“/SS+미학/NNG+적/XSN+으로/JKB
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
아니나	아니/VCN+나/EC
지카	지카/NNP
바이러스	바이러스/NNG
예방	예방/NNG
기능이	기능/NNG+이/JKS
있는	있/VA+는/ETM
섬유를	섬유/NNG+를/JKO
사용했다”며	사용/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
기능적인	기능/NNG+적/XSN+이/VCP+ㄴ/ETM
부분을	부분/NNG+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.8.1
이 밖에 캐나다, 영국, 스웨덴, 미국, 프랑스 등의 선수단복이 선정됐다.

이	이/NP
밖에	밖/NNG+에/JKB
캐나다,	캐나다/NNP+,/SP
영국,	영국/NNP+,/SP
스웨덴,	스웨덴/NNP+,/SP
미국,	미국/NNP+,/SP
프랑스	프랑스/NNP
등의	등/NNB+의/JKG
선수단복이	선수단복/NNG+이/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.232.8.2
이들 선수단복은 각 국가의 국기 색깔을 반영했다.

이들	이/NP+들/XSN
선수단복은	선수단복/NNG+은/JX
각	각/MMD
국가의	국가/NNG+의/JKG
국기	국기/NNG
색깔을	색깔/NNG+을/JKO
반영했다.	반영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.232.8.3
디스퀘어드2(캐나다), 아디다스(독일), H&M(스웨덴), 랄프로렌(미국), 라코스테(프랑스) 등 유명 브랜드와 함께 제작한 것이 특징이다.

디스퀘어드2(캐나다),	디스퀘어드2/NNP+(/SS+캐나다/NNP+)/SS+,/SP
아디다스(독일),	아디다스/NNP+(/SS+독일/NNP+)/SS+,/SP
H&M(스웨덴),	H/SL+&/SW+M/SL+(/SS+스웨덴/NNP+)/SS+,/SP
랄프로렌(미국),	랄프로렌/NNP+(/SS+미국/NNP+)/SS+,/SP
라코스테(프랑스)	라코스테/NNP+(/SS+프랑스/NNP+)/SS
등	등/NNB
유명	유명/NNG
브랜드와	브랜드/NNG+와/JKB
함께	함께/MAG
제작한	제작/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.232.8.4
한국 선수단복은 국내 패션브랜드 빈폴이 제작했다.

한국	한국/NNP
선수단복은	선수단복/NNG+은/JX
국내	국내/NNG
패션브랜드	패션/NNG+브랜드/NNG
빈폴이	빈폴/NNP+이/JKS
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


