# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.197
metadata : {}


# id : NWRW1800000021.197.1.1
“충격적인 판갈아엎기… 후속 인사태풍 언제 얼마까지”

“충격적인	“/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
격앙된	격앙/NNG+되/XSV+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.6.3
대구경북(TK) 출신의 한 검사장은 유력한 후보였던 TK 출신의 권재진 서울고검장 등이 퇴임하게 되자 “현 정부 들어 TK 출신들이 제대로 자리를 찾아간 적이 있느냐”고 불만을 나타냈다.

대구경북(TK)	대구/NNP+경북/NNP+(/SS+TK/SL+)/SS
출신의	출신/NNG+의/JKG
한	한/MMN
검사장은	검사장/NNG+은/JX
유력한	유력/NNG+하/XSA+ㄴ/ETM
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
TK	TK/SL
권재진	권재진/NNP
서울고검장	서울고검장/NNG
등이	등/NNB+이/JKS
퇴임하게	퇴임/NNG+하/XSV+게/EC
되자	되/VV+자/EC
“현	“/SS+현/MMD
정부	정부/NNG
들어	들/VV+어/EC
출신들이	출신/NNG+들/XSN+이/JKS
제대로	제대로/MAG
자리를	자리/NNG+를/JKO
찾아간	찾아가/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있느냐”고	있/VA+느냐/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.7.1
검찰에선 총장이 정해지면 선배와 동기들은 퇴임하는 게 관행이다.

검찰에선	검찰/NNG+에서/JKB+ㄴ/JX
총장이	총장/NNG+이/JKS
정해지면	정하/VV+아/EC+지/VX+면/EC
선배와	선배/NNG+와/JC
동기들은	동기/NNG+들/XSN+은/JX
퇴임하는	퇴임/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
관행이다.	관행/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.7.2
12기인 천 지검장의 총장 내정으로 10기인 권 고검장과 명동성 법무연수원장을 비롯해 10∼12기 고검장 8명과 12기 검사장 2명이 용퇴 대상으로 거론되고 있다.

12기인	12/SN+기/NNG+이/VCP+ㄴ/ETM
천	천/NNP
지검장의	지검장/NNG+의/JKG
총장	총장/NNG
내정으로	내정/NNG+으로/JKB
10기인	10/SN+기/NNG+이/VCP+ㄴ/ETM
권	권/NNP
고검장과	고검장/NNG+과/JC
명동성	명동성/NNP
법무연수원장을	법무/NNG+연수원장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
10∼12기	10/SN+∼/SO+12/SN+기/NNG
고검장	고검장/NNG
8명과	8/SN+명/NNB+과/JC
12기	12/SN+기/NNG
검사장	검사장/NNG
2명이	2/SN+명/NNB+이/JKS
용퇴	용퇴/NNG
대상으로	대상/NNG+으로/JKB
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.7.3
권 고검장과 김준규 대전고검장은 사퇴의사를 내비쳤다.

권	권/NNP
고검장과	고검장/NNG+과/JC
김준규	김준규/NNP
대전고검장은	대전고검장/NNG+은/JX
사퇴의사를	사퇴/NNG+의사/NNG+를/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.8.1
이렇게 되면 13기에서 한상대 법무부 검찰국장, 차동민 수원지검장, 박용석 부산지검장 등 4, 5명이 고검장으로 승진할 것으로 전망된다.

이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
13기에서	13/SN+기/NNG+에서/JKB
한상대	한상대/NNP
법무부	법무부/NNG
검찰국장,	검찰국장/NNG+,/SP
차동민	차동민/NNP
수원지검장,	수원지검장/NNG+,/SP
박용석	박용석/NNP
부산지검장	부산지검장/NNG
등	등/NNB
4,	4/SN+,/SP
5명이	5/SN+명/NNB+이/JKS
고검장으로	고검장/NNG+으로/JKB
승진할	승진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.8.2
14기에서도 채동욱 법무부 법무실장, 김진태 대검 형사부장, 노환균 대검 공안부장 등 4, 5명이 고검장 승진 후보로 거론된다.

14기에서도	14/SN+기/NNG+에서/JKB+도/JX
채동욱	채동욱/NNP
법무부	법무부/NNG
법무실장,	법무실장/NNG+,/SP
김진태	김진태/NNP
대검	대검/NNG
형사부장,	형사부장/NNG+,/SP
노환균	노환균/NNP
공안부장	공안부장/NNG
등	등/NNB
4,	4/SN+,/SP
5명이	5/SN+명/NNB+이/JKS
고검장	고검장/NNG
승진	승진/NNG
후보로	후보/NNG+로/JKB
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.9.1
검사장 승진 대상으로는 17기에서 최재경 서울중앙지검 3차장, 김희관 서울중앙지검 2차장, 김경수 인천지검 1차장, 홍만표 대검 수사기획관의 이름이 나온다.

검사장	검사장/NNG
승진	승진/NNG
대상으로는	대상/NNG+으로/JKB+는/JX
17기에서	17/SN+기/NNG+에서/JKB
최재경	최재경/NNP
서울중앙지검	서울중앙지검/NNP
3차장,	3/SN+차장/NNG+,/SP
김희관	김희관/NNP
2차장,	2/SN+차장/NNG+,/SP
김경수	김경수/NNP
인천지검	인천지검/NNP
1차장,	1/SN+차장/NNG+,/SP
홍만표	홍만표/NNP
대검	대검/NNG
수사기획관의	수사/NNG+기획관/NNG+의/JKG
이름이	이름/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.9.2
17기에서 최대 7, 8명이 승진하고 18기에서도 1, 2명이 검사장이 될 가능성이 있다.

17기에서	17/SN+기/NNG+에서/JKB
최대	최대/NNG
7,	7/SN+,/SP
8명이	8/SN+명/NNB+이/JKS
승진하고	승진/NNG+하/XSV+고/EC
18기에서도	18/SN+기/NNG+에서/JKB+도/JX
1,	1/SN+,/SP
2명이	2/SN+명/NNB+이/JKS
검사장이	검사장/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.197.10.1
또한 청와대가 대검 중앙수사부의 ‘박연차 리스트’ 수사에 일부 문제가 있었다는 인식을 갖고 있는 것으로 알려져 중수부 등의 조직에 변화가 있을지 주목된다.

또한	또한/MAG
청와대가	청와대/NNP+가/JKS
대검	대검/NNG
중앙수사부의	중앙/NNG+수사부/NNG+의/JKG
‘박연차	‘/SS+박연차/NNP
리스트’	리스트/NNG+’/SS
수사에	수사/NNG+에/JKB
일부	일부/NNG
문제가	문제/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
인식을	인식/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
중수부	중수부/NNG
등의	등/NNB+의/JKG
조직에	조직/NNG+에/JKB
변화가	변화/NNG+가/JKS
있을지	있/VA+을지/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.197.10.2
검찰 안팎에선 중수부가 대검 공안부처럼 수사는 하지 않고 전국 지검과 지청의 특수부 수사를 관할하거나, 일정 직급 이상의 공무원 등에 한정해 수사를 하는 방안이 논의되고 있다.

검찰	검찰/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
중수부가	중수부/NNG+가/JKS
대검	대검/NNG
공안부처럼	공안부/NNG+처럼/JKB
수사는	수사/NNG+는/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
전국	전국/NNG
지검과	지검/NNG+과/JC
지청의	지청/NNG+의/JKG
특수부	특수부/NNG
수사를	수사/NNG+를/JKO
관할하거나,	관할/NNG+하/XSV+거나/EC+,/SP
일정	일정/NNG
직급	직급/NNG
이상의	이상/NNG+의/JKG
공무원	공무원/NNG
등에	등/NNB+에/JKB
한정해	한정/NNG+하/XSV+아/EC
하는	하/VV+는/ETM
방안이	방안/NNG+이/JKS
논의되고	논의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.197.11.1
● 천성관 검찰총장 내정자, 대표적 공안통…‘여간첩 원정화 사건’ 지휘

●	●/SW
천성관	천성관/NNP
검찰총장	검찰/NNG+총장/NNG
내정자,	내정자/NNG+,/SP
대표적	대표/NNG+적/XSN
공안통…‘여간첩	공안통/NNG+…/SE+‘/SS+여간첩/NNG
원정화	원정화/NNP
사건’	사건/NNG+’/SS
지휘	지휘/NNG


# id : NWRW1800000021.197.12.1
대표적인 ‘공안통’이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘공안통’이다.	‘/SS+공안통/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.12.2
대검찰청 공안1과장을 거쳐 서울중앙지검 공안1, 2부장과 대검 공안기획관을 지냈다.

대검찰청	대/XPN+검찰청/NNG
공안1과장을	공안/NNG+1/SN+과장/NNG+을/JKO
거쳐	거치/VV+어/EC
서울중앙지검	서울중앙지검/NNP
공안1,	공안/NNG+1/SN+,/SP
2부장과	2/SN+부장/NNG+과/JC
대검	대검/NNG
공안기획관을	공안/NNG+기획관/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.12.3
꼼꼼하고 치밀한 성격에 균형감각이 뛰어나며 정세와 현안 분석 능력이 탁월하다는 평을 듣는다.

꼼꼼하고	꼼꼼/MAG+하/XSA+고/EC
치밀한	치밀하/VA+ㄴ/ETM
성격에	성격/NNG+에/JKB
균형감각이	균형/NNG+감각/NNG+이/JKS
뛰어나며	뛰어나/VA+며/EC
정세와	정세/NNG+와/JC
현안	현안/NNG
분석	분석/NNG
능력이	능력/NNG+이/JKS
탁월하다는	탁월하/VA+다는/ETM
평을	평/NNG+을/JKO
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000021.197.12.4
올 1월 서울중앙지검장 부임 직후 ‘용산 철거민 참사’ 사건을 처리했고 최근 ‘MBC PD수첩 사건’을 마무리했다.

올	올/NNG
1월	1/SN+월/NNB
서울중앙지검장	서울중앙지검장/NNG
부임	부임/NNG
직후	직후/NNG
‘용산	‘/SS+용산/NNP
철거민	철거민/NNG
참사’	참사/NNG+’/SS
사건을	사건/NNG+을/JKO
처리했고	처리/NNG+하/XSV+았/EP+고/EC
최근	최근/NNG
‘MBC	‘/SS+MBC/SL
PD수첩	PD/SL+수첩/NNG
사건’을	사건/NNG+’/SS+을/JKO
마무리했다.	마무리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.12.5
지난해 수원지검장 재직 당시엔 현 정부 들어 가장 큰 공안사건인 ‘여간첩 원정화 사건’을 지휘해 주목을 받았다.

지난해	지난해/NNG
수원지검장	수원지검장/NNG
재직	재직/NNG
당시엔	당시/NNG+에/JKB+ㄴ/JX
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
가장	가장/MAG
큰	크/VA+ㄴ/ETM
공안사건인	공안/NNG+사건/NNG+이/VCP+ㄴ/ETM
‘여간첩	‘/SS+여간첩/NNG
원정화	원정화/NNP
사건’을	사건/NNG+’/SS+을/JKO
지휘해	지휘/NNG+하/XSV+아/EC
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.197.13.1
△충남 논산(51·사법연수원 12기) △경기고, 서울대 법대 △여주지청장 △수원지검 공안부장 △부산지검 공안부장 △부산지검 2차장 △울산지검장 △서울남부지검장 △수원지검장

△충남	△/SW+충남/NNP
논산(51·사법연수원	논산/NNP+(/SS+51/SN+·/SP+사법/NNG+연수원/NNG
12기)	12/SN+기/NNG+)/SS
△경기고,	△/SW+경기고/NNP+,/SP
서울대	서울대/NNP
법대	법대/NNG
△여주지청장	△/SW+여주/NNP+지청장/NNG
△수원지검	△/SW+수원지검/NNP
공안부장	공안부장/NNG
△부산지검	△/SW+부산지검/NNP
2차장	2/SN+차장/NNG
△울산지검장	△/SW+울산지검장/NNG
△서울남부지검장	△/SW+서울남부지검장/NNG
△수원지검장	△/SW+수원지검장/NNG


# id : NWRW1800000021.197.14.1
● 백용호 국세청장 내정자, 10년 넘게 아이디어 제공 ‘MB 과외교사’

●	●/SW
백용호	백용호/NNP
국세청장	국세청장/NNG
내정자,	내정자/NNG+,/SP
10년	10/SN+년/NNB
넘게	넘/VV+게/EC
아이디어	아이디어/NNG
제공	제공/NNG
‘MB	‘/SS+MB/SL
과외교사’	과외/NNG+교사/NNG+’/SS


# id : NWRW1800000021.197.15.1
10년 넘게 이명박 대통령에게 정책 아이디어를 제공해 온 경제·금융 분야의 브레인.

10년	10/SN+년/NNB
넘게	넘/VV+게/EC
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
정책	정책/NNG
아이디어를	아이디어/NNG+를/JKO
제공해	제공/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
경제·금융	경제/NNG+·/SP+금융/NNG
분야의	분야/NNG+의/JKG
브레인.	브레인/NNG+./SF


# id : NWRW1800000021.197.15.2
1996년 15대 총선 당시 서울 서대문에 한나라당의 전신인 신한국당 후보로 출마해 낙선했을 때 종로에서 국회의원에 당선된 이 대통령과 처음 인연을 맺었다.

1996년	1996/SN+년/NNB
15대	15/SN+대/NNB
총선	총선/NNG
당시	당시/NNG
서울	서울/NNP
서대문에	서대문/NNP+에/JKB
한나라당의	한나라당/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
신한국당	신한국당/NNP
후보로	후보/NNG+로/JKB
출마해	출마/NNG+하/XSV+아/EC
낙선했을	낙선/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
종로에서	종로/NNP+에서/JKB
국회의원에	국회/NNG+의원/NNG+에/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
이	이/NNP
대통령과	대통령/NNG+과/JKB
처음	처음/NNG
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.15.3
작년 3월 공정거래위원장 취임 후 출자총액제한제도를 폐지하는 등 친(親)시장적 경쟁정책을 폈다.

작년	작년/NNG
3월	3/SN+월/NNB
공정거래위원장	공정/NNG+거래/NNG+위원장/NNG
취임	취임/NNG
후	후/NNG
출자총액제한제도를	출자/NNG+총액/NNG+제한/NNG+제도/NNG+를/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
등	등/NNB
친(親)시장적	친/XPN+(/SS+親/SH+)/SS+시장/NNG+적/XSN
경쟁정책을	경쟁/NNG+정책/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.197.15.4
부드러운 성품이지만 결정을 내릴 때는 단호하다는 평가.

부드러운	부드럽/VA+ㄴ/ETM
성품이지만	성품/NNG+이/VCP+지만/EC
결정을	결정/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
때는	때/NNG+는/JX
단호하다는	단호하/VA+다는/ETM
평가.	평가/NNG+./SF


# id : NWRW1800000021.197.16.1
△충남 보령(53) △익산 남성고, 중앙대 경제학과 △미국 뉴욕주립대 경제학 박사 △서울시정개발연구원장 △이화여대 정책과학대학원 교수 △제17대 대통령직인수위원회 경제1분과 위원 △공정거래위원장

△충남	△/SW+충남/NNP
보령(53)	보령/NNP+(/SS+53/SN+)/SS
△익산	△/SW+익산/NNP
남성고,	남성고/NNP+,/SP
중앙대	중앙대/NNP
경제학과	경제학과/NNG
△미국	△/SW+미국/NNP
뉴욕주립대	뉴욕주립대/NNP
경제학	경제학/NNG
박사	박사/NNG
△서울시정개발연구원장	△/SW+서울시정개발연구원장/NNG
△이화여대	△/SW+이화여대/NNP
정책과학대학원	정책/NNG+과학/NNG+대학원/NNG
교수	교수/NNG
△제17대	△/SW+제/XPN+17/SN+대/NNB
대통령직인수위원회	대통령직/NNG+인수/NNG+위원회/NNG
경제1분과	경제/NNG+1/SN+분과/NNG
위원	위원/NNG
△공정거래위원장	△/SW+공정/NNG+거래/NNG+위원장/NNG


# id : NWRW1800000021.197.17.1
■ 국세청은… 李대통령 불신 반영” 긴장… 내부 개혁작업 힘실릴듯

■	■/SW
국세청은…	국세청/NNG+은/JX+…/SE
李대통령	李/SH+대통령/NNG
불신	불신/NNG
반영”	반영/NNG+”/SS
긴장…	긴장/NNG+…/SE
내부	내부/NNG
개혁작업	개혁/NNG+작업/NNG
힘실릴듯	힘/NNG+실리/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000021.197.18.1
“하마평에조차 오르지 않았던 분이다.

“하마평에조차	“/SS+하마평/NNG+에/JKB+조차/JX
오르지	오르/VV+지/EC
않았던	않/VX+았/EP+던/ETM
분이다.	분/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.197.18.2
너무나 의외다.”

너무나	너무나/MAG
의외다.”	의외/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000021.197.19.1
“조직이 완전히 물갈이될 것 같다.”

“조직이	“/SS+조직/NNG+이/JKS
완전히	완전히/MAG
물갈이될	물갈이/NNG+되/XSV+ㄹ/ETM
것	것/NNB
같다.”	같/VA+다/EF+./SF+”/SS


# id : NWRW1800000021.197.20.1
백용호 공정거래위원장이 21일 국세청장에 내정됐다는 소식이 알려지자 국세청은 뜻밖의 인선에 크게 놀라며 술렁였다.

백용호	백용호/NNP
공정거래위원장이	공정/NNG+거래/NNG+위원장/NNG+이/JKS
21일	21/SN+일/NNB
국세청장에	국세청장/NNG+에/JKB
내정됐다는	내정/NNG+되/XSV+었/EP+다는/ETM
소식이	소식/NNG+이/JKS
알려지자	알려지/VV+자/EC
국세청은	국세청/NNG+은/JX
뜻밖의	뜻밖/NNG+의/JKG
인선에	인선/NNG+에/JKB
크게	크/VA+게/EC
놀라며	놀라/VV+며/EC
