# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.401
metadata : {}


# id : NWRW1800000045.401.1.1
文 “잘돼 갑니까”… 安 “최선 다해야죠”

文	文/SH
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“뭐,	“/SS+뭐/IC+,/SP
어떻게	어떻/VA+게/EC
하겠느냐.	하/VV+겠/EP+느냐/EF+./SF


# id : NWRW1800000045.401.8.2
앞으로 좋은 경쟁도 해나가야 되고, 언젠간 합치기도 해야 되고, 길게 보면 같이 갈 사이인데…”라고 말했다.

앞으로	앞/NNG+으로/JKB
좋은	좋/VA+은/ETM
경쟁도	경쟁/NNG+도/JX
해나가야	하/VV+아/EC+나가/VX+아야/EC
되고,	되/VV+고/EC+,/SP
언젠간	언젠가/MAG+ㄴ/JX
합치기도	합치/VV+기/ETN+도/JX
해야	하/VX+아야/EC
길게	길/VA+게/EC
보면	보/VV+면/EC
같이	같이/MAG
갈	가/VV+ㄹ/ETM
사이인데…”라고	사이/NNG+이/VCP+ㄴ데/EC+…/SE+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.8.3
그러나 안 의원은 “통합에 대해선 이미 (내년 총선에서 더민주당과 연대·단일화가 없다는) 원칙을 여러 번 말했다”고 일축했다.

그러나	그러나/MAJ
안	안/NNP
의원은	의원/NNG+은/JX
“통합에	“/SS+통합/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
이미	이미/MAG
(내년	(/SS+내년/NNG
총선에서	총선/NNG+에서/JKB
더민주당과	더민주당/NNP+과/JC
연대·단일화가	연대/NNG+·/SP+단일/NNG+화/XSN+가/JKS
없다는)	없/VA+다는/ETM+)/SS
원칙을	원칙/NNG+을/JKO
여러	여러/MMN
번	번/NNB
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.9.1
더민주당엔 선을 긋고 있지만 ‘안철수 신당’에 합류한 의원들은 각각 역할을 나눠 호남 신당 세력과의 통합에 속도를 내고 있다.

더민주당엔	더민주당/NNP+에/JKB+ㄴ/JX
선을	선/NNG+을/JKO
긋고	긋/VV+고/EC
있지만	있/VX+지만/EC
‘안철수	‘/SS+안철수/NNP
신당’에	신당/NNG+’/SS+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
의원들은	의원/NNG+들/XSN+은/JX
각각	각각/MAG
역할을	역할/NNG+을/JKO
나눠	나누/VV+어/EC
호남	호남/NNP
신당	신당/NNG
세력과의	세력/NNG+과/JKB+의/JKG
통합에	통합/NNG+에/JKB
속도를	속도/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.401.9.2
황주홍 의원은 전날 ‘국민회의’ 창당을 준비하는 천정배 의원과 만나 통합에 대해 논의했다.

황주홍	황주홍/NNP
의원은	의원/NNG+은/JX
전날	전날/NNG
‘국민회의’	‘/SS+국민회의/NNP+’/SS
창당을	창당/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
천정배	천정배/NNP
의원과	의원/NNG+과/JKB
만나	만나/VV+아/EC
통합에	통합/NNG+에/JKB
대해	대하/VV+아/EC
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.9.3
천 의원은 이날 동아일보와의 통화에서 “단기적으로도 잘해 보자고 했다”고 말했다.

천	천/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“단기적으로도	“/SS+단기/NNG+적/XSN+으로/JKB+도/JX
잘해	잘/MAG+하/XSV+아/EC
보자고	보/VX+자고/EC
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.401.9.4
통합 시기가 앞당겨질 수 있다는 의미다.

통합	통합/NNG
시기가	시기/NNG+가/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.401.9.5
문병호 의원은 전날 탈당을 고민하는 장병완 의원(광주 남)과 만나 탈당 시기를 상의했다고 한다.

문병호	문병호/NNP
의원은	의원/NNG+은/JX
전날	전날/NNG
탈당을	탈당/NNG+을/JKO
고민하는	고민/NNG+하/XSV+는/ETM
장병완	장병완/NNP
의원(광주	의원/NNG+(/SS+광주/NNP
남)과	남/NNP+)/SS+과/JKB
만나	만나/VV+아/EC
탈당	탈당/NNG
시기를	시기/NNG+를/JKO
상의했다고	상의/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.401.9.6
유성엽 의원도 정동영 전 의원을 포함한 신당 세력을 묶는 역할을 하고 있다.

유성엽	유성엽/NNP
의원도	의원/NNG+도/JX
정동영	정동영/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
신당	신당/NNG
세력을	세력/NNG+을/JKO
묶는	묶/VV+는/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.401.9.7
한편 더민주당의 탈당 움직임은 더욱 가속화하고 있다.

한편	한편/MAG
더민주당의	더민주당/NNP+의/JKG
탈당	탈당/NNG
움직임은	움직임/NNG+은/JX
더욱	더욱/MAG
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.401.9.8
탈당 수순을 밟고 있는 김한길 의원과 정대철 상임고문이 이날 서울의 한 음식점에서 박원순 서울시장을 만난 것으로 확인됐다.

탈당	탈당/NNG
수순을	수순/NNG+을/JKO
밟고	밟/VV+고/EC
있는	있/VX+는/ETM
김한길	김한길/NNP
의원과	의원/NNG+과/JC
정대철	정대철/NNP
상임고문이	상임/NNG+고문/NNG+이/JKS
이날	이날/NNG
서울의	서울/NNP+의/JKG
한	한/MMN
음식점에서	음식점/NNG+에서/JKB
박원순	박원순/NNP
서울시장을	서울시장/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.401.9.9
이들은 오찬을 함께하며 야권 통합에 대해 의논한 것으로 전해졌다.

이들은	이/NP+들/XSN+은/JX
오찬을	오찬/NNG+을/JKO
함께하며	함께/MAG+하/XSV+며/EC
야권	야권/NNG
통합에	통합/NNG+에/JKB
대해	대하/VV+아/EC
의논한	의논/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


