# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.101
metadata : {}


# id : NWRW1800000044.101.1.1
“한일협정 체결과정 밝혀 갈등현안 풀자”

“한일협정	“/SS+한일/NNP+협정/NNG
등으로	등/NNB+으로/JKB
악화된	악화/NNG+되/XSV+ㄴ/ETM
한-일	한/NNP+-/SO+일/NNP
관계의	관계/NNG+의/JKG
개선책을	개선책/NNG+을/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
출범시킨	출범/NNG+시키/XSV+ㄴ/ETM
단체다.	단체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.101.4.4
캠페인은 이날 ‘2015년, 어떻게 행동할까’라는 제목의 토론회를 열었다.

캠페인은	캠페인/NNG+은/JX
이날	이날/NNG
‘2015년,	‘/SS+2015/SN+년/NNB+,/SP
어떻게	어떻/VA+게/EC
행동할까’라는	행동/NNG+하/XSV+ㄹ까/EF+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
토론회를	토론회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.101.5.1
캠페인은 내년 중점추진 사업으로 지난 50년간 한-일 관계의 기본 원칙인 ‘1965년 한일협정’의 체결 과정을 검정하기로 했다.

캠페인은	캠페인/NNG+은/JX
내년	내년/NNG
중점추진	중점/NNG+추진/NNG
사업으로	사업/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
50년간	50/SN+년/NNB+간/XSN
한-일	한/NNP+-/SO+일/NNP
관계의	관계/NNG+의/JKG
기본	기본/NNG
원칙인	원칙/NNG+이/VCP+ㄴ/ETM
‘1965년	‘/SS+1965/SN+년/NNB
한일협정’의	한일/NNP+협정/NNG+’/SS+의/JKG
체결	체결/NNG
과정을	과정/NNG+을/JKO
검정하기로	검정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.101.5.2
현재 핵심 갈등 현안인 위안부와 강제동원 피해자들의 ‘개인 청구권’ 문제 등이 한일협정에 대한 양국의 해석 차이에서 발생하고 있다고 판단하기 때문이다.

현재	현재/MAG
핵심	핵심/NNG
갈등	갈등/NNG
현안인	현안/NNG+이/VCP+ㄴ/ETM
위안부와	위안부/NNG+와/JC
강제동원	강제/NNG+동원/NNG
피해자들의	피해자/NNG+들/XSN+의/JKG
‘개인	‘/SS+개인/NNG
청구권’	청구/NNG+권/XSN+’/SS
문제	문제/NNG
등이	등/NNB+이/JKS
한일협정에	한일/NNP+협정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
양국의	양국/NNG+의/JKG
해석	해석/NNG
차이에서	차이/NNG+에서/JKB
발생하고	발생/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
판단하기	판단/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.101.5.3
실제로 위안부 문제에 대한 성의 있는 선조처를 요구하는 한국 정부에 대해 일본은 위안부 문제를 포함한 모든 양국간 현안은 한일협정에 의해 “완전히 그리고 최종적으로 해결됐다”는 주장을 굽히지 않고 있다.

실제로	실제로/MAG
위안부	위안부/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성의	성의/NNG
있는	있/VA+는/ETM
선조처를	선조처/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
한국	한국/NNP
정부에	정부/NNG+에/JKB
대해	대하/VV+아/EC
일본은	일본/NNP+은/JX
문제를	문제/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
양국간	양국/NNG+간/NNB
현안은	현안/NNG+은/JX
한일협정에	한일/NNP+협정/NNG+에/JKB
의해	의하/VV+아/EC
“완전히	“/SS+완전히/MAG
그리고	그리고/MAJ
최종적으로	최종/NNG+적/XSN+으로/JKB
해결됐다”는	해결/NNG+되/XSV+었/EP+다/EF+”/SS+는/ETM
주장을	주장/NNG+을/JKO
굽히지	굽히/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.101.6.1
한일협정 문서공개 운동을 꾸준히 진행해 온 요시자와 후미토시 니가타국제정보대학 교수는 이날 토론회에서 “앞으로 한일협정의 교섭 내용과 과정, 국회 심의, 언론 보도, 피해자들의 반대운동 등을 다면적으로 검정해갈 계획이다.

한일협정	한일/NNP+협정/NNG
문서공개	문서/NNG+공개/NNG
운동을	운동/NNG+을/JKO
꾸준히	꾸준히/MAG
진행해	진행/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
요시자와	요시자와/NNP
후미토시	후미토시/NNP
니가타국제정보대학	니가타국제정보대학/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
토론회에서	토론회/NNG+에서/JKB
“앞으로	“/SS+앞/NNG+으로/JKB
한일협정의	한일/NNP+협정/NNG+의/JKG
교섭	교섭/NNG
내용과	내용/NNG+과/JC
과정,	과정/NNG+,/SP
국회	국회/NNG
심의,	심의/NNG+,/SP
언론	언론/NNG
보도,	보도/NNG+,/SP
피해자들의	피해자/NNG+들/XSN+의/JKG
반대운동	반대/NNG+운동/NNG
등을	등/NNB+을/JKO
다면적으로	다면/NNG+적/XSN+으로/JKB
검정해갈	검정/NNG+하/XSV+아/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.101.6.2
(이 문제를 해결해) 양국간 우호 협력관계를 발전시키는 게 양국의 이익과 동아시아 평화체제 확립에 얼마나 기여할지를 확인하는 게 중요하다”고 말했다.

(이	(/SS+이/MMD
문제를	문제/NNG+를/JKO
해결해)	해결/NNG+하/XSV+아/EC+)/SS
양국간	양국/NNG+간/NNB
우호	우호/NNG
협력관계를	협력/NNG+관계/NNG+를/JKO
발전시키는	발전/NNG+시키/XSV+는/ETM
게	거/NNB+이/JKS
양국의	양국/NNG+의/JKG
이익과	이익/NNG+과/JC
동아시아	동아시아/NNP
평화체제	평화/NNG+체제/NNG
확립에	확립/NNG+에/JKB
얼마나	얼마나/MAG
기여할지를	기여/NNG+하/XSV+ㄹ지/EF+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


