# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.211
metadata : {}


# id : NWRW1800000030.211.1.1
'미스터 스리런' 가르시아

'미스터	'/SS+미스터/NNG
계투진의	계투진/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
정우람을	정우람/NNP+을/JKO
공략,	공략/NNG+,/SP
다시	다시/MAG
우월	우월/NNG
3점포로	3/SN+점/NNB+포/NNG+로/JKB
연결했다.	연결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.211.5.1
작년까지 롯데에서 뛰다 재계약에 실패하고 멕시코 리그에서 뛰었던 가르시아는 28만달러(계약금 10만달러·연봉 18만달러)를 받는 조건으로 한화 유니폼을 입었다.

작년까지	작년/NNG+까지/JX
롯데에서	롯데/NNP+에서/JKB
뛰다	뛰/VV+다/EC
재계약에	재/XPN+계약/NNG+에/JKB
실패하고	실패/NNG+하/XSV+고/EC
멕시코	멕시코/NNP
리그에서	리그/NNG+에서/JKB
뛰었던	뛰/VV+었/EP+던/ETM
가르시아는	가르시아/NNP+는/JX
28만달러(계약금	28/SN+만/NR+달러/NNB+(/SS+계약금/NNG
10만달러·연봉	10/SN+만/NR+달러/NNB+·/SP+연봉/NNG
18만달러)를	18/SN+만/NR+달러/NNB+)/SS+를/JKO
받는	받/VV+는/ETM
조건으로	조건/NNG+으로/JKB
한화	한화/NNP
유니폼을	유니폼/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.5.2
한국에 돌아온 이후 14경기에서 만루 홈런 2개를 포함, 홈런 6개를 터뜨리고 타점 26개를 올려 확실한 해결사로 자리 잡고 있다.

한국에	한국/NNP+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
이후	이후/NNG
14경기에서	14/SN+경기/NNG+에서/JKB
만루	만루/NNG
홈런	홈런/NNG
2개를	2/SN+개/NNB+를/JKO
포함,	포함/NNG+,/SP
6개를	6/SN+개/NNB+를/JKO
터뜨리고	터뜨리/VV+고/EC
타점	타점/NNG
26개를	26/SN+개/NNB+를/JKO
올려	올리/VV+어/EC
확실한	확실하/VA+ㄴ/ETM
해결사로	해결사/NNG+로/JKB
자리	자리/NNG
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.211.6.1
평소 무술에 관심이 많은 가르시아는 조만간 정식으로 쿵후를 배울 계획이라고 한다.

평소	평소/NNG
무술에	무술/NNG+에/JKB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
가르시아는	가르시아/NNP+는/JX
조만간	조만간/MAG
정식으로	정식/NNG+으로/JKB
쿵후를	쿵후/NNG+를/JKO
배울	배우/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.211.6.2
대전구장 근처 아파트에서 사는 그는 경기가 열리기 전 오전 시간에 몸을 풀고 싶다며 구단 직원에게 도장을 알아봐 달라고 부탁했다.

대전구장	대전구장/NNP
근처	근처/NNG
아파트에서	아파트/NNG+에서/JKB
사는	살/VV+는/ETM
그는	그/NP+는/JX
경기가	경기/NNG+가/JKS
열리기	열리/VV+기/ETN
전	전/NNG
오전	오전/NNG
시간에	시간/NNG+에/JKB
몸을	몸/NNG+을/JKO
풀고	풀/VV+고/EC
싶다며	싶/VX+다며/EC
구단	구단/NNG
직원에게	직원/NNG+에게/JKB
도장을	도장/NNG+을/JKO
알아봐	알아보/VV+아/EC
달라고	달/VX+라고/EC
부탁했다.	부탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.211.6.3
가르시아는 배팅훈련도 많이 하기로 소문난 선수다.

가르시아는	가르시아/NNP+는/JX
배팅훈련도	배팅/NNG+훈련/NNG+도/JX
많이	많이/MAG
하기로	하/VV+기/ETN+로/JKB
소문난	소문나/VV+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.211.6.4
2위 SK는 3연패에 빠졌고, 선두 삼성과의 승차는 1경기로 벌어졌다.

2위	2/SN+위/NNB
SK는	SK/SL+는/JX
3연패에	3/SN+연패/NNG+에/JKB
빠졌고,	빠지/VV+었/EP+고/EC+,/SP
선두	선두/NNG
삼성과의	삼성/NNP+과/JKB+의/JKG
승차는	승차/NNG+는/JX
1경기로	1/SN+경기/NNG+로/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.6.5
사직에선 롯데가 KIA를 4대0으로 물리치고 4연패에서 벗어났다.

사직에선	사직/NNP+에서/JKB+ㄴ/JX
롯데가	롯데/NNP+가/JKS
KIA를	KIA/SL+를/JKO
4대0으로	4/SN+대/NNB+0/SN+으로/JKB
물리치고	물리치/VV+고/EC
4연패에서	4/SN+연패/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.211.6.6
롯데는 7회 말 공격을 앞두고 비가 쏟아져 '강우 콜드게임'이 선언되면서 일찍 승리를 결정지었다.

롯데는	롯데/NNP+는/JX
7회	7/SN+회/NNB
말	말/NNB
공격을	공격/NNG+을/JKO
앞두고	앞두/VV+고/EC
비가	비/NNG+가/JKS
쏟아져	쏟아지/VV+어/EC
'강우	'/SS+강우/NNG
콜드게임'이	콜드게임/NNG+'/SS+이/JKS
선언되면서	선언/NNG+되/XSV+면서/EC
일찍	일찍/MAG
승리를	승리/NNG+를/JKO
결정지었다.	결정짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.6.7
최근 일부 부산 팬들은 6위로 떨어진 롯데의 부진을 신임 양승호 감독의 책임으로 돌리면서 '감독 퇴진운동', '무관중 운동'을 주장하고 나섰다.

최근	최근/MAG
일부	일부/NNG
부산	부산/NNP
팬들은	팬/NNG+들/XSN+은/JX
6위로	6/SN+위/NNB+로/JKB
떨어진	떨어지/VV+ㄴ/ETM
롯데의	롯데/NNP+의/JKG
부진을	부진/NNG+을/JKO
신임	신임/NNG
양승호	양승호/NNP
감독의	감독/NNG+의/JKG
책임으로	책임/NNG+으로/JKB
돌리면서	돌리/VV+면서/EC
'감독	'/SS+감독/NNG
퇴진운동',	퇴진/NNG+운동/NNG+'/SS+,/SP
'무관중	'/SS+무/XPN+관중/NNG
운동'을	운동/NNG+'/SS+을/JKO
주장하고	주장/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.6.8
평균 2만명을 넘었던 관중은 29일 1만6000명, 30일 1만2000명으로 줄었다.

평균	평균/NNG
2만명을	2/SN+만/NR+명/NNB+을/JKO
넘었던	넘/VV+었/EP+던/ETM
관중은	관중/NNG+은/JX
29일	29/SN+일/NNB
1만6000명,	1/SN+만/NR+6000/SN+명/NNB+,/SP
30일	30/SN+일/NNB
1만2000명으로	1/SN+만/NR+2000/SN+명/NNB+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.6.9
이런 어수선한 분위기 속에 선발투수로 등판한 롯데 고원준은 7이닝 동안 안타 3개만 내주고 무실점으로 막아 완봉승을 따냈다.

이런	이런/MMD
어수선한	어수선하/VA+ㄴ/ETM
분위기	분위기/NNG
속에	속/NNG+에/JKB
선발투수로	선발/NNG+투수/NNG+로/JKB
등판한	등판/NNG+하/XSV+ㄴ/ETM
롯데	롯데/NNP
고원준은	고원준/NNP+은/JX
7이닝	7/SN+이닝/NNG
동안	동안/NNG
안타	안타/NNG
3개만	3/SN+개/NNB+만/JX
내주고	내주/VV+고/EC
무실점으로	무/XPN+실점/NNG+으로/JKB
막아	막/VV+아/EC
완봉승을	완봉/NNG+승/NNG+을/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.211.6.10
잠실 삼성―LG 전과 목동 두산―넥센전은 비 때문에 취소됐다.

잠실	잠실/NNP
삼성―LG	삼성/NNP+―/SS+LG/SL
전과	전/XSN+과/JC
목동	목동/NNP
두산―넥센전은	두산/NNP+―/SS+넥센전/NNG+은/JX
비	비/NNG
때문에	때문/NNB+에/JKB
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


