# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.19
metadata : {}


# id : NWRW1800000026.19.1.1
[조용헌 살롱] (718) 三南의 개성

[조용헌	[/SS+조용헌/NNP
퇴계학풍의	퇴계/NNP+학풍/NNG+의/JKG
영향도	영향/NNG+도/JX
있었다고	있/VA+었/EP+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.19.3.5
기호 노론의 주기학풍(主氣學風)보다 영남 남인들의 주리학풍(主理學風)이 상대적으로 집안과 문중에 대한 관심이 높다.

기호	기호/NNP
노론의	노론/NNG+의/JKG
주기학풍(主氣學風)보다	주기학풍/NNG+(/SS+主氣學風/SH+)/SS+보다/JKB
영남	영남/NNP
남인들의	남인/NNG+들/XSN+의/JKG
주리학풍(主理學風)이	주리학풍/NNG+(/SS+主理學風/SH+)/SS+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
집안과	집안/NNG+과/JC
문중에	문중/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000026.19.3.6
영남 남인들이 200년 동안 중앙 정치권력으로부터 소외됐던 것도 집안을 중심으로 내부결속을 강화하는 계기가 되었다.

영남	영남/NNP
남인들이	남인/NNG+들/XSN+이/JKS
200년	200/SN+년/NNB
동안	동안/NNG
중앙	중앙/NNG
정치권력으로부터	정치권력/NNG+으로부터/JKB
소외됐던	소외/NNG+되/XSV+었/EP+던/ETM
것도	것/NNB+도/JX
집안을	집안/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
내부결속을	내부/NNG+결속/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
계기가	계기/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.19.4.1
전라도는 한반도에서 평야가 가장 넓은 데다가, 해안가에 갯벌이 많다는 점을 주목해야 한다.

전라도는	전라도/NNP+는/JX
한반도에서	한반도/NNP+에서/JKB
평야가	평야/NNG+가/JKS
가장	가장/MAG
넓은	넓/VA+은/ETM
데다가,	데/NNB+다가/JX+,/SP
해안가에	해안가/NNG+에/JKB
갯벌이	갯벌/NNG+이/JKS
많다는	많/VA+다는/ETM
점을	점/NNG+을/JKO
주목해야	주목/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.19.4.2
갯벌은 논밭 다음으로 제3의 농토였다.

갯벌은	갯벌/NNG+은/JX
논밭	논밭/NNG
다음으로	다음/NNG+으로/JKB
제3의	제/XPN+3/SN+의/JKG
농토였다.	농토/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.19.4.3
육지는 흉년이 들어도 뻘밭은 흉년이 없었다.

육지는	육지/NNG+는/JX
흉년이	흉년/NNG+이/JKS
들어도	들/VV+어도/EC
뻘밭은	뻘/NNG+밭/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.19.4.4
갈고리만 하나 들고 뻘밭에 들어가면 굶어죽지는 않았다.

갈고리만	갈고리/NNG+만/JX
하나	하나/NR
들고	들/VV+고/EC
뻘밭에	뻘/NNG+밭/NNG+에/JKB
들어가면	들어가/VV+면/EC
굶어죽지는	굶/VV+어/EC+죽/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.19.4.5
진도(珍島) 같은 섬도 1년 농사를 제대로 지으면 3년 동안 먹을 수 있는 식량이 나왔다.

진도(珍島)	진도/NNP+(/SS+珍島/SH+)/SS
같은	같/VA+은/ETM
섬도	섬/NNG+도/JX
1년	1/SN+년/NNB
농사를	농사/NNG+를/JKO
제대로	제대로/MAG
지으면	짓/VV+으면/EC
3년	3/SN+년/NNB
동안	동안/NNG
먹을	먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
식량이	식량/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.19.4.6
그렇다 보니 먹을거리와 요리가 발달할 수밖에 없다.

그렇다	그렇/VA+다/EC
보니	보/VX+니/EC
먹을거리와	먹을거리/NNG+와/JC
요리가	요리/NNG+가/JKS
발달할	발달/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.19.4.7
전라도 음식 가운데 홍어와 돼지고기를 같이 먹는 삼합과 전주의 비빔밥은 육지와 바다의 먹을거리가 절묘하게 결합된 사례이다.

전라도	전라도/NNP
음식	음식/NNG
가운데	가운데/NNG
홍어와	홍어/NNG+와/JC
돼지고기를	돼지고기/NNG+를/JKO
같이	같이/MAG
먹는	먹/VV+는/ETM
삼합과	삼합/NNG+과/JC
전주의	전주/NNP+의/JKG
비빔밥은	비빔밥/NNG+은/JX
육지와	육지/NNG+와/JC
바다의	바다/NNG+의/JKG
먹을거리가	먹을거리/NNG+가/JKS
절묘하게	절묘하/VA+게/EC
결합된	결합/NNG+되/XSV+ㄴ/ETM
사례이다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.5.1
조선조에 충청도는 고위벼슬을 많이 배출한 노론의 본거지였으므로 양반이 가장 많았던 지역이다.

조선조에	조선조/NNG+에/JKB
충청도는	충청도/NNP+는/JX
고위벼슬을	고위/NNG+벼슬/NNG+을/JKO
많이	많이/MAG
배출한	배출/NNG+하/XSV+ㄴ/ETM
노론의	노론/NNG+의/JKG
본거지였으므로	본거지/NNG+이/VCP+었/EP+으므로/EC
양반이	양반/NNG+이/JKS
가장	가장/MAG
많았던	많/VA+았/EP+던/ETM
지역이다.	지역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.5.2
양반은 극단적인 말을 되도록이면 하지 않으려고 한다.

양반은	양반/NNG+은/JX
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
말을	말/NNG+을/JKO
되도록이면	되도록/MAG+이/VCP+면/EC
하지	하/VV+지/EC
않으려고	않/VX+으려고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.19.5.3
말을 느리게 하는 이유가 이것이다.

말을	말/NNG+을/JKO
느리게	느리/VA+게/EC
하는	하/VV+는/ETM
이유가	이유/NNG+가/JKS
이것이다.	이것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.5.4
양반의 체통을 중시하려다 보니 의관(衣冠)을 잘 챙겨 입어야 했을 것이다.

양반의	양반/NNG+의/JKG
체통을	체통/NNG+을/JKO
중시하려다	중시/NNG+하/XSV+려다/EC
보니	보/VX+니/EC
의관(衣冠)을	의관/NNG+(/SS+衣冠/SH+)/SS+을/JKO
잘	잘/MAG
챙겨	챙기/VV+어/EC
입어야	입/VV+어야/EC
했을	하/VX+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.5.5
그렇지만 내면에는 대의를 위해 자기 몸을 던지는 기질이 있다.

그렇지만	그렇지만/MAJ
내면에는	내면/NNG+에/JKB+는/JX
대의를	대의/NNG+를/JKO
위해	위하/VV+아/EC
자기	자기/NP
몸을	몸/NNG+을/JKO
던지는	던지/VV+는/ETM
기질이	기질/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.19.5.6
일제강점기에 김좌진 장군을 비롯하여, 윤봉길 의사, 만해 한용운, 유관순 열사가 모두 충청도 출신이다.

일제강점기에	일제/NNG+강점기/NNG+에/JKB
김좌진	김좌진/NNP
장군을	장군/NNG+을/JKO
비롯하여,	비롯하/VV+아/EC+,/SP
윤봉길	윤봉길/NNP
의사,	의사/NNG+,/SP
만해	만해/NNP
한용운,	한용운/NNP+,/SP
유관순	유관순/NNP
열사가	열사/NNG+가/JKS
모두	모두/MAG
충청도	충청도/NNP
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.19.5.7
여간해서 내색은 잘 안 하지만 속에서는 불꽃처럼 폭발하는 기질의 소유자가 충청도에 많다.

여간해서	여간/MAG+하/XSA+아서/EC
내색은	내색/NNG+은/JX
잘	잘/MAG
안	안/MAG
하지만	하/VV+지만/EC
속에서는	속/NNG+에서/JKB+는/JX
불꽃처럼	불꽃/NNG+처럼/JKB
폭발하는	폭발/NNG+하/XSV+는/ETM
기질의	기질/NNG+의/JKG
소유자가	소유자/NNG+가/JKS
충청도에	충청도/NNP+에/JKB
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.19.5.8
세종시 문제를 잘 해결했으면 좋겠다.

세종시	세종시/NNP
문제를	문제/NNG+를/JKO
잘	잘/MAG
해결했으면	해결/NNG+하/XSV+았/EP+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


