# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.43
metadata : {}


# id : NWRW1800000026.43.1.1
[부산·경남] 남해군 '금수강산 물려주기' 가시적 성과;납골평장묘역 큰 호응… 화장률 68% 전국 최고

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
화장을	화장/NNG+을/JKO
장려하기	장려/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2004년에	2004/SN+년/NNB+에/JKB
도입한	도입/NNG+하/XSV+ㄴ/ETM
시책.	시책/NNG+./SF


# id : NWRW1800000026.43.4.2
납골평장을 하기 위해선 시신을 화장해 나무 한지 등 자연분해되는 유골함에 분골을 넣은 뒤 지면 30㎝ 아래에 묻고 지면에 와비를 설치해야 한다.

납골평장을	납골/NNG+평장/NNG+을/JKO
하기	하/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
시신을	시신/NNG+을/JKO
화장해	화장/NNG+하/XSV+아/EC
나무	나무/NNG
한지	한지/NNG
등	등/NNB
자연분해되는	자연/NNG+분해/NNG+되/XSV+는/ETM
유골함에	유골함/NNG+에/JKB
분골을	분골/NNG+을/JKO
넣은	넣/VV+은/ETM
뒤	뒤/NNG
지면	지면/NNG
30㎝	30/SN+㎝/SW
아래에	아래/NNG+에/JKB
묻고	묻/VV+고/EC
지면에	지면/NNG+에/JKB
와비를	와비/NNG+를/JKO
설치해야	설치/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.43.4.3
이 경우 제를 올릴 수 있는 잔디공간 등을 포함, 1기가 차지하는 면적은 1.125㎡에 지나지 않는다.

이	이/NP
경우	경우/NNG
제를	제/NNG+를/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
잔디공간	잔디/NNG+공간/NNG
등을	등/NNB+을/JKO
포함,	포함/NNG+,/SP
1기가	1/SN+기/NNB+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
면적은	면적/NNG+은/JX
1.125㎡에	1/SN+./SP+125/SN+㎡/SW+에/JKB
지나지	지나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000026.43.4.4
남해추모누리의 납골평장묘역에는 현재 740여기가 안치돼 있다.

남해추모누리의	남해추모누리/NNP+의/JKG
납골평장묘역에는	납골/NNG+평장/NNG+묘역/NNG+에/JKB+는/JX
현재	현재/MAG
740여기가	740/SN+여/XSN+기/NNB+가/JKS
안치돼	안치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.43.4.5
추모누리 내 매장묘역이 있기는 하지만 '사망 1년 전부터 남해 거주' 등 엄격한 제한 요건이 있다.

추모누리	추모누리/NNP
내	내/NNB
매장묘역이	매장/NNG+묘역/NNG+이/JKS
있기는	있/VV+기/ETN+는/JX
하지만	하/VX+지만/EC
'사망	'/SS+사망/NNG
1년	1/SN+년/NNB
전부터	전/NNG+부터/JX
남해	남해/NNP
거주'	거주/NNG+'/SS
등	등/NNB
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
제한	제한/NNG
요건이	요건/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.43.5.1
남해군의 '금수강산 물려주기' 시책이 빛을 발하고 있다.

남해군의	남해군/NNP+의/JKG
'금수강산	'/SS+금수강산/NNG
물려주기'	물려주/VV+기/ETN+'/SS
시책이	시책/NNG+이/JKS
빛을	빛/NNG+을/JKO
발하고	발하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.43.5.2
화장에 부정적인 노년층 인구가 적지 않은 군 지역에서 '선진장사팀'이라는 부서까지 두고 있는 남해군의 다양한 장사 문화 개선 시책이 화장률 상승 등 가시적인 성과를 거두고 있는 것이다.

화장에	화장/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
노년층	노년/NNG+층/XSN
인구가	인구/NNG+가/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
군	군/NNG
지역에서	지역/NNG+에서/JKB
'선진장사팀'이라는	'/SS+선진/NNG+장사/NNG+팀/NNG+'/SS+이/VCP+라는/ETM
부서까지	부서/NNG+까지/JX
두고	두/VV+고/EC
있는	있/VX+는/ETM
남해군의	남해군/NNP+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
장사	장사/NNG
문화	문화/NNG
개선	개선/NNG
시책이	시책/NNG+이/JKS
화장률	화장/NNG+률/XSN
상승	상승/NNG
등	등/NNB
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
거두고	거두/VV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.43.6.1
남해군은 원스톱 장사시스템을 갖춘 남해추모누리를 조성한 것을 비롯, 납골평장 도입, 개장(改葬) 장려금, 화장 장려금 지급 등 다양한 시책을 동시다발적으로 추진 중이다.

남해군은	남해군/NNP+은/JX
원스톱	원스톱/NNG
장사시스템을	장사/NNG+시스템/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
남해추모누리를	남해추모누리/NNP+를/JKO
조성한	조성/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯,	비롯/XR+,/SP
납골평장	납골/NNG+평장/NNG
도입,	도입/NNG+,/SP
개장(改葬)	개장/NNG+(/SS+改葬/SH+)/SS
장려금,	장려금/NNG+,/SP
화장	화장/NNG
장려금	장려금/NNG
지급	지급/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
시책을	시책/NNG+을/JKO
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.43.7.1
화장 장려금은 화장할 경우 남해군에서 15만원을 지원하는 것.

화장	화장/NNG
장려금은	장려금/NNG+은/JX
화장할	화장/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
남해군에서	남해군/NNP+에서/JKB
15만원을	15/SN+만/NR+원/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000026.43.7.2
남해추모누리 화장장이 개원한 2006년 5월 이전에는 진주 등지의 화장장을 이용할 수밖에 없는 형편이어서 42만원을 지원했으나 추모누리 화장장 개원 이후 금액을 낮췄다.

남해추모누리	남해추모누리/NNP
화장장이	화장장/NNG+이/JKS
개원한	개원/NNG+하/XSV+ㄴ/ETM
2006년	2006/SN+년/NNB
5월	5/SN+월/NNB
이전에는	이전/NNG+에/JKB+는/JX
진주	진주/NNP
등지의	등지/NNB+의/JKG
화장장을	화장장/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
형편이어서	형편/NNG+이/VCP+어서/EC
42만원을	42/SN+만/NR+원/NNB+을/JKO
지원했으나	지원/NNG+하/XSV+았/EP+으나/EC
추모누리	추모누리/NNP
화장장	화장장/NNG
개원	개원/NNG
이후	이후/NNG
금액을	금액/NNG+을/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.43.8.1
또 개장 장려금은 매장한 시신을 화장해 납골당 등에 안치할 경우 지원하는 것으로, 종전 15만원에서 화장장 개원 이후 5만원으로 조정했다.

또	또/MAG
개장	개장/NNG
장려금은	장려금/NNG+은/JX
매장한	매장/NNG+하/XSV+ㄴ/ETM
시신을	시신/NNG+을/JKO
화장해	화장/NNG+하/XSV+아/EC
납골당	납골당/NNG
등에	등/NNB+에/JKB
안치할	안치/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
지원하는	지원/NNG+하/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
종전	종전/NNG
15만원에서	15/SN+만/NR+원/NNB+에서/JKB
화장장	화장장/NNG
개원	개원/NNG
이후	이후/NNG
5만원으로	5/SN+만/NR+원/NNB+으로/JKB
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.43.9.1
기존 남해군 내에 조성된 문중묘역을 개장해 납골평장묘역으로 조성할 경우 문중당 700만원을 지원하기도 했다.

기존	기존/NNG
남해군	남해군/NNP
내에	내/NNB+에/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
문중묘역을	문중/NNG+묘역/NNG+을/JKO
개장해	개장/NNG+하/XSV+아/EC
납골평장묘역으로	납골/NNG+평장/NNG+묘역/NNG+으로/JKB
조성할	조성/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
문중당	문중/NNG+당/XSN
700만원을	700/SN+만/NR+원/NNB+을/JKO
지원하기도	지원/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.43.9.2
남해군 선진장사팀 이광수 팀장은 "문중묘역은 1000㎡까지 허가 가능하다"며 "납골평장으로는 1000㎡에 2만기 이상을 모실 수 있을 뿐 아니라 후손들에게도 자연스럽게 화장을 유도하는 효과도 있다"고 말했다.

남해군	남해군/NNP
선진장사팀	선진/NNG+장사/NNG+팀/NNG
이광수	이광수/NNP
팀장은	팀장/NNG+은/JX
"문중묘역은	"/SS+문중/NNG+묘역/NNG+은/JX
1000㎡까지	1000/SN+㎡/SW+까지/JX
허가	허가/NNG
가능하다"며	가능/NNG+하/XSA+다/EF+"/SS+며/EC
"납골평장으로는	"/SS+납골/NNG+평장/NNG+으로/JKB+는/JX
1000㎡에	1000/SN+㎡/SW+에/JKB
2만기	2/SN+만/NR+기/NNB
이상을	이상/NNG+을/JKO
모실	모시/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
후손들에게도	후손/NNG+들/XSN+에게/JKB+도/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
화장을	화장/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
효과도	효과/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.43.10.1
성과는 적지 않았다.

성과는	성과/NNG+는/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.43.10.2
2000년 9% 수준이던 화장률이 지난해 전국 군 단위 지방자치단체 가운데 최고 수준인 68%까지 뛰어올랐다.

2000년	2000/SN+년/NNB
9%	9/SN+%/SW
수준이던	수준/NNG+이/VCP+던/ETM
화장률이	화장/NNG+률/XSN+이/JKS
지난해	지난해/NNG
전국	전국/NNG
군	군/NNG
단위	단위/NNG
지방자치단체	지방/NNG+자치/NNG+단체/NNG
가운데	가운데/NNG
최고	최고/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
68%까지	68/SN+%/SW+까지/JX
뛰어올랐다.	뛰어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.43.10.3
40~100가구가 모여사는 남해군 고현면 갈화리 화전마을 등 3개 마을의 화장률은 100%에 달하는 등 주민들의 의식 변화도 괄목할 만하다.

40~100가구가	40/SN+~/SO+100/SN+가구/NNG+가/JKS
모여사는	모이/VV+어/EC+살/VV+는/ETM
남해군	남해군/NNP
고현면	고현면/NNP
갈화리	갈화리/NNP
화전마을	화전마을/NNP
등	등/NNB
3개	3/SN+개/NNB
마을의	마을/NNG+의/JKG
화장률은	화장/NNG+률/XSN+은/JX
100%에	100/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
주민들의	주민/NNG+들/XSN+의/JKG
의식	의식/NNG
변화도	변화/NNG+도/JX
괄목할	괄목/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000026.43.11.1
장려금 지원 등에 힘입어 분묘 1만5000여기가 개장을 거쳐 납골당에 안치됐다.

장려금	장려금/NNG
지원	지원/NNG
등에	등/NNB+에/JKB
힘입어	힘입/VV+어/EC
분묘	분묘/NNG
1만5000여기가	1/SN+만/NR+5000/SN+여/XSN+기/NNB+가/JKS
개장을	개장/NNG+을/JKO
거쳐	거치/VV+어/EC
납골당에	납골당/NNG+에/JKB
안치됐다.	안치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.43.11.2
남해군 장사지원팀 김재실 씨는 "분묘 한 기당 면적에 차이가 있지만 한 기당 13~16㎡로 잡으면 22만5000여㎡가 묘지에서 농지나 산지, 혹은 펜션 단지로 변모한 것으로 보면 된다"고 말했다.

남해군	남해군/NNP
장사지원팀	장사/NNG+지원/NNG+팀/NNG
김재실	김재실/NNP
씨는	씨/NNB+는/JX
"분묘	"/SS+분묘/NNG
한	한/MMN
기당	기/NNB+당/XSN
면적에	면적/NNG+에/JKB
차이가	차이/NNG+가/JKS
있지만	있/VA+지만/EC
13~16㎡로	13/SN+~/SO+16/SN+㎡/SW+로/JKB
잡으면	잡/VV+으면/EC
22만5000여㎡가	22/SN+만/NR+5000/SN+여/XSN+㎡/SW+가/JKS
묘지에서	묘지/NNG+에서/JKB
농지나	농지/NNG+나/JC
산지,	산지/NNG+,/SP
혹은	혹은/MAG
펜션	펜션/NNG
단지로	단지/NNG+로/JKB
변모한	변모/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보면	보/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


