# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.380
metadata : {}


# id : NWRW1800000024.380.1.1
소상민·코르키 감독 ‘뉴커런츠’ 영예

소상민·코르키	소상민/NNP+·/SP+코르키/NNP
발표하고	발표/NNG+하/XSV+고/EC
각각	각각/MAG
3만달러의	3/SN+만/NR+달러/NNB+의/JKG
상금을	상금/NNG+을/JKO
수여한다고	수여/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.380.4.1
젊은 시인의 방황을 세밀하면서도 코믹하게 그린 <나는 곤경에…>는 배우의 뛰어난 연기와 감독의 완성도 높은 연출력이 프랑스 장자크 베넥스 감독을 비롯한 심사위원단을 감동시킨 것으로 전해졌다.

젊은	젊/VA+은/ETM
시인의	시인/NNG+의/JKG
방황을	방황/NNG+을/JKO
세밀하면서도	세밀하/VA+면서/EC+도/JX
코믹하게	코믹/NNG+하/XSA+게/EC
그린	그리/VV+ㄴ/ETM
<나는	</SS+나/NP+는/JX
곤경에…>는	곤경/NNG+에/JKB+…/SE+>/SS+는/JX
배우의	배우/NNG+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
연기와	연기/NNG+와/JC
감독의	감독/NNG+의/JKG
완성도	완성도/NNG
높은	높/VA+은/ETM
연출력이	연출력/NNG+이/JKS
프랑스	프랑스/NNP
장자크	장자크/NNP
베넥스	베넥스/NNP
감독을	감독/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
심사위원단을	심사/NNG+위원단/NNG+을/JKO
감동시킨	감동/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.380.4.2
<킥 오프>는 축구장에 난민촌을 이루고 살아가는 이라크 쿠르드족의 불확실하고, 고된 삶을 묘사한 영화로 시적이면서도 초현실주의적이기까지 한 시각이 높은 평가를 받았다.

<킥	</SS+킥/NNP
오프>는	오프/NNP+>/SS+는/JX
축구장에	축구장/NNG+에/JKB
난민촌을	난민촌/NNG+을/JKO
이루고	이루/VV+고/EC
살아가는	살아가/VV+는/ETM
이라크	이라크/NNP
쿠르드족의	쿠르드족/NNP+의/JKG
불확실하고,	불확실/NNG+하/XSA+고/EC+,/SP
고된	고되/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
영화로	영화/NNG+로/JKB
시적이면서도	시/NNG+적/XSN+이/VCP+면서/EC+도/JX
초현실주의적이기까지	초/XPN+현실주의/NNG+적/XSN+이/VCP+기/ETN+까지/JX
한	하/VX+ㄴ/ETM
시각이	시각/NNG+이/JKS
높은	높/VA+은/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.380.5.1
‘뉴 커런츠’의 특별언급작으로는 필리핀 삼페드로 감독의 영화 <마닐라의 청춘, 빛과 그림자>가 뽑혔다.

‘뉴	‘/SS+뉴/NNG
커런츠’의	커런츠/NNG+’/SS+의/JKG
특별언급작으로는	특별/NNG+언급작/NNG+으로/JKB+는/JX
필리핀	필리핀/NNP
삼페드로	삼페드로/NNP
감독의	감독/NNG+의/JKG
영화	영화/NNG
<마닐라의	</SS+마닐라/NNP+의/JKG
청춘,	청춘/NNG+,/SP
빛과	빛/NNG+과/JC
그림자>가	그림자/NNG+>/SS+가/JKS
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.380.5.2
올해 신설된 비아시아권 영화 경쟁부문인 ‘플래시 포워드’상은 핀란드 자이다 베르그로트 감독의 작품 <루퍼트와 에버트>가 받았다.

올해	올해/NNG
신설된	신설/NNG+되/XSV+ㄴ/ETM
비아시아권	비/XPN+아시아/NNP+권/XSN
영화	영화/NNG
경쟁부문인	경쟁/NNG+부문/NNG+이/VCP+ㄴ/ETM
‘플래시	‘/SS+플래시/NNG
포워드’상은	포워드/NNG+’/SS+상/NNG+은/JX
핀란드	핀란드/NNP
자이다	자이다/NNP
베르그로트	베르그로트/NNP
감독의	감독/NNG+의/JKG
작품	작품/NNG
<루퍼트와	</SS+루퍼트/NNP+와/JC
에버트>가	에버트/NNP+>/SS+가/JKS
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.380.5.3
스웨덴 호콘 리우 감독의 <미스키키>는 ‘플래시 포워드’ 부분의 특별언급작으로 선정됐다.

스웨덴	스웨덴/NNP
호콘	호콘/NNP
리우	리우/NNP
감독의	감독/NNG+의/JKG
<미스키키>는	</SS+미스키키/NNP+>/SS+는/JX
‘플래시	‘/SS+플래시/NNG
포워드’	포워드/NNG+’/SS
부분의	부분/NNG+의/JKG
특별언급작으로	특별/NNG+언급작/NNG+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.380.6.1
△선재상=김재원 <닿을 수 없는 곳>, 인도네시아 바실 미로네 <월척> △피프메세나상=권우정 <땅의 여자>, 인도 사바 데완 <또 다른 노래> △국제영화평론가협회상=이라크 샤우켓 아민 코르키 <킥 오프> △아시아영화진흥기구상=박찬옥 <파주> △KNN 영화상=중국 장웬리 <안녕 할아버지>.

△선재상=김재원	△/SW+선재/NNG+상/NNG+=/SW+김재원/NNP
<닿을	</SS+닿/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
곳>,	곳/NNG+>/SS+,/SP
인도네시아	인도네시아/NNP
바실	바실/NNP
미로네	미로네/NNP
<월척>	</SS+월척/NNP+>/SS
△피프메세나상=권우정	△/SW+피프/NNG+메세나/NNG+상/NNG+=/SW+권우정/NNP
<땅의	</SS+땅/NNG+의/JKG
여자>,	여자/NNG+>/SS+,/SP
인도	인도/NNP
사바	사바/NNP
데완	데완/NNP
<또	</SS+또/MAG
다른	다른/MMD
노래>	노래/NNG+>/SS
△국제영화평론가협회상=이라크	△/SW+국제영화평론가협회/NNP+상/NNG+=/SW+이라크/NNP
샤우켓	샤우켓/NNP
아민	아민/NNP
코르키	코르키/NNP
<킥	</SS+킥/NNP
오프>	오프/NNP+>/SS
△아시아영화진흥기구상=박찬옥	△/SW+아시아영화진흥기구/NNP+상/NNG+=/SW+박찬옥/NNP
<파주>	</SS+파주/NNP+>/SS
△KNN	△/SW+KNN/SL
영화상=중국	영화상/NNG+=/SW+중국/NNP
장웬리	장웬리/NNP
<안녕	</SS+안녕/IC
할아버지>.	할아버지/NNG+>/SS+./SF


