# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.249
metadata : {}


# id : NWRW1800000045.249.1.1
[윤승옥 기자의 야구&]관중석의 회장님, 감독석의 회장님

[윤승옥	[/SS+윤승옥/NNP
사람으로서	사람/NNG+으로서/JKB
좋아하는	좋아하/VV+는/ETM
것이지,	것/NNB+이/VCP+지/EC+,/SP
야구단	야구단/NNG
운영에서는	운영/NNG+에서/JKB+는/JX
전문가가	전문가/NNG+가/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.249.2.4
지원은 하지만 간섭하지 않는다는 뜻이다.

지원은	지원/NNG+은/JX
하지만	하/VV+지만/EC
간섭하지	간섭/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.3.1
실제로 두산그룹은 야구단에 관한 한 전문가 집단(프런트 등)을 신뢰하고, 운영에는 거의 관여하지 않는다.

실제로	실제로/MAG
두산그룹은	두산그룹/NNP+은/JX
야구단에	야구단/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한	한/NNG
전문가	전문가/NNG
집단(프런트	집단/NNG+(/SS+프런트/NNG
등)을	등/NNB+)/SS+을/JKO
신뢰하고,	신뢰/NNG+하/XSV+고/EC+,/SP
운영에는	운영/NNG+에/JKB+는/JX
거의	거의/MAG
관여하지	관여/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.249.3.2
박 회장은 “비전문가인 회장이 이래라저래라 하는 것은 팀의 경쟁력을 낮추는 일”이라고 말했다.

박	박/NNP
회장은	회장/NNG+은/JX
“비전문가인	“/SS+비/XPN+전문가/NNG+이/VCP+ㄴ/ETM
회장이	회장/NNG+이/JKS
이래라저래라	이러/VV+어라/EF+저러/VV+어라/EF
하는	하/VV+는/ETM
것은	것/NNB+은/JX
팀의	팀/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
낮추는	낮추/VV+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.249.3.3
그 대신 한두 명의 스타가 주도하는 게 아니라 선수단 전체가 어우러지는 팀 컬러를 유지하도록 주문한다.

그	그/MMD
대신	대신/NNG
한두	한두/MMN
명의	명/NNB+의/JKG
스타가	스타/NNG+가/JKS
주도하는	주도/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
선수단	선수단/NNG
전체가	전체/NNG+가/JKS
어우러지는	어우러지/VV+는/ETM
팀	팀/NNG
컬러를	컬러/NNG+를/JKO
유지하도록	유지/NNG+하/XSV+도록/EC
주문한다.	주문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.3.4
그 결과 두산은 국내에서 성적과 문화를 모두 갖춘 거의 유일한 팀으로 평가된다.

그	그/MMD
결과	결과/NNG
두산은	두산/NNP+은/JX
국내에서	국내/NNG+에서/JKB
성적과	성적/NNG+과/JC
문화를	문화/NNG+를/JKO
모두	모두/MAG
갖춘	갖추/VV+ㄴ/ETM
거의	거의/MAG
유일한	유일/NNG+하/XSA+ㄴ/ETM
팀으로	팀/NNG+으로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.3.5
NC가 창단 때 두산을 벤치마킹 대상으로 삼았던 이유가 여기에 있다.

NC가	NC/SL+가/JKS
창단	창단/NNG
때	때/NNG
두산을	두산/NNP+을/JKO
벤치마킹	벤치마킹/NNG
대상으로	대상/NNG+으로/JKB
삼았던	삼/VV+았/EP+던/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.249.4.1
넥센을 뺀 국내 9개 프로야구단은 모기업으로부터 한 해 200억∼300억 원의 운영비를 지원받는다.

넥센을	넥센/NNP+을/JKO
뺀	빼/VV+ㄴ/ETM
국내	국내/NNG
9개	9/SN+개/NNB
프로야구단은	프로/NNG+야구단/NNG+은/JX
모기업으로부터	모기업/NNG+으로부터/JKB
한	한/MMN
해	해/NNB
200억∼300억	200/SN+억/NR+∼/SO+300/SN+억/NR
원의	원/NNB+의/JKG
운영비를	운영비/NNG+를/JKO
지원받는다.	지원/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000045.249.4.2
따라서 오너의 관심과 철학이 곧 팀의 색깔이 되고 팀의 전체 경쟁력으로도 연결된다.

따라서	따라서/MAJ
오너의	오너/NNG+의/JKG
관심과	관심/NNG+과/JC
철학이	철학/NNG+이/JKS
곧	곧/MAG
팀의	팀/NNG+의/JKG
색깔이	색깔/NNG+이/JKC
되고	되/VV+고/EC
전체	전체/NNG
경쟁력으로도	경쟁력/NNG+으로/JKB+도/JX
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.5.1
두산과 잠실구장을 같이 쓰는 이웃 LG는 전혀 다른 분위기다.

두산과	두산/NNP+과/JKB
잠실구장을	잠실구장/NNP+을/JKO
같이	같이/MAG
쓰는	쓰/VV+는/ETM
이웃	이웃/NNG
LG는	LG/SL+는/JX
전혀	전혀/MAG
다른	다른/MMD
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.5.2
오너 일가의 야구에 대한 애정은 두산보다 더하면 더했지, 결코 덜하지 않다.

오너	오너/NNG
일가의	일가/NNG+의/JKG
야구에	야구/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정은	애정/NNG+은/JX
두산보다	두산/NNP+보다/JKB
더하면	더/MAG+하/XSA+면/EC
더했지,	더/MAG+하/XSA+았/EP+지/EC+,/SP
결코	결코/MAG
덜하지	덜/MAG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.249.5.3
2군 선수들의 프로필은 기본이고 투수의 경우 ‘투구 때의 어깨 각도’까지 꿰고 있다고 한다.

2군	2/SN+군/NNG
선수들의	선수/NNG+들/XSN+의/JKG
프로필은	프로필/NNG+은/JX
기본이고	기본/NNG+이/VCP+고/EC
투수의	투수/NNG+의/JKG
경우	경우/NNG
‘투구	‘/SS+투구/NNG
때의	때/NNG+의/JKG
어깨	어깨/NNG
각도’까지	각도/NNG+’/SS+까지/JX
꿰고	꿰/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.5.4
하지만 관심도 지나치면 역효과가 난다.

하지만	하지만/MAJ
관심도	관심/NNG+도/JX
지나치면	지나치/VA+면/EC
역효과가	역효과/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.5.5
“코칭스태프와 선수들이 오너가(家)의 지나친 관심을 부담스러워 한다”는 말이 심심찮게 나올 정도다.

“코칭스태프와	“/SS+코칭스태프/NNG+와/JC
선수들이	선수/NNG+들/XSN+이/JKS
오너가(家)의	오너가/NNG+(/SS+家/SH+)/SS+의/JKG
지나친	지나치/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
부담스러워	부담/NNG+스럽/XSA+어/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
심심찮게	심심찮/VA+게/EC
나올	나오/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.5.6
실제 ‘과유불급(過猶不及)’은 야구계에서 LG의 부진을 설명할 때 늘 거론되는 말이다.

실제	실제/MAG
‘과유불급(過猶不及)’은	‘/SS+과유불급/NNG+(/SS+過猶不及/SH+)/SS+’/SS+은/JX
야구계에서	야구/NNG+계/XSN+에서/JKB
LG의	LG/SL+의/JKG
부진을	부진/NNG+을/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
때	때/NNG
늘	늘/MAG
거론되는	거론/NNG+되/XSV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.6.1
LG와 반대로 롯데는 수익이 나지 않는 야구단에 철저히 무관심했다.

LG와	LG/SL+와/JKB
반대로	반대/NNG+로/JKB
롯데는	롯데/NNP+는/JX
수익이	수익/NNG+이/JKS
나지	나/VV+지/EC
않는	않/VX+는/ETM
야구단에	야구단/NNG+에/JKB
철저히	철저히/MAG
무관심했다.	무/XPN+관심/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.249.6.2
신격호 총괄회장은 2000년대 초반 사직구장을 방문해 팀이 꼴찌인 것을 확인한 뒤 “우리 롯데가 이렇게 못하나?”라고 한마디 던졌다고 한다.

신격호	신격호/NNP
총괄회장은	총괄/NNG+회장/NNG+은/JX
2000년대	2000/SN+년대/NNB
초반	초반/NNG
사직구장을	사직구장/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
팀이	팀/NNG+이/JKS
꼴찌인	꼴찌/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“우리	“/SS+우리/NP
롯데가	롯데/NNP+가/JKS
이렇게	이렇/VA+게/EC
못하나?”라고	못/MAG+하/XSV+나/EF+?/SF+”/SS+라고/JKQ
한마디	한마디/NNG
던졌다고	던지/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.249.6.3
그 무관심 기조 속에 지난해 그의 조카인 신동인 구단주 대행은 선수단에 대한 폐쇄회로(CC)TV 불법 사찰로 여론의 집중 포화를 맞았다.

그	그/MMD
무관심	무/XPN+관심/NNG
기조	기조/NNG
속에	속/NNG+에/JKB
지난해	지난해/NNG
그의	그/NP+의/JKG
조카인	조카/NNG+이/VCP+ㄴ/ETM
신동인	신동인/NNP
구단주	구단주/NNG
대행은	대행/NNG+은/JX
선수단에	선수단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
불법	불법/NNG
사찰로	사찰/NNG+로/JKB
여론의	여론/NNG+의/JKG
집중	집중/NNG
포화를	포화/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.249.6.4
관심도, 철학도 부재했던 것이다.

관심도,	관심/NNG+도/JX+,/SP
철학도	철학/NNG+도/JX
부재했던	부재/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.7.1
롯데가 방목형이라면 삼성은 야구단 역시 ‘제일주의’ 철학을 바탕에 깐 철저한 관리로 정평이 났다.

롯데가	롯데/NNP+가/JKS
방목형이라면	방목/NNG+형/XSN+이/VCP+라면/EC
삼성은	삼성/NNP+은/JX
야구단	야구단/NNG
역시	역시/MAG
‘제일주의’	‘/SS+제일주의/NNG+’/SS
철학을	철학/NNG+을/JKO
바탕에	바탕/NNG+에/JKB
깐	깔/VV+ㄴ/ETM
철저한	철저/NNG+하/XSA+ㄴ/ETM
관리로	관리/NNG+로/JKB
정평이	정평/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.249.7.2
20년 동안 시행착오를 겪은 삼성 야구단은 성적을 내며 1등주의의 전도사가 됐다.

20년	20/SN+년/NNB
동안	동안/NNG
시행착오를	시행착오/NNG+를/JKO
겪은	겪/VV+은/ETM
삼성	삼성/NNP
야구단은	야구단/NNG+은/JX
성적을	성적/NNG+을/JKO
내며	내/VV+며/EC
1등주의의	1/SN+등/NNB+주의/NNG+의/JKG
전도사가	전도사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.249.7.3
다른 구단들이 쉽게 흉내 낼 수 없는 ‘시스템’을 구축해 작년까지 4년 연속 통합우승을 이뤄냈다.

다른	다른/MMD
구단들이	구단/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
흉내	흉내/NNG
낼	내/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
‘시스템’을	‘/SS+시스템/NNG+’/SS+을/JKO
구축해	구축/NNG+하/XSV+아/EC
작년까지	작년/NNG+까지/JX
4년	4/SN+년/NNB
연속	연속/NNG
통합우승을	통합/NNG+우승/NNG+을/JKO
이뤄냈다.	이루/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.249.7.4
그런데 성능(순위)은 압도적으로 뛰어났지만 삼성 야구 하면 떠오르는 문화는 아직 없다.

그런데	그런데/MAJ
성능(순위)은	성능/NNG+(/SS+순위/NNG+)/SS+은/JX
압도적으로	압도/NNG+적/XSN+으로/JKB
뛰어났지만	뛰어나/VA+았/EP+지만/EC
삼성	삼성/NNP
야구	야구/NNG
하면	하/VV+면/EC
떠오르는	떠오르/VV+는/ETM
문화는	문화/NNG+는/JX
아직	아직/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.249.8.1
프로 야구단은 산업적으로 봤을 때 가치 있는 계열사는 아니다.

프로	프로/NNG
야구단은	야구단/NNG+은/JX
산업적으로	산업/NNG+적/XSN+으로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
가치	가치/NNG
있는	있/VA+는/ETM
계열사는	계열사/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.249.8.2
늘 적자이고, 앞으로도 돈을 벌 수 있다는 보장이 없다.

늘	늘/MAG
적자이고,	적자/NNG+이/VCP+고/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
돈을	돈/NNG+을/JKO
벌	벌/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
보장이	보장/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.249.8.3
하지만 기업과 총수에 대한 대외 이미지와 주위 인식을 바꾸는 중요한 수단으로 갈수록 중요시되고 있다.

하지만	하지만/MAJ
기업과	기업/NNG+과/JC
총수에	총수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대외	대외/NNG
이미지와	이미지/NNG+와/JC
주위	주위/NNG
인식을	인식/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
수단으로	수단/NNG+으로/JKB
갈수록	갈수록/MAG
중요시되고	중요/NNG+시/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.249.8.4
삼성은 내년부터 창의적 집단인 제일기획 소속이 되고, 롯데는 어쨌든 새로운 리더십에 편입될 예정이다.

삼성은	삼성/NNP+은/JX
내년부터	내년/NNG+부터/JX
창의적	창의/NNG+적/XSN
집단인	집단/NNG+이/VCP+ㄴ/ETM
제일기획	제일기획/NNP
소속이	소속/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
롯데는	롯데/NNP+는/JX
어쨌든	어쨌든/MAG
새로운	새롭/VA+ㄴ/ETM
리더십에	리더십/NNG+에/JKB
편입될	편입/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.249.8.5
내년 프로 야구단 운영에는 어떤 변화의 바람이 불까.

내년	내년/NNG
프로	프로/NNG
야구단	야구단/NNG
운영에는	운영/NNG+에/JKB+는/JX
어떤	어떤/MMD
변화의	변화/NNG+의/JKG
바람이	바람/NNG+이/JKS
불까.	불/VV+ㄹ까/EF+./SF


