# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.245
metadata : {}


# id : NWRW1800000025.245.1.1
남양주 별내지구 1700채 연내 분양

남양주	남양주/NNP
스피드뱅크	스피드뱅크/NNP
팀장은	팀장/NNG+은/JX
“별내지구를	“/SS+별내지구/NNP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
하반기	하반기/NNG
분양	분양/NNG
단지는	단지/NNG+는/JX
입지	입지/NNG
여건이	여건/NNG+이/JKS
우수하면서	우수/NNG+하/XSA+면서/EC
분양가도	분양/NNG+가/XSN+도/JX
크게	크/VA+게/EC
낮아	낮/VA+아/EC
실수요자를	실수요자/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
인기를	인기/NNG+를/JKO
끌	끌/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.245.4.1
별내지구에는 올해 9월부터 연말까지 총 4개 블록, 1700여 채가 분양될 예정이다.

별내지구에는	별내지구/NNP+에/JKB+는/JX
올해	올해/NNG
9월부터	9/SN+월/NNB+부터/JX
연말까지	연말/NNG+까지/JX
총	총/MMA
4개	4/SN+개/NNB
블록,	블록/NNG+,/SP
1700여	1700/SN+여/XSN
채가	채/NNB+가/JKS
분양될	분양/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.245.4.2
우미건설은 A18블록에 ‘남양주 별내 우미린’을 9월 분양한다.

우미건설은	우미건설/NNP+은/JX
A18블록에	A/SL+18/SN+블록/NNG+에/JKB
‘남양주	‘/SS+남양주/NNP
별내	별내/NNP
우미린’을	우미린/NNP+’/SS+을/JKO
9월	9/SN+월/NNB
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.245.4.3
지하 2층, 지상 22층에 총 5개 동 규모로 전용면적 101∼117m²의 396채로 구성됐다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
22층에	22/SN+층/NNG+에/JKB
총	총/MMA
5개	5/SN+개/NNB
동	동/NNB
규모로	규모/NNG+로/JKB
전용면적	전용/NNG+면적/NNG
101∼117m²의	101/SN+∼/SO+117/SN+m²/SW+의/JKG
396채로	396/SN+채/NNB+로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.245.4.4
개통 예정인 지하철 8호선 별내역과 가깝고 중심상업지구와도 인접해 있다.

개통	개통/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
지하철	지하철/NNG
8호선	8/SN+호선/NNB
별내역과	별내역/NNP+과/JKB
가깝고	가깝/VA+고/EC
중심상업지구와도	중심/NNG+상업/NNG+지구/NNG+와/JKB+도/JX
인접해	인접/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.245.5.1
동익건설은 A14, 15 두 개 블록에 ‘남양주 별내 동익 미라벨’ 아파트를 분양할 예정이다.

동익건설은	동익건설/NNP+은/JX
A14,	A/SL+14/SN+,/SP
15	15/SN
두	두/MMN
개	개/NNB
블록에	블록/NNG+에/JKB
‘남양주	‘/SS+남양주/NNP
별내	별내/NNP
동익	동익/NNP
미라벨’	미라벨/NNP+’/SS
아파트를	아파트/NNG+를/JKO
분양할	분양/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.245.5.2
지하 2층, 지상 15층에 총 800채가 넘는 규모로 지어진다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
15층에	15/SN+층/NNG+에/JKB
총	총/MMA
800채가	800/SN+채/NNB+가/JKS
넘는	넘/VV+는/ETM
규모로	규모/NNG+로/JKB
지어진다.	짓/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.245.5.3
중앙공원과 가까워 조망권이 좋다.

중앙공원과	중앙공원/NNP+과/JKB
가까워	가깝/VA+어/EC
조망권이	조망/NNG+권/XSN+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000025.245.5.4
서울외곽순환고속도로 별내 나들목과 차로 5분 거리에 있다.

서울외곽순환고속도로	서울외곽순환고속도로/NNP
별내	별내/NNP
나들목과	나들목/NNG+과/JKB
차로	차/NNG+로/JKB
5분	5/SN+분/NNB
거리에	거리/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.245.5.5
구체적인 주택별 면적이나 분양가는 아직 결정되지 않았다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
주택별	주택/NNG+별/XSN
면적이나	면적/NNG+이나/JC
분양가는	분양/NNG+가/XSN+는/JX
아직	아직/MAG
결정되지	결정/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.245.6.1
이 밖에 한국토지주택공사(LH)는 11월 A6-2블록에 아파트를 공급할 예정이다.

이	이/NP
밖에	밖/NNG+에/JKB
한국토지주택공사(LH)는	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+는/JX
11월	11/SN+월/NNB
A6-2블록에	A/SL+6/SN+-/SO+2/SN+블록/NNG+에/JKB
아파트를	아파트/NNG+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.245.6.2
전용면적 84m², 총 532채로 구성되며 모두 청약저축 가입자를 대상으로 분양한다.

전용면적	전용/NNG+면적/NNG
84m²,	84/SN+m²/SW+,/SP
총	총/MMA
532채로	532/SN+채/NNB+로/JKB
구성되며	구성/NNG+되/XSV+며/EC
모두	모두/MAG
청약저축	청약/NNG+저축/NNG
가입자를	가입자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


