# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.90
metadata : {}


# id : NWRW1800000029.90.1.1
대림, 필리핀 정유플랜트 20억달러 수주… 동남아지역 최대규모

대림,	대림/NNP+,/SP
이 사업은 필리핀 마닐라 서남쪽 150km 부근 바탄 주 리마이 지역에 위치한 정유공장에 일부 설비를 현대화하는 한편 일부 설비는 신설하는 것이다.

이	이/MMD
사업은	사업/NNG+은/JX
필리핀	필리핀/NNP
마닐라	마닐라/NNP
서남쪽	서남쪽/NNG
150km	150/SN+km/SW
부근	부근/NNG
바탄	바탄/NNP
주	주/NNG
리마이	리마이/NNP
지역에	지역/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
정유공장에	정유/NNG+공장/NNG+에/JKB
일부	일부/NNG
설비를	설비/NNG+를/JKO
현대화하는	현대/NNG+화/XSN+하/XSV+는/ETM
한편	한편/NNG
설비는	설비/NNG+는/JX
신설하는	신설/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.90.4.2
대림 관계자는 “23개 정유공장을 신설 또는 증설하는 사업으로 규모 면으로 보면 한국의 여수석유화학단지를 만드는 수준”이라고 설명했다.

대림	대림/NNP
관계자는	관계자/NNG+는/JX
“23개	“/SS+23/SN+개/NNB
정유공장을	정유/NNG+공장/NNG+을/JKO
신설	신설/NNG
또는	또는/MAG
증설하는	증설/NNG+하/XSV+는/ETM
사업으로	사업/NNG+으로/JKB
규모	규모/NNG
면으로	면/NNG+으로/JKB
보면	보/VV+면/EC
한국의	한국/NNP+의/JKG
여수석유화학단지를	여수석유화학단지/NNP+를/JKO
만드는	만들/VV+는/ETM
수준”이라고	수준/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.90.4.3
또 그는 “대림이 국내 건설업체로는 유일하게 필리핀 시장에서 사업을 수행해오며 플랜트 관련 공사를 성실하게 처리한 점이 인정받은 결과로 이번 사업을 수주했다”고 덧붙였다.

또	또/MAG
그는	그/NP+는/JX
“대림이	“/SS+대림/NNP+이/JKS
국내	국내/NNG
건설업체로는	건설업체/NNG+로/JKB+는/JX
유일하게	유일/NNG+하/XSA+게/EC
필리핀	필리핀/NNP
시장에서	시장/NNG+에서/JKB
사업을	사업/NNG+을/JKO
수행해오며	수행/NNG+하/XSV+아/EC+오/VX+며/EC
플랜트	플랜트/NNG
관련	관련/NNG
공사를	공사/NNG+를/JKO
성실하게	성실/NNG+하/XSA+게/EC
처리한	처리/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
인정받은	인정/NNG+받/XSV+은/ETM
결과로	결과/NNG+로/JKB
이번	이번/NNG
수주했다”고	수주/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.90.5.1
이번 사업 수주로 대림은 올해 해외공사 수주액이 6조412억 원을 기록하며 올해 목표치(6조 원)를 넘어서게 됐다.

이번	이번/NNG
사업	사업/NNG
수주로	수주/NNG+로/JKB
대림은	대림/NNP+은/JX
올해	올해/NNG
해외공사	해외/NNG+공사/NNG
수주액이	수주액/NNG+이/JKS
6조412억	6/SN+조/NR+412/SN+억/NR
원을	원/NNB+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
목표치(6조	목표/NNG+치/XSN+(/SS+6/SN+조/NR
원)를	원/NNB+)/SS+를/JKO
넘어서게	넘어서/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.90.5.2
김윤 대림산업 플랜트사업본부장 사장은 “앞으로도 고부가가치 선진 플랜트 사업 수주에 적극 나설 계획”이라고 말했다.

김윤	김윤/NNP
대림산업	대림산업/NNP
플랜트사업본부장	플랜트/NNG+사업/NNG+본부장/NNG
사장은	사장/NNG+은/JX
“앞으로도	“/SS+앞/NNG+으로/JKB+도/JX
고부가가치	고/XPN+부가/NNG+가치/NNG
선진	선진/NNG
플랜트	플랜트/NNG
사업	사업/NNG
수주에	수주/NNG+에/JKB
적극	적극/NNG
나설	나서/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


