# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.191
metadata : {}


# id : NWRW1800000022.191.1.1
"피보다 돈" 포르쉐·폴크스바겐 전쟁;합병, 집안싸움으로 난항 따져보면 대주주는 사촌간 서로 회사 주도하려 다퉈

"피보다	"/SS+피/NNG+보다/JKB
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.191.2.3
하지만 현재 진행 중인 합병 협상에서 두 회사를 경영하는 포르쉐 가문과 피에히 가문 사이의 대(代)를 이은 자존심 싸움 때문에 갈등이 끊이지 않고 있다.

하지만	하지만/MAJ
현재	현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
합병	합병/NNG
협상에서	협상/NNG+에서/JKB
두	두/MMN
회사를	회사/NNG+를/JKO
경영하는	경영/NNG+하/XSV+는/ETM
포르쉐	포르쉐/NNP
가문과	가문/NNG+과/JC
피에히	피에히/NNP
가문	가문/NNG
사이의	사이/NNG+의/JKG
대(代)를	대/NNG+(/SS+代/SH+)/SS+를/JKO
이은	잇/VV+ㄴ/ETM
자존심	자존심/NNG
싸움	싸움/NNG
때문에	때문/NNB+에/JKB
갈등이	갈등/NNG+이/JKS
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.191.3.1
◆포르쉐 가문과 피에히 가문

◆포르쉐	◆/SW+포르쉐/NNP
가문과	가문/NNG+과/JC
피에히	피에히/NNP
가문	가문/NNG


# id : NWRW1800000022.191.4.1
현재 폴크스바겐 회장을 맡고 있는 피에히 가문의 페르디난트 피에히(Pi?vch·72)의 자서전 '폴크스바겐 스토리'에 따르면, 포르쉐 가문과 피에히 가문의 관계는 제2차 세계대전 이전으로 거슬러 올라간다.

현재	현재/MAG
폴크스바겐	폴크스바겐/NNP
회장을	회장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
피에히	피에히/NNP
가문의	가문/NNG+의/JKG
페르디난트	페르디난트/NNP
피에히(Pi?vch·72)의	피에히/NNP+(/SS+Pi/SL+?/NA+vch/SL+·/SP+72/SN+)/SS+의/JKG
자서전	자서전/NNG
'폴크스바겐	'/SS+폴크스바겐/NNP
스토리'에	스토리/NNG+'/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
포르쉐	포르쉐/NNP
가문과	가문/NNG+과/JC
관계는	관계/NNG+는/JX
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
이전으로	이전/NNG+으로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.191.5.1
오스트리아 출신의 페르디난트 포르쉐(Porsche·1875~1951)는 1931년 포르쉐사를 설립했고 1937년 나치 독일이 세운 회사 폴크스바겐에서 국민자동차 '비틀'을 설계해 독일 자동차업계에 지대한 영향을 끼쳤다.

오스트리아	오스트리아/NNP
출신의	출신/NNG+의/JKG
페르디난트	페르디난트/NNP
포르쉐(Porsche·1875~1951)는	포르쉐/NNP+(/SS+Porsche/SL+·/SP+1875/SN+~/SO+1951/SN+)/SS+는/JX
1931년	1931/SN+년/NNB
포르쉐사를	포르쉐사/NNP+를/JKO
설립했고	설립/NNG+하/XSV+았/EP+고/EC
1937년	1937/SN+년/NNB
나치	나치/NNP
독일이	독일/NNP+이/JKS
세운	세우/VV+ㄴ/ETM
회사	회사/NNG
폴크스바겐에서	폴크스바겐/NNP+에서/JKB
국민자동차	국민/NNG+자동차/NNG
'비틀'을	'/SS+비틀/NNP+'/SS+을/JKO
설계해	설계/NNG+하/XSV+아/EC
독일	독일/NNP
자동차업계에	자동차업/NNG+계/XSN+에/JKB
지대한	지대하/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤다.	끼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.191.6.1
페르디난트 포르쉐에 이어 그의 아들 페리 포르쉐(1909~1998)가 경영을 맡은 포르쉐사는 2차대전 이후 '911 시리즈'를 개발해 세계적인 스포츠카 제조사로 발돋움했다.

페르디난트	페르디난트/NNP
포르쉐에	포르쉐/NNP+에/JKB
이어	잇/VV+어/EC
그의	그/NP+의/JKG
아들	아들/NNG
페리	페리/NNP
포르쉐(1909~1998)가	포르쉐/NNP+(/SS+1909/SN+~/SO+1998/SN+)/SS+가/JKS
경영을	경영/NNG+을/JKO
맡은	맡/VV+은/ETM
포르쉐사는	포르쉐사/NNP+는/JX
2차대전	2/SN+차/NNB+대전/NNG
이후	이후/NNG
'911	'/SS+911/SN
시리즈'를	시리즈/NNG+'/SS+를/JKO
개발해	개발/NNG+하/XSV+아/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
스포츠카	스포츠카/NNG
제조사로	제조사/NNG+로/JKB
발돋움했다.	발돋움/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.191.6.2
여기에는 공격적인 마케팅으로 유럽에 대규모 포르쉐 자동차 판매망을 구축한 루이제 피에히(여·1904~1999)의 공도 컸다.

여기에는	여기/NP+에/JKB+는/JX
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
마케팅으로	마케팅/NNG+으로/JKB
유럽에	유럽/NNP+에/JKB
대규모	대/XPN+규모/NNG
포르쉐	포르쉐/NNP
자동차	자동차/NNG
판매망을	판매망/NNG+을/JKO
구축한	구축/NNG+하/XSV+ㄴ/ETM
루이제	루이제/NNP
피에히(여·1904~1999)의	피에히/NNP+(/SS+여/NNG+·/SP+1904/SN+~/SO+1999/SN+)/SS+의/JKG
공도	공/NNG+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.191.6.3
페르디난트의 딸인 그녀는 페르디난트의 뒤를 이어 폴크스바겐 공장을 운영한 안톤 피에히와 결혼해 성(姓)이 달라졌다.

페르디난트의	페르디난트/NNP+의/JKG
딸인	딸/NNG+이/VCP+ㄴ/ETM
그녀는	그녀/NP+는/JX
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
폴크스바겐	폴크스바겐/NNP
공장을	공장/NNG+을/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
안톤	안톤/NNP
피에히와	피에히/NNP+와/JKB
결혼해	결혼/NNG+하/XSV+아/EC
성(姓)이	성/NNG+(/SS+姓/SH+)/SS+이/JKS
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.191.7.1
두 가문의 갈등은 이 두 남매의 애증관계에서 시작됐다.

두	두/MMN
가문의	가문/NNG+의/JKG
갈등은	갈등/NNG+은/JX
이	이/MMD
남매의	남매/NNG+의/JKG
애증관계에서	애증/NNG+관계/NNG+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.191.7.2
루이제는 페리보다 리더십과 소유욕이 강했기 때문에, 두 남매는 서로 사랑하면서도 몸싸움에 이를 정도의 격렬한 다툼을 자주 벌였다고 한다.

루이제는	루이제/NNP+는/JX
페리보다	페리/NNP+보다/JKB
리더십과	리더십/NNG+과/JC
소유욕이	소유욕/NNG+이/JKS
강했기	강하/VA+았/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
두	두/MMN
남매는	남매/NNG+는/JX
서로	서로/MAG
사랑하면서도	사랑/NNG+하/XSV+면서/EC+도/JX
몸싸움에	몸싸움/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
격렬한	격렬하/VA+ㄴ/ETM
다툼을	다툼/NNG+을/JKO
자주	자주/MAG
벌였다고	벌이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.191.7.3
페르디난트가 장남에게 재산 대부분을 물려주는 관례를 깨고 페리와 루이제에게 재산을 똑같이 양분해 준 것도 둘 사이의 경쟁심을 부추겼다.

페르디난트가	페르디난트/NNP+가/JKS
장남에게	장남/NNG+에게/JKB
재산	재산/NNG
대부분을	대/XPN+부분/NNG+을/JKO
물려주는	물려주/VV+는/ETM
관례를	관례/NNG+를/JKO
깨고	깨/VV+고/EC
페리와	페리/NNP+와/JC
루이제에게	루이제/NNP+에게/JKB
재산을	재산/NNG+을/JKO
똑같이	똑같이/MAG
양분해	양분/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
것도	것/NNB+도/JX
둘	둘/NR
사이의	사이/NNG+의/JKG
경쟁심을	경쟁심/NNG+을/JKO
부추겼다.	부추기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.191.8.1
◆난항을 거듭하는 합병 협상

◆난항을	◆/SW+난항/NNG+을/JKO
거듭하는	거듭/MAG+하/XSV+는/ETM
합병	합병/NNG
협상	협상/NNG


# id : NWRW1800000022.191.9.1
두 남매의 갈등은 그들의 사후에 각자의 아들인 볼프강 포르쉐(66) 포르쉐사 회장과 페르디난트 피에히 폴크스바겐사 회장 간의 경쟁관계로 재현되고 있다.

두	두/MMN
남매의	남매/NNG+의/JKG
갈등은	갈등/NNG+은/JX
그들의	그/NP+들/XSN+의/JKG
사후에	사후/NNG+에/JKB
각자의	각자/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
볼프강	볼프강/NNP
포르쉐(66)	포르쉐/NNP+(/SS+66/SN+)/SS
포르쉐사	포르쉐사/NNP
회장과	회장/NNG+과/JC
페르디난트	페르디난트/NNP
피에히	피에히/NNP
폴크스바겐사	폴크스바겐사/NNP
회장	회장/NNG
간의	간/NNB+의/JKG
경쟁관계로	경쟁/NNG+관계/NNG+로/JKB
재현되고	재현/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.191.9.2
포르쉐 가문은 2005년부터 폴크스바겐을 인수하기 위해 지분을 사 모으기 시작했고, 지난 1월 포르쉐 가문은 폴크스바겐사의 지분을 51%까지 확보했다.

포르쉐	포르쉐/NNP
가문은	가문/NNG+은/JX
2005년부터	2005/SN+년/NNB+부터/JX
폴크스바겐을	폴크스바겐/NNP+을/JKO
인수하기	인수/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지분을	지분/NNG+을/JKO
사	사/VV+아/EC
모으기	모으/VV+기/ETN
시작했고,	시작/NNG+하/XSV+았/EP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
폴크스바겐사의	폴크스바겐사/NNP+의/JKG
51%까지	51/SN+%/SW+까지/JX
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.191.10.1
하지만 페르디난트 피에히의 존재가 걸림돌이 됐다.

하지만	하지만/MAJ
페르디난트	페르디난트/NNP
피에히의	피에히/NNP+의/JKG
존재가	존재/NNG+가/JKS
걸림돌이	걸림돌/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.191.10.2
페르디난트 피에히는 1972년 포르쉐를 떠나 아우디·폴크스바겐에서 경력을 쌓은 뒤 폴크스바겐의 CEO직과 회장직에 올랐다.

페르디난트	페르디난트/NNP
피에히는	피에히/NNP+는/JX
1972년	1972/SN+년/NNB
포르쉐를	포르쉐/NNP+를/JKO
떠나	떠나/VV+아/EC
아우디·폴크스바겐에서	아우디/NNP+·/SP+폴크스바겐/NNP+에서/JKB
경력을	경력/NNG+을/JKO
쌓은	쌓/VV+은/ETM
뒤	뒤/NNG
폴크스바겐의	폴크스바겐/NNP+의/JKG
CEO직과	CEO/SL+직/NNG+과/JC
회장직에	회장직/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.191.10.3
피에히 회장으로서는 사촌 동생인 볼프강에게 회사를 넘겨주고 싶지 않은 것이 당연하다.

피에히	피에히/NNP
회장으로서는	회장/NNG+으로서/JKB+는/JX
사촌	사촌/NNG
동생인	동생/NNG+이/VCP+ㄴ/ETM
볼프강에게	볼프강/NNP+에게/JKB
회사를	회사/NNG+를/JKO
넘겨주고	넘겨주/VV+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.191.11.1
두 회사는 현재 합병 협상을 계속하고 있지만 전망은 불투명하다.

두	두/MMN
회사는	회사/NNG+는/JX
현재	현재/MAG
합병	합병/NNG
협상을	협상/NNG+을/JKO
계속하고	계속/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
전망은	전망/NNG+은/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.191.11.2
경영난에 시달리는 포르쉐사가 정부측에 요청한 자금지원은 거절됐고, 현재 포르쉐 가문은 독일 정부로부터 폴크스바겐의 주가를 조작했다는 혐의로 조사를 받고 있다고 블룸버그 통신은 보도했다.

경영난에	경영난/NNG+에/JKB
시달리는	시달리/VV+는/ETM
포르쉐사가	포르쉐사/NNP+가/JKS
정부측에	정부/NNG+측/NNB+에/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
자금지원은	자금/NNG+지원/NNG+은/JX
거절됐고,	거절/NNG+되/XSV+었/EP+고/EC+,/SP
현재	현재/MAG
포르쉐	포르쉐/NNP
가문은	가문/NNG+은/JX
독일	독일/NNP
정부로부터	정부/NNG+로부터/JKB
폴크스바겐의	폴크스바겐/NNP+의/JKG
주가를	주가/NNG+를/JKO
조작했다는	조작/NNG+하/XSV+았/EP+다는/ETM
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
블룸버그	블룸버그/NNP
통신은	통신/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.191.11.3
두 가문이 서로 자신의 주도하에 합병을 진행하려 하면서 두 회사의 합병이 집안 다툼으로 변질되고 있다고 파이낸셜타임스(FT)는 26일 분석했다.

두	두/MMN
가문이	가문/NNG+이/JKS
서로	서로/MAG
자신의	자신/NNG+의/JKG
주도하에	주도/NNG+하/XSN+에/JKB
합병을	합병/NNG+을/JKO
진행하려	진행/NNG+하/XSV+려/EC
하면서	하/VX+면서/EC
회사의	회사/NNG+의/JKG
합병이	합병/NNG+이/JKS
집안	집안/NNG
다툼으로	다툼/NNG+으로/JKB
변질되고	변질/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
파이낸셜타임스(FT)는	파이낸셜타임스/NNP+(/SS+FT/SL+)/SS+는/JX
26일	26/SN+일/NNB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


