# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.199
metadata : {}


# id : NWRW1800000056.199.1.1
미국·독일 사례 보니…법관 사이 ‘성골·진골’ 없다

미국·독일	미국/NNP+·/SP+독일/NNP
개념이	개념/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.199.4.4
한번 연방지방법원 판사로 임명되면 위법행위 등으로 탄핵되지 않는 한 평생 연방지방법원 판사로 근무한다.

한번	한번/MAG
연방지방법원	연방/NNG+지방/NNG+법원/NNG
판사로	판사/NNG+로/JKB
임명되면	임명/NNG+되/XSV+면/EC
위법행위	위법/NNG+행위/NNG
등으로	등/NNB+으로/JKB
탄핵되지	탄핵/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
평생	평생/NNG
근무한다.	근무/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.199.4.5
또 판사들이 연배가 높은 판사에게 예의를 갖출 뿐 계층적이지는 않다”고 했다.

또	또/MAG
판사들이	판사/NNG+들/XSN+이/JKS
연배가	연배/NNG+가/JKS
높은	높/VA+은/ETM
판사에게	판사/NNG+에게/JKB
예의를	예의/NNG+를/JKO
갖출	갖추/VV+ㄹ/ETM
뿐	뿐/NNB
계층적이지는	계층/NNG+적/XSN+이/VCP+지/EC+는/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.4.6
이어 “미국 판사들은 개별 법정 내 적용되는 규칙도 직접 만들 수 있다.

이어	이어/MAG
“미국	“/SS+미국/NNP
판사들은	판사/NNG+들/XSN+은/JX
개별	개별/NNG
법정	법정/NNG
내	내/NNB
적용되는	적용/NNG+되/XSV+는/ETM
규칙도	규칙/NNG+도/JX
직접	직접/MAG
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.199.4.7
독립적 재판 운영이라는 점에서 (한국과) 얼마나 차이 나는지 알 수 있다”고 했다.

독립적	독립/NNG+적/XSN
재판	재판/NNG
운영이라는	운영/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
(한국과)	(/SS+한국/NNP+과/JKB+)/SS
얼마나	얼마나/MAG
차이	차이/NNG
나는지	나/VV+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.5.1
강 교수는 이어 미국에선 법원장이 경력에 따라 순번제로 정해진다는 점도 강조했다.

강	강/NNP
교수는	교수/NNG+는/JX
이어	잇/VV+어/EC
미국에선	미국/NNP+에서/JKB+ㄴ/JX
법원장이	법원장/NNG+이/JKS
경력에	경력/NNG+에/JKB
따라	따르/VV+아/EC
순번제로	순번/NNG+제/XSN+로/JKB
정해진다는	정하/VV+아/EC+지/VX+ㄴ다는/ETM
점도	점/NNG+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.199.5.2
법원 내에서 경력이 가장 많은 법관이 정년까지 법원장을 맡는 것으로, 대법원장이 법원장을 임명하고 법원장이 일선 법관에 대한 사무분담 등 사법행정권을 행사하는 한국에 비해 ‘윗선’의 결정권이 남용될 우려가 적다는 지적이다.

법원	법원/NNG
내에서	내/NNB+에서/JKB
경력이	경력/NNG+이/JKS
가장	가장/MAG
많은	많/VA+은/ETM
법관이	법관/NNG+이/JKS
정년까지	정년/NNG+까지/JX
법원장을	법원장/NNG+을/JKO
맡는	맡/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
대법원장이	대법원장/NNG+이/JKS
임명하고	임명/NNG+하/XSV+고/EC
법원장이	법원장/NNG+이/JKS
일선	일선/NNG
법관에	법관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사무분담	사무/NNG+분담/NNG
등	등/NNB
사법행정권을	사법/NNG+행정/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
한국에	한국/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
‘윗선’의	‘/SS+윗선/NNG+’/SS+의/JKG
결정권이	결정/NNG+권/XSN+이/JKS
남용될	남용/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
적다는	적/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.199.5.3
강 교수는 또 “법원장 월급이 일반 판사들과 크게 차이 나지 않고, 인사권 없이 행정업무를 도맡다 보니 법원장이 되는 것을 꺼릴 정도”라고 했다.

강	강/NNP
교수는	교수/NNG+는/JX
또	또/MAG
“법원장	“/SS+법원장/NNG
월급이	월급/NNG+이/JKS
일반	일반/NNG
판사들과	판사/NNG+들/XSN+과/JKB
크게	크/VA+게/EC
차이	차이/NNG
나지	나/VV+지/EC
않고,	않/VX+고/EC+,/SP
인사권	인사/NNG+권/XSN
없이	없이/MAG
행정업무를	행정/NNG+업무/NNG+를/JKO
도맡다	도맡/VV+다/EC
보니	보/VX+니/EC
법원장이	법원장/NNG+이/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
꺼릴	꺼리/VV+ㄹ/ETM
정도”라고	정도/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


