# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.82
metadata : {}


# id : NWRW1800000049.82.1.1
[융합의 공대3.0]여성 친화적 공학교육 시스템으로 섬세함과 창의력 키워

[융합의	[/SS+융합/NNG+의/JKG
도출하고,	도출/NNG+하/XSV+고/EC+,/SP
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
여학생	여학생/NNG
취업률,	취업/NNG+률/XSN+,/SP
입시경쟁률,	입시/NNG+경쟁/NNG+률/XSN+,/SP
비율,	비율/NNG+,/SP
산업별	산업/NNG+별/XSN
인력수요까지	인력/NNG+수요/NNG+까지/JX
종합적으로	종합/NNG+적/XSN+으로/JKB
고려해	고려/NNG+하/XSV+아/EC
신설	신설/NNG
학과를	학과/NNG+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.82.7.1
공대의 전 학과는 여성 친화적이며 다양한 전공 간의 융복합이 수월한 헬스케어와 스마트카 분야를 공통 타겟산업으로 정했다.

공대의	공대/NNG+의/JKG
전	전/MMN
학과는	학과/NNG+는/JX
여성	여성/NNG
친화적이며	친화/NNG+적/XSN+이/VCP+며/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
전공	전공/NNG
간의	간/NNB+의/JKG
융복합이	융복합/NNG+이/JKS
수월한	수월하/VA+ㄴ/ETM
헬스케어와	헬스케어/NNG+와/JC
스마트카	스마트카/NNG
분야를	분야/NNG+를/JKO
공통	공통/NNG
타겟산업으로	타겟/NNG+산업/NNG+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.82.7.2
이 산업은 나노 마이크로와 소프트웨어 기술과의 연계성이 높아 여성 공학도가 쉽게 접근 가능하며 향후 사회 진출에도 상대적으로 유리하다는 분석이 나온다.

이	이/MMD
산업은	산업/NNG+은/JX
나노	나노/NNG
마이크로와	마이크로/NNG+와/JC
소프트웨어	소프트웨어/NNG
기술과의	기술/NNG+과/JKB+의/JKG
연계성이	연계/NNG+성/XSN+이/JKS
높아	높/VA+아/EC
여성	여성/NNG
공학도가	공학도/NNG+가/JKS
쉽게	쉽/VA+게/EC
접근	접근/NNG
가능하며	가능/NNG+하/XSA+며/EC
향후	향후/NNG
사회	사회/NNG
진출에도	진출/NNG+에/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
유리하다는	유리/NNG+하/XSA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.8.1
숙명여대는 여성 친화적 공학교육 시스템을 갖춰 이들의 섬세함과 창의력을 살릴 수 있는 독자적인 ‘3C 교육혁신 방향’을 설계했다.

숙명여대는	숙명여대/NNP+는/JX
여성	여성/NNG
친화적	친화/NNG+적/XSN
공학교육	공학/NNG+교육/NNG
시스템을	시스템/NNG+을/JKO
갖춰	갖추/VV+어/EC
이들의	이/NP+들/XSN+의/JKG
섬세함과	섬세하/VA+ㅁ/ETN+과/JC
창의력을	창의력/NNG+을/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
‘3C	‘/SS+3/SN+C/SL
교육혁신	교육/NNG+혁신/NNG
방향’을	방향/NNG+’/SS+을/JKO
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.82.9.1
3C는 ‘이론과 실무를 융합한 현장실습교과(Convergent)’, ‘창의적 문제해결능력을 강화하는 캡스톤 디자인교과(Creative)’, ‘기업과의 산학협력 연계 교육(Cooperative)’이 실현되는 교육과정을 의미한다.

3C는	3/SN+C/SL+는/JX
‘이론과	‘/SS+이론/NNG+과/JC
실무를	실무/NNG+를/JKO
융합한	융합/NNG+하/XSV+ㄴ/ETM
현장실습교과(Convergent)’,	현장/NNG+실습/NNG+교과/NNG+(/SS+Convergent/SL+)/SS+’/SS+,/SP
‘창의적	‘/SS+창의/NNG+적/XSN
문제해결능력을	문제/NNG+해결/NNG+능력/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
캡스톤	캡스톤/NNG
디자인교과(Creative)’,	디자인/NNG+교과/NNG+(/SS+Creative/SL+)/SS+’/SS+,/SP
‘기업과의	‘/SS+기업/NNG+과/JKB+의/JKG
산학협력	산학/NNG+협력/NNG
연계	연계/NNG
교육(Cooperative)’이	교육/NNG+(/SS+Cooperative/SL+)/SS+’/SS+이/JKS
실현되는	실현/NNG+되/XSV+는/ETM
교육과정을	교육/NNG+과정/NNG+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.10.1
프라임사업의 혜택은 공대뿐만 아니라 모든 전공에 골고루 돌아갈 것으로 전망이며 사업비의 상당 부분은 시설 및 교육환경 개선비, 실험실습 기자재 구입비, 장학금 등으로 사용될 예정이다.

프라임사업의	프라임/NNG+사업/NNG+의/JKG
혜택은	혜택/NNG+은/JX
공대뿐만	공대/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
모든	모든/MMN
전공에	전공/NNG+에/JKB
골고루	골고루/MAG
돌아갈	돌아가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망이며	전망/NNG+이/VCP+며/EC
사업비의	사업비/NNG+의/JKG
상당	상당/NNG
부분은	부분/NNG+은/JX
시설	시설/NNG
및	및/MAG
교육환경	교육/NNG+환경/NNG
개선비,	개선비/NNG+,/SP
실험실습	실험/NNG+실습/NNG
기자재	기자재/NNG
구입비,	구입비/NNG+,/SP
장학금	장학금/NNG
등으로	등/NNB+으로/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.82.10.2
그 결과 재학생들의 교육여건이 크게 개선될 것으로 보인다.

그	그/MMD
결과	결과/NNG
재학생들의	재학/NNG+생/XSN+들/XSN+의/JKG
교육여건이	교육/NNG+여건/NNG+이/JKS
크게	크/VA+게/EC
개선될	개선/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.11.1
공학-비공학 융합교육 강화

공학-비공학	공학/NNG+-/SO+비/XPN+공학/NNG
융합교육	융합/NNG+교육/NNG
강화	강화/NNG


# id : NWRW1800000049.82.12.1
비공학계열 학생들이 프라임사업 선정으로 가장 크게 체감할 변화 중 하나는 바로 융합형 교육과정 강화다.

비공학계열	비/XPN+공학/NNG+계열/NNG
학생들이	학생/NNG+들/XSN+이/JKS
프라임사업	프라임/NNG+사업/NNG
선정으로	선정/NNG+으로/JKB
가장	가장/MAG
크게	크/VA+게/EC
체감할	체감/NNG+하/XSV+ㄹ/ETM
변화	변화/NNG
중	중/NNB
하나는	하나/NR+는/JX
바로	바로/MAG
융합형	융합/NNG+형/XSN
교육과정	교육/NNG+과정/NNG
강화다.	강화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.82.12.2
숙명여대는 그동안 다전공 확대를 위한 제도 개선을 꾸준히 추진해왔다.

숙명여대는	숙명여대/NNP+는/JX
그동안	그동안/NNG
다전공	다전공/NNG
확대를	확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
제도	제도/NNG
개선을	개선/NNG+을/JKO
꾸준히	꾸준히/MAG
추진해왔다.	추진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.82.13.1
이로 인해 최근 3년간 다전공을 선택한 학생 수는 평균 15%씩 성장해 2015년 기준으로 1300명을 넘어섰다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
최근	최근/NNG
3년간	3/SN+년/NNB+간/XSN
다전공을	다전공/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
학생	학생/NNG
수는	수/NNG+는/JX
평균	평균/NNG
15%씩	15/SN+%/SW+씩/XSN
성장해	성장/NNG+하/XSV+아/EC
2015년	2015/SN+년/NNB
기준으로	기준/NNG+으로/JKB
1300명을	1300/SN+명/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.82.13.2
빅데이터, 금융공학 등 사회 인력수요가 필요한 분야에 대한 연계전공교육과정도 운영해 좋은 반응을 얻었다.

빅데이터,	빅데이터/NNG+,/SP
금융공학	금융/NNG+공학/NNG
등	등/NNB
사회	사회/NNG
인력수요가	인력/NNG+수요/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
분야에	분야/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연계전공교육과정도	연계/NNG+전공/NNG+교육/NNG+과정/NNG+도/JX
운영해	운영/NNG+하/XSV+아/EC
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.82.13.3
이 같은 성과에 더해 공대가 설립된 올해부터는 화학, 바이오, IT, 소프트웨어, 디자인, 경영학 등 공학과 비공학 분야의 협업을 통해 시대적 흐름을 주도하는 학제 간 융합을 이뤄낼 구상을 하고 있다.

이	이/NP
같은	같/VA+은/ETM
성과에	성과/NNG+에/JKB
더해	더/MAG+하/XSV+아/EC
공대가	공대/NNG+가/JKS
설립된	설립/NNG+되/XSV+ㄴ/ETM
올해부터는	올해/NNG+부터/JX+는/JX
화학,	화학/NNG+,/SP
바이오,	바이오/NNG+,/SP
IT,	IT/SL+,/SP
소프트웨어,	소프트웨어/NNG+,/SP
디자인,	디자인/NNG+,/SP
경영학	경영학/NNG
등	등/NNB
공학과	공학/NNG+과/JC
비공학	비/XPN+공학/NNG
분야의	분야/NNG+의/JKG
협업을	협업/NNG+을/JKO
통해	통하/VV+아/EC
시대적	시대/NNG+적/XSN
흐름을	흐름/NNG+을/JKO
주도하는	주도/NNG+하/XSV+는/ETM
학제	학제/NNG
간	간/NNB
융합을	융합/NNG+을/JKO
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
구상을	구상/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.82.14.1
우선 올해 신설된 기초교양대학 내에 융합학부를 만들고 산학협력위원회와의 협조를 통해 사회수요 맞춤형 교육과정을 개발할 예정이다.

우선	우선/MAG
올해	올해/NNG
신설된	신설/NNG+되/XSV+ㄴ/ETM
기초교양대학	기초/NNG+교양/NNG+대학/NNG
내에	내/NNB+에/JKB
융합학부를	융합/NNG+학부/NNG+를/JKO
만들고	만들/VV+고/EC
산학협력위원회와의	산학/NNG+협력/NNG+위원회/NNG+와/JKB+의/JKG
협조를	협조/NNG+를/JKO
통해	통하/VV+아/EC
사회수요	사회/NNG+수요/NNG
맞춤형	맞춤/NNG+형/XSN
교육과정을	교육/NNG+과정/NNG+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.82.14.2
학생 스스로 본인의 관심분야에 대해 교육과정을 구성하고 연계전공으로 이수하는 자율설계 연계전공도 주목할 만하다.

학생	학생/NNG
스스로	스스로/MAG
본인의	본인/NNG+의/JKG
관심분야에	관심/NNG+분야/NNG+에/JKB
대해	대하/VV+아/EC
교육과정을	교육/NNG+과정/NNG+을/JKO
구성하고	구성/NNG+하/XSV+고/EC
연계전공으로	연계/NNG+전공/NNG+으로/JKB
이수하는	이수/NNG+하/XSV+는/ETM
자율설계	자율/NNG+설계/NNG
연계전공도	연계/NNG+전공/NNG+도/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000049.82.15.1
4년 주기로 자율설계전공 현황을 파악해 학생의 학습만족도가 일정 수준 이상일 경우 대학 차원에서 융합전공으로 전환할 수 있다.

4년	4/SN+년/NNB
주기로	주기/NNG+로/JKB
자율설계전공	자율/NNG+설계/NNG+전공/NNG
현황을	현황/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
학생의	학생/NNG+의/JKG
학습만족도가	학습/NNG+만족도/NNG+가/JKS
일정	일정/NNG
수준	수준/NNG
이상일	이상/NNG+이/VCP+ㄹ/ETM
경우	경우/NNG
대학	대학/NNG
차원에서	차원/NNG+에서/JKB
융합전공으로	융합/NNG+전공/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.82.15.2
내년 공과대학 내에 신설되는 기초공학부는 자율전공 형식으로 선발된 학생들이 1학년 때 기초교육과정 및 기숙형 레지덴셜 프로그램을 이수한 후 2학년 때 본인이 원하는 공대 내 전공으로 전과할 수 있도록 ‘유동적 정원제’를 도입한다.

내년	내년/NNG
공과대학	공과/NNG+대학/NNG
내에	내/NNB+에/JKB
신설되는	신설/NNG+되/XSV+는/ETM
기초공학부는	기초/NNG+공학부/NNG+는/JX
자율전공	자율/NNG+전공/NNG
형식으로	형식/NNG+으로/JKB
선발된	선발/NNG+되/XSV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
1학년	1/SN+학년/NNG
때	때/NNG
기초교육과정	기초/NNG+교육/NNG+과정/NNG
및	및/MAG
기숙형	기숙/NNG+형/XSN
레지덴셜	레지덴셜/NNG
프로그램을	프로그램/NNG+을/JKO
이수한	이수/NNG+하/XSV+ㄴ/ETM
후	후/NNG
2학년	2/SN+학년/NNG
본인이	본인/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
공대	공대/NNG
내	내/NNB
전공으로	전공/NNG+으로/JKB
전과할	전과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘유동적	‘/SS+유동/NNG+적/XSN
정원제’를	정원/NNG+제/XSN+’/SS+를/JKO
도입한다.	도입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.82.16.1
또한 공학계열 전공을 복수전공이나 부전공으로 하는 타계열 학생들을 기초공학부에 소속시켜 기초공학부 전임교원이 체계적으로 관리하고 수준별 전공교육을 제공할 계획이다.

또한	또한/MAG
공학계열	공학/NNG+계열/NNG
전공을	전공/NNG+을/JKO
복수전공이나	복수/NNG+전공/NNG+이나/JC
부전공으로	부전공/NNG+으로/JKB
하는	하/VV+는/ETM
타계열	타/MMD+계열/NNG
학생들을	학생/NNG+들/XSN+을/JKO
기초공학부에	기초/NNG+공학부/NNG+에/JKB
소속시켜	소속/NNG+시키/XSV+어/EC
기초공학부	기초/NNG+공학부/NNG
전임교원이	전임/NNG+교원/NNG+이/JKS
체계적으로	체계/NNG+적/XSN+으로/JKB
관리하고	관리/NNG+하/XSV+고/EC
수준별	수준/NNG+별/XSN
전공교육을	전공/NNG+교육/NNG+을/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.82.17.1
이시우 숙명여대 공과대학장은 “상대적으로 높은 이공계 전공의 진입장벽을 부담스러워하는 인문사회계열 학생들이 조기 이탈하지 않고 안정적으로 적응할 수 있는 안전판이 되어줄 것”이라고 설명했다.

이시우	이시우/NNP
숙명여대	숙명여대/NNP
공과대학장은	공과대/NNG+학장/NNG+은/JX
“상대적으로	“/SS+상대/NNG+적/XSN+으로/JKB
높은	높/VA+은/ETM
이공계	이공/NNG+계/XSN
전공의	전공/NNG+의/JKG
진입장벽을	진입/NNG+장벽/NNG+을/JKO
부담스러워하는	부담/NNG+스럽/XSA+어/EC+하/VX+는/ETM
인문사회계열	인문/NNG+사회/NNG+계열/NNG
학생들이	학생/NNG+들/XSN+이/JKS
조기	조기/NNG
이탈하지	이탈/NNG+하/XSV+지/EC
않고	않/VX+고/EC
안정적으로	안정/NNG+적/XSN+으로/JKB
적응할	적응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
안전판이	안전판/NNG+이/JKC
되어줄	되/VV+어/EC+주/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


